epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685529919092,2023-05-31T12:45:19.092,0.000,2.569,0.716,0.259
1685529919102,2023-05-31T12:45:19.102,0.010,2.721,0.739,-0.236
1685529919112,2023-05-31T12:45:19.112,0.020,2.401,0.602,-0.099
1685529919122,2023-05-31T12:45:19.122,0.030,2.485,0.473,0.198
1685529919132,2023-05-31T12:45:19.132,0.040,2.805,0.335,0.160
1685529919142,2023-05-31T12:45:19.142,0.050,3.041,0.191,0.061
1685529919152,2023-05-31T12:45:19.152,0.060,3.163,0.145,0.099
1685529919162,2023-05-31T12:45:19.162,0.070,3.270,-0.099,0.053
1685529919172,2023-05-31T12:45:19.172,0.080,3.148,-0.434,0.099
1685529919182,2023-05-31T12:45:19.182,0.090,3.186,-0.503,0.152
1685529919192,2023-05-31T12:45:19.192,0.100,3.194,-0.366,0.259
1685529919202,2023-05-31T12:45:19.202,0.110,3.354,-0.091,0.130
1685529919212,2023-05-31T12:45:19.212,0.120,3.567,0.267,0.038
1685529919222,2023-05-31T12:45:19.222,0.130,3.689,0.511,0.053
1685529919232,2023-05-31T12:45:19.232,0.140,3.720,0.671,-0.038
1685529919242,2023-05-31T12:45:19.242,0.150,3.918,0.625,0.038
1685529919252,2023-05-31T12:45:19.252,0.160,4.284,0.556,0.145
1685529919262,2023-05-31T12:45:19.262,0.170,4.527,0.442,0.107
1685529919272,2023-05-31T12:45:19.272,0.180,4.474,0.145,0.213
1685529919282,2023-05-31T12:45:19.282,0.190,4.512,-0.099,0.290
1685529919292,2023-05-31T12:45:19.292,0.200,4.139,-0.404,0.419
1685529919302,2023-05-31T12:45:19.302,0.210,3.765,-0.008,0.412
1685529919312,2023-05-31T12:45:19.312,0.220,4.192,0.785,0.206
1685529919322,2023-05-31T12:45:19.322,0.230,3.841,0.465,0.267
1685529919332,2023-05-31T12:45:19.332,0.240,3.643,0.061,0.518
1685529919342,2023-05-31T12:45:19.342,0.250,3.384,-0.008,0.671
1685529919352,2023-05-31T12:45:19.352,0.260,2.965,-0.038,0.655
1685529919362,2023-05-31T12:45:19.362,0.270,2.675,-0.160,0.541
1685529919372,2023-05-31T12:45:19.372,0.280,2.530,-0.290,0.572
1685529919382,2023-05-31T12:45:19.382,0.290,2.309,-0.427,0.602
1685529919392,2023-05-31T12:45:19.392,0.300,1.852,-0.534,0.587
1685529919402,2023-05-31T12:45:19.402,0.310,1.372,-0.595,0.602
1685529919412,2023-05-31T12:45:19.412,0.320,0.968,-0.701,0.777
1685529919422,2023-05-31T12:45:19.422,0.330,0.534,-0.800,0.785
1685529919432,2023-05-31T12:45:19.432,0.340,0.290,-0.785,0.678
1685529919442,2023-05-31T12:45:19.442,0.350,0.244,-0.556,0.655
1685529919452,2023-05-31T12:45:19.452,0.360,0.274,-0.335,0.655
1685529919462,2023-05-31T12:45:19.462,0.370,0.381,-0.305,0.640
1685529919472,2023-05-31T12:45:19.472,0.380,0.442,-0.335,0.610
1685529919482,2023-05-31T12:45:19.482,0.390,0.389,-0.229,0.549
1685529919492,2023-05-31T12:45:19.492,0.400,0.419,-0.046,0.434
1685529919502,2023-05-31T12:45:19.502,0.410,0.450,-0.023,0.465
1685529919512,2023-05-31T12:45:19.512,0.420,0.457,-0.030,0.595
1685529919522,2023-05-31T12:45:19.522,0.430,0.366,-0.091,0.671
1685529919532,2023-05-31T12:45:19.532,0.440,0.290,0.023,0.739
1685529919542,2023-05-31T12:45:19.542,0.450,0.229,0.145,0.732
1685529919552,2023-05-31T12:45:19.552,0.460,0.145,0.130,0.716
1685529919562,2023-05-31T12:45:19.562,0.470,0.168,0.236,0.579
1685529919572,2023-05-31T12:45:19.572,0.480,0.038,0.259,0.511
1685529919582,2023-05-31T12:45:19.582,0.490,-0.274,0.137,0.511
1685529919592,2023-05-31T12:45:19.592,0.500,-0.602,0.008,0.556
1685529919602,2023-05-31T12:45:19.602,0.510,-0.877,-0.053,0.648
1685529919612,2023-05-31T12:45:19.612,0.520,-1.059,-0.206,0.800
1685529919622,2023-05-31T12:45:19.622,0.530,-1.166,-0.267,0.755
1685529919632,2023-05-31T12:45:19.632,0.540,-1.220,-0.213,0.648
1685529919642,2023-05-31T12:45:19.642,0.550,-1.410,-0.137,0.602
1685529919652,2023-05-31T12:45:19.652,0.560,-1.425,-0.030,0.556
1685529919662,2023-05-31T12:45:19.662,0.570,-1.463,-0.030,0.526
1685529919672,2023-05-31T12:45:19.672,0.580,-1.639,-0.099,0.595
1685529919682,2023-05-31T12:45:19.682,0.590,-2.027,-0.084,0.572
1685529919692,2023-05-31T12:45:19.692,0.600,-2.424,-0.053,0.442
1685529919702,2023-05-31T12:45:19.702,0.610,-2.546,-0.084,0.465
1685529919712,2023-05-31T12:45:19.712,0.620,-2.622,0.008,0.541
1685529919722,2023-05-31T12:45:19.722,0.630,-2.447,-0.084,0.534
1685529919732,2023-05-31T12:45:19.732,0.640,-2.188,0.114,0.351
1685529919742,2023-05-31T12:45:19.742,0.650,-2.172,0.145,0.434
1685529919752,2023-05-31T12:45:19.752,0.660,-2.012,0.213,0.404
1685529919762,2023-05-31T12:45:19.762,0.670,-1.814,0.206,0.358
1685529919772,2023-05-31T12:45:19.772,0.680,-1.654,0.152,0.358
1685529919782,2023-05-31T12:45:19.782,0.690,-1.822,-0.084,0.465
1685529919792,2023-05-31T12:45:19.792,0.700,-1.761,-0.130,0.427
1685529919802,2023-05-31T12:45:19.802,0.710,-1.738,0.107,0.313
1685529919812,2023-05-31T12:45:19.812,0.720,-1.723,0.244,0.267
1685529919822,2023-05-31T12:45:19.822,0.730,-1.852,0.252,0.236
1685529919832,2023-05-31T12:45:19.832,0.740,-1.867,0.427,0.076
1685529919842,2023-05-31T12:45:19.842,0.750,-1.905,0.282,-0.053
1685529919852,2023-05-31T12:45:19.852,0.760,-2.043,0.023,0.053
1685529919862,2023-05-31T12:45:19.862,0.770,-2.119,0.152,0.145
1685529919872,2023-05-31T12:45:19.872,0.780,-2.119,0.252,0.107
1685529919882,2023-05-31T12:45:19.882,0.790,-2.370,0.343,0.160
1685529919892,2023-05-31T12:45:19.892,0.800,-2.530,0.282,0.229
1685529919902,2023-05-31T12:45:19.902,0.810,-2.591,0.206,0.351
1685529919912,2023-05-31T12:45:19.912,0.820,-2.782,0.297,0.206
1685529919922,2023-05-31T12:45:19.922,0.830,-2.614,0.976,0.221
1685529919932,2023-05-31T12:45:19.932,0.840,-2.066,0.991,-0.023
1685529919942,2023-05-31T12:45:19.942,0.850,-1.951,0.351,0.267
1685529919952,2023-05-31T12:45:19.952,0.860,-2.096,-0.015,0.480
1685529919962,2023-05-31T12:45:19.962,0.870,-2.447,0.000,0.556
1685529919972,2023-05-31T12:45:19.972,0.880,-2.462,0.236,0.572
1685529919982,2023-05-31T12:45:19.982,0.890,-1.875,0.465,0.442
1685529919992,2023-05-31T12:45:19.992,0.900,-1.563,0.282,0.297
1685529920002,2023-05-31T12:45:20.002,0.910,-1.494,0.175,0.267
1685529920012,2023-05-31T12:45:20.012,0.920,-1.425,0.198,0.290
1685529920022,2023-05-31T12:45:20.022,0.930,-1.387,0.236,0.267
1685529920032,2023-05-31T12:45:20.032,0.940,-1.418,-0.069,0.389
1685529920042,2023-05-31T12:45:20.042,0.950,-1.128,-0.046,0.465
1685529920052,2023-05-31T12:45:20.052,0.960,-0.724,0.213,0.351
1685529920062,2023-05-31T12:45:20.062,0.970,-0.198,0.427,0.320
1685529920072,2023-05-31T12:45:20.072,0.980,0.389,0.602,0.122
1685529920082,2023-05-31T12:45:20.082,0.990,0.739,0.755,0.175
1685529920092,2023-05-31T12:45:20.092,1.000,0.770,0.838,0.183
1685529920102,2023-05-31T12:45:20.102,1.010,0.838,0.861,0.198
1685529920112,2023-05-31T12:45:20.112,1.020,0.755,0.595,0.206
1685529920122,2023-05-31T12:45:20.122,1.030,0.564,0.320,0.320
1685529920132,2023-05-31T12:45:20.132,1.040,0.396,0.259,0.343
1685529920142,2023-05-31T12:45:20.142,1.050,0.244,0.358,0.221
1685529920152,2023-05-31T12:45:20.152,1.060,0.114,0.404,0.198
1685529920162,2023-05-31T12:45:20.162,1.070,0.076,0.396,0.160
1685529920172,2023-05-31T12:45:20.172,1.080,0.069,0.389,0.114
1685529920182,2023-05-31T12:45:20.182,1.090,-0.206,0.434,0.084
1685529920192,2023-05-31T12:45:20.192,1.100,-0.389,0.366,0.114
1685529920202,2023-05-31T12:45:20.202,1.110,-0.648,0.396,0.053
1685529920212,2023-05-31T12:45:20.212,1.120,-0.831,0.610,0.091
1685529920222,2023-05-31T12:45:20.222,1.130,-0.998,0.579,0.160
1685529920232,2023-05-31T12:45:20.232,1.140,-0.991,0.709,0.000
1685529920242,2023-05-31T12:45:20.242,1.150,-0.694,0.755,-0.038
1685529920252,2023-05-31T12:45:20.252,1.160,-0.381,0.564,-0.053
1685529920262,2023-05-31T12:45:20.262,1.170,-0.191,0.495,0.046
1685529920272,2023-05-31T12:45:20.272,1.180,0.297,0.572,0.130
1685529920282,2023-05-31T12:45:20.282,1.190,0.846,0.587,0.000
1685529920292,2023-05-31T12:45:20.292,1.200,1.227,0.503,0.038
1685529920302,2023-05-31T12:45:20.302,1.210,1.357,0.366,0.091
1685529920312,2023-05-31T12:45:20.312,1.220,1.273,0.381,0.053
1685529920322,2023-05-31T12:45:20.322,1.230,1.128,0.511,0.015
1685529920332,2023-05-31T12:45:20.332,1.240,1.143,0.686,-0.114
1685529920342,2023-05-31T12:45:20.342,1.250,1.082,0.556,-0.252
1685529920352,2023-05-31T12:45:20.352,1.260,1.014,0.595,-0.198
1685529920362,2023-05-31T12:45:20.362,1.270,0.938,0.556,-0.183
1685529920372,2023-05-31T12:45:20.372,1.280,0.846,0.503,-0.168
1685529920382,2023-05-31T12:45:20.382,1.290,0.877,0.419,-0.099
1685529920392,2023-05-31T12:45:20.392,1.300,0.877,0.473,-0.099
1685529920402,2023-05-31T12:45:20.402,1.310,1.021,0.419,-0.183
1685529920412,2023-05-31T12:45:20.412,1.320,1.113,0.328,-0.084
1685529920422,2023-05-31T12:45:20.422,1.330,1.082,0.152,-0.160
1685529920432,2023-05-31T12:45:20.432,1.340,0.922,0.107,-0.038
