epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1685529920597,2023-05-31T12:45:20.597,0.000,168.788,-76.927,0.000,0.000
1685529920607,2023-05-31T12:45:20.607,0.010,168.786,-76.922,0.025,0.025
1685529920617,2023-05-31T12:45:20.617,0.020,168.792,-76.923,0.042,0.042
1685529920627,2023-05-31T12:45:20.627,0.030,168.798,-76.926,0.063,0.063
1685529920637,2023-05-31T12:45:20.637,0.040,168.803,-76.929,0.084,0.084
1685529920647,2023-05-31T12:45:20.647,0.050,168.809,-76.933,0.105,0.105
1685529920657,2023-05-31T12:45:20.657,0.060,168.815,-76.937,0.124,0.124
1685529920667,2023-05-31T12:45:20.667,0.070,168.820,-76.944,0.141,0.141
1685529920677,2023-05-31T12:45:20.677,0.080,168.827,-76.953,0.155,0.155
1685529920687,2023-05-31T12:45:20.687,0.090,168.836,-76.962,0.167,0.167
1685529920697,2023-05-31T12:45:20.697,0.100,168.845,-76.972,0.178,0.178
1685529920707,2023-05-31T12:45:20.707,0.110,168.856,-76.984,0.190,0.190
1685529920717,2023-05-31T12:45:20.717,0.120,168.866,-76.995,0.203,0.203
1685529920727,2023-05-31T12:45:20.727,0.130,168.878,-77.008,0.216,0.216
1685529920737,2023-05-31T12:45:20.737,0.140,168.889,-77.020,0.232,0.232
1685529920747,2023-05-31T12:45:20.747,0.150,168.900,-77.033,0.250,0.250
1685529920757,2023-05-31T12:45:20.757,0.160,168.912,-77.047,0.270,0.270
1685529920767,2023-05-31T12:45:20.767,0.170,168.925,-77.061,0.290,0.290
1685529920777,2023-05-31T12:45:20.777,0.180,168.938,-77.076,0.311,0.311
1685529920787,2023-05-31T12:45:20.787,0.190,168.951,-77.091,0.332,0.332
1685529920797,2023-05-31T12:45:20.797,0.200,168.963,-77.104,0.353,0.353
1685529920807,2023-05-31T12:45:20.807,0.210,168.973,-77.117,0.375,0.375
1685529920817,2023-05-31T12:45:20.817,0.220,168.984,-77.130,0.396,0.396
1685529920827,2023-05-31T12:45:20.827,0.230,168.994,-77.142,0.423,0.423
1685529920837,2023-05-31T12:45:20.837,0.240,169.005,-77.155,0.451,0.451
1685529920847,2023-05-31T12:45:20.847,0.250,169.018,-77.170,0.478,0.478
1685529920857,2023-05-31T12:45:20.857,0.260,169.032,-77.187,0.505,0.505
1685529920867,2023-05-31T12:45:20.867,0.270,169.047,-77.204,0.531,0.531
1685529920877,2023-05-31T12:45:20.877,0.280,169.064,-77.223,0.558,0.558
1685529920887,2023-05-31T12:45:20.887,0.290,169.080,-77.242,0.584,0.584
1685529920897,2023-05-31T12:45:20.897,0.300,169.094,-77.257,0.607,0.607
1685529920907,2023-05-31T12:45:20.907,0.310,169.106,-77.272,0.635,0.635
1685529920917,2023-05-31T12:45:20.917,0.320,169.118,-77.287,0.665,0.665
1685529920927,2023-05-31T12:45:20.927,0.330,169.131,-77.299,0.695,0.695
1685529920937,2023-05-31T12:45:20.937,0.340,169.145,-77.312,0.718,0.718
1685529920947,2023-05-31T12:45:20.947,0.350,169.160,-77.325,0.737,0.737
1685529920957,2023-05-31T12:45:20.957,0.360,169.177,-77.338,0.749,0.749
1685529920967,2023-05-31T12:45:20.967,0.370,169.193,-77.350,0.756,0.756
1685529920977,2023-05-31T12:45:20.977,0.380,169.210,-77.363,0.760,0.760
1685529920987,2023-05-31T12:45:20.987,0.390,169.227,-77.376,0.762,0.762
1685529920997,2023-05-31T12:45:20.997,0.400,169.242,-77.387,0.764,0.764
1685529921007,2023-05-31T12:45:21.007,0.410,169.257,-77.398,0.764,0.764
1685529921017,2023-05-31T12:45:21.017,0.420,169.271,-77.408,0.764,0.764
1685529921027,2023-05-31T12:45:21.027,0.430,169.284,-77.416,0.762,0.762
1685529921037,2023-05-31T12:45:21.037,0.440,169.297,-77.424,0.757,0.757
1685529921047,2023-05-31T12:45:21.047,0.450,169.311,-77.433,0.744,0.744
1685529921057,2023-05-31T12:45:21.057,0.460,169.324,-77.441,0.732,0.732
1685529921067,2023-05-31T12:45:21.067,0.470,169.336,-77.447,0.722,0.722
1685529921077,2023-05-31T12:45:21.077,0.480,169.347,-77.453,0.712,0.712
1685529921087,2023-05-31T12:45:21.087,0.490,169.359,-77.459,0.702,0.702
1685529921097,2023-05-31T12:45:21.097,0.500,169.370,-77.469,0.690,0.690
1685529921107,2023-05-31T12:45:21.107,0.510,169.382,-77.476,0.680,0.680
1685529921117,2023-05-31T12:45:21.117,0.520,169.394,-77.482,0.669,0.669
1685529921127,2023-05-31T12:45:21.127,0.530,169.406,-77.488,0.658,0.658
1685529921137,2023-05-31T12:45:21.137,0.540,169.418,-77.495,0.648,0.648
1685529921147,2023-05-31T12:45:21.147,0.550,169.429,-77.500,0.639,0.639
1685529921157,2023-05-31T12:45:21.157,0.560,169.440,-77.505,0.629,0.629
1685529921167,2023-05-31T12:45:21.167,0.570,169.451,-77.510,0.620,0.620
1685529921177,2023-05-31T12:45:21.177,0.580,169.462,-77.517,0.610,0.610
1685529921187,2023-05-31T12:45:21.187,0.590,169.473,-77.522,0.600,0.600
1685529921197,2023-05-31T12:45:21.197,0.600,169.483,-77.525,0.592,0.592
1685529921207,2023-05-31T12:45:21.207,0.610,169.494,-77.529,0.583,0.583
1685529921217,2023-05-31T12:45:21.217,0.620,169.504,-77.534,0.575,0.575
1685529921227,2023-05-31T12:45:21.227,0.630,169.514,-77.538,0.566,0.566
1685529921237,2023-05-31T12:45:21.237,0.640,169.524,-77.542,0.558,0.558
1685529921247,2023-05-31T12:45:21.247,0.650,169.533,-77.545,0.545,0.545
1685529921257,2023-05-31T12:45:21.257,0.660,169.543,-77.547,0.527,0.527
1685529921267,2023-05-31T12:45:21.267,0.670,169.553,-77.551,0.507,0.507
1685529921277,2023-05-31T12:45:21.277,0.680,169.564,-77.556,0.487,0.487
1685529921287,2023-05-31T12:45:21.287,0.690,169.572,-77.558,0.467,0.467
1685529921297,2023-05-31T12:45:21.297,0.700,169.574,-77.554,0.454,0.454
1685529921307,2023-05-31T12:45:21.307,0.710,169.582,-77.555,0.435,0.435
1685529921317,2023-05-31T12:45:21.317,0.720,169.583,-77.551,0.424,0.424
1685529921327,2023-05-31T12:45:21.327,0.730,169.585,-77.547,0.415,0.415
1685529921337,2023-05-31T12:45:21.337,0.740,169.586,-77.547,0.407,0.407
1685529921347,2023-05-31T12:45:21.347,0.750,169.593,-77.549,0.394,0.394
1685529921357,2023-05-31T12:45:21.357,0.760,169.600,-77.551,0.381,0.381
1685529921367,2023-05-31T12:45:21.367,0.770,169.608,-77.553,0.367,0.367
1685529921377,2023-05-31T12:45:21.377,0.780,169.616,-77.559,0.359,0.359
1685529921387,2023-05-31T12:45:21.387,0.790,169.616,-77.560,0.359,0.359
1685529921397,2023-05-31T12:45:21.397,0.800,169.617,-77.560,0.352,0.352
1685529921407,2023-05-31T12:45:21.407,0.810,169.617,-77.560,0.352,0.352
1685529921417,2023-05-31T12:45:21.417,0.820,169.617,-77.560,0.345,0.345
1685529921427,2023-05-31T12:45:21.427,0.830,169.618,-77.560,0.336,0.336
1685529921437,2023-05-31T12:45:21.437,0.840,169.619,-77.560,0.326,0.326
1685529921447,2023-05-31T12:45:21.447,0.850,169.620,-77.559,0.316,0.316
1685529921457,2023-05-31T12:45:21.457,0.860,169.620,-77.558,0.301,0.301
1685529921467,2023-05-31T12:45:21.467,0.870,169.620,-77.553,0.286,0.286
1685529921477,2023-05-31T12:45:21.477,0.880,169.620,-77.547,0.270,0.270
1685529921487,2023-05-31T12:45:21.487,0.890,169.620,-77.541,0.256,0.256
1685529921497,2023-05-31T12:45:21.497,0.900,169.620,-77.534,0.243,0.243
1685529921507,2023-05-31T12:45:21.507,0.910,169.620,-77.533,0.226,0.226
1685529921517,2023-05-31T12:45:21.517,0.920,169.619,-77.530,0.213,0.213
1685529921527,2023-05-31T12:45:21.527,0.930,169.617,-77.524,0.209,0.209
1685529921537,2023-05-31T12:45:21.537,0.940,169.615,-77.518,0.204,0.204
1685529921547,2023-05-31T12:45:21.547,0.950,169.622,-77.519,0.189,0.189
1685529921557,2023-05-31T12:45:21.557,0.960,169.622,-77.515,0.182,0.182
1685529921567,2023-05-31T12:45:21.567,0.970,169.623,-77.515,0.174,0.174
1685529921577,2023-05-31T12:45:21.577,0.980,169.624,-77.511,0.168,0.168
1685529921587,2023-05-31T12:45:21.587,0.990,169.625,-77.508,0.159,0.159
1685529921597,2023-05-31T12:45:21.597,1.000,169.627,-77.509,0.148,0.148
1685529921607,2023-05-31T12:45:21.607,1.010,169.628,-77.509,0.136,0.136
1685529921617,2023-05-31T12:45:21.617,1.020,169.629,-77.505,0.126,0.126
1685529921627,2023-05-31T12:45:21.627,1.030,169.630,-77.501,0.117,0.117
1685529921637,2023-05-31T12:45:21.637,1.040,169.632,-77.496,0.108,0.108
1685529921647,2023-05-31T12:45:21.647,1.050,169.632,-77.492,0.103,0.103
1685529921657,2023-05-31T12:45:21.657,1.060,169.638,-77.493,0.098,0.098
1685529921667,2023-05-31T12:45:21.667,1.070,169.638,-77.489,0.100,0.100
1685529921677,2023-05-31T12:45:21.677,1.080,169.638,-77.484,0.101,0.101
1685529921687,2023-05-31T12:45:21.687,1.090,169.638,-77.479,0.110,0.110
1685529921697,2023-05-31T12:45:21.697,1.100,169.643,-77.480,0.113,0.113
1685529921707,2023-05-31T12:45:21.707,1.110,169.648,-77.481,0.118,0.118
1685529921717,2023-05-31T12:45:21.717,1.120,169.653,-77.481,0.125,0.125
1685529921727,2023-05-31T12:45:21.727,1.130,169.652,-77.478,0.139,0.139
1685529921737,2023-05-31T12:45:21.737,1.140,169.650,-77.475,0.152,0.152
1685529921747,2023-05-31T12:45:21.747,1.150,169.649,-77.475,0.162,0.162
1685529921757,2023-05-31T12:45:21.757,1.160,169.649,-77.475,0.162,0.162
1685529921767,2023-05-31T12:45:21.767,1.170,169.649,-77.475,0.162,0.162
1685529921777,2023-05-31T12:45:21.777,1.180,169.649,-77.471,0.164,0.164
1685529921787,2023-05-31T12:45:21.787,1.190,169.649,-77.466,0.165,0.165
