epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685528977891,2023-05-31T12:29:37.891,0.000,-0.015,0.724,-0.259
1685528977901,2023-05-31T12:29:37.901,0.010,0.030,0.358,-0.335
1685528977911,2023-05-31T12:29:37.911,0.020,0.381,0.549,-0.061
1685528977921,2023-05-31T12:29:37.921,0.030,0.602,0.617,-0.152
1685528977931,2023-05-31T12:29:37.931,0.040,0.755,0.404,-0.213
1685528977941,2023-05-31T12:29:37.941,0.050,0.770,0.389,-0.198
1685528977951,2023-05-31T12:29:37.951,0.060,0.640,0.404,-0.091
1685528977961,2023-05-31T12:29:37.961,0.070,0.549,0.328,-0.030
1685528977971,2023-05-31T12:29:37.971,0.080,0.678,0.244,-0.023
1685528977981,2023-05-31T12:29:37.981,0.090,0.633,0.328,0.023
1685528977991,2023-05-31T12:29:37.991,0.100,0.587,0.434,0.053
1685528978001,2023-05-31T12:29:38.001,0.110,0.617,0.373,0.053
1685528978011,2023-05-31T12:29:38.011,0.120,0.762,0.351,0.069
1685528978021,2023-05-31T12:29:38.021,0.130,0.823,0.404,0.023
1685528978031,2023-05-31T12:29:38.031,0.140,0.747,0.457,0.008
1685528978041,2023-05-31T12:29:38.041,0.150,0.633,0.488,-0.038
1685528978051,2023-05-31T12:29:38.051,0.160,0.640,0.465,-0.038
1685528978061,2023-05-31T12:29:38.061,0.170,0.617,0.480,-0.015
1685528978071,2023-05-31T12:29:38.071,0.180,0.572,0.442,0.015
1685528978081,2023-05-31T12:29:38.081,0.190,0.541,0.412,-0.015
1685528978091,2023-05-31T12:29:38.091,0.200,0.564,0.419,-0.053
1685528978101,2023-05-31T12:29:38.101,0.210,0.663,0.434,0.030
1685528978111,2023-05-31T12:29:38.111,0.220,0.694,0.549,-0.030
1685528978121,2023-05-31T12:29:38.121,0.230,0.800,0.419,-0.023
1685528978131,2023-05-31T12:29:38.131,0.240,0.861,0.389,0.099
1685528978141,2023-05-31T12:29:38.141,0.250,0.892,0.343,0.076
1685528978151,2023-05-31T12:29:38.151,0.260,0.884,0.412,0.114
1685528978161,2023-05-31T12:29:38.161,0.270,0.785,0.381,0.091
1685528978171,2023-05-31T12:29:38.171,0.280,0.793,0.457,0.023
1685528978181,2023-05-31T12:29:38.181,0.290,0.694,0.488,0.023
1685528978191,2023-05-31T12:29:38.191,0.300,0.511,0.450,0.076
1685528978201,2023-05-31T12:29:38.201,0.310,0.305,0.473,0.107
1685528978211,2023-05-31T12:29:38.211,0.320,0.313,0.503,0.069
1685528978221,2023-05-31T12:29:38.221,0.330,0.297,0.495,0.015
