elapsed (s);x-axis (g);y-axis (g);z-axis (g);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
0;-1.022;0.077;-0.207;1.311;1.288;-0.549
0.01;-1.036;0.079;-0.209;0.983;0.998;-0.61
0.02;-1.039;0.083;-0.215;0.534;1.006;-0.32
0.03;-1.039;0.084;-0.217;0.053;0.983;-0.038
0.04;-1.037;0.08;-0.217;0.137;0.998;0.084
0.05;-1.031;0.078;-0.218;0.823;1.212;0.145
0.06;-1.028;0.078;-0.216;1.189;1.494;0.13
0.07;-1.027;0.081;-0.219;1.242;1.913;0.015
0.08;-1.031;0.086;-0.218;1.029;2.21;-0.16
0.09;-1.033;0.086;-0.217;0.473;2.386;-0.297
0.1;-1.033;0.087;-0.217;-0.351;2.37;-0.259
0.11;-1.035;0.082;-0.212;-1.204;1.921;-0.373
0.12;-1.042;0.08;-0.209;-1.845;1.227;-0.488
0.13;-1.045;0.081;-0.208;-2.226;0.709;-0.267
0.14;-1.039;0.082;-0.21;-2.287;0.755;-0.099
0.15;-1.038;0.081;-0.21;-2.111;0.899;-0.137
0.16;-1.034;0.079;-0.209;-1.723;1.067;-0.191
0.17;-1.028;0.082;-0.208;-1.532;1.555;-0.206
0.18;-1.026;0.079;-0.212;-1.463;1.997;-0.351
0.19;-1.033;0.077;-0.213;-1.502;1.997;-0.29
0.2;-1.041;0.075;-0.215;-1.471;1.662;-0.137
0.21;-1.046;0.075;-0.214;-1.189;1.128;-0.107
0.22;-1.042;0.073;-0.213;-0.64;0.892;0.038
0.23;-1.037;0.073;-0.217;-0.32;0.899;0.252
0.24;-1.034;0.073;-0.219;-0.168;0.777;0.404
0.25;-1.031;0.075;-0.221;-0.023;0.793;0.427
0.26;-1.034;0.078;-0.222;0.015;0.907;0.29
0.27;-1.03;0.08;-0.22;0.03;1.181;0.343
0.28;-1.034;0.08;-0.222;0.061;1.402;0.373
0.29;-1.029;0.081;-0.224;0.305;1.524;0.221
0.3;-1.028;0.08;-0.226;0.191;1.623;0.145
0.31;-1.032;0.079;-0.221;0.03;1.761;0.221
0.32;-1.031;0.081;-0.218;0.343;1.921;0.358
0.33;-1.031;0.082;-0.219;0.503;2.119;0.396
0.34;-1.031;0.086;-0.216;0.518;2.401;0.419
0.35;-1.03;0.087;-0.216;0.312;2.538;0.328
0.36;-1.033;0.086;-0.217;0.038;2.386;0.023
0.37;-1.035;0.084;-0.21;-0.412;1.982;-0.099
0.38;-1.037;0.085;-0.207;-0.938;1.517;-0.145
0.39;-1.042;0.082;-0.208;-1.395;1.258;-0.023
0.4;-1.043;0.079;-0.209;-1.646;0.93;0.023
0.41;-1.04;0.076;-0.207;-1.692;0.8;-0.008
0.42;-1.034;0.069;-0.198;-1.319;0.701;0.076
0.43;-1.035;0.068;-0.197;-0.579;0.572;0.038
0.44;-1.037;0.07;-0.197;0.023;0.556;0.114
0.45;-1.041;0.076;-0.198;0.404;0.518;0.366
0.46;-1.038;0.081;-0.2;0.183;0.602;0.45
0.47;-1.04;0.083;-0.198;-0.008;0.701;0.404
0.48;-1.038;0.085;-0.202;0.015;0.534;0.427
0.49;-1.038;0.088;-0.207;0.343;0.091;0.381
0.5;-1.037;0.083;-0.211;0.564;0.084;0.32
0.51;-1.032;0.082;-0.212;0.488;0.358;0.434
0.52;-1.03;0.084;-0.216;0.534;0.488;0.404
0.53;-1.025;0.086;-0.22;0.442;0.732;0.145
0.54;-1.028;0.086;-0.219;0.244;0.831;-0.008
0.55;-1.028;0.084;-0.221;-0.03;0.785;-0.053
0.56;-1.032;0.085;-0.224;-0.343;0.716;-0.023
0.57;-1.034;0.084;-0.224;-0.564;0.564;0.038
0.58;-1.031;0.083;-0.217;-0.473;0.686;0.053
0.59;-1.033;0.085;-0.218;-0.465;0.595;0.03
0.6;-1.037;0.085;-0.218;-0.678;0.396;0.107
0.61;-1.034;0.084;-0.219;-0.671;0.61;0.16
0.62;-1.035;0.086;-0.221;-0.793;0.663;0.191
0.63;-1.032;0.084;-0.216;-0.877;0.701;0.16
0.64;-1.035;0.085;-0.219;-0.648;0.48;0.175
0.65;-1.035;0.085;-0.221;-0.282;0.351;0.091
0.66;-1.032;0.084;-0.22;-0.061;0.396;0.03
0.67;-1.03;0.082;-0.224;-0.015;0.526;-0.053
0.68;-1.032;0.08;-0.224;0.099;0.45;-0.206
0.69;-1.031;0.084;-0.22;0.206;0.45;-0.16
0.7;-1.031;0.088;-0.22;0;0.389;-0.168
0.71;-1.032;0.089;-0.22;-0.191;0.412;-0.152
0.72;-1.031;0.088;-0.218;-0.442;0.61;-0.107
0.73;-1.032;0.088;-0.22;-0.595;0.602;-0.13
0.74;-1.033;0.086;-0.222;-0.64;0.595;-0.221
0.75;-1.034;0.08;-0.221;-0.495;0.694;-0.335
0.76;-1.032;0.076;-0.221;-0.335;0.579;-0.328
0.77;-1.036;0.077;-0.221;-0.274;0.511;-0.244
0.78;-1.036;0.078;-0.222;-0.084;0.473;-0.206
0.79;-1.036;0.083;-0.224;0.076;0.427;-0.076
0.8;-1.033;0.085;-0.224;0.114;0.495;0.046
0.81;-1.029;0.084;-0.224;0.168;0.716;0.145
0.82;-1.03;0.081;-0.224;0.396;0.861;0.038
0.83;-1.032;0.079;-0.224;0.465;0.854;0
0.84;-1.031;0.083;-0.225;0.351;0.762;-0.046
0.85;-1.033;0.083;-0.224;0.343;0.678;-0.137
0.86;-1.032;0.083;-0.228;0.312;0.686;-0.183
0.87;-1.029;0.081;-0.222;0.221;0.762;-0.267
0.88;-1.034;0.084;-0.221;-0.29;0.724;-0.358
0.89;-1.036;0.084;-0.222;-0.93;0.633;-0.358
0.9;-1.035;0.079;-0.219;-0.655;0.488;-0.282
0.91;-1.033;0.077;-0.219;-0.328;0.373;-0.221
0.92;-1.032;0.082;-0.22;-0.076;0.32;-0.076
0.93;-1.028;0.085;-0.219;0.13;0.366;-0.091
0.94;-1.031;0.085;-0.219;-0.076;0.526;-0.122
0.95;-1.034;0.085;-0.22;-0.191;0.678;-0.152
0.96;-1.036;0.084;-0.221;-0.084;0.709;-0.152
