epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681555722945,2023-04-15T12.48.42.945,0.000,-1.022,0.077,-0.207
1681555722955,2023-04-15T12.48.42.955,0.010,-1.036,0.079,-0.209
1681555722965,2023-04-15T12.48.42.965,0.020,-1.039,0.083,-0.215
1681555722975,2023-04-15T12.48.42.975,0.030,-1.039,0.084,-0.217
1681555722985,2023-04-15T12.48.42.985,0.040,-1.037,0.080,-0.217
1681555722995,2023-04-15T12.48.42.995,0.050,-1.031,0.078,-0.218
1681555723005,2023-04-15T12.48.43.005,0.060,-1.028,0.078,-0.216
1681555723015,2023-04-15T12.48.43.015,0.070,-1.027,0.081,-0.219
1681555723025,2023-04-15T12.48.43.025,0.080,-1.031,0.086,-0.218
1681555723035,2023-04-15T12.48.43.035,0.090,-1.033,0.086,-0.217
1681555723045,2023-04-15T12.48.43.045,0.100,-1.033,0.087,-0.217
1681555723055,2023-04-15T12.48.43.055,0.110,-1.035,0.082,-0.212
1681555723065,2023-04-15T12.48.43.065,0.120,-1.042,0.080,-0.209
1681555723075,2023-04-15T12.48.43.075,0.130,-1.045,0.081,-0.208
1681555723085,2023-04-15T12.48.43.085,0.140,-1.039,0.082,-0.210
1681555723095,2023-04-15T12.48.43.095,0.150,-1.038,0.081,-0.210
1681555723105,2023-04-15T12.48.43.105,0.160,-1.034,0.079,-0.209
1681555723115,2023-04-15T12.48.43.115,0.170,-1.028,0.082,-0.208
1681555723125,2023-04-15T12.48.43.125,0.180,-1.026,0.079,-0.212
1681555723135,2023-04-15T12.48.43.135,0.190,-1.033,0.077,-0.213
1681555723145,2023-04-15T12.48.43.145,0.200,-1.041,0.075,-0.215
1681555723155,2023-04-15T12.48.43.155,0.210,-1.046,0.075,-0.214
1681555723165,2023-04-15T12.48.43.165,0.220,-1.042,0.073,-0.213
1681555723175,2023-04-15T12.48.43.175,0.230,-1.037,0.073,-0.217
1681555723185,2023-04-15T12.48.43.185,0.240,-1.034,0.073,-0.219
1681555723195,2023-04-15T12.48.43.195,0.250,-1.031,0.075,-0.221
1681555723205,2023-04-15T12.48.43.205,0.260,-1.034,0.078,-0.222
1681555723215,2023-04-15T12.48.43.215,0.270,-1.030,0.080,-0.220
1681555723225,2023-04-15T12.48.43.225,0.280,-1.034,0.080,-0.222
1681555723235,2023-04-15T12.48.43.235,0.290,-1.029,0.081,-0.224
1681555723245,2023-04-15T12.48.43.245,0.300,-1.028,0.080,-0.226
