epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1681555722947,2023-04-15T12.48.42.947,0.000,1.311,1.288,-0.549
1681555722957,2023-04-15T12.48.42.957,0.010,0.983,0.998,-0.610
1681555722967,2023-04-15T12.48.42.967,0.020,0.534,1.006,-0.320
1681555722977,2023-04-15T12.48.42.977,0.030,0.053,0.983,-0.038
1681555722987,2023-04-15T12.48.42.987,0.040,0.137,0.998,0.084
1681555722997,2023-04-15T12.48.42.997,0.050,0.823,1.212,0.145
1681555723007,2023-04-15T12.48.43.007,0.060,1.189,1.494,0.130
1681555723017,2023-04-15T12.48.43.017,0.070,1.242,1.913,0.015
1681555723027,2023-04-15T12.48.43.027,0.080,1.029,2.210,-0.160
1681555723037,2023-04-15T12.48.43.037,0.090,0.473,2.386,-0.297
1681555723047,2023-04-15T12.48.43.047,0.100,-0.351,2.370,-0.259
1681555723057,2023-04-15T12.48.43.057,0.110,-1.204,1.921,-0.373
1681555723067,2023-04-15T12.48.43.067,0.120,-1.845,1.227,-0.488
1681555723077,2023-04-15T12.48.43.077,0.130,-2.226,0.709,-0.267
1681555723087,2023-04-15T12.48.43.087,0.140,-2.287,0.755,-0.099
1681555723097,2023-04-15T12.48.43.097,0.150,-2.111,0.899,-0.137
1681555723107,2023-04-15T12.48.43.107,0.160,-1.723,1.067,-0.191
1681555723117,2023-04-15T12.48.43.117,0.170,-1.532,1.555,-0.206
1681555723127,2023-04-15T12.48.43.127,0.180,-1.463,1.997,-0.351
1681555723137,2023-04-15T12.48.43.137,0.190,-1.502,1.997,-0.290
1681555723147,2023-04-15T12.48.43.147,0.200,-1.471,1.662,-0.137
1681555723157,2023-04-15T12.48.43.157,0.210,-1.189,1.128,-0.107
1681555723167,2023-04-15T12.48.43.167,0.220,-0.640,0.892,0.038
1681555723177,2023-04-15T12.48.43.177,0.230,-0.320,0.899,0.252
1681555723187,2023-04-15T12.48.43.187,0.240,-0.168,0.777,0.404
1681555723197,2023-04-15T12.48.43.197,0.250,-0.023,0.793,0.427
1681555723207,2023-04-15T12.48.43.207,0.260,0.015,0.907,0.290
1681555723217,2023-04-15T12.48.43.217,0.270,0.030,1.181,0.343
1681555723227,2023-04-15T12.48.43.227,0.280,0.061,1.402,0.373
1681555723237,2023-04-15T12.48.43.237,0.290,0.305,1.524,0.221
1681555723247,2023-04-15T12.48.43.247,0.300,0.191,1.623,0.145
1681555723257,2023-04-15T12.48.43.257,0.310,0.030,1.761,0.221
1681555723267,2023-04-15T12.48.43.267,0.320,0.343,1.921,0.358
1681555723277,2023-04-15T12.48.43.277,0.330,0.503,2.119,0.396
1681555723287,2023-04-15T12.48.43.287,0.340,0.518,2.401,0.419
1681555723297,2023-04-15T12.48.43.297,0.350,0.312,2.538,0.328
1681555723307,2023-04-15T12.48.43.307,0.360,0.038,2.386,0.023
1681555723317,2023-04-15T12.48.43.317,0.370,-0.412,1.982,-0.099
1681555723327,2023-04-15T12.48.43.327,0.380,-0.938,1.517,-0.145
1681555723337,2023-04-15T12.48.43.337,0.390,-1.395,1.258,-0.023
1681555723347,2023-04-15T12.48.43.347,0.400,-1.646,0.930,0.023
1681555723357,2023-04-15T12.48.43.357,0.410,-1.692,0.800,-0.008
1681555723367,2023-04-15T12.48.43.367,0.420,-1.319,0.701,0.076
1681555723377,2023-04-15T12.48.43.377,0.430,-0.579,0.572,0.038
1681555723387,2023-04-15T12.48.43.387,0.440,0.023,0.556,0.114
1681555723397,2023-04-15T12.48.43.397,0.450,0.404,0.518,0.366
1681555723407,2023-04-15T12.48.43.407,0.460,0.183,0.602,0.450
1681555723417,2023-04-15T12.48.43.417,0.470,-0.008,0.701,0.404
1681555723427,2023-04-15T12.48.43.427,0.480,0.015,0.534,0.427
1681555723437,2023-04-15T12.48.43.437,0.490,0.343,0.091,0.381
1681555723447,2023-04-15T12.48.43.447,0.500,0.564,0.084,0.320
1681555723457,2023-04-15T12.48.43.457,0.510,0.488,0.358,0.434
1681555723467,2023-04-15T12.48.43.467,0.520,0.534,0.488,0.404
1681555723477,2023-04-15T12.48.43.477,0.530,0.442,0.732,0.145
1681555723487,2023-04-15T12.48.43.487,0.540,0.244,0.831,-0.008
1681555723497,2023-04-15T12.48.43.497,0.550,-0.030,0.785,-0.053
1681555723507,2023-04-15T12.48.43.507,0.560,-0.343,0.716,-0.023
1681555723517,2023-04-15T12.48.43.517,0.570,-0.564,0.564,0.038
1681555723527,2023-04-15T12.48.43.527,0.580,-0.473,0.686,0.053
1681555723537,2023-04-15T12.48.43.537,0.590,-0.465,0.595,0.030
1681555723547,2023-04-15T12.48.43.547,0.600,-0.678,0.396,0.107
1681555723557,2023-04-15T12.48.43.557,0.610,-0.671,0.610,0.160
1681555723567,2023-04-15T12.48.43.567,0.620,-0.793,0.663,0.191
1681555723577,2023-04-15T12.48.43.577,0.630,-0.877,0.701,0.160
1681555723587,2023-04-15T12.48.43.587,0.640,-0.648,0.480,0.175
1681555723597,2023-04-15T12.48.43.597,0.650,-0.282,0.351,0.091
1681555723607,2023-04-15T12.48.43.607,0.660,-0.061,0.396,0.030
1681555723617,2023-04-15T12.48.43.617,0.670,-0.015,0.526,-0.053
1681555723627,2023-04-15T12.48.43.627,0.680,0.099,0.450,-0.206
1681555723637,2023-04-15T12.48.43.637,0.690,0.206,0.450,-0.160
1681555723647,2023-04-15T12.48.43.647,0.700,0.000,0.389,-0.168
1681555723657,2023-04-15T12.48.43.657,0.710,-0.191,0.412,-0.152
1681555723667,2023-04-15T12.48.43.667,0.720,-0.442,0.610,-0.107
1681555723677,2023-04-15T12.48.43.677,0.730,-0.595,0.602,-0.130
1681555723687,2023-04-15T12.48.43.687,0.740,-0.640,0.595,-0.221
1681555723697,2023-04-15T12.48.43.697,0.750,-0.495,0.694,-0.335
1681555723707,2023-04-15T12.48.43.707,0.760,-0.335,0.579,-0.328
1681555723717,2023-04-15T12.48.43.717,0.770,-0.274,0.511,-0.244
1681555723727,2023-04-15T12.48.43.727,0.780,-0.084,0.473,-0.206
1681555723737,2023-04-15T12.48.43.737,0.790,0.076,0.427,-0.076
1681555723747,2023-04-15T12.48.43.747,0.800,0.114,0.495,0.046
1681555723757,2023-04-15T12.48.43.757,0.810,0.168,0.716,0.145
1681555723767,2023-04-15T12.48.43.767,0.820,0.396,0.861,0.038
1681555723777,2023-04-15T12.48.43.777,0.830,0.465,0.854,0.000
1681555723787,2023-04-15T12.48.43.787,0.840,0.351,0.762,-0.046
1681555723797,2023-04-15T12.48.43.797,0.850,0.343,0.678,-0.137
1681555723807,2023-04-15T12.48.43.807,0.860,0.312,0.686,-0.183
1681555723817,2023-04-15T12.48.43.817,0.870,0.221,0.762,-0.267
1681555723827,2023-04-15T12.48.43.827,0.880,-0.290,0.724,-0.358
1681555723837,2023-04-15T12.48.43.837,0.890,-0.930,0.633,-0.358
1681555723847,2023-04-15T12.48.43.847,0.900,-0.655,0.488,-0.282
1681555723857,2023-04-15T12.48.43.857,0.910,-0.328,0.373,-0.221
1681555723867,2023-04-15T12.48.43.867,0.920,-0.076,0.320,-0.076
1681555723877,2023-04-15T12.48.43.877,0.930,0.130,0.366,-0.091
1681555723887,2023-04-15T12.48.43.887,0.940,-0.076,0.526,-0.122
1681555723897,2023-04-15T12.48.43.897,0.950,-0.191,0.678,-0.152
1681555723907,2023-04-15T12.48.43.907,0.960,-0.084,0.709,-0.152
1681555723917,2023-04-15T12.48.43.917,0.970,-0.023,0.655,-0.168
1681555723927,2023-04-15T12.48.43.927,0.980,0.229,0.412,-0.076
1681555723937,2023-04-15T12.48.43.937,0.990,0.404,0.335,-0.038
1681555723947,2023-04-15T12.48.43.947,1.000,0.640,0.450,-0.084
1681555723957,2023-04-15T12.48.43.957,1.010,0.648,0.541,-0.053
1681555723967,2023-04-15T12.48.43.967,1.020,0.404,0.396,-0.099
1681555723977,2023-04-15T12.48.43.977,1.030,0.122,0.244,-0.152
