epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1680986863033,2023-04-08T22:47:43.033,0.000,161.560,-71.090,-0.000,-0.000
1680986863043,2023-04-08T22:47:43.043,0.010,161.560,-71.089,0.002,0.002
1680986863053,2023-04-08T22:47:43.053,0.020,161.573,-71.098,359.993,359.993
1680986863063,2023-04-08T22:47:43.063,0.030,161.573,-71.098,359.993,359.993
1680986863073,2023-04-08T22:47:43.073,0.040,161.573,-71.098,359.993,359.993
1680986863083,2023-04-08T22:47:43.083,0.050,161.573,-71.098,359.993,359.993
1680986863093,2023-04-08T22:47:43.093,0.060,161.573,-71.098,359.993,359.993
1680986863103,2023-04-08T22:47:43.103,0.070,161.579,-71.105,359.992,359.992
1680986863113,2023-04-08T22:47:43.113,0.080,161.579,-71.103,359.994,359.994
1680986863123,2023-04-08T22:47:43.123,0.090,161.580,-71.102,359.996,359.996
1680986863133,2023-04-08T22:47:43.133,0.100,161.580,-71.101,359.999,359.999
1680986863143,2023-04-08T22:47:43.143,0.110,161.581,-71.100,0.001,0.001
1680986863153,2023-04-08T22:47:43.153,0.120,161.582,-71.099,0.003,0.003
1680986863163,2023-04-08T22:47:43.163,0.130,161.582,-71.097,0.005,0.005
1680986863173,2023-04-08T22:47:43.173,0.140,161.582,-71.098,0.005,0.005
1680986863183,2023-04-08T22:47:43.183,0.150,161.590,-71.105,359.997,359.997
1680986863193,2023-04-08T22:47:43.193,0.160,161.596,-71.111,359.996,359.996
1680986863203,2023-04-08T22:47:43.203,0.170,161.596,-71.112,0.004,0.004
1680986863213,2023-04-08T22:47:43.213,0.180,161.595,-71.112,0.012,0.012
1680986863223,2023-04-08T22:47:43.223,0.190,161.595,-71.112,0.019,0.019
1680986863233,2023-04-08T22:47:43.233,0.200,161.595,-71.112,0.026,0.026
1680986863243,2023-04-08T22:47:43.243,0.210,161.594,-71.112,0.033,0.033
1680986863253,2023-04-08T22:47:43.253,0.220,161.594,-71.111,0.035,0.035
1680986863263,2023-04-08T22:47:43.263,0.230,161.594,-71.109,0.037,0.037
1680986863273,2023-04-08T22:47:43.273,0.240,161.594,-71.108,0.040,0.040
1680986863283,2023-04-08T22:47:43.283,0.250,161.594,-71.106,0.042,0.042
1680986863293,2023-04-08T22:47:43.293,0.260,161.595,-71.105,0.044,0.044
1680986863303,2023-04-08T22:47:43.303,0.270,161.595,-71.104,0.046,0.046
1680986863313,2023-04-08T22:47:43.313,0.280,161.595,-71.103,0.048,0.048
1680986863323,2023-04-08T22:47:43.323,0.290,161.596,-71.101,0.051,0.051
1680986863333,2023-04-08T22:47:43.333,0.300,161.596,-71.099,0.053,0.053
1680986863343,2023-04-08T22:47:43.343,0.310,161.596,-71.097,0.056,0.056
1680986863353,2023-04-08T22:47:43.353,0.320,161.596,-71.095,0.059,0.059
1680986863363,2023-04-08T22:47:43.363,0.330,161.597,-71.094,0.055,0.055
1680986863373,2023-04-08T22:47:43.373,0.340,161.598,-71.092,0.048,0.048
1680986863383,2023-04-08T22:47:43.383,0.350,161.599,-71.091,0.041,0.041
1680986863393,2023-04-08T22:47:43.393,0.360,161.599,-71.091,0.041,0.041
1680986863403,2023-04-08T22:47:43.403,0.370,161.599,-71.091,0.041,0.041
1680986863413,2023-04-08T22:47:43.413,0.380,161.598,-71.089,0.044,0.044
1680986863423,2023-04-08T22:47:43.423,0.390,161.598,-71.087,0.046,0.046
1680986863433,2023-04-08T22:47:43.433,0.400,161.598,-71.085,0.049,0.049
1680986863443,2023-04-08T22:47:43.443,0.410,161.598,-71.084,0.052,0.052
1680986863453,2023-04-08T22:47:43.453,0.420,161.599,-71.082,0.054,0.054
1680986863463,2023-04-08T22:47:43.463,0.430,161.599,-71.081,0.057,0.057
1680986863473,2023-04-08T22:47:43.473,0.440,161.599,-71.079,0.059,0.059
1680986863483,2023-04-08T22:47:43.483,0.450,161.599,-71.078,0.061,0.061
1680986863493,2023-04-08T22:47:43.493,0.460,161.599,-71.076,0.063,0.063
1680986863503,2023-04-08T22:47:43.503,0.470,161.599,-71.074,0.066,0.066
1680986863513,2023-04-08T22:47:43.513,0.480,161.599,-71.073,0.069,0.069
1680986863523,2023-04-08T22:47:43.523,0.490,161.599,-71.071,0.071,0.071
1680986863533,2023-04-08T22:47:43.533,0.500,161.600,-71.070,0.073,0.073
1680986863543,2023-04-08T22:47:43.543,0.510,161.600,-71.071,0.066,0.066
1680986863553,2023-04-08T22:47:43.553,0.520,161.601,-71.071,0.066,0.066
1680986863563,2023-04-08T22:47:43.563,0.530,161.601,-71.071,0.066,0.066
1680986863573,2023-04-08T22:47:43.573,0.540,161.601,-71.071,0.066,0.066
1680986863583,2023-04-08T22:47:43.583,0.550,161.601,-71.071,0.065,0.065
1680986863593,2023-04-08T22:47:43.593,0.560,161.601,-71.071,0.066,0.066
1680986863603,2023-04-08T22:47:43.603,0.570,161.601,-71.070,0.068,0.068
1680986863613,2023-04-08T22:47:43.613,0.580,161.601,-71.068,0.071,0.071
1680986863623,2023-04-08T22:47:43.623,0.590,161.601,-71.066,0.073,0.073
1680986863633,2023-04-08T22:47:43.633,0.600,161.600,-71.065,0.076,0.076
1680986863643,2023-04-08T22:47:43.643,0.610,161.600,-71.063,0.078,0.078
1680986863653,2023-04-08T22:47:43.653,0.620,161.607,-71.070,0.071,0.071
1680986863663,2023-04-08T22:47:43.663,0.630,161.614,-71.075,0.066,0.066
1680986863673,2023-04-08T22:47:43.673,0.640,161.621,-71.081,0.061,0.061
1680986863683,2023-04-08T22:47:43.683,0.650,161.629,-71.086,0.056,0.056
1680986863693,2023-04-08T22:47:43.693,0.660,161.635,-71.093,0.050,0.050
1680986863703,2023-04-08T22:47:43.703,0.670,161.642,-71.099,0.043,0.043
1680986863713,2023-04-08T22:47:43.713,0.680,161.649,-71.107,0.036,0.036
1680986863723,2023-04-08T22:47:43.723,0.690,161.657,-71.114,0.028,0.028
1680986863733,2023-04-08T22:47:43.733,0.700,161.666,-71.123,0.019,0.019
1680986863743,2023-04-08T22:47:43.743,0.710,161.675,-71.132,0.009,0.009
1680986863753,2023-04-08T22:47:43.753,0.720,161.684,-71.141,0.000,0.000
1680986863763,2023-04-08T22:47:43.763,0.730,161.694,-71.150,359.990,359.990
1680986863773,2023-04-08T22:47:43.773,0.740,161.704,-71.161,359.979,359.979
1680986863783,2023-04-08T22:47:43.783,0.750,161.715,-71.170,359.969,359.969
1680986863793,2023-04-08T22:47:43.793,0.760,161.725,-71.181,359.958,359.958
1680986863803,2023-04-08T22:47:43.803,0.770,161.736,-71.192,359.948,359.948
1680986863813,2023-04-08T22:47:43.813,0.780,161.747,-71.202,359.936,359.936
1680986863823,2023-04-08T22:47:43.823,0.790,161.758,-71.213,359.934,359.934
1680986863833,2023-04-08T22:47:43.833,0.800,161.769,-71.225,359.933,359.933
1680986863843,2023-04-08T22:47:43.843,0.810,161.781,-71.236,359.933,359.933
1680986863853,2023-04-08T22:47:43.853,0.820,161.793,-71.248,359.935,359.935
1680986863863,2023-04-08T22:47:43.863,0.830,161.805,-71.259,359.937,359.937
1680986863873,2023-04-08T22:47:43.873,0.840,161.817,-71.270,359.938,359.938
1680986863883,2023-04-08T22:47:43.883,0.850,161.830,-71.283,359.933,359.933
1680986863893,2023-04-08T22:47:43.893,0.860,161.842,-71.296,359.926,359.926
1680986863903,2023-04-08T22:47:43.903,0.870,161.856,-71.309,359.912,359.912
1680986863913,2023-04-08T22:47:43.913,0.880,161.869,-71.322,359.899,359.899
1680986863923,2023-04-08T22:47:43.923,0.890,161.880,-71.334,359.896,359.896
1680986863933,2023-04-08T22:47:43.933,0.900,161.891,-71.345,359.896,359.896
1680986863943,2023-04-08T22:47:43.943,0.910,161.903,-71.357,359.894,359.894
1680986863953,2023-04-08T22:47:43.953,0.920,161.915,-71.368,359.891,359.891
