epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1681470278381,2023-04-14T13:04:38.381,0.000,-175.474,-70.903,0.060,0.060
1681470278391,2023-04-14T13:04:38.391,0.010,-175.482,-70.901,0.124,0.124
1681470278401,2023-04-14T13:04:38.401,0.020,-175.494,-70.898,0.208,0.208
1681470278411,2023-04-14T13:04:38.411,0.030,-175.509,-70.895,0.316,0.316
1681470278421,2023-04-14T13:04:38.421,0.040,-175.528,-70.898,0.441,0.441
1681470278431,2023-04-14T13:04:38.431,0.050,-175.546,-70.905,0.579,0.579
1681470278441,2023-04-14T13:04:38.441,0.060,-175.564,-70.915,0.721,0.721
1681470278451,2023-04-14T13:04:38.451,0.070,-175.582,-70.927,0.867,0.867
1681470278461,2023-04-14T13:04:38.461,0.080,-175.600,-70.942,1.018,1.018
1681470278471,2023-04-14T13:04:38.471,0.090,-175.620,-70.959,1.174,1.174
1681470278481,2023-04-14T13:04:38.481,0.100,-175.638,-70.980,1.334,1.334
1681470278491,2023-04-14T13:04:38.491,0.110,-175.657,-71.006,1.505,1.505
1681470278501,2023-04-14T13:04:38.501,0.120,-175.673,-71.033,1.682,1.682
1681470278511,2023-04-14T13:04:38.511,0.130,-175.689,-71.060,1.868,1.868
1681470278521,2023-04-14T13:04:38.521,0.140,-175.707,-71.088,2.065,2.065
1681470278531,2023-04-14T13:04:38.531,0.150,-175.725,-71.116,2.265,2.265
1681470278541,2023-04-14T13:04:38.541,0.160,-175.742,-71.143,2.468,2.468
1681470278551,2023-04-14T13:04:38.551,0.170,-175.757,-71.170,2.665,2.665
1681470278561,2023-04-14T13:04:38.561,0.180,-175.771,-71.197,2.857,2.857
1681470278571,2023-04-14T13:04:38.571,0.190,-175.781,-71.221,3.036,3.036
1681470278581,2023-04-14T13:04:38.581,0.200,-175.784,-71.240,3.194,3.194
1681470278591,2023-04-14T13:04:38.591,0.210,-175.782,-71.257,3.333,3.333
1681470278601,2023-04-14T13:04:38.601,0.220,-175.776,-71.271,3.447,3.447
1681470278611,2023-04-14T13:04:38.611,0.230,-175.767,-71.284,3.538,3.538
1681470278621,2023-04-14T13:04:38.621,0.240,-175.755,-71.300,3.613,3.613
1681470278631,2023-04-14T13:04:38.631,0.250,-175.742,-71.319,3.678,3.678
1681470278641,2023-04-14T13:04:38.641,0.260,-175.726,-71.339,3.735,3.735
1681470278651,2023-04-14T13:04:38.651,0.270,-175.712,-71.359,3.789,3.789
1681470278661,2023-04-14T13:04:38.661,0.280,-175.699,-71.380,3.845,3.845
1681470278671,2023-04-14T13:04:38.671,0.290,-175.690,-71.402,3.908,3.908
1681470278681,2023-04-14T13:04:38.681,0.300,-175.682,-71.424,3.974,3.974
1681470278691,2023-04-14T13:04:38.691,0.310,-175.674,-71.447,4.042,4.042
1681470278701,2023-04-14T13:04:38.701,0.320,-175.667,-71.470,4.108,4.108
1681470278711,2023-04-14T13:04:38.711,0.330,-175.659,-71.494,4.163,4.163
1681470278721,2023-04-14T13:04:38.721,0.340,-175.646,-71.523,4.198,4.198
1681470278731,2023-04-14T13:04:38.731,0.350,-175.626,-71.556,4.208,4.208
1681470278741,2023-04-14T13:04:38.741,0.360,-175.605,-71.590,4.204,4.204
1681470278751,2023-04-14T13:04:38.751,0.370,-175.585,-71.621,4.195,4.195
1681470278761,2023-04-14T13:04:38.761,0.380,-175.564,-71.652,4.186,4.186
1681470278771,2023-04-14T13:04:38.771,0.390,-175.542,-71.688,4.181,4.181
1681470278781,2023-04-14T13:04:38.781,0.400,-175.524,-71.728,4.185,4.185
1681470278791,2023-04-14T13:04:38.791,0.410,-175.511,-71.769,4.197,4.197
