epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1681469968927,2023-04-14T12:59:28.927,0.000,0.221,0.648,-0.793
1681469968937,2023-04-14T12:59:28.937,0.010,0.091,0.808,-0.053
1681469968947,2023-04-14T12:59:28.947,0.020,-0.236,0.762,-0.114
1681469968957,2023-04-14T12:59:28.957,0.030,-0.503,0.892,-0.084
1681469968967,2023-04-14T12:59:28.967,0.040,-0.366,0.922,0.046
1681469968977,2023-04-14T12:59:28.977,0.050,-0.061,0.808,0.084
1681469968987,2023-04-14T12:59:28.987,0.060,0.351,0.701,0.084
1681469968997,2023-04-14T12:59:28.997,0.070,1.021,0.640,0.122
1681469969007,2023-04-14T12:59:29.007,0.080,1.532,0.579,0.099
1681469969017,2023-04-14T12:59:29.017,0.090,1.814,0.617,0.175
1681469969027,2023-04-14T12:59:29.027,0.100,1.745,0.625,0.206
1681469969037,2023-04-14T12:59:29.037,0.110,1.547,0.655,0.290
1681469969047,2023-04-14T12:59:29.047,0.120,1.341,0.846,0.480
1681469969057,2023-04-14T12:59:29.057,0.130,0.976,0.838,0.579
1681469969067,2023-04-14T12:59:29.067,0.140,0.747,0.777,0.716
1681469969077,2023-04-14T12:59:29.077,0.150,0.671,0.732,0.777
1681469969087,2023-04-14T12:59:29.087,0.160,0.595,0.640,0.800
1681469969097,2023-04-14T12:59:29.097,0.170,0.412,0.602,0.724
1681469969107,2023-04-14T12:59:29.107,0.180,0.213,0.480,0.610
1681469969117,2023-04-14T12:59:29.117,0.190,-0.008,0.267,0.495
1681469969127,2023-04-14T12:59:29.127,0.200,-0.290,0.305,0.381
1681469969137,2023-04-14T12:59:29.137,0.210,-0.556,0.320,0.381
1681469969147,2023-04-14T12:59:29.147,0.220,-0.610,0.320,0.358
1681469969157,2023-04-14T12:59:29.157,0.230,-0.640,0.518,0.480
1681469969167,2023-04-14T12:59:29.167,0.240,-0.595,0.572,0.503
1681469969177,2023-04-14T12:59:29.177,0.250,-0.389,0.625,0.473
1681469969187,2023-04-14T12:59:29.187,0.260,-0.107,0.701,0.412
1681469969197,2023-04-14T12:59:29.197,0.270,0.084,0.610,0.427
1681469969207,2023-04-14T12:59:29.207,0.280,0.030,0.419,0.427
1681469969217,2023-04-14T12:59:29.217,0.290,0.099,0.381,0.427
1681469969227,2023-04-14T12:59:29.227,0.300,0.099,0.252,0.495
1681469969237,2023-04-14T12:59:29.237,0.310,0.198,0.061,0.511
1681469969247,2023-04-14T12:59:29.247,0.320,0.305,-0.137,0.541
1681469969257,2023-04-14T12:59:29.257,0.330,0.495,-0.404,0.556
1681469969267,2023-04-14T12:59:29.267,0.340,1.037,-0.663,0.419
1681469969277,2023-04-14T12:59:29.277,0.350,1.502,-0.747,0.366
1681469969287,2023-04-14T12:59:29.287,0.360,1.738,-0.907,0.183
1681469969297,2023-04-14T12:59:29.297,0.370,1.806,-1.006,0.175
1681469969307,2023-04-14T12:59:29.307,0.380,1.677,-0.915,0.259
1681469969317,2023-04-14T12:59:29.317,0.390,1.441,-0.701,0.290
1681469969327,2023-04-14T12:59:29.327,0.400,1.303,-0.762,0.404
1681469969337,2023-04-14T12:59:29.337,0.410,1.418,-0.770,0.488
1681469969347,2023-04-14T12:59:29.347,0.420,1.623,-0.755,0.511
1681469969357,2023-04-14T12:59:29.357,0.430,1.768,-0.755,0.473
1681469969367,2023-04-14T12:59:29.367,0.440,2.119,-0.724,0.427
1681469969377,2023-04-14T12:59:29.377,0.450,2.439,-0.701,0.427
1681469969387,2023-04-14T12:59:29.387,0.460,2.500,-0.716,0.488
1681469969397,2023-04-14T12:59:29.397,0.470,2.348,-0.694,0.640
1681469969407,2023-04-14T12:59:29.407,0.480,1.875,-0.518,0.640
1681469969417,2023-04-14T12:59:29.417,0.490,1.425,-0.412,0.671
1681469969427,2023-04-14T12:59:29.427,0.500,0.945,-0.366,0.762
1681469969437,2023-04-14T12:59:29.437,0.510,0.465,-0.229,0.907
1681469969447,2023-04-14T12:59:29.447,0.520,0.252,-0.175,0.816
1681469969457,2023-04-14T12:59:29.457,0.530,0.229,-0.137,0.861
1681469969467,2023-04-14T12:59:29.467,0.540,0.229,-0.099,0.960
1681469969477,2023-04-14T12:59:29.477,0.550,0.183,-0.091,0.930
1681469969487,2023-04-14T12:59:29.487,0.560,0.030,-0.229,0.831
1681469969497,2023-04-14T12:59:29.497,0.570,-0.091,-0.320,0.762
1681469969507,2023-04-14T12:59:29.507,0.580,-0.328,-0.366,0.701
1681469969517,2023-04-14T12:59:29.517,0.590,-0.633,-0.305,0.648
1681469969527,2023-04-14T12:59:29.527,0.600,-0.907,-0.069,0.572
1681469969537,2023-04-14T12:59:29.537,0.610,-1.174,0.175,0.473
1681469969547,2023-04-14T12:59:29.547,0.620,-1.151,0.305,0.549
1681469969557,2023-04-14T12:59:29.557,0.630,-1.006,0.419,0.473
1681469969567,2023-04-14T12:59:29.567,0.640,-0.968,0.572,0.351
1681469969577,2023-04-14T12:59:29.577,0.650,-0.785,0.678,0.434
1681469969587,2023-04-14T12:59:29.587,0.660,-0.671,0.724,0.579
1681469969597,2023-04-14T12:59:29.597,0.670,-1.037,0.732,0.526
1681469969607,2023-04-14T12:59:29.607,0.680,-1.273,0.816,0.511
1681469969617,2023-04-14T12:59:29.617,0.690,-1.303,0.793,0.625
1681469969627,2023-04-14T12:59:29.627,0.700,-1.181,0.907,0.587
1681469969637,2023-04-14T12:59:29.637,0.710,-0.770,0.938,0.572
1681469969647,2023-04-14T12:59:29.647,0.720,-0.351,1.037,0.534
1681469969657,2023-04-14T12:59:29.657,0.730,0.023,1.120,0.526
1681469969667,2023-04-14T12:59:29.667,0.740,0.259,1.006,0.518
1681469969677,2023-04-14T12:59:29.677,0.750,0.404,0.899,0.602
1681469969687,2023-04-14T12:59:29.687,0.760,0.343,0.930,0.648
1681469969697,2023-04-14T12:59:29.697,0.770,0.419,0.800,0.732
1681469969707,2023-04-14T12:59:29.707,0.780,0.541,0.800,0.701
1681469969717,2023-04-14T12:59:29.717,0.790,0.686,0.938,0.678
1681469969727,2023-04-14T12:59:29.727,0.800,0.922,0.861,0.564
1681469969737,2023-04-14T12:59:29.737,0.810,0.991,0.976,0.556
1681469969747,2023-04-14T12:59:29.747,0.820,0.831,1.067,0.473
1681469969757,2023-04-14T12:59:29.757,0.830,0.633,1.204,0.396
1681469969767,2023-04-14T12:59:29.767,0.840,0.313,1.341,0.396
1681469969777,2023-04-14T12:59:29.777,0.850,0.030,1.456,0.267
1681469969787,2023-04-14T12:59:29.787,0.860,-0.244,1.456,0.335
1681469969797,2023-04-14T12:59:29.797,0.870,-0.351,1.395,0.358
1681469969807,2023-04-14T12:59:29.807,0.880,-0.191,1.486,0.366
1681469969817,2023-04-14T12:59:29.817,0.890,-0.046,1.486,0.366
1681469969827,2023-04-14T12:59:29.827,0.900,0.099,1.395,0.358
1681469969837,2023-04-14T12:59:29.837,0.910,0.130,1.258,0.434
1681469969847,2023-04-14T12:59:29.847,0.920,0.076,1.204,0.389
1681469969857,2023-04-14T12:59:29.857,0.930,-0.122,1.105,0.511
1681469969867,2023-04-14T12:59:29.867,0.940,-0.175,0.960,0.625
1681469969877,2023-04-14T12:59:29.877,0.950,-0.229,0.968,0.595
1681469969887,2023-04-14T12:59:29.887,0.960,-0.290,0.877,0.488
1681469969897,2023-04-14T12:59:29.897,0.970,-0.335,0.785,0.549
1681469969907,2023-04-14T12:59:29.907,0.980,-0.419,0.831,0.541
1681469969917,2023-04-14T12:59:29.917,0.990,-0.556,0.861,0.473
1681469969927,2023-04-14T12:59:29.927,1.000,-0.633,0.884,0.480
1681469969937,2023-04-14T12:59:29.937,1.010,-0.770,0.701,0.434
1681469969947,2023-04-14T12:59:29.947,1.020,-1.090,0.564,0.427
1681469969957,2023-04-14T12:59:29.957,1.030,-1.395,0.518,0.518
1681469969967,2023-04-14T12:59:29.967,1.040,-1.326,0.457,0.488
1681469969977,2023-04-14T12:59:29.977,1.050,-0.945,0.427,0.434
1681469969987,2023-04-14T12:59:29.987,1.060,-0.396,0.351,0.450
1681469969997,2023-04-14T12:59:29.997,1.070,0.221,0.236,0.320
1681469970007,2023-04-14T12:59:30.007,1.080,0.930,0.145,0.404
1681469970017,2023-04-14T12:59:30.017,1.090,1.143,-0.061,0.534
1681469970027,2023-04-14T12:59:30.027,1.100,0.755,-0.191,0.579
1681469970037,2023-04-14T12:59:30.037,1.110,0.404,-0.175,0.625
1681469970047,2023-04-14T12:59:30.047,1.120,-0.038,-0.008,0.678
1681469970057,2023-04-14T12:59:30.057,1.130,-0.442,-0.091,0.671
1681469970067,2023-04-14T12:59:30.067,1.140,-0.526,-0.244,0.556
1681469970077,2023-04-14T12:59:30.077,1.150,-0.320,-0.152,0.579
1681469970087,2023-04-14T12:59:30.087,1.160,0.084,-0.152,0.709
1681469970097,2023-04-14T12:59:30.097,1.170,0.343,-0.297,0.823
1681469970107,2023-04-14T12:59:30.107,1.180,0.518,-0.366,0.831
1681469970117,2023-04-14T12:59:30.117,1.190,0.625,-0.534,0.854
1681469970127,2023-04-14T12:59:30.127,1.200,0.724,-0.572,1.021
1681469970137,2023-04-14T12:59:30.137,1.210,0.770,-0.396,1.075
1681469970147,2023-04-14T12:59:30.147,1.220,0.846,-0.313,1.090
1681469970157,2023-04-14T12:59:30.157,1.230,1.044,-0.305,1.098
1681469970167,2023-04-14T12:59:30.167,1.240,1.204,-0.183,1.082
1681469970177,2023-04-14T12:59:30.177,1.250,1.319,-0.030,1.105
1681469970187,2023-04-14T12:59:30.187,1.260,1.143,0.030,1.044
1681469970197,2023-04-14T12:59:30.197,1.270,0.694,0.274,1.014
1681469970207,2023-04-14T12:59:30.207,1.280,-0.313,0.793,1.044
1681469970217,2023-04-14T12:59:30.217,1.290,-1.090,1.166,0.945
1681469970227,2023-04-14T12:59:30.227,1.300,-1.349,1.372,0.983
1681469970237,2023-04-14T12:59:30.237,1.310,-1.959,1.989,0.686
1681469970247,2023-04-14T12:59:30.247,1.320,-2.675,2.264,0.366
1681469970257,2023-04-14T12:59:30.257,1.330,-3.064,2.454,0.274
1681469970267,2023-04-14T12:59:30.267,1.340,-3.209,2.683,0.145
1681469970277,2023-04-14T12:59:30.277,1.350,-3.331,2.919,0.160
