epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681470207586,2023-04-14T13:03:27.586,0.000,-0.981,0.048,-0.231
1681470207596,2023-04-14T13:03:27.596,0.010,-0.994,0.042,-0.239
1681470207606,2023-04-14T13:03:27.606,0.020,-0.992,0.036,-0.235
1681470207616,2023-04-14T13:03:27.616,0.030,-0.982,0.027,-0.238
1681470207626,2023-04-14T13:03:27.626,0.040,-0.981,0.030,-0.238
1681470207636,2023-04-14T13:03:27.636,0.050,-0.983,0.039,-0.231
1681470207646,2023-04-14T13:03:27.646,0.060,-0.989,0.045,-0.226
1681470207656,2023-04-14T13:03:27.656,0.070,-0.992,0.043,-0.225
1681470207666,2023-04-14T13:03:27.666,0.080,-0.994,0.042,-0.229
1681470207676,2023-04-14T13:03:27.676,0.090,-0.988,0.047,-0.220
1681470207686,2023-04-14T13:03:27.686,0.100,-0.984,0.059,-0.213
1681470207696,2023-04-14T13:03:27.696,0.110,-0.989,0.060,-0.217
1681470207706,2023-04-14T13:03:27.706,0.120,-0.993,0.053,-0.237
1681470207716,2023-04-14T13:03:27.716,0.130,-0.993,0.050,-0.241
1681470207726,2023-04-14T13:03:27.726,0.140,-0.987,0.050,-0.234
1681470207736,2023-04-14T13:03:27.736,0.150,-0.976,0.051,-0.244
1681470207746,2023-04-14T13:03:27.746,0.160,-0.979,0.055,-0.254
1681470207756,2023-04-14T13:03:27.756,0.170,-0.985,0.060,-0.253
1681470207766,2023-04-14T13:03:27.766,0.180,-0.988,0.056,-0.240
1681470207776,2023-04-14T13:03:27.776,0.190,-0.990,0.049,-0.237
1681470207786,2023-04-14T13:03:27.786,0.200,-0.990,0.047,-0.247
1681470207796,2023-04-14T13:03:27.796,0.210,-0.991,0.047,-0.250
1681470207806,2023-04-14T13:03:27.806,0.220,-0.988,0.040,-0.240
1681470207816,2023-04-14T13:03:27.816,0.230,-0.982,0.036,-0.239
1681470207826,2023-04-14T13:03:27.826,0.240,-0.979,0.042,-0.234
1681470207836,2023-04-14T13:03:27.836,0.250,-0.977,0.051,-0.232
1681470207846,2023-04-14T13:03:27.846,0.260,-0.980,0.058,-0.236
1681470207856,2023-04-14T13:03:27.856,0.270,-0.987,0.056,-0.235
1681470207866,2023-04-14T13:03:27.866,0.280,-0.988,0.054,-0.235
1681470207876,2023-04-14T13:03:27.876,0.290,-0.990,0.050,-0.239
1681470207886,2023-04-14T13:03:27.886,0.300,-0.982,0.044,-0.245
1681470207896,2023-04-14T13:03:27.896,0.310,-0.986,0.047,-0.242
1681470207906,2023-04-14T13:03:27.906,0.320,-0.984,0.047,-0.228
1681470207916,2023-04-14T13:03:27.916,0.330,-0.987,0.056,-0.220
1681470207926,2023-04-14T13:03:27.926,0.340,-0.990,0.063,-0.212
1681470207936,2023-04-14T13:03:27.936,0.350,-0.984,0.064,-0.207
