epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1685128653688,2023-05-26T21:17:33.688,0.000,-176.975,-83.174,-0.000,-0.000
1685128653698,2023-05-26T21:17:33.698,0.010,-176.968,-83.169,0.030,0.030
1685128653708,2023-05-26T21:17:33.708,0.020,-176.977,-83.170,0.066,0.066
1685128653718,2023-05-26T21:17:33.718,0.030,-176.978,-83.169,0.089,0.089
1685128653728,2023-05-26T21:17:33.728,0.040,-176.978,-83.167,0.101,0.101
1685128653738,2023-05-26T21:17:33.738,0.050,-176.976,-83.166,0.099,0.099
1685128653748,2023-05-26T21:17:33.748,0.060,-176.970,-83.162,0.093,0.093
1685128653758,2023-05-26T21:17:33.758,0.070,-176.961,-83.159,0.070,0.070
1685128653768,2023-05-26T21:17:33.768,0.080,-176.953,-83.156,0.046,0.046
1685128653778,2023-05-26T21:17:33.778,0.090,-176.945,-83.154,0.019,0.019
1685128653788,2023-05-26T21:17:33.788,0.100,-176.939,-83.154,359.997,359.997
1685128653798,2023-05-26T21:17:33.798,0.110,-176.935,-83.149,359.980,359.980
1685128653808,2023-05-26T21:17:33.808,0.120,-176.931,-83.143,359.965,359.965
1685128653818,2023-05-26T21:17:33.818,0.130,-176.934,-83.140,359.962,359.962
1685128653828,2023-05-26T21:17:33.828,0.140,-176.939,-83.136,359.966,359.966
1685128653838,2023-05-26T21:17:33.838,0.150,-176.942,-83.132,359.970,359.970
1685128653848,2023-05-26T21:17:33.848,0.160,-176.945,-83.126,359.972,359.972
1685128653858,2023-05-26T21:17:33.858,0.170,-176.947,-83.118,359.974,359.974
1685128653868,2023-05-26T21:17:33.868,0.180,-176.949,-83.110,359.975,359.975
1685128653878,2023-05-26T21:17:33.878,0.190,-176.950,-83.102,359.976,359.976
1685128653888,2023-05-26T21:17:33.888,0.200,-176.951,-83.095,359.971,359.971
1685128653898,2023-05-26T21:17:33.898,0.210,-176.953,-83.089,359.964,359.964
1685128653908,2023-05-26T21:17:33.908,0.220,-176.947,-83.079,359.950,359.950
1685128653918,2023-05-26T21:17:33.918,0.230,-176.940,-83.066,359.933,359.933
1685128653928,2023-05-26T21:17:33.928,0.240,-176.931,-83.051,359.912,359.912
1685128653938,2023-05-26T21:17:33.938,0.250,-176.919,-83.034,359.884,359.884
1685128653948,2023-05-26T21:17:33.948,0.260,-176.906,-83.015,359.854,359.854
1685128653958,2023-05-26T21:17:33.958,0.270,-176.889,-82.995,359.819,359.819
1685128653968,2023-05-26T21:17:33.968,0.280,-176.872,-82.975,359.782,359.782
1685128653978,2023-05-26T21:17:33.978,0.290,-176.855,-82.956,359.743,359.743
1685128653988,2023-05-26T21:17:33.988,0.300,-176.838,-82.937,359.701,359.701
1685128653998,2023-05-26T21:17:33.998,0.310,-176.821,-82.922,359.658,359.658
1685128654008,2023-05-26T21:17:34.008,0.320,-176.803,-82.907,359.611,359.611
1685128654018,2023-05-26T21:17:34.018,0.330,-176.788,-82.893,359.565,359.565
1685128654028,2023-05-26T21:17:34.028,0.340,-176.775,-82.879,359.526,359.526
1685128654038,2023-05-26T21:17:34.038,0.350,-176.764,-82.866,359.491,359.491
1685128654048,2023-05-26T21:17:34.048,0.360,-176.752,-82.855,359.459,359.459
1685128654058,2023-05-26T21:17:34.058,0.370,-176.741,-82.846,359.430,359.430
1685128654068,2023-05-26T21:17:34.068,0.380,-176.731,-82.837,359.407,359.407
1685128654078,2023-05-26T21:17:34.078,0.390,-176.723,-82.827,359.390,359.390
1685128654088,2023-05-26T21:17:34.088,0.400,-176.716,-82.814,359.383,359.383
1685128654098,2023-05-26T21:17:34.098,0.410,-176.711,-82.801,359.377,359.377
1685128654108,2023-05-26T21:17:34.108,0.420,-176.706,-82.786,359.372,359.372
1685128654118,2023-05-26T21:17:34.118,0.430,-176.699,-82.771,359.365,359.365
1685128654128,2023-05-26T21:17:34.128,0.440,-176.691,-82.756,359.356,359.356
1685128654138,2023-05-26T21:17:34.138,0.450,-176.682,-82.742,359.346,359.346
1685128654148,2023-05-26T21:17:34.148,0.460,-176.671,-82.729,359.328,359.328
1685128654158,2023-05-26T21:17:34.158,0.470,-176.657,-82.716,359.303,359.303
1685128654168,2023-05-26T21:17:34.168,0.480,-176.644,-82.702,359.273,359.273
1685128654178,2023-05-26T21:17:34.178,0.490,-176.629,-82.689,359.237,359.237
1685128654188,2023-05-26T21:17:34.188,0.500,-176.616,-82.677,359.199,359.199
1685128654198,2023-05-26T21:17:34.198,0.510,-176.604,-82.665,359.162,359.162
1685128654208,2023-05-26T21:17:34.208,0.520,-176.592,-82.652,359.122,359.122
1685128654218,2023-05-26T21:17:34.218,0.530,-176.581,-82.641,359.082,359.082
1685128654228,2023-05-26T21:17:34.228,0.540,-176.570,-82.630,359.044,359.044
1685128654238,2023-05-26T21:17:34.238,0.550,-176.561,-82.618,359.011,359.011
1685128654248,2023-05-26T21:17:34.248,0.560,-176.552,-82.606,358.982,358.982
1685128654258,2023-05-26T21:17:34.258,0.570,-176.542,-82.593,358.955,358.955
1685128654268,2023-05-26T21:17:34.268,0.580,-176.531,-82.581,358.930,358.930
1685128654278,2023-05-26T21:17:34.278,0.590,-176.521,-82.576,358.909,358.909
1685128654288,2023-05-26T21:17:34.288,0.600,-176.511,-82.571,358.890,358.890
1685128654298,2023-05-26T21:17:34.298,0.610,-176.503,-82.567,358.877,358.877
1685128654308,2023-05-26T21:17:34.308,0.620,-176.496,-82.564,358.870,358.870
1685128654318,2023-05-26T21:17:34.318,0.630,-176.489,-82.561,358.863,358.863
1685128654328,2023-05-26T21:17:34.328,0.640,-176.482,-82.558,358.857,358.857
1685128654338,2023-05-26T21:17:34.338,0.650,-176.476,-82.555,358.851,358.851
1685128654348,2023-05-26T21:17:34.348,0.660,-176.472,-82.553,358.853,358.853
1685128654358,2023-05-26T21:17:34.358,0.670,-176.468,-82.551,358.857,358.857
1685128654368,2023-05-26T21:17:34.368,0.680,-176.462,-82.548,358.858,358.858
1685128654378,2023-05-26T21:17:34.378,0.690,-176.455,-82.545,358.851,358.851
1685128654388,2023-05-26T21:17:34.388,0.700,-176.447,-82.542,358.843,358.843
1685128654398,2023-05-26T21:17:34.398,0.710,-176.440,-82.539,358.836,358.836
1685128654408,2023-05-26T21:17:34.408,0.720,-176.432,-82.538,358.829,358.829
1685128654418,2023-05-26T21:17:34.418,0.730,-176.424,-82.536,358.821,358.821
1685128654428,2023-05-26T21:17:34.428,0.740,-176.415,-82.536,358.813,358.813
1685128654438,2023-05-26T21:17:34.438,0.750,-176.406,-82.538,358.804,358.804
1685128654448,2023-05-26T21:17:34.448,0.760,-176.399,-82.540,358.797,358.797
1685128654458,2023-05-26T21:17:34.458,0.770,-176.394,-82.544,358.792,358.792
1685128654468,2023-05-26T21:17:34.468,0.780,-176.389,-82.548,358.788,358.788
1685128654478,2023-05-26T21:17:34.478,0.790,-176.384,-82.551,358.784,358.784
1685128654488,2023-05-26T21:17:34.488,0.800,-176.381,-82.554,358.791,358.791
1685128654498,2023-05-26T21:17:34.498,0.810,-176.381,-82.558,358.807,358.807
1685128654508,2023-05-26T21:17:34.508,0.820,-176.384,-82.563,358.830,358.830
1685128654518,2023-05-26T21:17:34.518,0.830,-176.389,-82.567,358.858,358.858
1685128654528,2023-05-26T21:17:34.528,0.840,-176.399,-82.572,358.898,358.898
1685128654538,2023-05-26T21:17:34.538,0.850,-176.409,-82.577,358.939,358.939
1685128654548,2023-05-26T21:17:34.548,0.860,-176.416,-82.580,358.976,358.976
1685128654558,2023-05-26T21:17:34.558,0.870,-176.422,-82.581,359.008,359.008
1685128654568,2023-05-26T21:17:34.568,0.880,-176.426,-82.582,359.037,359.037
1685128654578,2023-05-26T21:17:34.578,0.890,-176.421,-82.579,359.055,359.055
1685128654588,2023-05-26T21:17:34.588,0.900,-176.415,-82.567,359.063,359.063
1685128654598,2023-05-26T21:17:34.598,0.910,-176.409,-82.557,359.067,359.067
1685128654608,2023-05-26T21:17:34.608,0.920,-176.402,-82.554,359.059,359.059
1685128654618,2023-05-26T21:17:34.618,0.930,-176.394,-82.551,359.051,359.051
1685128654628,2023-05-26T21:17:34.628,0.940,-176.386,-82.550,359.044,359.044
1685128654638,2023-05-26T21:17:34.638,0.950,-176.380,-82.552,359.038,359.038
1685128654648,2023-05-26T21:17:34.648,0.960,-176.376,-82.557,359.034,359.034
1685128654658,2023-05-26T21:17:34.658,0.970,-176.380,-82.566,359.038,359.038
1685128654668,2023-05-26T21:17:34.668,0.980,-176.385,-82.570,359.044,359.044
1685128654678,2023-05-26T21:17:34.678,0.990,-176.394,-82.575,359.064,359.064
1685128654688,2023-05-26T21:17:34.688,1.000,-176.403,-82.578,359.089,359.089
