epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1685129404061,2023-05-26T21:30:04.061,0.000,170.507,-74.154,-0.000,-0.000
1685129404071,2023-05-26T21:30:04.071,0.010,170.523,-74.165,359.991,359.991
1685129404081,2023-05-26T21:30:04.081,0.020,170.521,-74.171,0.001,0.001
1685129404091,2023-05-26T21:30:04.091,0.030,170.531,-74.178,359.998,359.998
1685129404101,2023-05-26T21:30:04.101,0.040,170.540,-74.185,0.000,0.000
1685129404111,2023-05-26T21:30:04.111,0.050,170.546,-74.190,0.005,0.005
1685129404121,2023-05-26T21:30:04.121,0.060,170.548,-74.192,0.015,0.015
1685129404131,2023-05-26T21:30:04.131,0.070,170.537,-74.178,0.040,0.040
1685129404141,2023-05-26T21:30:04.141,0.080,170.535,-74.173,0.053,0.053
1685129404151,2023-05-26T21:30:04.151,0.090,170.533,-74.168,0.065,0.065
1685129404161,2023-05-26T21:30:04.161,0.100,170.533,-74.163,0.067,0.067
1685129404171,2023-05-26T21:30:04.171,0.110,170.533,-74.163,0.067,0.067
1685129404181,2023-05-26T21:30:04.181,0.120,170.522,-74.153,0.080,0.080
1685129404191,2023-05-26T21:30:04.191,0.130,170.521,-74.150,0.083,0.083
1685129404201,2023-05-26T21:30:04.201,0.140,170.523,-74.150,0.082,0.082
1685129404211,2023-05-26T21:30:04.211,0.150,170.530,-74.152,0.068,0.068
1685129404221,2023-05-26T21:30:04.221,0.160,170.539,-74.156,0.047,0.047
1685129404231,2023-05-26T21:30:04.231,0.170,170.549,-74.160,0.015,0.015
1685129404241,2023-05-26T21:30:04.241,0.180,170.554,-74.158,359.981,359.981
1685129404251,2023-05-26T21:30:04.251,0.190,170.557,-74.149,359.954,359.954
1685129404261,2023-05-26T21:30:04.261,0.200,170.552,-74.132,359.937,359.937
1685129404271,2023-05-26T21:30:04.271,0.210,170.544,-74.113,359.926,359.926
1685129404281,2023-05-26T21:30:04.281,0.220,170.536,-74.093,359.918,359.918
1685129404291,2023-05-26T21:30:04.291,0.230,170.531,-74.075,359.911,359.911
1685129404301,2023-05-26T21:30:04.301,0.240,170.525,-74.058,359.907,359.907
1685129404311,2023-05-26T21:30:04.311,0.250,170.518,-74.044,359.909,359.909
1685129404321,2023-05-26T21:30:04.321,0.260,170.509,-74.028,359.921,359.921
1685129404331,2023-05-26T21:30:04.331,0.270,170.506,-74.016,359.936,359.936
1685129404341,2023-05-26T21:30:04.341,0.280,170.502,-74.003,359.951,359.951
1685129404351,2023-05-26T21:30:04.351,0.290,170.498,-73.988,359.968,359.968
1685129404361,2023-05-26T21:30:04.361,0.300,170.494,-73.972,359.986,359.986
1685129404371,2023-05-26T21:30:04.371,0.310,170.489,-73.957,0.010,0.010
1685129404381,2023-05-26T21:30:04.381,0.320,170.484,-73.941,0.037,0.037
1685129404391,2023-05-26T21:30:04.391,0.330,170.476,-73.924,0.066,0.066
1685129404401,2023-05-26T21:30:04.401,0.340,170.466,-73.905,0.102,0.102
1685129404411,2023-05-26T21:30:04.411,0.350,170.452,-73.882,0.144,0.144
1685129404421,2023-05-26T21:30:04.421,0.360,170.435,-73.856,0.191,0.191
1685129404431,2023-05-26T21:30:04.431,0.370,170.419,-73.834,0.241,0.241
1685129404441,2023-05-26T21:30:04.441,0.380,170.406,-73.815,0.288,0.288
1685129404451,2023-05-26T21:30:04.451,0.390,170.394,-73.798,0.331,0.331
1685129404461,2023-05-26T21:30:04.461,0.400,170.382,-73.780,0.371,0.371
1685129404471,2023-05-26T21:30:04.471,0.410,170.372,-73.764,0.407,0.407
1685129404481,2023-05-26T21:30:04.481,0.420,170.363,-73.749,0.439,0.439
1685129404491,2023-05-26T21:30:04.491,0.430,170.357,-73.738,0.466,0.466
1685129404501,2023-05-26T21:30:04.501,0.440,170.352,-73.729,0.490,0.490
1685129404511,2023-05-26T21:30:04.511,0.450,170.349,-73.720,0.511,0.511
1685129404521,2023-05-26T21:30:04.521,0.460,170.347,-73.711,0.524,0.524
1685129404531,2023-05-26T21:30:04.531,0.470,170.340,-73.698,0.533,0.533
1685129404541,2023-05-26T21:30:04.541,0.480,170.333,-73.684,0.544,0.544
1685129404551,2023-05-26T21:30:04.551,0.490,170.323,-73.665,0.551,0.551
