epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685128338475,2023-05-26T21:12:18.475,0.000,1.585,0.450,0.831
1685128338485,2023-05-26T21:12:18.485,0.010,1.486,0.511,0.861
1685128338495,2023-05-26T21:12:18.495,0.020,1.540,0.503,1.456
1685128338505,2023-05-26T21:12:18.505,0.030,1.669,0.396,1.044
1685128338515,2023-05-26T21:12:18.515,0.040,1.669,0.511,0.907
1685128338525,2023-05-26T21:12:18.525,0.050,1.578,0.564,0.846
1685128338535,2023-05-26T21:12:18.535,0.060,1.471,0.663,0.823
1685128338545,2023-05-26T21:12:18.545,0.070,1.296,0.838,1.029
1685128338555,2023-05-26T21:12:18.555,0.080,0.976,0.922,1.052
1685128338565,2023-05-26T21:12:18.565,0.090,0.602,0.831,0.983
1685128338575,2023-05-26T21:12:18.575,0.100,0.480,0.602,0.922
1685128338585,2023-05-26T21:12:18.585,0.110,0.305,0.617,0.922
1685128338595,2023-05-26T21:12:18.595,0.120,0.030,0.899,1.044
1685128338605,2023-05-26T21:12:18.605,0.130,-0.450,1.021,1.075
1685128338615,2023-05-26T21:12:18.615,0.140,-0.831,1.098,1.082
1685128338625,2023-05-26T21:12:18.625,0.150,-1.120,1.120,1.082
1685128338635,2023-05-26T21:12:18.635,0.160,-1.837,0.953,1.082
1685128338645,2023-05-26T21:12:18.645,0.170,-2.500,0.671,1.212
1685128338655,2023-05-26T21:12:18.655,0.180,-2.813,0.343,1.441
1685128338665,2023-05-26T21:12:18.665,0.190,-3.011,-0.221,1.387
1685128338675,2023-05-26T21:12:18.675,0.200,-3.125,-0.495,1.433
1685128338685,2023-05-26T21:12:18.685,0.210,-2.942,-0.252,1.372
1685128338695,2023-05-26T21:12:18.695,0.220,-2.561,-0.061,1.159
1685128338705,2023-05-26T21:12:18.705,0.230,-2.188,0.061,0.846
1685128338715,2023-05-26T21:12:18.715,0.240,-1.776,0.328,0.625
1685128338725,2023-05-26T21:12:18.725,0.250,-1.044,0.503,0.541
1685128338735,2023-05-26T21:12:18.735,0.260,-0.297,0.755,0.495
1685128338745,2023-05-26T21:12:18.745,0.270,0.305,0.755,0.442
1685128338755,2023-05-26T21:12:18.755,0.280,0.777,0.663,0.427
1685128338765,2023-05-26T21:12:18.765,0.290,1.090,0.633,0.290
1685128338775,2023-05-26T21:12:18.775,0.300,1.341,0.625,0.244
1685128338785,2023-05-26T21:12:18.785,0.310,1.502,0.686,0.145
1685128338795,2023-05-26T21:12:18.795,0.320,1.463,0.785,0.229
1685128338805,2023-05-26T21:12:18.805,0.330,1.136,0.762,0.290
1685128338815,2023-05-26T21:12:18.815,0.340,0.808,0.602,0.320
1685128338825,2023-05-26T21:12:18.825,0.350,0.434,0.396,0.206
1685128338835,2023-05-26T21:12:18.835,0.360,0.313,0.221,0.091
1685128338845,2023-05-26T21:12:18.845,0.370,0.252,0.091,0.198
1685128338855,2023-05-26T21:12:18.855,0.380,0.305,-0.023,0.244
1685128338865,2023-05-26T21:12:18.865,0.390,0.282,-0.168,0.358
1685128338875,2023-05-26T21:12:18.875,0.400,0.152,-0.206,0.511
1685128338885,2023-05-26T21:12:18.885,0.410,-0.046,-0.282,0.564
1685128338895,2023-05-26T21:12:18.895,0.420,-0.061,-0.434,0.556
1685128338905,2023-05-26T21:12:18.905,0.430,0.175,-0.442,0.404
1685128338915,2023-05-26T21:12:18.915,0.440,0.640,-0.419,0.221
1685128338925,2023-05-26T21:12:18.925,0.450,0.899,-0.206,0.107
1685128338935,2023-05-26T21:12:18.935,0.460,1.006,-0.122,0.206
1685128338945,2023-05-26T21:12:18.945,0.470,1.303,-0.084,0.236
1685128338955,2023-05-26T21:12:18.955,0.480,1.479,0.114,0.259
1685128338965,2023-05-26T21:12:18.965,0.490,1.387,0.183,0.305
1685128338975,2023-05-26T21:12:18.975,0.500,1.250,0.038,0.427
1685128338985,2023-05-26T21:12:18.985,0.510,1.532,0.069,0.282
1685128338995,2023-05-26T21:12:18.995,0.520,1.989,0.099,0.069
1685128339005,2023-05-26T21:12:19.005,0.530,2.180,0.130,0.053
1685128339015,2023-05-26T21:12:19.015,0.540,1.974,0.282,0.008
1685128339025,2023-05-26T21:12:19.025,0.550,1.867,0.343,-0.130
1685128339035,2023-05-26T21:12:19.035,0.560,1.463,0.305,-0.015
1685128339045,2023-05-26T21:12:19.045,0.570,1.067,0.313,0.198
1685128339055,2023-05-26T21:12:19.055,0.580,0.808,0.351,0.305
1685128339065,2023-05-26T21:12:19.065,0.590,0.838,0.419,0.236
1685128339075,2023-05-26T21:12:19.075,0.600,1.037,0.511,0.229
1685128339085,2023-05-26T21:12:19.085,0.610,1.021,0.587,0.313
1685128339095,2023-05-26T21:12:19.095,0.620,1.242,0.595,0.351
1685128339105,2023-05-26T21:12:19.105,0.630,1.563,0.655,0.305
1685128339115,2023-05-26T21:12:19.115,0.640,1.959,0.648,0.274
1685128339125,2023-05-26T21:12:19.125,0.650,2.058,0.655,0.259
1685128339135,2023-05-26T21:12:19.135,0.660,2.226,0.442,0.145
1685128339145,2023-05-26T21:12:19.145,0.670,2.302,0.175,0.053
1685128339155,2023-05-26T21:12:19.155,0.680,2.348,0.198,0.130
1685128339165,2023-05-26T21:12:19.165,0.690,2.279,0.236,0.320
1685128339175,2023-05-26T21:12:19.175,0.700,2.035,0.389,0.427
1685128339185,2023-05-26T21:12:19.185,0.710,1.715,0.541,0.473
1685128339195,2023-05-26T21:12:19.195,0.720,1.021,0.549,0.457
1685128339205,2023-05-26T21:12:19.205,0.730,0.640,0.495,0.495
1685128339215,2023-05-26T21:12:19.215,0.740,0.274,0.602,0.610
1685128339225,2023-05-26T21:12:19.225,0.750,0.290,0.541,0.671
1685128339235,2023-05-26T21:12:19.235,0.760,0.389,0.335,0.625
1685128339245,2023-05-26T21:12:19.245,0.770,0.602,0.373,0.610
1685128339255,2023-05-26T21:12:19.255,0.780,0.724,0.351,0.663
1685128339265,2023-05-26T21:12:19.265,0.790,0.930,0.282,0.785
1685128339275,2023-05-26T21:12:19.275,0.800,1.311,0.343,0.716
1685128339285,2023-05-26T21:12:19.285,0.810,1.410,0.617,0.755
1685128339295,2023-05-26T21:12:19.295,0.820,1.456,0.747,0.770
1685128339305,2023-05-26T21:12:19.305,0.830,1.547,0.755,0.678
1685128339315,2023-05-26T21:12:19.315,0.840,1.623,0.732,0.694
1685128339325,2023-05-26T21:12:19.325,0.850,1.341,0.755,0.861
1685128339335,2023-05-26T21:12:19.335,0.860,1.006,0.770,0.907
1685128339345,2023-05-26T21:12:19.345,0.870,0.381,0.625,0.945
1685128339355,2023-05-26T21:12:19.355,0.880,-0.267,0.450,1.014
1685128339365,2023-05-26T21:12:19.365,0.890,-0.800,0.343,1.029
1685128339375,2023-05-26T21:12:19.375,0.900,-0.907,0.297,0.938
1685128339385,2023-05-26T21:12:19.385,0.910,-0.816,0.473,0.869
1685128339395,2023-05-26T21:12:19.395,0.920,-0.625,0.595,0.930
1685128339405,2023-05-26T21:12:19.405,0.930,-0.541,0.640,0.968
1685128339415,2023-05-26T21:12:19.415,0.940,-0.625,0.366,1.059
1685128339425,2023-05-26T21:12:19.425,0.950,-1.006,0.038,1.189
1685128339435,2023-05-26T21:12:19.435,0.960,-1.143,-0.229,1.250
1685128339445,2023-05-26T21:12:19.445,0.970,-1.052,-0.290,1.143
1685128339455,2023-05-26T21:12:19.455,0.980,-0.694,0.091,0.838
1685128339465,2023-05-26T21:12:19.465,0.990,-0.480,0.457,0.617
1685128339475,2023-05-26T21:12:19.475,1.000,-0.282,0.701,0.640
1685128339485,2023-05-26T21:12:19.485,1.010,-0.152,0.709,0.747
1685128339495,2023-05-26T21:12:19.495,1.020,-0.290,0.648,0.762
1685128339505,2023-05-26T21:12:19.505,1.030,-0.534,0.534,0.877
1685128339515,2023-05-26T21:12:19.515,1.040,-0.762,0.412,0.968
1685128339525,2023-05-26T21:12:19.525,1.050,-0.877,0.373,1.082
1685128339535,2023-05-26T21:12:19.535,1.060,-0.945,0.488,1.052
1685128339545,2023-05-26T21:12:19.545,1.070,-0.907,0.816,0.991
1685128339555,2023-05-26T21:12:19.555,1.080,-0.915,1.059,1.006
1685128339565,2023-05-26T21:12:19.565,1.090,-1.067,1.120,0.953
1685128339575,2023-05-26T21:12:19.575,1.100,-1.128,1.006,1.014
1685128339585,2023-05-26T21:12:19.585,1.110,-1.303,0.907,1.197
1685128339595,2023-05-26T21:12:19.595,1.120,-1.181,0.869,1.250
1685128339605,2023-05-26T21:12:19.605,1.130,-1.075,0.793,1.319
1685128339615,2023-05-26T21:12:19.615,1.140,-0.915,0.686,1.235
1685128339625,2023-05-26T21:12:19.625,1.150,-0.739,0.747,1.220
1685128339635,2023-05-26T21:12:19.635,1.160,-0.427,0.854,1.242
1685128339645,2023-05-26T21:12:19.645,1.170,-0.053,0.877,1.341
1685128339655,2023-05-26T21:12:19.655,1.180,0.046,0.434,1.494
1685128339665,2023-05-26T21:12:19.665,1.190,-0.038,0.107,1.563
1685128339675,2023-05-26T21:12:19.675,1.200,0.282,-0.046,1.502
1685128339685,2023-05-26T21:12:19.685,1.210,0.320,-0.061,1.357
1685128339695,2023-05-26T21:12:19.695,1.220,0.198,-0.023,1.212
1685128339705,2023-05-26T21:12:19.705,1.230,0.381,0.267,1.098
1685128339715,2023-05-26T21:12:19.715,1.240,0.739,0.442,0.983
1685128339725,2023-05-26T21:12:19.725,1.250,1.067,0.473,0.907
1685128339735,2023-05-26T21:12:19.735,1.260,1.227,0.427,0.899
1685128339745,2023-05-26T21:12:19.745,1.270,1.174,0.450,0.816
1685128339755,2023-05-26T21:12:19.755,1.280,0.953,0.343,0.755
1685128339765,2023-05-26T21:12:19.765,1.290,0.709,0.099,0.846
1685128339775,2023-05-26T21:12:19.775,1.300,0.358,0.152,0.938
1685128339785,2023-05-26T21:12:19.785,1.310,0.183,0.389,1.021
1685128339795,2023-05-26T21:12:19.795,1.320,0.107,0.526,1.059
1685128339805,2023-05-26T21:12:19.805,1.330,0.000,0.610,1.044
1685128339815,2023-05-26T21:12:19.815,1.340,-0.175,0.694,1.052
1685128339825,2023-05-26T21:12:19.825,1.350,-0.358,0.755,1.136
1685128339835,2023-05-26T21:12:19.835,1.360,-0.816,0.755,1.113
1685128339845,2023-05-26T21:12:19.845,1.370,-1.585,0.732,1.174
1685128339855,2023-05-26T21:12:19.855,1.380,-1.799,0.671,1.006
1685128339865,2023-05-26T21:12:19.865,1.390,-1.723,0.747,0.922
1685128339875,2023-05-26T21:12:19.875,1.400,-1.372,0.930,0.785
1685128339885,2023-05-26T21:12:19.885,1.410,-1.113,0.991,0.724
1685128339895,2023-05-26T21:12:19.895,1.420,-0.755,1.044,0.755
1685128339905,2023-05-26T21:12:19.905,1.430,-0.511,1.235,0.861
1685128339915,2023-05-26T21:12:19.915,1.440,-0.396,1.319,1.052
1685128339925,2023-05-26T21:12:19.925,1.450,-0.366,1.113,1.166
1685128339935,2023-05-26T21:12:19.935,1.460,-0.587,0.755,1.143
1685128339945,2023-05-26T21:12:19.945,1.470,-0.831,0.511,1.120
1685128339955,2023-05-26T21:12:19.955,1.480,-0.602,0.465,1.075
1685128339965,2023-05-26T21:12:19.965,1.490,-0.206,0.465,0.945
1685128339975,2023-05-26T21:12:19.975,1.500,0.000,0.572,0.777
1685128339985,2023-05-26T21:12:19.985,1.510,0.175,0.739,0.556
1685128339995,2023-05-26T21:12:19.995,1.520,0.419,0.808,0.595
1685128340005,2023-05-26T21:12:20.005,1.530,0.511,0.777,0.579
1685128340015,2023-05-26T21:12:20.015,1.540,0.488,0.770,0.534
1685128340025,2023-05-26T21:12:20.025,1.550,0.625,0.861,0.419
1685128340035,2023-05-26T21:12:20.035,1.560,0.800,0.938,0.427
1685128340045,2023-05-26T21:12:20.045,1.570,0.816,0.823,0.465
1685128340055,2023-05-26T21:12:20.055,1.580,0.457,0.770,0.518
1685128340065,2023-05-26T21:12:20.065,1.590,0.335,0.732,0.450
1685128340075,2023-05-26T21:12:20.075,1.600,0.526,0.785,0.473
1685128340085,2023-05-26T21:12:20.085,1.610,0.610,0.869,0.648
1685128340095,2023-05-26T21:12:20.095,1.620,0.160,0.915,0.816
1685128340105,2023-05-26T21:12:20.105,1.630,-0.236,0.724,0.846
1685128340115,2023-05-26T21:12:20.115,1.640,-0.396,0.457,0.831
1685128340125,2023-05-26T21:12:20.125,1.650,-0.587,0.442,0.777
1685128340135,2023-05-26T21:12:20.135,1.660,-0.877,0.671,0.724
1685128340145,2023-05-26T21:12:20.145,1.670,-0.831,0.831,0.556
1685128340155,2023-05-26T21:12:20.155,1.680,-0.511,0.983,0.396
1685128340165,2023-05-26T21:12:20.165,1.690,-0.282,1.181,0.366
1685128340175,2023-05-26T21:12:20.175,1.700,-0.183,1.174,0.480
1685128340185,2023-05-26T21:12:20.185,1.710,-0.213,1.136,0.579
1685128340195,2023-05-26T21:12:20.195,1.720,-0.221,1.052,0.686
1685128340205,2023-05-26T21:12:20.205,1.730,-0.061,0.854,0.739
