epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685128469034,2023-05-26T21:14:29.034,0.000,0.457,-0.373,0.030
1685128469044,2023-05-26T21:14:29.044,0.010,0.381,0.518,1.692
1685128469054,2023-05-26T21:14:29.054,0.020,0.389,0.328,0.694
1685128469064,2023-05-26T21:14:29.064,0.030,0.617,0.465,0.625
1685128469074,2023-05-26T21:14:29.074,0.040,0.808,0.495,0.556
1685128469084,2023-05-26T21:14:29.084,0.050,0.922,0.320,0.572
1685128469094,2023-05-26T21:14:29.094,0.060,1.113,0.259,0.633
1685128469104,2023-05-26T21:14:29.104,0.070,1.212,0.442,0.579
1685128469114,2023-05-26T21:14:29.114,0.080,1.044,0.488,0.587
1685128469124,2023-05-26T21:14:29.124,0.090,0.991,0.404,0.434
1685128469134,2023-05-26T21:14:29.134,0.100,1.227,0.419,0.328
1685128469144,2023-05-26T21:14:29.144,0.110,1.143,0.473,0.450
1685128469154,2023-05-26T21:14:29.154,0.120,1.006,0.465,0.655
1685128469164,2023-05-26T21:14:29.164,0.130,1.105,0.480,0.633
1685128469174,2023-05-26T21:14:29.174,0.140,1.326,0.427,0.511
1685128469184,2023-05-26T21:14:29.184,0.150,1.425,0.511,0.511
1685128469194,2023-05-26T21:14:29.194,0.160,1.326,0.511,0.572
1685128469204,2023-05-26T21:14:29.204,0.170,1.471,0.572,0.541
1685128469214,2023-05-26T21:14:29.214,0.180,1.563,0.602,0.526
1685128469224,2023-05-26T21:14:29.224,0.190,1.654,0.541,0.427
1685128469234,2023-05-26T21:14:29.234,0.200,1.761,0.518,0.305
1685128469244,2023-05-26T21:14:29.244,0.210,1.730,0.648,0.328
1685128469254,2023-05-26T21:14:29.254,0.220,1.463,0.648,0.198
1685128469264,2023-05-26T21:14:29.264,0.230,1.265,0.511,0.213
1685128469274,2023-05-26T21:14:29.274,0.240,1.181,0.480,0.236
1685128469284,2023-05-26T21:14:29.284,0.250,0.938,0.564,0.213
1685128469294,2023-05-26T21:14:29.294,0.260,0.686,0.564,0.313
1685128469304,2023-05-26T21:14:29.304,0.270,0.419,0.404,0.381
1685128469314,2023-05-26T21:14:29.314,0.280,0.412,0.152,0.343
1685128469324,2023-05-26T21:14:29.324,0.290,0.724,0.137,0.373
1685128469334,2023-05-26T21:14:29.334,0.300,0.907,0.191,0.236
1685128469344,2023-05-26T21:14:29.344,0.310,1.166,0.274,0.282
1685128469354,2023-05-26T21:14:29.354,0.320,1.288,0.297,0.274
1685128469364,2023-05-26T21:14:29.364,0.330,1.410,0.229,0.229
1685128469374,2023-05-26T21:14:29.374,0.340,1.692,0.191,0.160
1685128469384,2023-05-26T21:14:29.384,0.350,1.936,0.137,0.130
1685128469394,2023-05-26T21:14:29.394,0.360,1.791,0.030,0.107
1685128469404,2023-05-26T21:14:29.404,0.370,1.524,0.114,0.130
1685128469414,2023-05-26T21:14:29.414,0.380,1.311,0.152,0.099
1685128469424,2023-05-26T21:14:29.424,0.390,0.899,0.130,0.099
1685128469434,2023-05-26T21:14:29.434,0.400,0.518,0.145,0.107
1685128469444,2023-05-26T21:14:29.444,0.410,-0.053,0.252,0.221
1685128469454,2023-05-26T21:14:29.454,0.420,-0.404,0.206,0.274
1685128469464,2023-05-26T21:14:29.464,0.430,-0.503,0.244,0.244
1685128469474,2023-05-26T21:14:29.474,0.440,-0.373,0.107,0.434
1685128469484,2023-05-26T21:14:29.484,0.450,-0.358,-0.114,0.419
1685128469494,2023-05-26T21:14:29.494,0.460,-0.320,-0.015,0.351
1685128469504,2023-05-26T21:14:29.504,0.470,0.008,-0.023,0.221
1685128469514,2023-05-26T21:14:29.514,0.480,0.335,-0.023,0.274
1685128469524,2023-05-26T21:14:29.524,0.490,0.564,0.076,0.274
1685128469534,2023-05-26T21:14:29.534,0.500,0.633,0.152,0.358
1685128469544,2023-05-26T21:14:29.544,0.510,0.579,0.076,0.305
1685128469554,2023-05-26T21:14:29.554,0.520,0.663,0.168,0.335
1685128469564,2023-05-26T21:14:29.564,0.530,0.899,0.259,0.282
1685128469574,2023-05-26T21:14:29.574,0.540,1.044,0.343,0.244
1685128469584,2023-05-26T21:14:29.584,0.550,0.915,0.305,0.282
1685128469594,2023-05-26T21:14:29.594,0.560,0.671,0.259,0.358
1685128469604,2023-05-26T21:14:29.604,0.570,0.701,0.244,0.343
1685128469614,2023-05-26T21:14:29.614,0.580,0.838,0.252,0.290
1685128469624,2023-05-26T21:14:29.624,0.590,0.816,0.267,0.267
1685128469634,2023-05-26T21:14:29.634,0.600,0.770,0.259,0.335
1685128469644,2023-05-26T21:14:29.644,0.610,0.716,0.160,0.404
1685128469654,2023-05-26T21:14:29.654,0.620,0.412,-0.008,0.450
1685128469664,2023-05-26T21:14:29.664,0.630,0.168,-0.130,0.739
1685128469674,2023-05-26T21:14:29.674,0.640,0.198,-0.206,0.686
1685128469684,2023-05-26T21:14:29.684,0.650,0.305,-0.152,0.633
1685128469694,2023-05-26T21:14:29.694,0.660,0.572,0.015,0.549
1685128469704,2023-05-26T21:14:29.704,0.670,0.701,0.229,0.465
1685128469714,2023-05-26T21:14:29.714,0.680,0.777,0.343,0.572
1685128469724,2023-05-26T21:14:29.724,0.690,0.938,0.480,0.655
1685128469734,2023-05-26T21:14:29.734,0.700,0.968,0.412,0.541
1685128469744,2023-05-26T21:14:29.744,0.710,0.800,0.480,0.579
1685128469754,2023-05-26T21:14:29.754,0.720,0.503,0.335,0.663
1685128469764,2023-05-26T21:14:29.764,0.730,0.343,0.412,0.595
1685128469774,2023-05-26T21:14:29.774,0.740,0.091,0.473,0.724
1685128469784,2023-05-26T21:14:29.784,0.750,-0.511,0.480,0.732
1685128469794,2023-05-26T21:14:29.794,0.760,-0.846,0.442,0.709
1685128469804,2023-05-26T21:14:29.804,0.770,-0.953,0.412,0.793
1685128469814,2023-05-26T21:14:29.814,0.780,-1.075,0.373,0.922
1685128469824,2023-05-26T21:14:29.824,0.790,-0.838,0.213,0.983
1685128469834,2023-05-26T21:14:29.834,0.800,-0.434,0.335,0.884
1685128469844,2023-05-26T21:14:29.844,0.810,0.008,0.427,0.793
1685128469854,2023-05-26T21:14:29.854,0.820,0.229,0.427,0.960
1685128469864,2023-05-26T21:14:29.864,0.830,0.663,0.434,0.983
1685128469874,2023-05-26T21:14:29.874,0.840,0.968,0.419,0.915
1685128469884,2023-05-26T21:14:29.884,0.850,1.052,0.236,0.838
