epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685129349779,2023-05-26T21:29:09.779,0.000,-3.925,1.547,-0.076
1685129349789,2023-05-26T21:29:09.789,0.010,-4.230,1.067,-1.425
1685129349799,2023-05-26T21:29:09.799,0.020,-3.765,1.128,-0.953
1685129349809,2023-05-26T21:29:09.809,0.030,-3.079,1.372,-0.930
1685129349819,2023-05-26T21:29:09.819,0.040,-2.302,1.471,-0.907
1685129349829,2023-05-26T21:29:09.829,0.050,-1.456,1.395,-0.869
1685129349839,2023-05-26T21:29:09.839,0.060,-0.267,1.021,-0.793
1685129349849,2023-05-26T21:29:09.849,0.070,0.930,0.877,-0.610
1685129349859,2023-05-26T21:29:09.859,0.080,1.563,0.777,-0.579
1685129349869,2023-05-26T21:29:09.869,0.090,2.111,0.556,-0.511
1685129349879,2023-05-26T21:29:09.879,0.100,2.119,0.595,-0.442
1685129349889,2023-05-26T21:29:09.889,0.110,1.067,0.648,-0.297
1685129349899,2023-05-26T21:29:09.899,0.120,-0.213,0.617,-0.343
1685129349909,2023-05-26T21:29:09.909,0.130,-1.128,0.732,-0.381
1685129349919,2023-05-26T21:29:09.919,0.140,-1.860,0.831,-0.412
1685129349929,2023-05-26T21:29:09.929,0.150,-2.096,1.044,-0.686
1685129349939,2023-05-26T21:29:09.939,0.160,-1.639,1.280,-0.838
1685129349949,2023-05-26T21:29:09.949,0.170,-0.556,1.296,-1.006
1685129349959,2023-05-26T21:29:09.959,0.180,0.396,1.174,-1.052
1685129349969,2023-05-26T21:29:09.969,0.190,1.059,1.204,-1.098
1685129349979,2023-05-26T21:29:09.979,0.200,1.669,1.143,-1.113
1685129349989,2023-05-26T21:29:09.989,0.210,2.157,1.128,-0.960
1685129349999,2023-05-26T21:29:09.999,0.220,1.860,1.029,-0.838
1685129350009,2023-05-26T21:29:10.009,0.230,1.616,1.021,-0.915
1685129350019,2023-05-26T21:29:10.019,0.240,1.326,1.029,-0.907
1685129350029,2023-05-26T21:29:10.029,0.250,0.846,0.938,-0.991
1685129350039,2023-05-26T21:29:10.039,0.260,0.137,1.014,-0.899
1685129350049,2023-05-26T21:29:10.049,0.270,-0.526,1.082,-0.877
1685129350059,2023-05-26T21:29:10.059,0.280,-0.831,1.090,-0.953
1685129350069,2023-05-26T21:29:10.069,0.290,-0.838,1.014,-0.938
