epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1685129457376,2023-05-26T21:30:57.376,0.000,171.740,-75.281,359.945,359.945
1685129457386,2023-05-26T21:30:57.386,0.010,171.751,-75.266,359.886,359.886
1685129457396,2023-05-26T21:30:57.396,0.020,171.761,-75.253,359.826,359.826
1685129457406,2023-05-26T21:30:57.406,0.030,171.764,-75.237,359.771,359.771
1685129457416,2023-05-26T21:30:57.416,0.040,171.765,-75.217,359.719,359.719
1685129457426,2023-05-26T21:30:57.426,0.050,171.758,-75.192,359.679,359.679
1685129457436,2023-05-26T21:30:57.436,0.060,171.761,-75.175,359.632,359.632
1685129457446,2023-05-26T21:30:57.446,0.070,171.763,-75.158,359.593,359.593
1685129457456,2023-05-26T21:30:57.456,0.080,171.769,-75.146,359.557,359.557
1685129457466,2023-05-26T21:30:57.466,0.090,171.774,-75.135,359.531,359.531
1685129457476,2023-05-26T21:30:57.476,0.100,171.755,-75.108,359.538,359.538
1685129457486,2023-05-26T21:30:57.486,0.110,171.740,-75.088,359.541,359.541
1685129457496,2023-05-26T21:30:57.496,0.120,171.735,-75.076,359.535,359.535
1685129457506,2023-05-26T21:30:57.506,0.130,171.737,-75.069,359.520,359.520
1685129457516,2023-05-26T21:30:57.516,0.140,171.745,-75.067,359.499,359.499
1685129457526,2023-05-26T21:30:57.526,0.150,171.752,-75.064,359.477,359.477
1685129457536,2023-05-26T21:30:57.536,0.160,171.758,-75.059,359.456,359.456
1685129457546,2023-05-26T21:30:57.546,0.170,171.755,-75.049,359.449,359.449
1685129457556,2023-05-26T21:30:57.556,0.180,171.739,-75.029,359.464,359.464
1685129457566,2023-05-26T21:30:57.566,0.190,171.747,-75.026,359.457,359.457
1685129457576,2023-05-26T21:30:57.576,0.200,171.753,-75.021,359.463,359.463
1685129457586,2023-05-26T21:30:57.586,0.210,171.756,-75.016,359.484,359.484
1685129457596,2023-05-26T21:30:57.596,0.220,171.759,-75.013,359.510,359.510
1685129457606,2023-05-26T21:30:57.606,0.230,171.734,-74.991,359.574,359.574
1685129457616,2023-05-26T21:30:57.616,0.240,171.721,-74.979,359.622,359.622
1685129457626,2023-05-26T21:30:57.626,0.250,171.728,-74.987,359.641,359.641
1685129457636,2023-05-26T21:30:57.636,0.260,171.738,-74.995,359.654,359.654
1685129457646,2023-05-26T21:30:57.646,0.270,171.749,-75.003,359.658,359.658
1685129457656,2023-05-26T21:30:57.656,0.280,171.762,-75.010,359.645,359.645
1685129457666,2023-05-26T21:30:57.666,0.290,171.774,-75.012,359.634,359.634
1685129457676,2023-05-26T21:30:57.676,0.300,171.781,-75.011,359.628,359.628
1685129457686,2023-05-26T21:30:57.686,0.310,171.786,-75.008,359.625,359.625
1685129457696,2023-05-26T21:30:57.696,0.320,171.789,-75.003,359.626,359.626
1685129457706,2023-05-26T21:30:57.706,0.330,171.787,-74.996,359.630,359.630
1685129457716,2023-05-26T21:30:57.716,0.340,171.781,-74.986,359.641,359.641
1685129457726,2023-05-26T21:30:57.726,0.350,171.772,-74.975,359.656,359.656
1685129457736,2023-05-26T21:30:57.736,0.360,171.755,-74.960,359.689,359.689
1685129457746,2023-05-26T21:30:57.746,0.370,171.740,-74.948,359.725,359.725
1685129457756,2023-05-26T21:30:57.756,0.380,171.725,-74.936,359.762,359.762
1685129457766,2023-05-26T21:30:57.766,0.390,171.712,-74.924,359.795,359.795
1685129457776,2023-05-26T21:30:57.776,0.400,171.703,-74.911,359.819,359.819
1685129457786,2023-05-26T21:30:57.786,0.410,171.698,-74.898,359.834,359.834
1685129457796,2023-05-26T21:30:57.796,0.420,171.695,-74.884,359.840,359.840
1685129457806,2023-05-26T21:30:57.806,0.430,171.691,-74.868,359.839,359.839
1685129457816,2023-05-26T21:30:57.816,0.440,171.684,-74.848,359.844,359.844
1685129457826,2023-05-26T21:30:57.826,0.450,171.673,-74.827,359.862,359.862
1685129457836,2023-05-26T21:30:57.836,0.460,171.657,-74.805,359.885,359.885
1685129457846,2023-05-26T21:30:57.846,0.470,171.637,-74.782,359.911,359.911
1685129457856,2023-05-26T21:30:57.856,0.480,171.616,-74.757,359.954,359.954
1685129457866,2023-05-26T21:30:57.866,0.490,171.594,-74.731,0.004,0.004
1685129457876,2023-05-26T21:30:57.876,0.500,171.578,-74.710,0.054,0.054
1685129457886,2023-05-26T21:30:57.886,0.510,171.563,-74.695,0.105,0.105
1685129457896,2023-05-26T21:30:57.896,0.520,171.551,-74.682,0.154,0.154
1685129457906,2023-05-26T21:30:57.906,0.530,171.539,-74.670,0.202,0.202
