epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685128393430,2023-05-26T21:13:13.430,0.000,0.030,-1.029,-0.572
1685128393440,2023-05-26T21:13:13.440,0.010,-0.175,1.273,3.034
1685128393450,2023-05-26T21:13:13.450,0.020,-0.328,0.183,1.143
1685128393460,2023-05-26T21:13:13.460,0.030,-0.633,-0.076,0.739
1685128393470,2023-05-26T21:13:13.470,0.040,-0.938,0.061,1.021
1685128393480,2023-05-26T21:13:13.480,0.050,-1.037,-0.038,1.059
1685128393490,2023-05-26T21:13:13.490,0.060,-0.953,-0.053,1.021
1685128393500,2023-05-26T21:13:13.500,0.070,-0.816,0.191,0.869
1685128393510,2023-05-26T21:13:13.510,0.080,-0.556,0.229,0.800
1685128393520,2023-05-26T21:13:13.520,0.090,-0.114,0.244,0.816
1685128393530,2023-05-26T21:13:13.530,0.100,0.107,0.442,0.716
1685128393540,2023-05-26T21:13:13.540,0.110,0.290,0.633,0.732
1685128393550,2023-05-26T21:13:13.550,0.120,0.572,0.587,0.694
1685128393560,2023-05-26T21:13:13.560,0.130,0.701,0.678,0.602
1685128393570,2023-05-26T21:13:13.570,0.140,0.846,0.709,0.602
1685128393580,2023-05-26T21:13:13.580,0.150,0.739,0.648,0.617
1685128393590,2023-05-26T21:13:13.590,0.160,0.564,0.838,0.709
1685128393600,2023-05-26T21:13:13.600,0.170,0.396,0.922,0.587
1685128393610,2023-05-26T21:13:13.610,0.180,0.328,1.052,0.549
1685128393620,2023-05-26T21:13:13.620,0.190,0.229,1.136,0.602
1685128393630,2023-05-26T21:13:13.630,0.200,0.046,1.189,0.633
1685128393640,2023-05-26T21:13:13.640,0.210,0.008,1.204,0.655
1685128393650,2023-05-26T21:13:13.650,0.220,-0.015,1.136,0.755
1685128393660,2023-05-26T21:13:13.660,0.230,-0.008,1.052,0.747
1685128393670,2023-05-26T21:13:13.670,0.240,-0.023,0.960,0.762
1685128393680,2023-05-26T21:13:13.680,0.250,0.000,0.877,0.732
1685128393690,2023-05-26T21:13:13.690,0.260,0.114,0.831,0.709
1685128393700,2023-05-26T21:13:13.700,0.270,0.229,0.861,0.793
1685128393710,2023-05-26T21:13:13.710,0.280,0.328,0.968,0.785
1685128393720,2023-05-26T21:13:13.720,0.290,0.572,1.212,0.793
1685128393730,2023-05-26T21:13:13.730,0.300,0.564,1.410,0.793
1685128393740,2023-05-26T21:13:13.740,0.310,0.640,1.486,0.877
1685128393750,2023-05-26T21:13:13.750,0.320,0.595,1.509,0.838
1685128393760,2023-05-26T21:13:13.760,0.330,0.503,1.677,0.976
1685128393770,2023-05-26T21:13:13.770,0.340,0.396,1.669,0.960
1685128393780,2023-05-26T21:13:13.780,0.350,0.305,1.623,0.808
1685128393790,2023-05-26T21:13:13.790,0.360,0.236,1.646,0.724
1685128393800,2023-05-26T21:13:13.800,0.370,-0.008,1.631,0.686
1685128393810,2023-05-26T21:13:13.810,0.380,-0.030,1.593,0.747
1685128393820,2023-05-26T21:13:13.820,0.390,0.038,1.677,0.854
1685128393830,2023-05-26T21:13:13.830,0.400,-0.053,1.814,0.701
1685128393840,2023-05-26T21:13:13.840,0.410,-0.221,1.890,0.724
1685128393850,2023-05-26T21:13:13.850,0.420,-0.419,1.822,0.762
1685128393860,2023-05-26T21:13:13.860,0.430,-0.282,1.784,0.899
1685128393870,2023-05-26T21:13:13.870,0.440,-0.419,1.684,0.983
1685128393880,2023-05-26T21:13:13.880,0.450,-0.473,1.684,1.044
1685128393890,2023-05-26T21:13:13.890,0.460,-0.290,1.761,1.082
1685128393900,2023-05-26T21:13:13.900,0.470,-0.107,1.791,0.983
1685128393910,2023-05-26T21:13:13.910,0.480,0.114,1.799,0.816
1685128393920,2023-05-26T21:13:13.920,0.490,0.282,1.883,0.739
1685128393930,2023-05-26T21:13:13.930,0.500,0.473,1.890,0.777
1685128393940,2023-05-26T21:13:13.940,0.510,0.595,2.005,0.747
1685128393950,2023-05-26T21:13:13.950,0.520,0.701,2.066,0.762
1685128393960,2023-05-26T21:13:13.960,0.530,0.877,1.890,0.686
1685128393970,2023-05-26T21:13:13.970,0.540,1.082,1.692,0.678
1685128393980,2023-05-26T21:13:13.980,0.550,1.037,1.662,0.716
1685128393990,2023-05-26T21:13:13.990,0.560,0.899,1.540,0.625
1685128394000,2023-05-26T21:13:14.000,0.570,0.998,1.631,0.739
1685128394010,2023-05-26T21:13:14.010,0.580,1.105,1.723,0.808
1685128394020,2023-05-26T21:13:14.020,0.590,1.098,1.662,0.800
1685128394030,2023-05-26T21:13:14.030,0.600,1.181,1.608,0.808
1685128394040,2023-05-26T21:13:14.040,0.610,1.334,1.730,0.747
1685128394050,2023-05-26T21:13:14.050,0.620,1.387,1.745,0.762
1685128394060,2023-05-26T21:13:14.060,0.630,1.075,1.715,0.793
1685128394070,2023-05-26T21:13:14.070,0.640,0.678,1.677,0.930
1685128394080,2023-05-26T21:13:14.080,0.650,0.373,1.646,1.067
1685128394090,2023-05-26T21:13:14.090,0.660,0.076,1.768,1.021
1685128394100,2023-05-26T21:13:14.100,0.670,0.069,1.654,0.892
1685128394110,2023-05-26T21:13:14.110,0.680,0.259,1.669,0.793
1685128394120,2023-05-26T21:13:14.120,0.690,0.450,1.829,0.838
1685128394130,2023-05-26T21:13:14.130,0.700,0.457,1.921,0.922
1685128394140,2023-05-26T21:13:14.140,0.710,0.511,1.883,1.014
1685128394150,2023-05-26T21:13:14.150,0.720,0.457,1.845,1.059
1685128394160,2023-05-26T21:13:14.160,0.730,0.412,1.715,0.991
1685128394170,2023-05-26T21:13:14.170,0.740,0.175,1.517,0.877
1685128394180,2023-05-26T21:13:14.180,0.750,-0.030,1.372,0.770
1685128394190,2023-05-26T21:13:14.190,0.760,0.099,1.319,0.800
1685128394200,2023-05-26T21:13:14.200,0.770,0.427,1.258,0.930
1685128394210,2023-05-26T21:13:14.210,0.780,1.006,1.166,0.953
1685128394220,2023-05-26T21:13:14.220,0.790,1.326,1.189,0.945
1685128394230,2023-05-26T21:13:14.230,0.800,1.471,1.197,0.899
1685128394240,2023-05-26T21:13:14.240,0.810,1.822,1.250,0.800
1685128394250,2023-05-26T21:13:14.250,0.820,2.226,1.326,0.648
1685128394260,2023-05-26T21:13:14.260,0.830,2.454,1.280,0.541
1685128394270,2023-05-26T21:13:14.270,0.840,2.614,1.410,0.389
1685128394280,2023-05-26T21:13:14.280,0.850,2.790,1.517,0.328
1685128394290,2023-05-26T21:13:14.290,0.860,2.607,1.593,0.320
1685128394300,2023-05-26T21:13:14.300,0.870,2.470,1.616,0.473
1685128394310,2023-05-26T21:13:14.310,0.880,2.058,1.616,0.572
1685128394320,2023-05-26T21:13:14.320,0.890,1.380,1.494,0.617
1685128394330,2023-05-26T21:13:14.330,0.900,0.938,1.303,0.892
1685128394340,2023-05-26T21:13:14.340,0.910,0.450,1.296,1.075
1685128394350,2023-05-26T21:13:14.350,0.920,0.313,1.547,1.029
1685128394360,2023-05-26T21:13:14.360,0.930,0.282,1.684,0.938
1685128394370,2023-05-26T21:13:14.370,0.940,0.282,1.654,0.907
1685128394380,2023-05-26T21:13:14.380,0.950,0.381,1.723,0.777
1685128394390,2023-05-26T21:13:14.390,0.960,0.694,1.837,0.732
1685128394400,2023-05-26T21:13:14.400,0.970,1.044,1.791,0.709
1685128394410,2023-05-26T21:13:14.410,0.980,0.991,1.860,0.709
1685128394420,2023-05-26T21:13:14.420,0.990,0.945,1.852,0.747
1685128394430,2023-05-26T21:13:14.430,1.000,1.067,1.822,0.747
1685128394440,2023-05-26T21:13:14.440,1.010,1.105,1.867,0.762
1685128394450,2023-05-26T21:13:14.450,1.020,0.899,1.822,0.823
1685128394460,2023-05-26T21:13:14.460,1.030,0.854,1.745,0.777
1685128394470,2023-05-26T21:13:14.470,1.040,0.968,1.669,0.694
1685128394480,2023-05-26T21:13:14.480,1.050,1.067,1.608,0.800
1685128394490,2023-05-26T21:13:14.490,1.060,0.998,1.540,0.854
1685128394500,2023-05-26T21:13:14.500,1.070,0.899,1.578,0.823
1685128394510,2023-05-26T21:13:14.510,1.080,0.770,1.662,0.907
1685128394520,2023-05-26T21:13:14.520,1.090,0.473,1.662,0.938
1685128394530,2023-05-26T21:13:14.530,1.100,0.373,1.730,0.968
1685128394540,2023-05-26T21:13:14.540,1.110,0.335,1.723,0.915
1685128394550,2023-05-26T21:13:14.550,1.120,0.335,1.570,0.869
1685128394560,2023-05-26T21:13:14.560,1.130,0.313,1.563,0.884
1685128394570,2023-05-26T21:13:14.570,1.140,0.488,1.608,0.922
1685128394580,2023-05-26T21:13:14.580,1.150,0.579,1.585,0.762
1685128394590,2023-05-26T21:13:14.590,1.160,0.480,1.662,0.777
