epoch (ms);time (01:00);elapsed (s);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
1.68513E+12;2023-05-26T21:14:29.034;0;0.457;-0.373;0.03
1.68513E+12;2023-05-26T21:14:29.044;0.01;0.381;0.518;1.692
1.68513E+12;2023-05-26T21:14:29.054;0.02;0.389;0.328;0.694
1.68513E+12;2023-05-26T21:14:29.064;0.03;0.617;0.465;0.625
1.68513E+12;2023-05-26T21:14:29.074;0.04;0.808;0.495;0.556
1.68513E+12;2023-05-26T21:14:29.084;0.05;0.922;0.32;0.572
1.68513E+12;2023-05-26T21:14:29.094;0.06;1.113;0.259;0.633
1.68513E+12;2023-05-26T21:14:29.104;0.07;1.212;0.442;0.579
1.68513E+12;2023-05-26T21:14:29.114;0.08;1.044;0.488;0.587
1.68513E+12;2023-05-26T21:14:29.124;0.09;0.991;0.404;0.434
1.68513E+12;2023-05-26T21:14:29.134;0.1;1.227;0.419;0.328
1.68513E+12;2023-05-26T21:14:29.144;0.11;1.143;0.473;0.45
1.68513E+12;2023-05-26T21:14:29.154;0.12;1.006;0.465;0.655
1.68513E+12;2023-05-26T21:14:29.164;0.13;1.105;0.48;0.633
1.68513E+12;2023-05-26T21:14:29.174;0.14;1.326;0.427;0.511
1.68513E+12;2023-05-26T21:14:29.184;0.15;1.425;0.511;0.511
1.68513E+12;2023-05-26T21:14:29.194;0.16;1.326;0.511;0.572
1.68513E+12;2023-05-26T21:14:29.204;0.17;1.471;0.572;0.541
1.68513E+12;2023-05-26T21:14:29.214;0.18;1.563;0.602;0.526
1.68513E+12;2023-05-26T21:14:29.224;0.19;1.654;0.541;0.427
1.68513E+12;2023-05-26T21:14:29.234;0.2;1.761;0.518;0.305
1.68513E+12;2023-05-26T21:14:29.244;0.21;1.73;0.648;0.328
1.68513E+12;2023-05-26T21:14:29.254;0.22;1.463;0.648;0.198
1.68513E+12;2023-05-26T21:14:29.264;0.23;1.265;0.511;0.213
1.68513E+12;2023-05-26T21:14:29.274;0.24;1.181;0.48;0.236
1.68513E+12;2023-05-26T21:14:29.284;0.25;0.938;0.564;0.213
1.68513E+12;2023-05-26T21:14:29.294;0.26;0.686;0.564;0.313
1.68513E+12;2023-05-26T21:14:29.304;0.27;0.419;0.404;0.381
1.68513E+12;2023-05-26T21:14:29.314;0.28;0.412;0.152;0.343
1.68513E+12;2023-05-26T21:14:29.324;0.29;0.724;0.137;0.373
1.68513E+12;2023-05-26T21:14:29.334;0.3;0.907;0.191;0.236
1.68513E+12;2023-05-26T21:14:29.344;0.31;1.166;0.274;0.282
1.68513E+12;2023-05-26T21:14:29.354;0.32;1.288;0.297;0.274
1.68513E+12;2023-05-26T21:14:29.364;0.33;1.41;0.229;0.229
1.68513E+12;2023-05-26T21:14:29.374;0.34;1.692;0.191;0.16
1.68513E+12;2023-05-26T21:14:29.384;0.35;1.936;0.137;0.13
1.68513E+12;2023-05-26T21:14:29.394;0.36;1.791;0.03;0.107
1.68513E+12;2023-05-26T21:14:29.404;0.37;1.524;0.114;0.13
1.68513E+12;2023-05-26T21:14:29.414;0.38;1.311;0.152;0.099
1.68513E+12;2023-05-26T21:14:29.424;0.39;0.899;0.13;0.099
1.68513E+12;2023-05-26T21:14:29.434;0.4;0.518;0.145;0.107
1.68513E+12;2023-05-26T21:14:29.444;0.41;-0.053;0.252;0.221
1.68513E+12;2023-05-26T21:14:29.454;0.42;-0.404;0.206;0.274
1.68513E+12;2023-05-26T21:14:29.464;0.43;-0.503;0.244;0.244
1.68513E+12;2023-05-26T21:14:29.474;0.44;-0.373;0.107;0.434
1.68513E+12;2023-05-26T21:14:29.484;0.45;-0.358;-0.114;0.419
1.68513E+12;2023-05-26T21:14:29.494;0.46;-0.32;-0.015;0.351
1.68513E+12;2023-05-26T21:14:29.504;0.47;0.008;-0.023;0.221
1.68513E+12;2023-05-26T21:14:29.514;0.48;0.335;-0.023;0.274
1.68513E+12;2023-05-26T21:14:29.524;0.49;0.564;0.076;0.274
1.68513E+12;2023-05-26T21:14:29.534;0.5;0.633;0.152;0.358
1.68513E+12;2023-05-26T21:14:29.544;0.51;0.579;0.076;0.305
1.68513E+12;2023-05-26T21:14:29.554;0.52;0.663;0.168;0.335
1.68513E+12;2023-05-26T21:14:29.564;0.53;0.899;0.259;0.282
1.68513E+12;2023-05-26T21:14:29.574;0.54;1.044;0.343;0.244
1.68513E+12;2023-05-26T21:14:29.584;0.55;0.915;0.305;0.282
1.68513E+12;2023-05-26T21:14:29.594;0.56;0.671;0.259;0.358
1.68513E+12;2023-05-26T21:14:29.604;0.57;0.701;0.244;0.343
1.68513E+12;2023-05-26T21:14:29.614;0.58;0.838;0.252;0.29
1.68513E+12;2023-05-26T21:14:29.624;0.59;0.816;0.267;0.267
1.68513E+12;2023-05-26T21:14:29.634;0.6;0.77;0.259;0.335
1.68513E+12;2023-05-26T21:14:29.644;0.61;0.716;0.16;0.404
1.68513E+12;2023-05-26T21:14:29.654;0.62;0.412;-0.008;0.45
1.68513E+12;2023-05-26T21:14:29.664;0.63;0.168;-0.13;0.739
1.68513E+12;2023-05-26T21:14:29.674;0.64;0.198;-0.206;0.686
1.68513E+12;2023-05-26T21:14:29.684;0.65;0.305;-0.152;0.633
1.68513E+12;2023-05-26T21:14:29.694;0.66;0.572;0.015;0.549
1.68513E+12;2023-05-26T21:14:29.704;0.67;0.701;0.229;0.465
1.68513E+12;2023-05-26T21:14:29.714;0.68;0.777;0.343;0.572
1.68513E+12;2023-05-26T21:14:29.724;0.69;0.938;0.48;0.655
1.68513E+12;2023-05-26T21:14:29.734;0.7;0.968;0.412;0.541
1.68513E+12;2023-05-26T21:14:29.744;0.71;0.8;0.48;0.579
1.68513E+12;2023-05-26T21:14:29.754;0.72;0.503;0.335;0.663
1.68513E+12;2023-05-26T21:14:29.764;0.73;0.343;0.412;0.595
1.68513E+12;2023-05-26T21:14:29.774;0.74;0.091;0.473;0.724
1.68513E+12;2023-05-26T21:14:29.784;0.75;-0.511;0.48;0.732
1.68513E+12;2023-05-26T21:14:29.794;0.76;-0.846;0.442;0.709
1.68513E+12;2023-05-26T21:14:29.804;0.77;-0.953;0.412;0.793
1.68513E+12;2023-05-26T21:14:29.814;0.78;-1.075;0.373;0.922
1.68513E+12;2023-05-26T21:14:29.824;0.79;-0.838;0.213;0.983
1.68513E+12;2023-05-26T21:14:29.834;0.8;-0.434;0.335;0.884
1.68513E+12;2023-05-26T21:14:29.844;0.81;0.008;0.427;0.793
1.68513E+12;2023-05-26T21:14:29.854;0.82;0.229;0.427;0.96
1.68513E+12;2023-05-26T21:14:29.864;0.83;0.663;0.434;0.983
1.68513E+12;2023-05-26T21:14:29.874;0.84;0.968;0.419;0.915
1.68513E+12;2023-05-26T21:14:29.884;0.85;1.052;0.236;0.838
1.68513E+12;2023-05-26T21:14:29.894;0.86;0.861;0.015;0.877
1.68513E+12;2023-05-26T21:14:29.904;0.87;0.716;-0.015;0.831
1.68513E+12;2023-05-26T21:14:29.914;0.88;0.45;0.053;0.793
1.68513E+12;2023-05-26T21:14:29.924;0.89;0.099;0.152;0.655
1.68513E+12;2023-05-26T21:14:29.934;0.9;0.114;0.381;0.541
1.68513E+12;2023-05-26T21:14:29.944;0.91;0.259;0.518;0.625
1.68513E+12;2023-05-26T21:14:29.954;0.92;0.335;0.625;0.694
1.68513E+12;2023-05-26T21:14:29.964;0.93;0.457;0.541;0.77
1.68513E+12;2023-05-26T21:14:29.974;0.94;0.465;0.328;0.96
1.68513E+12;2023-05-26T21:14:29.984;0.95;0.541;0.191;0.998
1.68513E+12;2023-05-26T21:14:29.994;0.96;0.564;0.213;0.998
1.68513E+12;2023-05-26T21:14:30.004;0.97;0.564;0.259;0.991
1.68513E+12;2023-05-26T21:14:30.014;0.98;0.488;0.358;0.922
1.68513E+12;2023-05-26T21:14:30.024;0.99;0.549;0.381;0.983
1.68513E+12;2023-05-26T21:14:30.034;1;0.61;0.503;1.136
1.68513E+12;2023-05-26T21:14:30.044;1.01;0.518;0.419;1.113
1.68513E+12;2023-05-26T21:14:30.054;1.02;0.526;0.328;0.915
1.68513E+12;2023-05-26T21:14:30.064;1.03;0.328;0.198;0.777
1.68513E+12;2023-05-26T21:14:30.074;1.04;0.152;-0.053;0.823
1.68513E+12;2023-05-26T21:14:30.084;1.05;0.091;-0.053;0.922
