epoch (ms);time (01:00);elapsed (s);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
1.68513E+12;2023-05-26T21:16:36.492;0;4.04;-1.509;-0.229
1.68513E+12;2023-05-26T21:16:36.502;0.01;3.498;-1.715;-0.846
1.68513E+12;2023-05-26T21:16:36.512;0.02;3.201;-1.837;-0.816
1.68513E+12;2023-05-26T21:16:36.522;0.03;2.675;-1.852;-0.579
1.68513E+12;2023-05-26T21:16:36.532;0.04;2.675;-2.02;-0.694
1.68513E+12;2023-05-26T21:16:36.542;0.05;2.797;-1.905;-0.77
1.68513E+12;2023-05-26T21:16:36.552;0.06;2.744;-1.723;-0.694
1.68513E+12;2023-05-26T21:16:36.562;0.07;2.866;-1.677;-0.762
1.68513E+12;2023-05-26T21:16:36.572;0.08;2.889;-1.593;-0.724
1.68513E+12;2023-05-26T21:16:36.582;0.09;2.767;-1.517;-0.655
1.68513E+12;2023-05-26T21:16:36.592;0.1;2.523;-1.54;-0.526
1.68513E+12;2023-05-26T21:16:36.602;0.11;2.431;-1.463;-0.396
1.68513E+12;2023-05-26T21:16:36.612;0.12;2.081;-1.174;-0.351
1.68513E+12;2023-05-26T21:16:36.622;0.13;1.799;-0.953;-0.305
1.68513E+12;2023-05-26T21:16:36.632;0.14;1.433;-0.8;-0.252
1.68513E+12;2023-05-26T21:16:36.642;0.15;0.998;-0.633;-0.274
1.68513E+12;2023-05-26T21:16:36.652;0.16;0.572;-0.77;-0.305
1.68513E+12;2023-05-26T21:16:36.662;0.17;0.175;-0.915;-0.168
1.68513E+12;2023-05-26T21:16:36.672;0.18;-0.137;-0.991;0.206
1.68513E+12;2023-05-26T21:16:36.682;0.19;-0.351;-1.136;0.351
1.68513E+12;2023-05-26T21:16:36.692;0.2;0.107;-1.189;0.29
1.68513E+12;2023-05-26T21:16:36.702;0.21;0.732;-1.189;0.084
1.68513E+12;2023-05-26T21:16:36.712;0.22;1.387;-1.098;0
1.68513E+12;2023-05-26T21:16:36.722;0.23;1.959;-0.953;-0.061
1.68513E+12;2023-05-26T21:16:36.732;0.24;2.355;-0.64;-0.076
1.68513E+12;2023-05-26T21:16:36.742;0.25;2.66;-0.549;-0.008
1.68513E+12;2023-05-26T21:16:36.752;0.26;2.95;-0.488;0.145
1.68513E+12;2023-05-26T21:16:36.762;0.27;3.361;-0.396;0.297
1.68513E+12;2023-05-26T21:16:36.772;0.28;3.521;-0.305;0.32
1.68513E+12;2023-05-26T21:16:36.782;0.29;3.529;-0.389;0.13
1.68513E+12;2023-05-26T21:16:36.792;0.3;3.628;-0.648;-0.091
1.68513E+12;2023-05-26T21:16:36.802;0.31;3.46;-0.655;-0.076
1.68513E+12;2023-05-26T21:16:36.812;0.32;3.064;-0.549;0.076
1.68513E+12;2023-05-26T21:16:36.822;0.33;2.561;-0.572;0.29
1.68513E+12;2023-05-26T21:16:36.832;0.34;2.241;-0.549;0.457
1.68513E+12;2023-05-26T21:16:36.842;0.35;2.119;-0.404;0.541
1.68513E+12;2023-05-26T21:16:36.852;0.36;1.86;-0.175;0.396
1.68513E+12;2023-05-26T21:16:36.862;0.37;1.463;0.046;0.267
1.68513E+12;2023-05-26T21:16:36.872;0.38;1.41;0.145;0.313
1.68513E+12;2023-05-26T21:16:36.882;0.39;1.273;0.434;0.343
1.68513E+12;2023-05-26T21:16:36.892;0.4;1.059;0.564;0.244
1.68513E+12;2023-05-26T21:16:36.902;0.41;0.739;0.252;0.29
1.68513E+12;2023-05-26T21:16:36.912;0.42;0.48;0.236;0.549
1.68513E+12;2023-05-26T21:16:36.922;0.43;0.244;0.335;0.595
1.68513E+12;2023-05-26T21:16:36.932;0.44;-0.076;0.206;0.663
1.68513E+12;2023-05-26T21:16:36.942;0.45;-0.198;-0.107;0.595
1.68513E+12;2023-05-26T21:16:36.952;0.46;-0.29;-0.229;0.701
1.68513E+12;2023-05-26T21:16:36.962;0.47;-0.427;-0.229;0.625
1.68513E+12;2023-05-26T21:16:36.972;0.48;-0.297;-0.091;0.541
1.68513E+12;2023-05-26T21:16:36.982;0.49;-0.13;0.008;0.495
1.68513E+12;2023-05-26T21:16:36.992;0.5;0.076;-0.137;0.358
1.68513E+12;2023-05-26T21:16:37.002;0.51;0.252;-0.168;0.373
1.68513E+12;2023-05-26T21:16:37.012;0.52;0.16;-0.335;0.48
1.68513E+12;2023-05-26T21:16:37.022;0.53;-0.053;-0.305;0.633
1.68513E+12;2023-05-26T21:16:37.032;0.54;-0.061;-0.434;0.64
1.68513E+12;2023-05-26T21:16:37.042;0.55;-0.107;-0.495;0.64
1.68513E+12;2023-05-26T21:16:37.052;0.56;-0.084;-0.45;0.648
1.68513E+12;2023-05-26T21:16:37.062;0.57;-0.282;-0.328;0.534
