epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685129107691,2023-05-26T21:25:07.691,0.000,-0.549,-0.716,0.419
1685129107701,2023-05-26T21:25:07.701,0.010,-0.755,0.945,3.811
1685129107711,2023-05-26T21:25:07.711,0.020,0.160,0.091,2.104
1685129107721,2023-05-26T21:25:07.721,0.030,0.991,-0.236,1.867
1685129107731,2023-05-26T21:25:07.731,0.040,1.677,-0.259,2.309
1685129107741,2023-05-26T21:25:07.741,0.050,2.241,-0.282,2.607
1685129107751,2023-05-26T21:25:07.751,0.060,2.470,-0.328,2.873
1685129107761,2023-05-26T21:25:07.761,0.070,2.424,-0.442,3.201
1685129107771,2023-05-26T21:25:07.771,0.080,2.447,-0.503,3.377
1685129107781,2023-05-26T21:25:07.781,0.090,2.637,-0.541,3.681
1685129107791,2023-05-26T21:25:07.791,0.100,3.216,-0.602,3.788
1685129107801,2023-05-26T21:25:07.801,0.110,3.735,-0.610,3.895
1685129107811,2023-05-26T21:25:07.811,0.120,5.038,-0.595,4.047
1685129107821,2023-05-26T21:25:07.821,0.130,6.784,-0.823,4.657
1685129107831,2023-05-26T21:25:07.831,0.140,7.607,-0.640,5.351
1685129107841,2023-05-26T21:25:07.841,0.150,8.468,-0.541,5.541
1685129107851,2023-05-26T21:25:07.851,0.160,10.175,-0.724,5.617
1685129107861,2023-05-26T21:25:07.861,0.170,12.134,-0.915,5.861
1685129107871,2023-05-26T21:25:07.871,0.180,13.788,-1.113,6.189
1685129107881,2023-05-26T21:25:07.881,0.190,14.192,-1.143,6.090
1685129107891,2023-05-26T21:25:07.891,0.200,14.337,-0.953,6.037
1685129107901,2023-05-26T21:25:07.901,0.210,14.367,-1.075,6.098
1685129107911,2023-05-26T21:25:07.911,0.220,14.688,-0.785,5.854
1685129107921,2023-05-26T21:25:07.921,0.230,14.375,-0.640,5.366
1685129107931,2023-05-26T21:25:07.931,0.240,13.552,-0.694,4.680
1685129107941,2023-05-26T21:25:07.941,0.250,12.675,-0.549,4.146
1685129107951,2023-05-26T21:25:07.951,0.260,11.662,-0.366,3.780
1685129107961,2023-05-26T21:25:07.961,0.270,10.595,-0.183,3.308
1685129107971,2023-05-26T21:25:07.971,0.280,9.200,-0.076,2.973
