epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1685528979764,2023-05-31T12:29:39.764,0.000,164.964,-72.999,-0.000,-0.000
1685528979774,2023-05-31T12:29:39.774,0.010,164.964,-72.996,0.002,0.002
1685528979784,2023-05-31T12:29:39.784,0.020,164.963,-72.996,0.009,0.009
1685528979794,2023-05-31T12:29:39.794,0.030,164.968,-72.998,0.012,0.012
1685528979804,2023-05-31T12:29:39.804,0.040,164.968,-72.995,0.014,0.014
1685528979814,2023-05-31T12:29:39.814,0.050,164.968,-72.992,0.016,0.016
1685528979824,2023-05-31T12:29:39.824,0.060,164.968,-72.989,0.018,0.018
1685528979834,2023-05-31T12:29:39.834,0.070,164.968,-72.986,0.020,0.020
1685528979844,2023-05-31T12:29:39.844,0.080,164.968,-72.987,0.020,0.020
1685528979854,2023-05-31T12:29:39.854,0.090,164.968,-72.986,0.020,0.020
1685528979864,2023-05-31T12:29:39.864,0.100,164.968,-72.986,0.020,0.020
1685528979874,2023-05-31T12:29:39.874,0.110,164.968,-72.986,0.020,0.020
1685528979884,2023-05-31T12:29:39.884,0.120,164.968,-72.986,0.020,0.020
1685528979894,2023-05-31T12:29:39.894,0.130,164.967,-72.986,0.020,0.020
1685528979904,2023-05-31T12:29:39.904,0.140,164.967,-72.986,0.020,0.020
1685528979914,2023-05-31T12:29:39.914,0.150,164.973,-72.991,0.014,0.014
1685528979924,2023-05-31T12:29:39.924,0.160,164.972,-72.991,0.021,0.021
1685528979934,2023-05-31T12:29:39.934,0.170,164.971,-72.991,0.029,0.029
1685528979944,2023-05-31T12:29:39.944,0.180,164.970,-72.991,0.037,0.037
1685528979954,2023-05-31T12:29:39.954,0.190,164.969,-72.991,0.044,0.044
1685528979964,2023-05-31T12:29:39.964,0.200,164.968,-72.991,0.052,0.052
1685528979974,2023-05-31T12:29:39.974,0.210,164.974,-72.996,0.046,0.046
1685528979984,2023-05-31T12:29:39.984,0.220,164.980,-73.001,0.039,0.039
1685528979994,2023-05-31T12:29:39.994,0.230,164.986,-73.007,0.040,0.040
1685528980004,2023-05-31T12:29:40.004,0.240,164.993,-73.013,0.033,0.033
1685528980014,2023-05-31T12:29:40.014,0.250,165.000,-73.019,0.026,0.026
1685528980024,2023-05-31T12:29:40.024,0.260,165.007,-73.026,0.018,0.018
1685528980034,2023-05-31T12:29:40.034,0.270,165.015,-73.033,0.010,0.010
1685528980044,2023-05-31T12:29:40.044,0.280,165.023,-73.040,0.003,0.003
1685528980054,2023-05-31T12:29:40.054,0.290,165.030,-73.046,359.995,359.995
1685528980064,2023-05-31T12:29:40.064,0.300,165.037,-73.052,359.988,359.988
1685528980074,2023-05-31T12:29:40.074,0.310,165.045,-73.059,359.979,359.979
1685528980084,2023-05-31T12:29:40.084,0.320,165.053,-73.067,359.972,359.972
1685528980094,2023-05-31T12:29:40.094,0.330,165.061,-73.073,359.964,359.964
1685528980104,2023-05-31T12:29:40.104,0.340,165.068,-73.081,359.963,359.963
1685528980114,2023-05-31T12:29:40.114,0.350,165.074,-73.087,359.963,359.963
