epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1685521899460,2023-05-31T10:31:39.460,0.000,164.499,-73.470,359.999,359.999
1685521899470,2023-05-31T10:31:39.470,0.010,164.512,-73.480,359.996,359.996
1685521899480,2023-05-31T10:31:39.480,0.020,164.519,-73.487,359.995,359.995
1685521899490,2023-05-31T10:31:39.490,0.030,164.525,-73.493,359.988,359.988
1685521899500,2023-05-31T10:31:39.500,0.040,164.533,-73.501,359.980,359.980
1685521899510,2023-05-31T10:31:39.510,0.050,164.541,-73.509,359.972,359.972
1685521899520,2023-05-31T10:31:39.520,0.060,164.549,-73.516,359.964,359.964
1685521899530,2023-05-31T10:31:39.530,0.070,164.556,-73.523,359.964,359.964
1685521899540,2023-05-31T10:31:39.540,0.080,164.563,-73.530,359.964,359.964
1685521899550,2023-05-31T10:31:39.550,0.090,164.570,-73.537,359.963,359.963
1685521899560,2023-05-31T10:31:39.560,0.100,164.576,-73.543,359.956,359.956
1685521899570,2023-05-31T10:31:39.570,0.110,164.583,-73.550,359.949,359.949
1685521899580,2023-05-31T10:31:39.580,0.120,164.590,-73.557,359.942,359.942
1685521899590,2023-05-31T10:31:39.590,0.130,164.597,-73.563,359.935,359.935
1685521899600,2023-05-31T10:31:39.600,0.140,164.597,-73.563,359.935,359.935
1685521899610,2023-05-31T10:31:39.610,0.150,164.597,-73.563,359.935,359.935
1685521899620,2023-05-31T10:31:39.620,0.160,164.597,-73.563,359.935,359.935
1685521899630,2023-05-31T10:31:39.630,0.170,164.597,-73.563,359.935,359.935
1685521899640,2023-05-31T10:31:39.640,0.180,164.597,-73.563,359.935,359.935
1685521899650,2023-05-31T10:31:39.650,0.190,164.597,-73.560,359.937,359.937
1685521899660,2023-05-31T10:31:39.660,0.200,164.597,-73.558,359.939,359.939
1685521899670,2023-05-31T10:31:39.670,0.210,164.603,-73.561,359.935,359.935
1685521899680,2023-05-31T10:31:39.680,0.220,164.610,-73.565,359.930,359.930
1685521899690,2023-05-31T10:31:39.690,0.230,164.610,-73.566,359.930,359.930
