epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1685522620214,2023-05-31T10:43:40.214,0.000,162.949,-72.377,-0.000,-0.000
1685522620224,2023-05-31T10:43:40.224,0.010,162.949,-72.377,0.006,0.006
1685522620234,2023-05-31T10:43:40.234,0.020,162.969,-72.397,359.993,359.993
1685522620244,2023-05-31T10:43:40.244,0.030,162.981,-72.410,359.988,359.988
1685522620254,2023-05-31T10:43:40.254,0.040,162.993,-72.422,359.982,359.982
1685522620264,2023-05-31T10:43:40.264,0.050,163.004,-72.433,359.971,359.971
1685522620274,2023-05-31T10:43:40.274,0.060,163.014,-72.443,359.960,359.960
1685522620284,2023-05-31T10:43:40.284,0.070,163.025,-72.454,359.949,359.949
1685522620294,2023-05-31T10:43:40.294,0.080,163.037,-72.465,359.938,359.938
1685522620304,2023-05-31T10:43:40.304,0.090,163.048,-72.475,359.927,359.927
1685522620314,2023-05-31T10:43:40.314,0.100,163.058,-72.485,359.917,359.917
1685522620324,2023-05-31T10:43:40.324,0.110,163.068,-72.495,359.907,359.907
1685522620334,2023-05-31T10:43:40.334,0.120,163.077,-72.504,359.897,359.897
1685522620344,2023-05-31T10:43:40.344,0.130,163.086,-72.513,359.888,359.888
1685522620354,2023-05-31T10:43:40.354,0.140,163.095,-72.521,359.880,359.880
1685522620364,2023-05-31T10:43:40.364,0.150,163.102,-72.529,359.872,359.872
1685522620374,2023-05-31T10:43:40.374,0.160,163.109,-72.535,359.866,359.866
1685522620384,2023-05-31T10:43:40.384,0.170,163.108,-72.534,359.867,359.867
1685522620394,2023-05-31T10:43:40.394,0.180,163.106,-72.533,359.869,359.869
1685522620404,2023-05-31T10:43:40.404,0.190,163.111,-72.538,359.864,359.864
1685522620414,2023-05-31T10:43:40.414,0.200,163.117,-72.544,359.858,359.858
1685522620424,2023-05-31T10:43:40.424,0.210,163.125,-72.549,359.842,359.842
1685522620434,2023-05-31T10:43:40.434,0.220,163.133,-72.555,359.821,359.821
1685522620444,2023-05-31T10:43:40.444,0.230,163.135,-72.553,359.800,359.800
1685522620454,2023-05-31T10:43:40.454,0.240,163.143,-72.558,359.777,359.777
1685522620464,2023-05-31T10:43:40.464,0.250,163.150,-72.562,359.752,359.752
1685522620474,2023-05-31T10:43:40.474,0.260,163.151,-72.562,359.735,359.735
1685522620484,2023-05-31T10:43:40.484,0.270,163.158,-72.568,359.710,359.710
1685522620494,2023-05-31T10:43:40.494,0.280,163.160,-72.567,359.689,359.689
1685522620504,2023-05-31T10:43:40.504,0.290,163.160,-72.566,359.666,359.666
1685522620514,2023-05-31T10:43:40.514,0.300,163.159,-72.564,359.645,359.645
1685522620524,2023-05-31T10:43:40.524,0.310,163.159,-72.560,359.627,359.627
1685522620534,2023-05-31T10:43:40.534,0.320,163.160,-72.557,359.610,359.610
1685522620544,2023-05-31T10:43:40.544,0.330,163.160,-72.556,359.582,359.582
1685522620554,2023-05-31T10:43:40.554,0.340,163.160,-72.553,359.554,359.554
1685522620564,2023-05-31T10:43:40.564,0.350,163.159,-72.550,359.530,359.530
1685522620574,2023-05-31T10:43:40.574,0.360,163.154,-72.543,359.510,359.510
1685522620584,2023-05-31T10:43:40.584,0.370,163.147,-72.534,359.495,359.495
1685522620594,2023-05-31T10:43:40.594,0.380,163.139,-72.525,359.485,359.485
1685522620604,2023-05-31T10:43:40.604,0.390,163.130,-72.516,359.479,359.479
1685522620614,2023-05-31T10:43:40.614,0.400,163.122,-72.507,359.474,359.474
1685522620624,2023-05-31T10:43:40.624,0.410,163.115,-72.499,359.470,359.470
1685522620634,2023-05-31T10:43:40.634,0.420,163.107,-72.490,359.471,359.471
1685522620644,2023-05-31T10:43:40.644,0.430,163.097,-72.480,359.481,359.481
1685522620654,2023-05-31T10:43:40.654,0.440,163.089,-72.472,359.490,359.490
1685522620664,2023-05-31T10:43:40.664,0.450,163.082,-72.466,359.497,359.497
1685522620674,2023-05-31T10:43:40.674,0.460,163.077,-72.461,359.502,359.502
1685522620684,2023-05-31T10:43:40.684,0.470,163.073,-72.458,359.514,359.514
1685522620694,2023-05-31T10:43:40.694,0.480,163.069,-72.453,359.531,359.531
1685522620704,2023-05-31T10:43:40.704,0.490,163.064,-72.448,359.554,359.554
1685522620714,2023-05-31T10:43:40.714,0.500,163.057,-72.441,359.585,359.585
1685522620724,2023-05-31T10:43:40.724,0.510,163.050,-72.435,359.620,359.620
1685522620734,2023-05-31T10:43:40.734,0.520,163.046,-72.431,359.655,359.655
1685522620744,2023-05-31T10:43:40.744,0.530,163.043,-72.428,359.684,359.684
