epoch (ms);time (01:00);elapsed (s);pitch (deg);roll (deg);yaw (deg); heading (deg)
1.6828E+12;2023-04-29T23:04:58.998;0;161.484;-71.02;359.999;359.999
1.6828E+12;2023-04-29T23:04:59.008;0.01;161.484;-71.02;0;0
1.6828E+12;2023-04-29T23:04:59.018;0.02;161.484;-71.02;0;0
1.6828E+12;2023-04-29T23:04:59.028;0.03;161.484;-71.02;0;0
1.6828E+12;2023-04-29T23:04:59.038;0.04;161.484;-71.02;0;0
1.6828E+12;2023-04-29T23:04:59.048;0.05;161.484;-71.02;0;0
1.6828E+12;2023-04-29T23:04:59.058;0.06;161.484;-71.02;0;0
1.6828E+12;2023-04-29T23:04:59.068;0.07;161.484;-71.02;359.999;359.999
1.6828E+12;2023-04-29T23:04:59.078;0.08;161.484;-71.02;359.999;359.999
1.6828E+12;2023-04-29T23:04:59.088;0.09;161.484;-71.02;359.999;359.999
1.6828E+12;2023-04-29T23:04:59.098;0.1;161.484;-71.02;359.999;359.999
1.6828E+12;2023-04-29T23:04:59.108;0.11;161.484;-71.02;359.999;359.999
1.6828E+12;2023-04-29T23:04:59.118;0.12;161.484;-71.02;359.999;359.999
1.6828E+12;2023-04-29T23:04:59.128;0.13;161.484;-71.02;359.999;359.999
1.6828E+12;2023-04-29T23:04:59.138;0.14;161.484;-71.02;359.999;359.999
1.6828E+12;2023-04-29T23:04:59.148;0.15;161.484;-71.02;359.999;359.999
1.6828E+12;2023-04-29T23:04:59.158;0.16;161.484;-71.02;359.999;359.999
1.6828E+12;2023-04-29T23:04:59.168;0.17;161.484;-71.02;359.999;359.999
1.6828E+12;2023-04-29T23:04:59.178;0.18;161.484;-71.02;359.999;359.999
1.6828E+12;2023-04-29T23:04:59.188;0.19;161.484;-71.02;359.999;359.999
1.6828E+12;2023-04-29T23:04:59.198;0.2;161.484;-71.02;359.999;359.999
1.6828E+12;2023-04-29T23:04:59.208;0.21;161.484;-71.02;359.999;359.999
1.6828E+12;2023-04-29T23:04:59.218;0.22;161.484;-71.021;359.999;359.999
1.6828E+12;2023-04-29T23:04:59.228;0.23;161.484;-71.021;359.999;359.999
1.6828E+12;2023-04-29T23:04:59.238;0.24;161.49;-71.027;359.993;359.993
1.6828E+12;2023-04-29T23:04:59.248;0.25;161.49;-71.027;359.993;359.993
1.6828E+12;2023-04-29T23:04:59.258;0.26;161.49;-71.027;359.993;359.993
1.6828E+12;2023-04-29T23:04:59.268;0.27;161.49;-71.025;359.995;359.995
1.6828E+12;2023-04-29T23:04:59.278;0.28;161.496;-71.03;359.997;359.997
1.6828E+12;2023-04-29T23:04:59.288;0.29;161.495;-71.028;0.007;0.007
1.6828E+12;2023-04-29T23:04:59.298;0.3;161.495;-71.028;0.007;0.007
1.6828E+12;2023-04-29T23:04:59.308;0.31;161.501;-71.033;0.003;0.003
1.6828E+12;2023-04-29T23:04:59.318;0.32;161.501;-71.033;0.002;0.002
1.6828E+12;2023-04-29T23:04:59.328;0.33;161.508;-71.039;359.995;359.995
1.6828E+12;2023-04-29T23:04:59.338;0.34;161.508;-71.04;359.995;359.995
1.6828E+12;2023-04-29T23:04:59.348;0.35;161.508;-71.04;359.995;359.995
1.6828E+12;2023-04-29T23:04:59.358;0.36;161.509;-71.04;359.994;359.994
1.6828E+12;2023-04-29T23:04:59.368;0.37;161.509;-71.041;359.994;359.994
1.6828E+12;2023-04-29T23:04:59.378;0.38;161.51;-71.041;359.993;359.993
1.6828E+12;2023-04-29T23:04:59.388;0.39;161.51;-71.042;359.993;359.993
1.6828E+12;2023-04-29T23:04:59.398;0.4;161.51;-71.042;359.993;359.993
1.6828E+12;2023-04-29T23:04:59.408;0.41;161.511;-71.043;359.992;359.992
1.6828E+12;2023-04-29T23:04:59.418;0.42;161.511;-71.043;359.992;359.992
1.6828E+12;2023-04-29T23:04:59.428;0.43;161.511;-71.043;359.992;359.992
1.6828E+12;2023-04-29T23:04:59.438;0.44;161.511;-71.043;359.992;359.992
1.6828E+12;2023-04-29T23:04:59.448;0.45;161.511;-71.043;359.992;359.992
1.6828E+12;2023-04-29T23:04:59.458;0.46;161.511;-71.043;359.992;359.992
1.6828E+12;2023-04-29T23:04:59.468;0.47;161.511;-71.043;359.992;359.992
1.6828E+12;2023-04-29T23:04:59.478;0.48;161.511;-71.043;359.992;359.992
1.6828E+12;2023-04-29T23:04:59.488;0.49;161.511;-71.043;359.992;359.992
1.6828E+12;2023-04-29T23:04:59.498;0.5;161.511;-71.044;359.991;359.991
1.6828E+12;2023-04-29T23:04:59.508;0.51;161.512;-71.044;359.991;359.991
1.6828E+12;2023-04-29T23:04:59.518;0.52;161.512;-71.044;359.991;359.991
1.6828E+12;2023-04-29T23:04:59.528;0.53;161.513;-71.045;359.99;359.99
1.6828E+12;2023-04-29T23:04:59.538;0.54;161.513;-71.045;359.99;359.99
1.6828E+12;2023-04-29T23:04:59.548;0.55;161.513;-71.045;359.989;359.989
1.6828E+12;2023-04-29T23:04:59.558;0.56;161.514;-71.046;359.989;359.989
1.6828E+12;2023-04-29T23:04:59.568;0.57;161.514;-71.047;359.988;359.988
1.6828E+12;2023-04-29T23:04:59.578;0.58;161.515;-71.047;359.988;359.988
1.6828E+12;2023-04-29T23:04:59.588;0.59;161.515;-71.047;359.981;359.981
1.6828E+12;2023-04-29T23:04:59.598;0.6;161.516;-71.048;359.981;359.981
1.6828E+12;2023-04-29T23:04:59.608;0.61;161.516;-71.048;359.975;359.975
1.6828E+12;2023-04-29T23:04:59.618;0.62;161.517;-71.048;359.968;359.968
1.6828E+12;2023-04-29T23:04:59.628;0.63;161.517;-71.048;359.968;359.968
1.6828E+12;2023-04-29T23:04:59.638;0.64;161.517;-71.048;359.968;359.968
1.6828E+12;2023-04-29T23:04:59.648;0.65;161.517;-71.048;359.968;359.968
1.6828E+12;2023-04-29T23:04:59.658;0.66;161.517;-71.048;359.968;359.968
1.6828E+12;2023-04-29T23:04:59.668;0.67;161.517;-71.048;359.968;359.968
1.6828E+12;2023-04-29T23:04:59.678;0.68;161.517;-71.048;359.968;359.968
1.6828E+12;2023-04-29T23:04:59.688;0.69;161.517;-71.048;359.968;359.968
1.6828E+12;2023-04-29T23:04:59.698;0.7;161.517;-71.048;359.969;359.969
1.6828E+12;2023-04-29T23:04:59.708;0.71;161.516;-71.047;359.969;359.969
1.6828E+12;2023-04-29T23:04:59.718;0.72;161.515;-71.047;359.97;359.97
1.6828E+12;2023-04-29T23:04:59.728;0.73;161.515;-71.046;359.971;359.971
1.6828E+12;2023-04-29T23:04:59.738;0.74;161.514;-71.046;359.979;359.979
1.6828E+12;2023-04-29T23:04:59.748;0.75;161.513;-71.045;359.991;359.991
1.6828E+12;2023-04-29T23:04:59.758;0.76;161.517;-71.051;0.004;0.004
1.6828E+12;2023-04-29T23:04:59.768;0.77;161.524;-71.059;0.02;0.02
1.6828E+12;2023-04-29T23:04:59.778;0.78;161.533;-71.07;0.04;0.04
1.6828E+12;2023-04-29T23:04:59.788;0.79;161.544;-71.084;0.062;0.062
1.6828E+12;2023-04-29T23:04:59.798;0.8;161.557;-71.099;0.084;0.084
1.6828E+12;2023-04-29T23:04:59.808;0.81;161.57;-71.114;0.108;0.108
1.6828E+12;2023-04-29T23:04:59.818;0.82;161.581;-71.127;0.131;0.131
1.6828E+12;2023-04-29T23:04:59.828;0.83;161.592;-71.14;0.15;0.15
1.6828E+12;2023-04-29T23:04:59.838;0.84;161.601;-71.151;0.168;0.168
1.6828E+12;2023-04-29T23:04:59.848;0.85;161.607;-71.158;0.185;0.185
1.6828E+12;2023-04-29T23:04:59.858;0.86;161.612;-71.164;0.197;0.197
1.6828E+12;2023-04-29T23:04:59.868;0.87;161.612;-71.165;0.207;0.207
1.6828E+12;2023-04-29T23:04:59.878;0.88;161.613;-71.165;0.207;0.207
1.6828E+12;2023-04-29T23:04:59.888;0.89;161.613;-71.167;0.204;0.204
1.6828E+12;2023-04-29T23:04:59.898;0.9;161.614;-71.169;0.191;0.191
1.6828E+12;2023-04-29T23:04:59.908;0.91;161.616;-71.172;0.172;0.172
1.6828E+12;2023-04-29T23:04:59.918;0.92;161.619;-71.174;0.147;0.147
1.6828E+12;2023-04-29T23:04:59.928;0.93;161.614;-71.17;0.123;0.123
1.6828E+12;2023-04-29T23:04:59.938;0.94;161.609;-71.165;0.092;0.092
1.6828E+12;2023-04-29T23:04:59.948;0.95;161.605;-71.161;0.052;0.052
1.6828E+12;2023-04-29T23:04:59.958;0.96;161.602;-71.158;0.004;0.004
1.6828E+12;2023-04-29T23:04:59.968;0.97;161.6;-71.156;359.953;359.953
1.6828E+12;2023-04-29T23:04:59.978;0.98;161.597;-71.153;359.904;359.904
1.6828E+12;2023-04-29T23:04:59.988;0.99;161.591;-71.146;359.865;359.865
