epoch (ms);time (01:00);elapsed (s);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
1.6828E+12;2023-04-29T22:43:56.123;0;2.858;1.28;2.035
1.6828E+12;2023-04-29T22:43:56.133;0.01;2.797;0.907;1.326
1.6828E+12;2023-04-29T22:43:56.143;0.02;3.841;1.494;2.134
1.6828E+12;2023-04-29T22:43:56.153;0.03;4.726;1.479;2.271
1.6828E+12;2023-04-29T22:43:56.163;0.04;5.488;1.357;2.264
1.6828E+12;2023-04-29T22:43:56.173;0.05;5.907;1.357;2.294
1.6828E+12;2023-04-29T22:43:56.183;0.06;5.991;1.334;2.37
1.6828E+12;2023-04-29T22:43:56.193;0.07;5.808;1.258;2.431
1.6828E+12;2023-04-29T22:43:56.203;0.08;5.48;1.113;2.431
1.6828E+12;2023-04-29T22:43:56.213;0.09;5.191;0.922;2.439
1.6828E+12;2023-04-29T22:43:56.223;0.1;4.695;0.846;2.37
1.6828E+12;2023-04-29T22:43:56.233;0.11;4.047;0.724;2.264
1.6828E+12;2023-04-29T22:43:56.243;0.12;3.529;0.724;2.096
1.6828E+12;2023-04-29T22:43:56.253;0.13;2.98;0.793;2.012
1.6828E+12;2023-04-29T22:43:56.263;0.14;2.53;0.823;1.875
1.6828E+12;2023-04-29T22:43:56.273;0.15;1.966;0.716;1.982
1.6828E+12;2023-04-29T22:43:56.283;0.16;1.418;0.724;1.867
1.6828E+12;2023-04-29T22:43:56.293;0.17;1.189;0.701;1.784
1.6828E+12;2023-04-29T22:43:56.303;0.18;0.968;0.716;1.745
1.6828E+12;2023-04-29T22:43:56.313;0.19;0.861;0.899;1.822
1.6828E+12;2023-04-29T22:43:56.323;0.2;1.242;1.006;1.86
1.6828E+12;2023-04-29T22:43:56.333;0.21;1.707;1.113;1.867
1.6828E+12;2023-04-29T22:43:56.343;0.22;2.294;1.151;1.852
1.6828E+12;2023-04-29T22:43:56.353;0.23;3.079;1.319;2.073
1.6828E+12;2023-04-29T22:43:56.363;0.24;3.697;1.57;2.195
1.6828E+12;2023-04-29T22:43:56.373;0.25;4.101;1.555;2.248
1.6828E+12;2023-04-29T22:43:56.383;0.26;4.337;1.593;2.492
1.6828E+12;2023-04-29T22:43:56.393;0.27;4.337;1.601;2.599
1.6828E+12;2023-04-29T22:43:56.403;0.28;4.078;1.471;2.63
1.6828E+12;2023-04-29T22:43:56.413;0.29;3.773;1.395;2.652
1.6828E+12;2023-04-29T22:43:56.423;0.3;3.476;1.227;2.675
1.6828E+12;2023-04-29T22:43:56.433;0.31;3.476;1.075;2.675
1.6828E+12;2023-04-29T22:43:56.443;0.32;3.582;1.014;2.82
1.6828E+12;2023-04-29T22:43:56.453;0.33;3.613;1.006;2.828
1.6828E+12;2023-04-29T22:43:56.463;0.34;3.62;1.029;2.843
1.6828E+12;2023-04-29T22:43:56.473;0.35;3.544;1.021;2.881
1.6828E+12;2023-04-29T22:43:56.483;0.36;3.491;1.098;2.767
1.6828E+12;2023-04-29T22:43:56.493;0.37;3.506;1.273;2.591
1.6828E+12;2023-04-29T22:43:56.503;0.38;3.3;1.494;2.294
1.6828E+12;2023-04-29T22:43:56.513;0.39;3.049;1.715;2.05
1.6828E+12;2023-04-29T22:43:56.523;0.4;2.851;1.715;1.944
1.6828E+12;2023-04-29T22:43:56.533;0.41;2.332;1.341;1.852
1.6828E+12;2023-04-29T22:43:56.543;0.42;1.784;1.082;1.684
1.6828E+12;2023-04-29T22:43:56.553;0.43;1.326;0.892;1.547
1.6828E+12;2023-04-29T22:43:56.563;0.44;0.983;0.785;1.433
1.6828E+12;2023-04-29T22:43:56.573;0.45;0.663;0.572;1.303
1.6828E+12;2023-04-29T22:43:56.583;0.46;0.343;0.442;1.105
1.6828E+12;2023-04-29T22:43:56.593;0.47;0.03;0.297;0.816
1.6828E+12;2023-04-29T22:43:56.603;0.48;-0.457;0.198;0.518
1.6828E+12;2023-04-29T22:43:56.613;0.49;-0.816;0.206;0.274
1.6828E+12;2023-04-29T22:43:56.623;0.5;-0.892;0.297;0.091
1.6828E+12;2023-04-29T22:43:56.633;0.51;-1.387;0.259;-0.213
1.6828E+12;2023-04-29T22:43:56.643;0.52;-1.837;0.008;-0.252
1.6828E+12;2023-04-29T22:43:56.653;0.53;-2.409;-0.152;-0.335
1.6828E+12;2023-04-29T22:43:56.663;0.54;-2.95;-0.29;-0.396
1.6828E+12;2023-04-29T22:43:56.673;0.55;-3.201;-0.457;-0.29
1.6828E+12;2023-04-29T22:43:56.683;0.56;-3.369;-0.495;-0.191
1.6828E+12;2023-04-29T22:43:56.693;0.57;-3.377;-0.396;-0.107
1.6828E+12;2023-04-29T22:43:56.703;0.58;-2.614;-0.152;0.008
1.6828E+12;2023-04-29T22:43:56.713;0.59;-1.921;-0.137;0.091
1.6828E+12;2023-04-29T22:43:56.723;0.6;-1.479;-0.297;0.777
1.6828E+12;2023-04-29T22:43:56.733;0.61;-1.075;-0.503;1.479
1.6828E+12;2023-04-29T22:43:56.743;0.62;-0.945;-1.021;2.203
1.6828E+12;2023-04-29T22:43:56.753;0.63;-0.846;-1.471;2.53
1.6828E+12;2023-04-29T22:43:56.763;0.64;-0.434;-1.799;2.729
1.6828E+12;2023-04-29T22:43:56.773;0.65;0.549;-2.233;3.163
1.6828E+12;2023-04-29T22:43:56.783;0.66;1.913;-2.553;3.643
1.6828E+12;2023-04-29T22:43:56.793;0.67;3.498;-3.041;4.207
1.6828E+12;2023-04-29T22:43:56.803;0.68;5.145;-3.338;4.642
1.6828E+12;2023-04-29T22:43:56.813;0.69;6.09;-3.529;5.076
