epoch (ms);time (01:00);elapsed (s);pitch (deg);roll (deg);yaw (deg); heading (deg)
1.68198E+12;2023-04-20T09:53:49.386;0;8.976;-78.551;0.064;0.064
1.68198E+12;2023-04-20T09:53:49.396;0.01;8.983;-78.521;0.135;0.135
1.68198E+12;2023-04-20T09:53:49.406;0.02;8.981;-78.494;0.213;0.213
1.68198E+12;2023-04-20T09:53:49.416;0.03;8.975;-78.467;0.308;0.308
1.68198E+12;2023-04-20T09:53:49.426;0.04;8.969;-78.44;0.418;0.418
1.68198E+12;2023-04-20T09:53:49.436;0.05;8.963;-78.415;0.53;0.53
1.68198E+12;2023-04-20T09:53:49.446;0.06;8.962;-78.39;0.646;0.646
1.68198E+12;2023-04-20T09:53:49.456;0.07;8.965;-78.367;0.766;0.766
1.68198E+12;2023-04-20T09:53:49.466;0.08;8.972;-78.345;0.887;0.887
1.68198E+12;2023-04-20T09:53:49.476;0.09;8.982;-78.322;1.008;1.008
1.68198E+12;2023-04-20T09:53:49.486;0.1;8.996;-78.297;1.124;1.124
1.68198E+12;2023-04-20T09:53:49.496;0.11;9.006;-78.273;1.235;1.235
1.68198E+12;2023-04-20T09:53:49.506;0.12;9.014;-78.25;1.345;1.345
1.68198E+12;2023-04-20T09:53:49.516;0.13;9.02;-78.228;1.457;1.457
1.68198E+12;2023-04-20T09:53:49.526;0.14;9.027;-78.205;1.576;1.576
1.68198E+12;2023-04-20T09:53:49.536;0.15;9.032;-78.186;1.706;1.706
1.68198E+12;2023-04-20T09:53:49.546;0.16;9.039;-78.165;1.84;1.84
1.68198E+12;2023-04-20T09:53:49.556;0.17;9.051;-78.142;1.976;1.976
1.68198E+12;2023-04-20T09:53:49.566;0.18;9.051;-78.142;2.094;2.094
1.68198E+12;2023-04-20T09:53:49.576;0.19;9.056;-78.142;2.202;2.202
1.68198E+12;2023-04-20T09:53:49.586;0.2;9.066;-78.14;2.295;2.295
1.68198E+12;2023-04-20T09:53:49.596;0.21;9.08;-78.136;2.378;2.378
1.68198E+12;2023-04-20T09:53:49.606;0.22;9.101;-78.125;2.454;2.454
1.68198E+12;2023-04-20T09:53:49.616;0.23;9.15;-78.095;2.547;2.547
1.68198E+12;2023-04-20T09:53:49.626;0.24;9.181;-78.076;2.621;2.621
1.68198E+12;2023-04-20T09:53:49.636;0.25;9.206;-78.062;2.685;2.685
1.68198E+12;2023-04-20T09:53:49.646;0.26;9.222;-78.052;2.742;2.742
1.68198E+12;2023-04-20T09:53:49.656;0.27;9.232;-78.049;2.795;2.795
1.68198E+12;2023-04-20T09:53:49.666;0.28;9.266;-78.037;2.869;2.869
1.68198E+12;2023-04-20T09:53:49.676;0.29;9.298;-78.027;2.936;2.936
1.68198E+12;2023-04-20T09:53:49.686;0.3;9.325;-78.021;2.989;2.989
1.68198E+12;2023-04-20T09:53:49.696;0.31;9.352;-78.018;3.032;3.032
1.68198E+12;2023-04-20T09:53:49.706;0.32;9.381;-78.014;3.074;3.074
1.68198E+12;2023-04-20T09:53:49.716;0.33;9.408;-78.008;3.121;3.121
1.68198E+12;2023-04-20T09:53:49.726;0.34;9.428;-78.002;3.174;3.174
1.68198E+12;2023-04-20T09:53:49.736;0.35;9.442;-77.997;3.236;3.236
1.68198E+12;2023-04-20T09:53:49.746;0.36;9.455;-77.991;3.307;3.307
1.68198E+12;2023-04-20T09:53:49.756;0.37;9.473;-77.98;3.383;3.383
1.68198E+12;2023-04-20T09:53:49.766;0.38;9.494;-77.966;3.455;3.455
1.68198E+12;2023-04-20T09:53:49.776;0.39;9.489;-77.979;3.491;3.491
1.68198E+12;2023-04-20T09:53:49.786;0.4;9.486;-77.997;3.511;3.511
1.68198E+12;2023-04-20T09:53:49.796;0.41;9.486;-78.017;3.516;3.516
1.68198E+12;2023-04-20T09:53:49.806;0.42;9.513;-78.022;3.535;3.535
1.68198E+12;2023-04-20T09:53:49.816;0.43;9.53;-78.036;3.545;3.545
1.68198E+12;2023-04-20T09:53:49.826;0.44;9.53;-78.06;3.551;3.551
1.68198E+12;2023-04-20T09:53:49.836;0.45;9.529;-78.087;3.567;3.567
1.68198E+12;2023-04-20T09:53:49.846;0.46;9.525;-78.115;3.6;3.6
1.68198E+12;2023-04-20T09:53:49.856;0.47;9.519;-78.141;3.648;3.648
1.68198E+12;2023-04-20T09:53:49.866;0.48;9.512;-78.163;3.703;3.703
1.68198E+12;2023-04-20T09:53:49.876;0.49;9.525;-78.175;3.777;3.777
1.68198E+12;2023-04-20T09:53:49.886;0.5;9.524;-78.188;3.837;3.837
1.68198E+12;2023-04-20T09:53:49.896;0.51;9.518;-78.206;3.886;3.886
1.68198E+12;2023-04-20T09:53:49.906;0.52;9.512;-78.226;3.932;3.932
1.68198E+12;2023-04-20T09:53:49.916;0.53;9.506;-78.247;3.979;3.979
1.68198E+12;2023-04-20T09:53:49.926;0.54;9.515;-78.258;4.04;4.04
1.68198E+12;2023-04-20T09:53:49.936;0.55;9.521;-78.27;4.095;4.095
1.68198E+12;2023-04-20T09:53:49.946;0.56;9.53;-78.281;4.149;4.149
1.68198E+12;2023-04-20T09:53:49.956;0.57;9.542;-78.29;4.198;4.198
1.68198E+12;2023-04-20T09:53:49.966;0.58;9.556;-78.298;4.244;4.244
1.68198E+12;2023-04-20T09:53:49.976;0.59;9.569;-78.304;4.286;4.286
1.68198E+12;2023-04-20T09:53:49.986;0.6;9.577;-78.312;4.323;4.323
1.68198E+12;2023-04-20T09:53:49.996;0.61;9.578;-78.324;4.354;4.354
1.68198E+12;2023-04-20T09:53:50.006;0.62;9.575;-78.339;4.378;4.378
1.68198E+12;2023-04-20T09:53:50.016;0.63;9.573;-78.353;4.401;4.401
1.68198E+12;2023-04-20T09:53:50.026;0.64;9.574;-78.364;4.422;4.422
1.68198E+12;2023-04-20T09:53:50.036;0.65;9.579;-78.372;4.444;4.444
1.68198E+12;2023-04-20T09:53:50.046;0.66;9.587;-78.378;4.467;4.467
1.68198E+12;2023-04-20T09:53:50.056;0.67;9.597;-78.38;4.494;4.494
1.68198E+12;2023-04-20T09:53:50.066;0.68;9.607;-78.383;4.517;4.517
1.68198E+12;2023-04-20T09:53:50.076;0.69;9.612;-78.39;4.529;4.529
1.68198E+12;2023-04-20T09:53:50.086;0.7;9.61;-78.406;4.529;4.529
1.68198E+12;2023-04-20T09:53:50.096;0.71;9.6;-78.429;4.523;4.523
1.68198E+12;2023-04-20T09:53:50.106;0.72;9.59;-78.454;4.515;4.515
1.68198E+12;2023-04-20T09:53:50.116;0.73;9.579;-78.479;4.508;4.508
1.68198E+12;2023-04-20T09:53:50.126;0.74;9.57;-78.501;4.502;4.502
1.68198E+12;2023-04-20T09:53:50.136;0.75;9.56;-78.521;4.495;4.495
1.68198E+12;2023-04-20T09:53:50.146;0.76;9.551;-78.538;4.488;4.488
1.68198E+12;2023-04-20T09:53:50.156;0.77;9.542;-78.555;4.482;4.482
1.68198E+12;2023-04-20T09:53:50.166;0.78;9.533;-78.572;4.481;4.481
1.68198E+12;2023-04-20T09:53:50.176;0.79;9.524;-78.588;4.486;4.486
1.68198E+12;2023-04-20T09:53:50.186;0.8;9.517;-78.601;4.494;4.494
1.68198E+12;2023-04-20T09:53:50.196;0.81;9.512;-78.612;4.502;4.502
1.68198E+12;2023-04-20T09:53:50.206;0.82;9.512;-78.621;4.504;4.504
1.68198E+12;2023-04-20T09:53:50.216;0.83;9.517;-78.626;4.504;4.504
1.68198E+12;2023-04-20T09:53:50.226;0.84;9.525;-78.629;4.497;4.497
1.68198E+12;2023-04-20T09:53:50.236;0.85;9.531;-78.634;4.483;4.483
1.68198E+12;2023-04-20T09:53:50.246;0.86;9.532;-78.643;4.464;4.464
1.68198E+12;2023-04-20T09:53:50.256;0.87;9.533;-78.653;4.445;4.445
1.68198E+12;2023-04-20T09:53:50.266;0.88;9.537;-78.662;4.428;4.428
1.68198E+12;2023-04-20T09:53:50.276;0.89;9.542;-78.669;4.412;4.412
1.68198E+12;2023-04-20T09:53:50.286;0.9;9.543;-78.678;4.394;4.394
1.68198E+12;2023-04-20T09:53:50.296;0.91;9.541;-78.688;4.375;4.375
1.68198E+12;2023-04-20T09:53:50.306;0.92;9.535;-78.698;4.357;4.357
1.68198E+12;2023-04-20T09:53:50.316;0.93;9.527;-78.706;4.337;4.337
1.68198E+12;2023-04-20T09:53:50.326;0.94;9.52;-78.713;4.32;4.32
1.68198E+12;2023-04-20T09:53:50.336;0.95;9.515;-78.719;4.299;4.299
1.68198E+12;2023-04-20T09:53:50.346;0.96;9.512;-78.722;4.279;4.279
1.68198E+12;2023-04-20T09:53:50.356;0.97;9.511;-78.724;4.259;4.259
1.68198E+12;2023-04-20T09:53:50.366;0.98;9.51;-78.725;4.239;4.239
1.68198E+12;2023-04-20T09:53:50.376;0.99;9.509;-78.726;4.222;4.222
1.68198E+12;2023-04-20T09:53:50.386;1;9.507;-78.726;4.205;4.205
1.68198E+12;2023-04-20T09:53:50.396;1.01;9.505;-78.726;4.19;4.19
1.68198E+12;2023-04-20T09:53:50.406;1.02;9.502;-78.728;4.172;4.172
1.68198E+12;2023-04-20T09:53:50.416;1.03;9.495;-78.734;4.15;4.15
1.68198E+12;2023-04-20T09:53:50.426;1.04;9.487;-78.741;4.126;4.126
1.68198E+12;2023-04-20T09:53:50.436;1.05;9.476;-78.755;4.101;4.101
1.68198E+12;2023-04-20T09:53:50.446;1.06;9.465;-78.765;4.079;4.079
1.68198E+12;2023-04-20T09:53:50.456;1.07;9.455;-78.773;4.061;4.061
1.68198E+12;2023-04-20T09:53:50.466;1.08;9.446;-78.78;4.046;4.046
1.68198E+12;2023-04-20T09:53:50.476;1.09;9.438;-78.786;4.037;4.037
1.68198E+12;2023-04-20T09:53:50.486;1.1;9.43;-78.792;4.029;4.029
1.68198E+12;2023-04-20T09:53:50.496;1.11;9.422;-78.802;4.021;4.021
1.68198E+12;2023-04-20T09:53:50.506;1.12;9.413;-78.814;4.019;4.019
1.68198E+12;2023-04-20T09:53:50.516;1.13;9.402;-78.822;4.017;4.017
1.68198E+12;2023-04-20T09:53:50.526;1.14;9.393;-78.829;4.018;4.018
1.68198E+12;2023-04-20T09:53:50.536;1.15;9.384;-78.837;4.018;4.018
1.68198E+12;2023-04-20T09:53:50.546;1.16;9.374;-78.849;4.018;4.018
1.68198E+12;2023-04-20T09:53:50.556;1.17;9.365;-78.86;4.019;4.019
1.68198E+12;2023-04-20T09:53:50.566;1.18;9.354;-78.872;4.022;4.022
1.68198E+12;2023-04-20T09:53:50.576;1.19;9.342;-78.883;4.027;4.027
1.68198E+12;2023-04-20T09:53:50.586;1.2;9.331;-78.891;4.034;4.034
1.68198E+12;2023-04-20T09:53:50.596;1.21;9.323;-78.895;4.044;4.044
1.68198E+12;2023-04-20T09:53:50.606;1.22;9.32;-78.895;4.053;4.053
1.68198E+12;2023-04-20T09:53:50.616;1.23;9.318;-78.894;4.057;4.057
1.68198E+12;2023-04-20T09:53:50.626;1.24;9.315;-78.894;4.053;4.053
1.68198E+12;2023-04-20T09:53:50.636;1.25;9.308;-78.898;4.046;4.046
1.68198E+12;2023-04-20T09:53:50.646;1.26;9.301;-78.903;4.037;4.037
1.68198E+12;2023-04-20T09:53:50.656;1.27;9.294;-78.907;4.03;4.03
1.68198E+12;2023-04-20T09:53:50.666;1.28;9.288;-78.91;4.024;4.024
1.68198E+12;2023-04-20T09:53:50.676;1.29;9.286;-78.912;4.011;4.011
1.68198E+12;2023-04-20T09:53:50.686;1.3;9.284;-78.913;3.999;3.999
1.68198E+12;2023-04-20T09:53:50.696;1.31;9.279;-78.916;3.986;3.986
1.68198E+12;2023-04-20T09:53:50.706;1.32;9.274;-78.92;3.98;3.98
1.68198E+12;2023-04-20T09:53:50.716;1.33;9.269;-78.927;3.976;3.976
1.68198E+12;2023-04-20T09:53:50.726;1.34;9.263;-78.936;3.97;3.97
1.68198E+12;2023-04-20T09:53:50.736;1.35;9.257;-78.945;3.964;3.964
1.68198E+12;2023-04-20T09:53:50.746;1.36;9.249;-78.955;3.958;3.958
1.68198E+12;2023-04-20T09:53:50.756;1.37;9.24;-78.966;3.949;3.949
1.68198E+12;2023-04-20T09:53:50.766;1.38;9.231;-78.978;3.941;3.941
1.68198E+12;2023-04-20T09:53:50.776;1.39;9.222;-78.99;3.933;3.933
1.68198E+12;2023-04-20T09:53:50.786;1.4;9.215;-79;3.926;3.926
1.68198E+12;2023-04-20T09:53:50.796;1.41;9.21;-79.008;3.922;3.922
1.68198E+12;2023-04-20T09:53:50.806;1.42;9.206;-79.016;3.918;3.918
1.68198E+12;2023-04-20T09:53:50.816;1.43;9.202;-79.023;3.915;3.915
1.68198E+12;2023-04-20T09:53:50.826;1.44;9.198;-79.031;3.911;3.911
1.68198E+12;2023-04-20T09:53:50.836;1.45;9.193;-79.038;3.907;3.907
1.68198E+12;2023-04-20T09:53:50.846;1.46;9.19;-79.039;3.904;3.904
1.68198E+12;2023-04-20T09:53:50.856;1.47;9.19;-79.039;3.902;3.902
1.68198E+12;2023-04-20T09:53:50.866;1.48;9.19;-79.038;3.902;3.902
1.68198E+12;2023-04-20T09:53:50.876;1.49;9.19;-79.041;3.903;3.903
1.68198E+12;2023-04-20T09:53:50.886;1.5;9.191;-79.043;3.904;3.904
1.68198E+12;2023-04-20T09:53:50.896;1.51;9.191;-79.047;3.903;3.903
1.68198E+12;2023-04-20T09:53:50.906;1.52;9.19;-79.052;3.903;3.903
1.68198E+12;2023-04-20T09:53:50.916;1.53;9.189;-79.057;3.894;3.894
1.68198E+12;2023-04-20T09:53:50.926;1.54;9.188;-79.063;3.883;3.883
1.68198E+12;2023-04-20T09:53:50.936;1.55;9.185;-79.071;3.871;3.871
1.68198E+12;2023-04-20T09:53:50.946;1.56;9.179;-79.079;3.866;3.866
1.68198E+12;2023-04-20T09:53:50.956;1.57;9.173;-79.084;3.86;3.86
1.68198E+12;2023-04-20T09:53:50.966;1.58;9.169;-79.087;3.855;3.855
1.68198E+12;2023-04-20T09:53:50.976;1.59;9.166;-79.089;3.851;3.851
1.68198E+12;2023-04-20T09:53:50.986;1.6;9.164;-79.09;3.849;3.849
1.68198E+12;2023-04-20T09:53:50.996;1.61;9.161;-79.092;3.845;3.845
1.68198E+12;2023-04-20T09:53:51.006;1.62;9.158;-79.094;3.842;3.842
1.68198E+12;2023-04-20T09:53:51.016;1.63;9.157;-79.098;3.841;3.841
1.68198E+12;2023-04-20T09:53:51.026;1.64;9.154;-79.104;3.838;3.838
1.68198E+12;2023-04-20T09:53:51.036;1.65;9.151;-79.109;3.836;3.836
1.68198E+12;2023-04-20T09:53:51.046;1.66;9.148;-79.114;3.833;3.833
1.68198E+12;2023-04-20T09:53:51.056;1.67;9.145;-79.119;3.831;3.831
1.68198E+12;2023-04-20T09:53:51.066;1.68;9.143;-79.122;3.829;3.829
1.68198E+12;2023-04-20T09:53:51.076;1.69;9.141;-79.122;3.827;3.827
1.68198E+12;2023-04-20T09:53:51.086;1.7;9.139;-79.122;3.825;3.825
1.68198E+12;2023-04-20T09:53:51.096;1.71;9.138;-79.125;3.824;3.824
1.68198E+12;2023-04-20T09:53:51.106;1.72;9.137;-79.129;3.824;3.824
1.68198E+12;2023-04-20T09:53:51.116;1.73;9.135;-79.134;3.822;3.822
1.68198E+12;2023-04-20T09:53:51.126;1.74;9.134;-79.138;3.822;3.822
1.68198E+12;2023-04-20T09:53:51.136;1.75;9.134;-79.142;3.822;3.822
1.68198E+12;2023-04-20T09:53:51.146;1.76;9.133;-79.146;3.822;3.822
1.68198E+12;2023-04-20T09:53:51.156;1.77;9.132;-79.15;3.821;3.821
1.68198E+12;2023-04-20T09:53:51.166;1.78;9.131;-79.154;3.822;3.822
1.68198E+12;2023-04-20T09:53:51.176;1.79;9.132;-79.157;3.823;3.823
1.68198E+12;2023-04-20T09:53:51.186;1.8;9.131;-79.16;3.823;3.823
1.68198E+12;2023-04-20T09:53:51.196;1.81;9.131;-79.164;3.823;3.823
1.68198E+12;2023-04-20T09:53:51.206;1.82;9.129;-79.169;3.822;3.822
1.68198E+12;2023-04-20T09:53:51.216;1.83;9.127;-79.174;3.827;3.827
1.68198E+12;2023-04-20T09:53:51.226;1.84;9.124;-79.18;3.831;3.831
1.68198E+12;2023-04-20T09:53:51.236;1.85;9.122;-79.187;3.83;3.83
1.68198E+12;2023-04-20T09:53:51.246;1.86;9.123;-79.191;3.832;3.832
1.68198E+12;2023-04-20T09:53:51.256;1.87;9.124;-79.193;3.834;3.834
1.68198E+12;2023-04-20T09:53:51.266;1.88;9.125;-79.195;3.835;3.835
1.68198E+12;2023-04-20T09:53:51.276;1.89;9.124;-79.198;3.834;3.834
1.68198E+12;2023-04-20T09:53:51.286;1.9;9.122;-79.202;3.833;3.833
1.68198E+12;2023-04-20T09:53:51.296;1.91;9.121;-79.207;3.833;3.833
1.68198E+12;2023-04-20T09:53:51.306;1.92;9.119;-79.212;3.832;3.832
1.68198E+12;2023-04-20T09:53:51.316;1.93;9.117;-79.217;3.831;3.831
1.68198E+12;2023-04-20T09:53:51.326;1.94;9.117;-79.22;3.832;3.832
1.68198E+12;2023-04-20T09:53:51.336;1.95;9.123;-79.218;3.838;3.838
