epoch (ms);time (01:00);elapsed (s);pitch (deg);roll (deg);yaw (deg); heading (deg)
1.68198E+12;2023-04-20T10:02:27.897;0;-163.579;-73.349;0;0
1.68198E+12;2023-04-20T10:02:27.907;0.01;-163.514;-73.285;359.947;359.947
1.68198E+12;2023-04-20T10:02:27.917;0.02;-163.447;-73.22;359.899;359.899
1.68198E+12;2023-04-20T10:02:27.927;0.03;-163.385;-73.161;359.871;359.871
1.68198E+12;2023-04-20T10:02:27.937;0.04;-163.329;-73.106;359.866;359.866
1.68198E+12;2023-04-20T10:02:27.947;0.05;-163.277;-73.055;359.882;359.882
1.68198E+12;2023-04-20T10:02:27.957;0.06;-163.227;-73.006;359.918;359.918
1.68198E+12;2023-04-20T10:02:27.967;0.07;-163.178;-72.958;359.968;359.968
1.68198E+12;2023-04-20T10:02:27.977;0.08;-163.13;-72.911;0.03;0.03
1.68198E+12;2023-04-20T10:02:27.987;0.09;-163.084;-72.866;0.1;0.1
1.68198E+12;2023-04-20T10:02:27.997;0.1;-163.04;-72.823;0.185;0.185
1.68198E+12;2023-04-20T10:02:28.007;0.11;-162.923;-72.709;0.198;0.198
1.68198E+12;2023-04-20T10:02:28.017;0.12;-162.832;-72.62;0.235;0.235
1.68198E+12;2023-04-20T10:02:28.027;0.13;-162.798;-72.587;0.323;0.323
1.68198E+12;2023-04-20T10:02:28.037;0.14;-162.767;-72.558;0.396;0.396
1.68198E+12;2023-04-20T10:02:28.047;0.15;-162.738;-72.53;0.452;0.452
1.68198E+12;2023-04-20T10:02:28.057;0.16;-162.71;-72.505;0.488;0.488
1.68198E+12;2023-04-20T10:02:28.067;0.17;-162.682;-72.48;0.511;0.511
1.68198E+12;2023-04-20T10:02:28.077;0.18;-162.653;-72.454;0.526;0.526
1.68198E+12;2023-04-20T10:02:28.087;0.19;-162.619;-72.423;0.533;0.533
1.68198E+12;2023-04-20T10:02:28.097;0.2;-162.586;-72.393;0.541;0.541
1.68198E+12;2023-04-20T10:02:28.107;0.21;-162.557;-72.366;0.552;0.552
1.68198E+12;2023-04-20T10:02:28.117;0.22;-162.53;-72.342;0.571;0.571
1.68198E+12;2023-04-20T10:02:28.127;0.23;-162.507;-72.32;0.595;0.595
1.68198E+12;2023-04-20T10:02:28.137;0.24;-162.484;-72.299;0.621;0.621
1.68198E+12;2023-04-20T10:02:28.147;0.25;-162.46;-72.277;0.643;0.643
1.68198E+12;2023-04-20T10:02:28.157;0.26;-162.434;-72.253;0.659;0.659
1.68198E+12;2023-04-20T10:02:28.167;0.27;-162.405;-72.228;0.67;0.67
1.68198E+12;2023-04-20T10:02:28.177;0.28;-162.374;-72.2;0.68;0.68
1.68198E+12;2023-04-20T10:02:28.187;0.29;-162.344;-72.172;0.695;0.695
1.68198E+12;2023-04-20T10:02:28.197;0.3;-162.316;-72.147;0.72;0.72
1.68198E+12;2023-04-20T10:02:28.207;0.31;-162.292;-72.125;0.753;0.753
1.68198E+12;2023-04-20T10:02:28.217;0.32;-162.273;-72.108;0.796;0.796
1.68198E+12;2023-04-20T10:02:28.227;0.33;-162.262;-72.099;0.848;0.848
1.68198E+12;2023-04-20T10:02:28.237;0.34;-162.258;-72.098;0.908;0.908
1.68198E+12;2023-04-20T10:02:28.247;0.35;-162.246;-72.089;0.966;0.966
1.68198E+12;2023-04-20T10:02:28.257;0.36;-162.257;-72.101;1.056;1.056
1.68198E+12;2023-04-20T10:02:28.267;0.37;-162.274;-72.12;1.172;1.172
1.68198E+12;2023-04-20T10:02:28.277;0.38;-162.295;-72.142;1.308;1.308
1.68198E+12;2023-04-20T10:02:28.287;0.39;-162.318;-72.166;1.461;1.461
1.68198E+12;2023-04-20T10:02:28.297;0.4;-162.342;-72.19;1.629;1.629
1.68198E+12;2023-04-20T10:02:28.307;0.41;-162.366;-72.213;1.801;1.801
1.68198E+12;2023-04-20T10:02:28.317;0.42;-162.331;-72.181;1.912;1.912
1.68198E+12;2023-04-20T10:02:28.327;0.43;-162.308;-72.158;2.025;2.025
1.68198E+12;2023-04-20T10:02:28.337;0.44;-162.292;-72.144;2.134;2.134
1.68198E+12;2023-04-20T10:02:28.347;0.45;-162.281;-72.133;2.231;2.231
1.68198E+12;2023-04-20T10:02:28.357;0.46;-162.272;-72.126;2.313;2.313
1.68198E+12;2023-04-20T10:02:28.367;0.47;-162.268;-72.123;2.389;2.389
1.68198E+12;2023-04-20T10:02:28.377;0.48;-162.268;-72.123;2.458;2.458
1.68198E+12;2023-04-20T10:02:28.387;0.49;-162.272;-72.128;2.522;2.522
1.68198E+12;2023-04-20T10:02:28.397;0.5;-162.28;-72.136;2.576;2.576
1.68198E+12;2023-04-20T10:02:28.407;0.51;-162.287;-72.143;2.615;2.615
1.68198E+12;2023-04-20T10:02:28.417;0.52;-162.295;-72.15;2.644;2.644
1.68198E+12;2023-04-20T10:02:28.427;0.53;-162.302;-72.157;2.664;2.664
