epoch (ms);time (01:00);elapsed (s);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
1.6819E+12;2023-04-19T11:59:48.048;0;2.835;0.023;0.671
1.6819E+12;2023-04-19T11:59:48.058;0.01;2.431;-0.93;-0.313
1.6819E+12;2023-04-19T11:59:48.068;0.02;2.492;-0.595;0.404
1.6819E+12;2023-04-19T11:59:48.078;0.03;1.989;-0.541;0.549
1.6819E+12;2023-04-19T11:59:48.088;0.04;1.776;-0.534;0.457
1.6819E+12;2023-04-19T11:59:48.098;0.05;1.951;-0.412;0.259
1.6819E+12;2023-04-19T11:59:48.108;0.06;2.149;-0.099;0.099
1.6819E+12;2023-04-19T11:59:48.118;0.07;1.913;0.274;0.099
1.6819E+12;2023-04-19T11:59:48.128;0.08;1.441;0.526;-0.03
1.6819E+12;2023-04-19T11:59:48.138;0.09;1.128;0.617;-0.267
1.6819E+12;2023-04-19T11:59:48.148;0.1;0.617;0.465;-0.495
1.6819E+12;2023-04-19T11:59:48.158;0.11;-0.091;0.473;-0.534
1.6819E+12;2023-04-19T11:59:48.168;0.12;-0.686;0.32;-0.572
1.6819E+12;2023-04-19T11:59:48.178;0.13;-1.059;0.412;-0.686
1.6819E+12;2023-04-19T11:59:48.188;0.14;-1.197;0.739;-0.701
1.6819E+12;2023-04-19T11:59:48.198;0.15;-1.075;0.892;-0.64
1.6819E+12;2023-04-19T11:59:48.208;0.16;-0.747;0.991;-0.793
1.6819E+12;2023-04-19T11:59:48.218;0.17;-0.434;0.877;-0.8
1.6819E+12;2023-04-19T11:59:48.228;0.18;-0.099;0.899;-0.655
1.6819E+12;2023-04-19T11:59:48.238;0.19;0.343;1.029;-0.32
1.6819E+12;2023-04-19T11:59:48.248;0.2;0.564;1.067;-0.091
1.6819E+12;2023-04-19T11:59:48.258;0.21;0.549;1.235;-0.175
1.6819E+12;2023-04-19T11:59:48.268;0.22;0.663;1.776;-0.274
1.6819E+12;2023-04-19T11:59:48.278;0.23;0.595;1.867;-0.511
1.6819E+12;2023-04-19T11:59:48.288;0.24;0.389;1.341;-0.739
1.6819E+12;2023-04-19T11:59:48.298;0.25;0.45;0.869;-0.686
1.6819E+12;2023-04-19T11:59:48.308;0.26;0.343;1.136;-0.541
1.6819E+12;2023-04-19T11:59:48.318;0.27;0.381;1.387;-0.488
1.6819E+12;2023-04-19T11:59:48.328;0.28;0.686;1.372;-0.526
1.6819E+12;2023-04-19T11:59:48.338;0.29;1.38;1.479;-0.495
1.6819E+12;2023-04-19T11:59:48.348;0.3;2.188;1.913;-0.259
1.6819E+12;2023-04-19T11:59:48.358;0.31;3.072;2.302;-0.046
1.6819E+12;2023-04-19T11:59:48.368;0.32;3.46;2.401;0.023
1.6819E+12;2023-04-19T11:59:48.378;0.33;3.308;2.05;0.084
1.6819E+12;2023-04-19T11:59:48.388;0.34;3.491;1.448;0.191
1.6819E+12;2023-04-19T11:59:48.398;0.35;3.544;1.22;0.236
1.6819E+12;2023-04-19T11:59:48.408;0.36;3.727;1.463;0.351
1.6819E+12;2023-04-19T11:59:48.418;0.37;4.291;1.258;0.396
1.6819E+12;2023-04-19T11:59:48.428;0.38;4.634;1.113;0.328
1.6819E+12;2023-04-19T11:59:48.438;0.39;4.466;1.288;0.236
1.6819E+12;2023-04-19T11:59:48.448;0.4;3.88;1.448;0.282
1.6819E+12;2023-04-19T11:59:48.458;0.41;3.361;1.41;0.114
1.6819E+12;2023-04-19T11:59:48.468;0.42;3.072;1.502;0.038
1.6819E+12;2023-04-19T11:59:48.478;0.43;2.957;1.326;0.053
1.6819E+12;2023-04-19T11:59:48.488;0.44;2.744;1.425;0.229
