epoch (ms);time (01:00);elapsed (s);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
1.68198E+12;2023-04-20T09:46:56.987;0;0.412;-2.012;7.149
1.68198E+12;2023-04-20T09:46:56.997;0.01;1.113;-2.584;6.197
1.68198E+12;2023-04-20T09:46:57.007;0.02;1.38;-2.401;7.134
1.68198E+12;2023-04-20T09:46:57.017;0.03;2.142;-2.53;7.652
1.68198E+12;2023-04-20T09:46:57.027;0.04;3.422;-2.774;7.957
1.68198E+12;2023-04-20T09:46:57.037;0.05;4.017;-2.927;8.163
1.68198E+12;2023-04-20T09:46:57.047;0.06;3.727;-2.729;8.232
1.68198E+12;2023-04-20T09:46:57.057;0.07;2.508;-2.431;8.186
1.68198E+12;2023-04-20T09:46:57.067;0.08;0.686;-2.302;8.194
1.68198E+12;2023-04-20T09:46:57.077;0.09;-1.174;-2.5;8.567
1.68198E+12;2023-04-20T09:46:57.087;0.1;-2.637;-2.66;9.169
1.68198E+12;2023-04-20T09:46:57.097;0.11;-3.087;-2.63;9.421
1.68198E+12;2023-04-20T09:46:57.107;0.12;-2.774;-2.744;9.466
1.68198E+12;2023-04-20T09:46:57.117;0.13;-1.974;-3.133;9.634
1.68198E+12;2023-04-20T09:46:57.127;0.14;-0.877;-3.46;9.832
1.68198E+12;2023-04-20T09:46:57.137;0.15;0.084;-3.697;9.939
1.68198E+12;2023-04-20T09:46:57.147;0.16;0.617;-3.674;9.924
1.68198E+12;2023-04-20T09:46:57.157;0.17;0.777;-3.613;9.809
1.68198E+12;2023-04-20T09:46:57.167;0.18;0.831;-3.735;9.573
1.68198E+12;2023-04-20T09:46:57.177;0.19;0.93;-3.849;9.383
1.68198E+12;2023-04-20T09:46:57.187;0.2;1.662;-3.887;9.131
1.68198E+12;2023-04-20T09:46:57.197;0.21;2.607;-3.788;8.819
1.68198E+12;2023-04-20T09:46:57.207;0.22;3.049;-3.712;8.034
1.68198E+12;2023-04-20T09:46:57.217;0.23;3.742;-3.498;7.447
1.68198E+12;2023-04-20T09:46:57.227;0.24;4.863;-3.384;6.966
1.68198E+12;2023-04-20T09:46:57.237;0.25;6.052;-3.643;6.372
1.68198E+12;2023-04-20T09:46:57.247;0.26;7.66;-3.88;6.113
1.68198E+12;2023-04-20T09:46:57.257;0.27;9.314;-4.055;6.052
1.68198E+12;2023-04-20T09:46:57.267;0.28;10.351;-3.941;5.816
1.68198E+12;2023-04-20T09:46:57.277;0.29;11.341;-3.674;5.64
1.68198E+12;2023-04-20T09:46:57.287;0.3;12.866;-3.521;5.427
1.68198E+12;2023-04-20T09:46:57.297;0.31;14.101;-3.354;5.107
1.68198E+12;2023-04-20T09:46:57.307;0.32;14.886;-3.148;4.566
1.68198E+12;2023-04-20T09:46:57.317;0.33;15.663;-2.744;3.918
1.68198E+12;2023-04-20T09:46:57.327;0.34;15.823;-2.401;3.643
1.68198E+12;2023-04-20T09:46:57.337;0.35;15.084;-2.142;3.384
1.68198E+12;2023-04-20T09:46:57.347;0.36;14.207;-2.012;3.247
1.68198E+12;2023-04-20T09:46:57.357;0.37;12.934;-2.066;3.041
1.68198E+12;2023-04-20T09:46:57.367;0.38;11.944;-1.989;2.919
1.68198E+12;2023-04-20T09:46:57.377;0.39;11.402;-1.776;2.698
1.68198E+12;2023-04-20T09:46:57.387;0.4;11.166;-1.555;2.698
1.68198E+12;2023-04-20T09:46:57.397;0.41;10.861;-1.25;2.706
1.68198E+12;2023-04-20T09:46:57.407;0.42;10.549;-1.273;2.424
1.68198E+12;2023-04-20T09:46:57.417;0.43;9.794;-1.364;2.111
1.68198E+12;2023-04-20T09:46:57.427;0.44;8.468;-1.067;2.081
1.68198E+12;2023-04-20T09:46:57.437;0.45;7.264;-0.816;2.149
1.68198E+12;2023-04-20T09:46:57.447;0.46;6.28;-0.8;2.058
1.68198E+12;2023-04-20T09:46:57.457;0.47;5.953;-0.869;2.05
1.68198E+12;2023-04-20T09:46:57.467;0.48;5.762;-0.899;1.768
1.68198E+12;2023-04-20T09:46:57.477;0.49;5.549;-0.816;1.479
1.68198E+12;2023-04-20T09:46:57.487;0.5;5.023;-0.549;1.334
1.68198E+12;2023-04-20T09:46:57.497;0.51;3.948;-0.236;1.136
1.68198E+12;2023-04-20T09:46:57.507;0.52;2.386;0;0.968
1.68198E+12;2023-04-20T09:46:57.517;0.53;0.16;0.328;1.075
1.68198E+12;2023-04-20T09:46:57.527;0.54;-2.355;0.93;1.349
1.68198E+12;2023-04-20T09:46:57.537;0.55;-5.13;1.456;1.441
1.68198E+12;2023-04-20T09:46:57.547;0.56;-7.05;2.066;1.555
1.68198E+12;2023-04-20T09:46:57.557;0.57;-7.706;2.317;1.738
1.68198E+12;2023-04-20T09:46:57.567;0.58;-8.346;2.591;1.989
1.68198E+12;2023-04-20T09:46:57.577;0.59;-9.146;2.698;2.142
1.68198E+12;2023-04-20T09:46:57.587;0.6;-9.924;2.851;2.294
1.68198E+12;2023-04-20T09:46:57.597;0.61;-10.762;2.957;2.523
1.68198E+12;2023-04-20T09:46:57.607;0.62;-11.075;2.95;2.706
1.68198E+12;2023-04-20T09:46:57.617;0.63;-11.136;2.927;2.752
1.68198E+12;2023-04-20T09:46:57.627;0.64;-10.655;2.744;2.843
1.68198E+12;2023-04-20T09:46:57.637;0.65;-9.047;2.332;2.988
1.68198E+12;2023-04-20T09:46:57.647;0.66;-7.05;1.974;3.026
1.68198E+12;2023-04-20T09:46:57.657;0.67;-5.091;1.555;3.003
1.68198E+12;2023-04-20T09:46:57.667;0.68;-3.651;1.341;2.98
1.68198E+12;2023-04-20T09:46:57.677;0.69;-2.759;1.166;2.995
1.68198E+12;2023-04-20T09:46:57.687;0.7;-2.203;1.151;3.072
