epoch (ms);time (01:00);elapsed (s);pitch (deg);roll (deg);yaw (deg); heading (deg)
1.6828E+12;2023-04-29T23:35:47.346;0;154.401;-60.838;0;0
1.6828E+12;2023-04-29T23:35:47.356;0.01;154.415;-60.821;0.007;0.007
1.6828E+12;2023-04-29T23:35:47.366;0.02;154.418;-60.804;0.019;0.019
1.6828E+12;2023-04-29T23:35:47.376;0.03;154.434;-60.787;0.025;0.025
1.6828E+12;2023-04-29T23:35:47.386;0.04;154.45;-60.771;0.03;0.03
1.6828E+12;2023-04-29T23:35:47.396;0.05;154.465;-60.757;0.034;0.034
1.6828E+12;2023-04-29T23:35:47.406;0.06;154.481;-60.742;0.038;0.038
1.6828E+12;2023-04-29T23:35:47.416;0.07;154.493;-60.727;0.052;0.052
1.6828E+12;2023-04-29T23:35:47.426;0.08;154.505;-60.712;0.065;0.065
1.6828E+12;2023-04-29T23:35:47.436;0.09;154.52;-60.7;0.073;0.073
1.6828E+12;2023-04-29T23:35:47.446;0.1;154.542;-60.69;0.069;0.069
1.6828E+12;2023-04-29T23:35:47.456;0.11;154.563;-60.682;0.064;0.064
1.6828E+12;2023-04-29T23:35:47.466;0.12;154.585;-60.675;0.057;0.057
1.6828E+12;2023-04-29T23:35:47.476;0.13;154.604;-60.667;0.042;0.042
1.6828E+12;2023-04-29T23:35:47.486;0.14;154.621;-60.658;0.024;0.024
1.6828E+12;2023-04-29T23:35:47.496;0.15;154.636;-60.651;359.998;359.998
1.6828E+12;2023-04-29T23:35:47.506;0.16;154.651;-60.643;359.97;359.97
1.6828E+12;2023-04-29T23:35:47.516;0.17;154.667;-60.635;359.94;359.94
1.6828E+12;2023-04-29T23:35:47.526;0.18;154.682;-60.626;359.911;359.911
1.6828E+12;2023-04-29T23:35:47.536;0.19;154.694;-60.618;359.885;359.885
1.6828E+12;2023-04-29T23:35:47.546;0.2;154.708;-60.608;359.861;359.861
1.6828E+12;2023-04-29T23:35:47.556;0.21;154.722;-60.601;359.835;359.835
1.6828E+12;2023-04-29T23:35:47.566;0.22;154.736;-60.592;359.813;359.813
1.6828E+12;2023-04-29T23:35:47.576;0.23;154.757;-60.584;359.794;359.794
1.6828E+12;2023-04-29T23:35:47.586;0.24;154.765;-60.574;359.799;359.799
1.6828E+12;2023-04-29T23:35:47.596;0.25;154.773;-60.563;359.804;359.804
1.6828E+12;2023-04-29T23:35:47.606;0.26;154.773;-60.551;359.823;359.823
