epoch (ms);time (01:00);elapsed (s);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
1.6828E+12;2023-04-29T23:21:32.663;0;0.945;1.989;0.381
1.6828E+12;2023-04-29T23:21:32.673;0.01;0.922;1.075;-0.488
1.6828E+12;2023-04-29T23:21:32.683;0.02;1.341;1.547;-0.114
1.6828E+12;2023-04-29T23:21:32.693;0.03;1.784;1.616;-0.076
1.6828E+12;2023-04-29T23:21:32.703;0.04;1.563;1.829;-0.145
1.6828E+12;2023-04-29T23:21:32.713;0.05;1.7;1.7;-0.152
1.6828E+12;2023-04-29T23:21:32.723;0.06;1.723;1.418;-0.29
1.6828E+12;2023-04-29T23:21:32.733;0.07;1.921;1.418;-0.503
1.6828E+12;2023-04-29T23:21:32.743;0.08;1.349;1.433;-0.572
1.6828E+12;2023-04-29T23:21:32.753;0.09;0.198;1.235;-0.457
1.6828E+12;2023-04-29T23:21:32.763;0.1;0.442;0.96;-0.373
1.6828E+12;2023-04-29T23:21:32.773;0.11;0.434;1.136;-0.328
1.6828E+12;2023-04-29T23:21:32.783;0.12;0.122;1.212;-0.206
1.6828E+12;2023-04-29T23:21:32.793;0.13;0.328;1.052;-0.252
1.6828E+12;2023-04-29T23:21:32.803;0.14;0.259;1.12;-0.32
1.6828E+12;2023-04-29T23:21:32.813;0.15;0.107;1.235;-0.206
1.6828E+12;2023-04-29T23:21:32.823;0.16;0.145;0.945;-0.221
1.6828E+12;2023-04-29T23:21:32.833;0.17;0.213;0.785;-0.252
1.6828E+12;2023-04-29T23:21:32.843;0.18;0.221;0.96;-0.274
1.6828E+12;2023-04-29T23:21:32.853;0.19;0.259;0.96;-0.236
1.6828E+12;2023-04-29T23:21:32.863;0.2;0.015;0.93;-0.099
1.6828E+12;2023-04-29T23:21:32.873;0.21;-0.442;0.93;0.015
1.6828E+12;2023-04-29T23:21:32.883;0.22;-0.503;0.793;0.13
1.6828E+12;2023-04-29T23:21:32.893;0.23;-0.297;0.884;0.191
1.6828E+12;2023-04-29T23:21:32.903;0.24;0.008;0.945;0.16
1.6828E+12;2023-04-29T23:21:32.913;0.25;0.282;0.915;0.137
1.6828E+12;2023-04-29T23:21:32.923;0.26;0.274;1.12;0.076
1.6828E+12;2023-04-29T23:21:32.933;0.27;0.305;1.143;0.168
1.6828E+12;2023-04-29T23:21:32.943;0.28;0.564;0.93;0.259
1.6828E+12;2023-04-29T23:21:32.953;0.29;1.059;0.945;0.297
1.6828E+12;2023-04-29T23:21:32.963;0.3;1.456;1.098;0.29
1.6828E+12;2023-04-29T23:21:32.973;0.31;1.753;1.037;0.29
1.6828E+12;2023-04-29T23:21:32.983;0.32;1.913;0.922;0.366
1.6828E+12;2023-04-29T23:21:32.993;0.33;2.066;0.678;0.259
1.6828E+12;2023-04-29T23:21:33.003;0.34;1.982;0.663;0.274
1.6828E+12;2023-04-29T23:21:33.013;0.35;1.799;0.587;0.236
1.6828E+12;2023-04-29T23:21:33.023;0.36;1.448;0.518;0.244
1.6828E+12;2023-04-29T23:21:33.033;0.37;1.105;0.671;0.381
1.6828E+12;2023-04-29T23:21:33.043;0.38;0.739;0.762;0.305
1.6828E+12;2023-04-29T23:21:33.053;0.39;0.389;0.579;0.213
1.6828E+12;2023-04-29T23:21:33.063;0.4;-0.015;0.45;0.282
1.6828E+12;2023-04-29T23:21:33.073;0.41;-0.183;0.457;0.313
1.6828E+12;2023-04-29T23:21:33.083;0.42;-0.244;0.434;0.221
1.6828E+12;2023-04-29T23:21:33.093;0.43;-0.351;0.351;0.084
1.6828E+12;2023-04-29T23:21:33.103;0.44;-0.32;0.191;-0.053
1.6828E+12;2023-04-29T23:21:33.113;0.45;-0.122;0.221;-0.091
1.6828E+12;2023-04-29T23:21:33.123;0.46;-0.328;0.252;-0.061
1.6828E+12;2023-04-29T23:21:33.133;0.47;-0.61;0.358;0.213
1.6828E+12;2023-04-29T23:21:33.143;0.48;-0.526;0.45;0.373
1.6828E+12;2023-04-29T23:21:33.153;0.49;-0.473;0.572;0.366
1.6828E+12;2023-04-29T23:21:33.163;0.5;-0.64;0.556;0.373
1.6828E+12;2023-04-29T23:21:33.173;0.51;-0.663;0.495;0.427
1.6828E+12;2023-04-29T23:21:33.183;0.52;-0.427;0.373;0.442
1.6828E+12;2023-04-29T23:21:33.193;0.53;-0.168;0.381;0.465
1.6828E+12;2023-04-29T23:21:33.203;0.54;0.038;0.419;0.373
1.6828E+12;2023-04-29T23:21:33.213;0.55;0.152;0.465;0.183
1.6828E+12;2023-04-29T23:21:33.223;0.56;0.145;0.29;0.03
1.6828E+12;2023-04-29T23:21:33.233;0.57;0.107;0.213;0.015
1.6828E+12;2023-04-29T23:21:33.243;0.58;-0.023;0.107;0.053
1.6828E+12;2023-04-29T23:21:33.253;0.59;-0.122;-0.015;0.069
1.6828E+12;2023-04-29T23:21:33.263;0.6;-0.328;-0.023;0.069
1.6828E+12;2023-04-29T23:21:33.273;0.61;-0.518;0.13;0.091
1.6828E+12;2023-04-29T23:21:33.283;0.62;-0.503;0.244;0.084
1.6828E+12;2023-04-29T23:21:33.293;0.63;-0.534;0.267;0.122
1.6828E+12;2023-04-29T23:21:33.303;0.64;-0.648;0.183;0.053
1.6828E+12;2023-04-29T23:21:33.313;0.65;-0.686;0.069;0.046
1.6828E+12;2023-04-29T23:21:33.323;0.66;-0.747;0.13;0.023
1.6828E+12;2023-04-29T23:21:33.333;0.67;-0.526;0.183;0.084
1.6828E+12;2023-04-29T23:21:33.343;0.68;-0.274;0.122;0.152
1.6828E+12;2023-04-29T23:21:33.353;0.69;0.023;0.183;0.274
1.6828E+12;2023-04-29T23:21:33.363;0.7;0.358;0.198;0.274
1.6828E+12;2023-04-29T23:21:33.373;0.71;0.541;0.053;0.191
1.6828E+12;2023-04-29T23:21:33.383;0.72;0.541;-0.008;0.015
1.6828E+12;2023-04-29T23:21:33.393;0.73;0.518;0.015;-0.046
1.6828E+12;2023-04-29T23:21:33.403;0.74;0.404;0;-0.023
1.6828E+12;2023-04-29T23:21:33.413;0.75;0.457;0.084;-0.091
1.6828E+12;2023-04-29T23:21:33.423;0.76;0.343;0.038;-0.015
1.6828E+12;2023-04-29T23:21:33.433;0.77;0.274;0.046;-0.038
1.6828E+12;2023-04-29T23:21:33.443;0.78;0.29;0.122;0.069
1.6828E+12;2023-04-29T23:21:33.453;0.79;0.183;0.038;0.213
1.6828E+12;2023-04-29T23:21:33.463;0.8;0.168;0.038;0.29
1.6828E+12;2023-04-29T23:21:33.473;0.81;0.419;0.191;0.229
1.6828E+12;2023-04-29T23:21:33.483;0.82;0.488;0.061;0.152
1.6828E+12;2023-04-29T23:21:33.493;0.83;0.503;-0.038;0.13
1.6828E+12;2023-04-29T23:21:33.503;0.84;0.488;0.152;0.152
1.6828E+12;2023-04-29T23:21:33.513;0.85;0.412;0.13;0.152
1.6828E+12;2023-04-29T23:21:33.523;0.86;0.198;-0.091;0.183
1.6828E+12;2023-04-29T23:21:33.533;0.87;0.183;-0.091;0.244
1.6828E+12;2023-04-29T23:21:33.543;0.88;0.313;0.084;0.206
