epoch (ms);time (01:00);elapsed (s);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
1.6828E+12;2023-04-29T23:24:27.815;0;-0.503;-0.069;0.526
1.6828E+12;2023-04-29T23:24:27.825;0.01;-0.267;0.358;1.014
1.6828E+12;2023-04-29T23:24:27.835;0.02;-0.13;-0.091;0.655
1.6828E+12;2023-04-29T23:24:27.845;0.03;-0.267;-0.015;0.564
1.6828E+12;2023-04-29T23:24:27.855;0.04;-0.259;-0.023;0.587
1.6828E+12;2023-04-29T23:24:27.865;0.05;-0.038;-0.03;0.595
1.6828E+12;2023-04-29T23:24:27.875;0.06;0.038;-0.084;0.602
1.6828E+12;2023-04-29T23:24:27.885;0.07;0.091;0.008;0.617
1.6828E+12;2023-04-29T23:24:27.895;0.08;0.13;0.03;0.564
1.6828E+12;2023-04-29T23:24:27.905;0.09;0.099;-0.03;0.587
1.6828E+12;2023-04-29T23:24:27.915;0.1;-0.076;-0.038;0.633
1.6828E+12;2023-04-29T23:24:27.925;0.11;-0.008;-0.152;0.465
1.6828E+12;2023-04-29T23:24:27.935;0.12;-0.053;-0.259;0.465
1.6828E+12;2023-04-29T23:24:27.945;0.13;-0.107;-0.175;0.419
1.6828E+12;2023-04-29T23:24:27.955;0.14;-0.267;-0.206;0.404
1.6828E+12;2023-04-29T23:24:27.965;0.15;-0.259;-0.069;0.434
1.6828E+12;2023-04-29T23:24:27.975;0.16;-0.297;-0.023;0.396
1.6828E+12;2023-04-29T23:24:27.985;0.17;-0.503;0.053;0.358
1.6828E+12;2023-04-29T23:24:27.995;0.18;-0.716;-0.053;0.343
1.6828E+12;2023-04-29T23:24:28.005;0.19;-0.716;0.008;0.313
1.6828E+12;2023-04-29T23:24:28.015;0.2;-0.617;-0.03;0.396
1.6828E+12;2023-04-29T23:24:28.025;0.21;-0.716;0.091;0.366
1.6828E+12;2023-04-29T23:24:28.035;0.22;-0.663;0.137;0.358
1.6828E+12;2023-04-29T23:24:28.045;0.23;-0.45;0.191;0.305
1.6828E+12;2023-04-29T23:24:28.055;0.24;-0.396;0.175;0.305
1.6828E+12;2023-04-29T23:24:28.065;0.25;-0.45;0.221;0.229
1.6828E+12;2023-04-29T23:24:28.075;0.26;-0.457;0.229;0.206
1.6828E+12;2023-04-29T23:24:28.085;0.27;-0.351;0.107;0.267
1.6828E+12;2023-04-29T23:24:28.095;0.28;0.023;0.114;0.351
1.6828E+12;2023-04-29T23:24:28.105;0.29;0.282;0.221;0.389
1.6828E+12;2023-04-29T23:24:28.115;0.3;0.084;0.259;0.434
1.6828E+12;2023-04-29T23:24:28.125;0.31;0.16;0.198;0.442
1.6828E+12;2023-04-29T23:24:28.135;0.32;0.282;0.13;0.503
1.6828E+12;2023-04-29T23:24:28.145;0.33;0.076;0.175;0.412
1.6828E+12;2023-04-29T23:24:28.155;0.34;0.008;0.191;0.419
1.6828E+12;2023-04-29T23:24:28.165;0.35;-0.076;0.137;0.495
1.6828E+12;2023-04-29T23:24:28.175;0.36;-0.13;0.183;0.45
1.6828E+12;2023-04-29T23:24:28.185;0.37;-0.198;0.213;0.366
1.6828E+12;2023-04-29T23:24:28.195;0.38;-0.053;0.381;0.343
1.6828E+12;2023-04-29T23:24:28.205;0.39;0.046;0.434;0.366
1.6828E+12;2023-04-29T23:24:28.215;0.4;0.084;0.495;0.32
1.6828E+12;2023-04-29T23:24:28.225;0.41;0.229;0.396;0.373
1.6828E+12;2023-04-29T23:24:28.235;0.42;0.145;0.419;0.396
1.6828E+12;2023-04-29T23:24:28.245;0.43;0.168;0.404;0.396
1.6828E+12;2023-04-29T23:24:28.255;0.44;0.221;0.434;0.465
1.6828E+12;2023-04-29T23:24:28.265;0.45;0.145;0.48;0.534
1.6828E+12;2023-04-29T23:24:28.275;0.46;0.107;0.48;0.549
1.6828E+12;2023-04-29T23:24:28.285;0.47;0.328;0.511;0.518
1.6828E+12;2023-04-29T23:24:28.295;0.48;0.389;0.579;0.534
1.6828E+12;2023-04-29T23:24:28.305;0.49;0.404;0.534;0.511
1.6828E+12;2023-04-29T23:24:28.315;0.5;0.396;0.419;0.427
1.6828E+12;2023-04-29T23:24:28.325;0.51;0.45;0.45;0.457
1.6828E+12;2023-04-29T23:24:28.335;0.52;0.526;0.488;0.488
1.6828E+12;2023-04-29T23:24:28.345;0.53;0.48;0.587;0.442
1.6828E+12;2023-04-29T23:24:28.355;0.54;0.48;0.686;0.457
1.6828E+12;2023-04-29T23:24:28.365;0.55;0.572;0.64;0.465
1.6828E+12;2023-04-29T23:24:28.375;0.56;0.686;0.678;0.503
1.6828E+12;2023-04-29T23:24:28.385;0.57;0.625;0.534;0.534
1.6828E+12;2023-04-29T23:24:28.395;0.58;0.755;0.541;0.465
1.6828E+12;2023-04-29T23:24:28.405;0.59;0.549;0.549;0.335
1.6828E+12;2023-04-29T23:24:28.415;0.6;0.252;0.556;0.427
1.6828E+12;2023-04-29T23:24:28.425;0.61;0.061;0.549;0.396
1.6828E+12;2023-04-29T23:24:28.435;0.62;-0.053;0.48;0.389
1.6828E+12;2023-04-29T23:24:28.445;0.63;-0.198;0.64;0.373
1.6828E+12;2023-04-29T23:24:28.455;0.64;-0.526;0.686;0.259
1.6828E+12;2023-04-29T23:24:28.465;0.65;-0.564;0.709;0.229
1.6828E+12;2023-04-29T23:24:28.475;0.66;-0.61;0.709;0.259
1.6828E+12;2023-04-29T23:24:28.485;0.67;-0.579;0.64;0.282
1.6828E+12;2023-04-29T23:24:28.495;0.68;-0.572;0.541;0.313
1.6828E+12;2023-04-29T23:24:28.505;0.69;-0.564;0.518;0.213
1.6828E+12;2023-04-29T23:24:28.515;0.7;-0.442;0.579;0.274
1.6828E+12;2023-04-29T23:24:28.525;0.71;-0.396;0.503;0.305
1.6828E+12;2023-04-29T23:24:28.535;0.72;-0.572;0.48;0.351
1.6828E+12;2023-04-29T23:24:28.545;0.73;-0.541;0.488;0.29
1.6828E+12;2023-04-29T23:24:28.555;0.74;-0.252;0.473;0.252
1.6828E+12;2023-04-29T23:24:28.565;0.75;-0.061;0.595;0.274
1.6828E+12;2023-04-29T23:24:28.575;0.76;-0.008;0.633;0.282
1.6828E+12;2023-04-29T23:24:28.585;0.77;0.03;0.503;0.229
1.6828E+12;2023-04-29T23:24:28.595;0.78;0;0.373;0.206
1.6828E+12;2023-04-29T23:24:28.605;0.79;-0.061;0.335;0.381
1.6828E+12;2023-04-29T23:24:28.615;0.8;-0.236;0.32;0.427
1.6828E+12;2023-04-29T23:24:28.625;0.81;-0.229;0.473;0.335
1.6828E+12;2023-04-29T23:24:28.635;0.82;0.061;0.526;0.404
1.6828E+12;2023-04-29T23:24:28.645;0.83;0.229;0.495;0.412
1.6828E+12;2023-04-29T23:24:28.655;0.84;0.13;0.48;0.29
1.6828E+12;2023-04-29T23:24:28.665;0.85;0.046;0.373;0.259
1.6828E+12;2023-04-29T23:24:28.675;0.86;-0.114;0.297;0.221
1.6828E+12;2023-04-29T23:24:28.685;0.87;-0.229;0.404;0.236
1.6828E+12;2023-04-29T23:24:28.695;0.88;-0.358;0.457;0.313
1.6828E+12;2023-04-29T23:24:28.705;0.89;-0.541;0.358;0.313
1.6828E+12;2023-04-29T23:24:28.715;0.9;-0.427;0.465;0.297
1.6828E+12;2023-04-29T23:24:28.725;0.91;-0.137;0.579;0.335
1.6828E+12;2023-04-29T23:24:28.735;0.92;0.183;0.419;0.252
1.6828E+12;2023-04-29T23:24:28.745;0.93;0.32;0.335;0.213
1.6828E+12;2023-04-29T23:24:28.755;0.94;0.404;0.297;0.252
1.6828E+12;2023-04-29T23:24:28.765;0.95;0.541;0.282;0.358
1.6828E+12;2023-04-29T23:24:28.775;0.96;0.724;0.335;0.381
1.6828E+12;2023-04-29T23:24:28.785;0.97;0.724;0.274;0.412
1.6828E+12;2023-04-29T23:24:28.795;0.98;0.625;0.236;0.465
1.6828E+12;2023-04-29T23:24:28.805;0.99;0.602;0.152;0.434
1.6828E+12;2023-04-29T23:24:28.815;1;0.648;0.229;0.427
1.6828E+12;2023-04-29T23:24:28.825;1.01;0.678;0.244;0.419
1.6828E+12;2023-04-29T23:24:28.835;1.02;0.633;0.282;0.358
1.6828E+12;2023-04-29T23:24:28.845;1.03;0.633;0.252;0.267
1.6828E+12;2023-04-29T23:24:28.855;1.04;0.64;0.252;0.343
1.6828E+12;2023-04-29T23:24:28.865;1.05;0.625;0.297;0.389
1.6828E+12;2023-04-29T23:24:28.875;1.06;0.64;0.183;0.366
1.6828E+12;2023-04-29T23:24:28.885;1.07;0.701;0.183;0.389
1.6828E+12;2023-04-29T23:24:28.895;1.08;0.785;0.221;0.373
1.6828E+12;2023-04-29T23:24:28.905;1.09;0.534;0.282;0.48
1.6828E+12;2023-04-29T23:24:28.915;1.1;0.465;0.267;0.427
1.6828E+12;2023-04-29T23:24:28.925;1.11;0.305;0.191;0.442
1.6828E+12;2023-04-29T23:24:28.935;1.12;0.274;0.213;0.396
1.6828E+12;2023-04-29T23:24:28.945;1.13;0.191;0.267;0.313
1.6828E+12;2023-04-29T23:24:28.955;1.14;0.008;0.206;0.198
1.6828E+12;2023-04-29T23:24:28.965;1.15;0.03;0.282;0.244
1.6828E+12;2023-04-29T23:24:28.975;1.16;0;0.274;0.152
1.6828E+12;2023-04-29T23:24:28.985;1.17;-0.373;0.29;0.137
1.6828E+12;2023-04-29T23:24:28.995;1.18;-0.328;0.32;0.114
1.6828E+12;2023-04-29T23:24:29.005;1.19;-0.252;0.29;0.244
1.6828E+12;2023-04-29T23:24:29.015;1.2;-0.107;0.343;0.328
1.6828E+12;2023-04-29T23:24:29.025;1.21;0.015;0.267;0.29
1.6828E+12;2023-04-29T23:24:29.035;1.22;0.122;0.259;0.305
1.6828E+12;2023-04-29T23:24:29.045;1.23;0.053;0.236;0.381
1.6828E+12;2023-04-29T23:24:29.055;1.24;0.084;0.282;0.267
1.6828E+12;2023-04-29T23:24:29.065;1.25;0.091;0.183;0.236
1.6828E+12;2023-04-29T23:24:29.075;1.26;0.023;0.091;0.313
1.6828E+12;2023-04-29T23:24:29.085;1.27;-0.084;0.168;0.252
1.6828E+12;2023-04-29T23:24:29.095;1.28;-0.03;0.175;0.213
1.6828E+12;2023-04-29T23:24:29.105;1.29;0.053;0.236;0.168
1.6828E+12;2023-04-29T23:24:29.115;1.3;0.137;0.32;0.259
1.6828E+12;2023-04-29T23:24:29.125;1.31;0.252;0.313;0.343
1.6828E+12;2023-04-29T23:24:29.135;1.32;0.168;0.335;0.335
1.6828E+12;2023-04-29T23:24:29.145;1.33;0.16;0.252;0.442
1.6828E+12;2023-04-29T23:24:29.155;1.34;0.252;0.175;0.488
1.6828E+12;2023-04-29T23:24:29.165;1.35;0.32;0.16;0.48
1.6828E+12;2023-04-29T23:24:29.175;1.36;0.373;0.229;0.442
1.6828E+12;2023-04-29T23:24:29.185;1.37;0.45;0.29;0.465
1.6828E+12;2023-04-29T23:24:29.195;1.38;0.328;0.29;0.396
1.6828E+12;2023-04-29T23:24:29.205;1.39;0.351;0.427;0.32
1.6828E+12;2023-04-29T23:24:29.215;1.4;0.404;0.518;0.328
1.6828E+12;2023-04-29T23:24:29.225;1.41;0.267;0.419;0.297
1.6828E+12;2023-04-29T23:24:29.235;1.42;0.259;0.32;0.427
1.6828E+12;2023-04-29T23:24:29.245;1.43;0.16;0.252;0.419
1.6828E+12;2023-04-29T23:24:29.255;1.44;-0.137;0.213;0.434
1.6828E+12;2023-04-29T23:24:29.265;1.45;-0.191;0.328;0.373
1.6828E+12;2023-04-29T23:24:29.275;1.46;-0.069;0.313;0.366
1.6828E+12;2023-04-29T23:24:29.285;1.47;0.015;0.313;0.389
1.6828E+12;2023-04-29T23:24:29.295;1.48;0.015;0.328;0.419
1.6828E+12;2023-04-29T23:24:29.305;1.49;0.137;0.373;0.465
1.6828E+12;2023-04-29T23:24:29.315;1.5;0.358;0.305;0.419
1.6828E+12;2023-04-29T23:24:29.325;1.51;0.61;0.274;0.32
1.6828E+12;2023-04-29T23:24:29.335;1.52;0.526;0.335;0.373
1.6828E+12;2023-04-29T23:24:29.345;1.53;0.381;0.213;0.442
1.6828E+12;2023-04-29T23:24:29.355;1.54;0.244;0.221;0.442
1.6828E+12;2023-04-29T23:24:29.365;1.55;0.206;0.229;0.404
1.6828E+12;2023-04-29T23:24:29.375;1.56;0.259;0.358;0.404
1.6828E+12;2023-04-29T23:24:29.385;1.57;0.122;0.381;0.442
1.6828E+12;2023-04-29T23:24:29.395;1.58;0.137;0.229;0.412
1.6828E+12;2023-04-29T23:24:29.405;1.59;0.114;0.183;0.442
1.6828E+12;2023-04-29T23:24:29.415;1.6;0.122;0.305;0.389
1.6828E+12;2023-04-29T23:24:29.425;1.61;0.122;0.221;0.442
1.6828E+12;2023-04-29T23:24:29.435;1.62;0.046;0.198;0.351
1.6828E+12;2023-04-29T23:24:29.445;1.63;0.091;0.198;0.366
1.6828E+12;2023-04-29T23:24:29.455;1.64;0.191;0.175;0.305
1.6828E+12;2023-04-29T23:24:29.465;1.65;0.076;0.221;0.29
1.6828E+12;2023-04-29T23:24:29.475;1.66;0.053;0.206;0.313
1.6828E+12;2023-04-29T23:24:29.485;1.67;0.114;0.152;0.259
1.6828E+12;2023-04-29T23:24:29.495;1.68;0.252;0.168;0.305
1.6828E+12;2023-04-29T23:24:29.505;1.69;0.191;0.236;0.358
1.6828E+12;2023-04-29T23:24:29.515;1.7;0.091;0.13;0.351
1.6828E+12;2023-04-29T23:24:29.525;1.71;0.008;0.053;0.343
1.6828E+12;2023-04-29T23:24:29.535;1.72;0.168;0.061;0.328
1.6828E+12;2023-04-29T23:24:29.545;1.73;0.259;0.053;0.404
1.6828E+12;2023-04-29T23:24:29.555;1.74;0.137;0.13;0.442
1.6828E+12;2023-04-29T23:24:29.565;1.75;0.023;0.145;0.366
1.6828E+12;2023-04-29T23:24:29.575;1.76;0.076;0.107;0.526
1.6828E+12;2023-04-29T23:24:29.585;1.77;0.206;0.023;0.564
1.6828E+12;2023-04-29T23:24:29.595;1.78;0.297;0.091;0.442
1.6828E+12;2023-04-29T23:24:29.605;1.79;0.259;0.229;0.427
1.6828E+12;2023-04-29T23:24:29.615;1.8;0.076;0.221;0.351
1.6828E+12;2023-04-29T23:24:29.625;1.81;0.137;0.145;0.313
1.6828E+12;2023-04-29T23:24:29.635;1.82;0.114;0.191;0.328
1.6828E+12;2023-04-29T23:24:29.645;1.83;-0.069;0.252;0.389
1.6828E+12;2023-04-29T23:24:29.655;1.84;-0.122;0.168;0.427
1.6828E+12;2023-04-29T23:24:29.665;1.85;-0.198;0.137;0.389
1.6828E+12;2023-04-29T23:24:29.675;1.86;-0.282;0.16;0.366
1.6828E+12;2023-04-29T23:24:29.685;1.87;-0.267;0.145;0.45
1.6828E+12;2023-04-29T23:24:29.695;1.88;-0.183;0.252;0.495
1.6828E+12;2023-04-29T23:24:29.705;1.89;0.015;0.274;0.511
1.6828E+12;2023-04-29T23:24:29.715;1.9;-0.069;0.29;0.495
1.6828E+12;2023-04-29T23:24:29.725;1.91;0.023;0.313;0.541
1.6828E+12;2023-04-29T23:24:29.735;1.92;0.32;0.32;0.549
1.6828E+12;2023-04-29T23:24:29.745;1.93;0.396;0.373;0.534
1.6828E+12;2023-04-29T23:24:29.755;1.94;0.465;0.373;0.404
1.6828E+12;2023-04-29T23:24:29.765;1.95;0.671;0.366;0.579
1.6828E+12;2023-04-29T23:24:29.775;1.96;0.64;0.313;0.64
1.6828E+12;2023-04-29T23:24:29.785;1.97;0.617;0.282;0.655
1.6828E+12;2023-04-29T23:24:29.795;1.98;0.595;0.358;0.61
1.6828E+12;2023-04-29T23:24:29.805;1.99;0.595;0.412;0.64
1.6828E+12;2023-04-29T23:24:29.815;2;0.663;0.351;0.64
1.6828E+12;2023-04-29T23:24:29.825;2.01;0.534;0.313;0.633
1.6828E+12;2023-04-29T23:24:29.835;2.02;0.396;0.297;0.625
1.6828E+12;2023-04-29T23:24:29.845;2.03;0.488;0.373;0.572
1.6828E+12;2023-04-29T23:24:29.855;2.04;0.564;0.404;0.526
1.6828E+12;2023-04-29T23:24:29.865;2.05;0.602;0.389;0.572
1.6828E+12;2023-04-29T23:24:29.875;2.06;0.686;0.373;0.633
1.6828E+12;2023-04-29T23:24:29.885;2.07;0.739;0.305;0.785
1.6828E+12;2023-04-29T23:24:29.895;2.08;0.808;0.213;0.747
1.6828E+12;2023-04-29T23:24:29.905;2.09;0.709;0.32;0.686
1.6828E+12;2023-04-29T23:24:29.915;2.1;0.556;0.282;0.663
