epoch (ms);time (01:00);elapsed (s);pitch (deg);roll (deg);yaw (deg); heading (deg)
1.6828E+12;2023-04-29T23:07:29.094;0;156.052;-65.995;0;0
1.6828E+12;2023-04-29T23:07:29.104;0.01;156.062;-66.009;0.073;0.073
1.6828E+12;2023-04-29T23:07:29.114;0.02;156.074;-66.024;0.146;0.146
1.6828E+12;2023-04-29T23:07:29.124;0.03;156.087;-66.04;0.209;0.209
1.6828E+12;2023-04-29T23:07:29.134;0.04;156.1;-66.056;0.255;0.255
1.6828E+12;2023-04-29T23:07:29.144;0.05;156.12;-66.078;0.277;0.277
1.6828E+12;2023-04-29T23:07:29.154;0.06;156.138;-66.097;0.29;0.29
1.6828E+12;2023-04-29T23:07:29.164;0.07;156.157;-66.116;0.301;0.301
1.6828E+12;2023-04-29T23:07:29.174;0.08;156.175;-66.133;0.319;0.319
1.6828E+12;2023-04-29T23:07:29.184;0.09;156.19;-66.148;0.344;0.344
1.6828E+12;2023-04-29T23:07:29.194;0.1;156.202;-66.159;0.388;0.388
1.6828E+12;2023-04-29T23:07:29.204;0.11;156.21;-66.168;0.444;0.444
1.6828E+12;2023-04-29T23:07:29.214;0.12;156.22;-66.178;0.505;0.505
1.6828E+12;2023-04-29T23:07:29.224;0.13;156.23;-66.189;0.568;0.568
1.6828E+12;2023-04-29T23:07:29.234;0.14;156.236;-66.195;0.639;0.639
1.6828E+12;2023-04-29T23:07:29.244;0.15;156.234;-66.194;0.726;0.726
1.6828E+12;2023-04-29T23:07:29.254;0.16;156.231;-66.192;0.822;0.822
1.6828E+12;2023-04-29T23:07:29.264;0.17;156.229;-66.191;0.907;0.907
1.6828E+12;2023-04-29T23:07:29.274;0.18;156.228;-66.189;0.953;0.953
1.6828E+12;2023-04-29T23:07:29.284;0.19;156.238;-66.196;0.953;0.953
1.6828E+12;2023-04-29T23:07:29.294;0.2;156.258;-66.211;0.919;0.919
1.6828E+12;2023-04-29T23:07:29.304;0.21;156.287;-66.236;0.87;0.87
1.6828E+12;2023-04-29T23:07:29.314;0.22;156.323;-66.269;0.825;0.825
1.6828E+12;2023-04-29T23:07:29.324;0.23;156.364;-66.309;0.805;0.805
1.6828E+12;2023-04-29T23:07:29.334;0.24;156.408;-66.355;0.825;0.825
1.6828E+12;2023-04-29T23:07:29.344;0.25;156.454;-66.405;0.895;0.895
1.6828E+12;2023-04-29T23:07:29.354;0.26;156.501;-66.456;1.011;1.011
1.6828E+12;2023-04-29T23:07:29.364;0.27;156.551;-66.511;1.159;1.159
1.6828E+12;2023-04-29T23:07:29.374;0.28;156.609;-66.571;1.316;1.316
1.6828E+12;2023-04-29T23:07:29.384;0.29;156.67;-66.634;1.474;1.474
1.6828E+12;2023-04-29T23:07:29.394;0.3;156.729;-66.694;1.632;1.632
1.6828E+12;2023-04-29T23:07:29.404;0.31;156.789;-66.754;1.785;1.785
1.6828E+12;2023-04-29T23:07:29.414;0.32;156.849;-66.813;1.93;1.93
1.6828E+12;2023-04-29T23:07:29.424;0.33;156.889;-66.852;2.087;2.087
1.6828E+12;2023-04-29T23:07:29.434;0.34;156.938;-66.9;2.22;2.22
1.6828E+12;2023-04-29T23:07:29.444;0.35;156.996;-66.957;2.326;2.326
1.6828E+12;2023-04-29T23:07:29.454;0.36;157.064;-67.027;2.402;2.402
1.6828E+12;2023-04-29T23:07:29.464;0.37;157.131;-67.097;2.459;2.459
1.6828E+12;2023-04-29T23:07:29.474;0.38;157.195;-67.165;2.498;2.498
1.6828E+12;2023-04-29T23:07:29.484;0.39;157.256;-67.229;2.516;2.516
1.6828E+12;2023-04-29T23:07:29.494;0.4;157.317;-67.292;2.52;2.52
1.6828E+12;2023-04-29T23:07:29.504;0.41;157.377;-67.356;2.517;2.517
1.6828E+12;2023-04-29T23:07:29.514;0.42;157.439;-67.419;2.512;2.512
1.6828E+12;2023-04-29T23:07:29.524;0.43;157.504;-67.485;2.514;2.514
1.6828E+12;2023-04-29T23:07:29.534;0.44;157.572;-67.555;2.53;2.53
1.6828E+12;2023-04-29T23:07:29.544;0.45;157.645;-67.629;2.569;2.569
1.6828E+12;2023-04-29T23:07:29.554;0.46;157.727;-67.712;2.635;2.635
1.6828E+12;2023-04-29T23:07:29.564;0.47;157.813;-67.8;2.73;2.73
1.6828E+12;2023-04-29T23:07:29.574;0.48;157.904;-67.892;2.867;2.867
1.6828E+12;2023-04-29T23:07:29.584;0.49;157.993;-67.984;3.037;3.037
1.6828E+12;2023-04-29T23:07:29.594;0.5;158.084;-68.076;3.227;3.227
1.6828E+12;2023-04-29T23:07:29.604;0.51;158.173;-68.167;3.422;3.422
1.6828E+12;2023-04-29T23:07:29.614;0.52;158.255;-68.251;3.609;3.609
1.6828E+12;2023-04-29T23:07:29.624;0.53;158.333;-68.329;3.781;3.781
1.6828E+12;2023-04-29T23:07:29.634;0.54;158.405;-68.402;3.926;3.926
1.6828E+12;2023-04-29T23:07:29.644;0.55;158.473;-68.471;4.033;4.033
1.6828E+12;2023-04-29T23:07:29.654;0.56;158.545;-68.544;4.104;4.104
1.6828E+12;2023-04-29T23:07:29.664;0.57;158.616;-68.615;4.151;4.151
1.6828E+12;2023-04-29T23:07:29.674;0.58;158.687;-68.687;4.185;4.185
1.6828E+12;2023-04-29T23:07:29.684;0.59;158.738;-68.738;4.232;4.232
1.6828E+12;2023-04-29T23:07:29.694;0.6;158.804;-68.803;4.263;4.263
1.6828E+12;2023-04-29T23:07:29.704;0.61;158.869;-68.869;4.298;4.298
1.6828E+12;2023-04-29T23:07:29.714;0.62;158.931;-68.931;4.338;4.338
1.6828E+12;2023-04-29T23:07:29.724;0.63;158.994;-68.994;4.371;4.371
1.6828E+12;2023-04-29T23:07:29.734;0.64;20.95;-69.049;4.403;4.403
1.6828E+12;2023-04-29T23:07:29.744;0.65;20.895;-69.105;4.412;4.412
1.6828E+12;2023-04-29T23:07:29.754;0.66;20.847;-69.153;4.4;4.4
1.6828E+12;2023-04-29T23:07:29.764;0.67;20.807;-69.192;4.373;4.373
1.6828E+12;2023-04-29T23:07:29.774;0.68;20.772;-69.226;4.337;4.337
1.6828E+12;2023-04-29T23:07:29.784;0.69;20.748;-69.251;4.302;4.302
1.6828E+12;2023-04-29T23:07:29.794;0.7;20.728;-69.27;4.261;4.261
1.6828E+12;2023-04-29T23:07:29.804;0.71;20.71;-69.288;4.214;4.214
1.6828E+12;2023-04-29T23:07:29.814;0.72;20.694;-69.304;4.161;4.161
1.6828E+12;2023-04-29T23:07:29.824;0.73;20.68;-69.317;4.104;4.104
1.6828E+12;2023-04-29T23:07:29.834;0.74;20.669;-69.329;4.049;4.049
1.6828E+12;2023-04-29T23:07:29.844;0.75;20.663;-69.334;4.001;4.001
1.6828E+12;2023-04-29T23:07:29.854;0.76;20.662;-69.335;3.961;3.961
1.6828E+12;2023-04-29T23:07:29.864;0.77;20.663;-69.334;3.929;3.929
1.6828E+12;2023-04-29T23:07:29.874;0.78;20.665;-69.332;3.904;3.904
1.6828E+12;2023-04-29T23:07:29.884;0.79;20.67;-69.327;3.89;3.89
1.6828E+12;2023-04-29T23:07:29.894;0.8;20.674;-69.323;3.884;3.884
1.6828E+12;2023-04-29T23:07:29.904;0.81;20.676;-69.322;3.878;3.878
1.6828E+12;2023-04-29T23:07:29.914;0.82;20.673;-69.324;3.865;3.865
1.6828E+12;2023-04-29T23:07:29.924;0.83;20.664;-69.334;3.842;3.842
1.6828E+12;2023-04-29T23:07:29.934;0.84;20.653;-69.345;3.814;3.814
1.6828E+12;2023-04-29T23:07:29.944;0.85;20.646;-69.352;3.79;3.79
1.6828E+12;2023-04-29T23:07:29.954;0.86;20.649;-69.35;3.772;3.772
1.6828E+12;2023-04-29T23:07:29.964;0.87;20.662;-69.336;3.765;3.765
1.6828E+12;2023-04-29T23:07:29.974;0.88;20.69;-69.309;3.78;3.78
1.6828E+12;2023-04-29T23:07:29.984;0.89;20.714;-69.284;3.793;3.793
1.6828E+12;2023-04-29T23:07:29.994;0.9;20.732;-69.267;3.795;3.795
1.6828E+12;2023-04-29T23:07:30.004;0.91;20.745;-69.255;3.786;3.786
1.6828E+12;2023-04-29T23:07:30.014;0.92;20.758;-69.241;3.769;3.769
1.6828E+12;2023-04-29T23:07:30.024;0.93;20.771;-69.228;3.736;3.736
1.6828E+12;2023-04-29T23:07:30.034;0.94;159.216;-69.216;3.686;3.686
1.6828E+12;2023-04-29T23:07:30.044;0.95;159.205;-69.205;3.625;3.625
1.6828E+12;2023-04-29T23:07:30.054;0.96;159.198;-69.198;3.554;3.554
1.6828E+12;2023-04-29T23:07:30.064;0.97;159.191;-69.191;3.48;3.48
1.6828E+12;2023-04-29T23:07:30.074;0.98;159.184;-69.183;3.404;3.404
1.6828E+12;2023-04-29T23:07:30.084;0.99;159.181;-69.179;3.322;3.322
1.6828E+12;2023-04-29T23:07:30.094;1;159.177;-69.174;3.246;3.246
1.6828E+12;2023-04-29T23:07:30.104;1.01;159.171;-69.167;3.177;3.177
1.6828E+12;2023-04-29T23:07:30.114;1.02;159.166;-69.161;3.118;3.118
1.6828E+12;2023-04-29T23:07:30.124;1.03;159.161;-69.155;3.076;3.076
1.6828E+12;2023-04-29T23:07:30.134;1.04;159.158;-69.15;3.046;3.046
1.6828E+12;2023-04-29T23:07:30.144;1.05;159.156;-69.147;3.023;3.023
1.6828E+12;2023-04-29T23:07:30.154;1.06;159.157;-69.146;3.004;3.004
1.6828E+12;2023-04-29T23:07:30.164;1.07;159.16;-69.146;2.991;2.991
1.6828E+12;2023-04-29T23:07:30.174;1.08;159.165;-69.148;2.984;2.984
1.6828E+12;2023-04-29T23:07:30.184;1.09;159.17;-69.151;2.977;2.977
1.6828E+12;2023-04-29T23:07:30.194;1.1;159.178;-69.155;2.966;2.966
1.6828E+12;2023-04-29T23:07:30.204;1.11;159.188;-69.162;2.948;2.948
1.6828E+12;2023-04-29T23:07:30.214;1.12;159.201;-69.171;2.928;2.928
1.6828E+12;2023-04-29T23:07:30.224;1.13;159.213;-69.179;2.908;2.908
1.6828E+12;2023-04-29T23:07:30.234;1.14;159.222;-69.184;2.89;2.89
1.6828E+12;2023-04-29T23:07:30.244;1.15;159.23;-69.188;2.872;2.872
1.6828E+12;2023-04-29T23:07:30.254;1.16;159.238;-69.191;2.853;2.853
1.6828E+12;2023-04-29T23:07:30.264;1.17;159.245;-69.194;2.837;2.837
1.6828E+12;2023-04-29T23:07:30.274;1.18;159.254;-69.198;2.824;2.824
1.6828E+12;2023-04-29T23:07:30.284;1.19;159.265;-69.203;2.814;2.814
1.6828E+12;2023-04-29T23:07:30.294;1.2;159.277;-69.21;2.811;2.811
1.6828E+12;2023-04-29T23:07:30.304;1.21;159.29;-69.219;2.815;2.815
1.6828E+12;2023-04-29T23:07:30.314;1.22;159.305;-69.229;2.83;2.83
1.6828E+12;2023-04-29T23:07:30.324;1.23;159.32;-69.24;2.858;2.858
1.6828E+12;2023-04-29T23:07:30.334;1.24;159.339;-69.255;2.897;2.897
1.6828E+12;2023-04-29T23:07:30.344;1.25;159.363;-69.275;2.939;2.939
1.6828E+12;2023-04-29T23:07:30.354;1.26;159.395;-69.303;2.984;2.984
1.6828E+12;2023-04-29T23:07:30.364;1.27;159.432;-69.336;3.028;3.028
1.6828E+12;2023-04-29T23:07:30.374;1.28;159.472;-69.372;3.066;3.066
1.6828E+12;2023-04-29T23:07:30.384;1.29;159.512;-69.409;3.096;3.096
1.6828E+12;2023-04-29T23:07:30.394;1.3;159.551;-69.445;3.115;3.115
1.6828E+12;2023-04-29T23:07:30.404;1.31;159.588;-69.479;3.122;3.122
1.6828E+12;2023-04-29T23:07:30.414;1.32;159.624;-69.512;3.114;3.114
1.6828E+12;2023-04-29T23:07:30.424;1.33;159.661;-69.547;3.096;3.096
1.6828E+12;2023-04-29T23:07:30.434;1.34;159.696;-69.579;3.076;3.076
1.6828E+12;2023-04-29T23:07:30.444;1.35;159.729;-69.61;3.056;3.056
1.6828E+12;2023-04-29T23:07:30.454;1.36;159.759;-69.637;3.033;3.033
1.6828E+12;2023-04-29T23:07:30.464;1.37;159.787;-69.663;3.021;3.021
1.6828E+12;2023-04-29T23:07:30.474;1.38;159.812;-69.684;3.019;3.019
1.6828E+12;2023-04-29T23:07:30.484;1.39;159.835;-69.704;3.023;3.023
1.6828E+12;2023-04-29T23:07:30.494;1.4;159.858;-69.725;3.03;3.03
1.6828E+12;2023-04-29T23:07:30.504;1.41;159.882;-69.746;3.031;3.031
