epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1684149184220,2023-05-15T13:13:04.220,0.000,2.721,1.845,1.608
1684149184230,2023-05-15T13:13:04.230,0.010,2.439,0.038,-1.174
1684149184240,2023-05-15T13:13:04.240,0.020,1.829,0.861,-0.236
1684149184250,2023-05-15T13:13:04.250,0.030,1.395,0.953,0.244
1684149184260,2023-05-15T13:13:04.260,0.040,1.151,0.945,-0.274
1684149184270,2023-05-15T13:13:04.270,0.050,0.724,0.793,-0.480
1684149184280,2023-05-15T13:13:04.280,0.060,0.282,0.564,-0.640
1684149184290,2023-05-15T13:13:04.290,0.070,0.236,0.526,-0.480
1684149184300,2023-05-15T13:13:04.300,0.080,0.503,0.183,-0.419
1684149184310,2023-05-15T13:13:04.310,0.090,0.793,0.107,-0.130
1684149184320,2023-05-15T13:13:04.320,0.100,1.143,0.442,0.297
1684149184330,2023-05-15T13:13:04.330,0.110,1.829,0.869,0.480
1684149184340,2023-05-15T13:13:04.340,0.120,3.163,1.265,0.640
1684149184350,2023-05-15T13:13:04.350,0.130,4.413,1.578,0.709
1684149184360,2023-05-15T13:13:04.360,0.140,5.084,1.905,0.747
1684149184370,2023-05-15T13:13:04.370,0.150,5.724,2.027,0.732
1684149184380,2023-05-15T13:13:04.380,0.160,6.120,2.020,0.701
1684149184390,2023-05-15T13:13:04.390,0.170,6.654,2.279,0.663
1684149184400,2023-05-15T13:13:04.400,0.180,7.172,2.248,0.587
1684149184410,2023-05-15T13:13:04.410,0.190,7.172,1.563,0.488
1684149184420,2023-05-15T13:13:04.420,0.200,7.188,0.800,0.617
1684149184430,2023-05-15T13:13:04.430,0.210,6.989,0.473,0.724
1684149184440,2023-05-15T13:13:04.440,0.220,6.471,0.945,0.884
1684149184450,2023-05-15T13:13:04.450,0.230,6.098,1.601,0.998
1684149184460,2023-05-15T13:13:04.460,0.240,5.686,1.502,0.983
1684149184470,2023-05-15T13:13:04.470,0.250,5.084,1.357,0.861
1684149184480,2023-05-15T13:13:04.480,0.260,4.794,1.715,0.915
1684149184490,2023-05-15T13:13:04.490,0.270,4.802,1.883,0.899
1684149184500,2023-05-15T13:13:04.500,0.280,4.924,1.730,0.945
1684149184510,2023-05-15T13:13:04.510,0.290,5.183,1.608,0.816
1684149184520,2023-05-15T13:13:04.520,0.300,5.396,1.486,0.877
1684149184530,2023-05-15T13:13:04.530,0.310,5.381,1.235,0.938
1684149184540,2023-05-15T13:13:04.540,0.320,5.313,0.755,1.075
1684149184550,2023-05-15T13:13:04.550,0.330,5.076,0.640,1.204
1684149184560,2023-05-15T13:13:04.560,0.340,5.564,0.907,1.212
1684149184570,2023-05-15T13:13:04.570,0.350,6.075,0.755,1.136
1684149184580,2023-05-15T13:13:04.580,0.360,6.235,0.457,1.303
1684149184590,2023-05-15T13:13:04.590,0.370,6.174,0.442,1.517
1684149184600,2023-05-15T13:13:04.600,0.380,6.372,0.389,1.555
1684149184610,2023-05-15T13:13:04.610,0.390,6.959,0.076,1.441
1684149184620,2023-05-15T13:13:04.620,0.400,7.652,-0.175,1.402
1684149184630,2023-05-15T13:13:04.630,0.410,7.828,-0.076,1.364
1684149184640,2023-05-15T13:13:04.640,0.420,7.485,-0.206,1.136
1684149184650,2023-05-15T13:13:04.650,0.430,6.776,-0.732,0.724
1684149184660,2023-05-15T13:13:04.660,0.440,6.014,-0.541,0.655
1684149184670,2023-05-15T13:13:04.670,0.450,5.221,0.000,0.823
1684149184680,2023-05-15T13:13:04.680,0.460,4.337,0.252,0.930
1684149184690,2023-05-15T13:13:04.690,0.470,3.727,0.267,0.930
1684149184700,2023-05-15T13:13:04.700,0.480,3.689,0.267,0.808
