epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1684168821383,2023-05-15T18:40:21.383,0.000,165.102,-75.041,0.000,0.000
1684168821393,2023-05-15T18:40:21.393,0.010,165.101,-75.041,0.009,0.009
1684168821403,2023-05-15T18:40:21.403,0.020,165.111,-75.049,0.003,0.003
1684168821413,2023-05-15T18:40:21.413,0.030,165.110,-75.048,0.004,0.004
1684168821423,2023-05-15T18:40:21.423,0.040,165.110,-75.048,0.004,0.004
1684168821433,2023-05-15T18:40:21.433,0.050,165.110,-75.047,0.006,0.006
1684168821443,2023-05-15T18:40:21.443,0.060,165.110,-75.047,0.008,0.008
1684168821453,2023-05-15T18:40:21.453,0.070,165.110,-75.046,0.010,0.010
1684168821463,2023-05-15T18:40:21.463,0.080,165.110,-75.045,0.011,0.011
1684168821473,2023-05-15T18:40:21.473,0.090,165.110,-75.045,0.011,0.011
1684168821483,2023-05-15T18:40:21.483,0.100,165.110,-75.045,0.011,0.011
1684168821493,2023-05-15T18:40:21.493,0.110,165.110,-75.045,0.011,0.011
1684168821503,2023-05-15T18:40:21.503,0.120,165.110,-75.045,0.011,0.011
1684168821513,2023-05-15T18:40:21.513,0.130,165.110,-75.045,0.011,0.011
1684168821523,2023-05-15T18:40:21.523,0.140,165.110,-75.045,0.013,0.013
1684168821533,2023-05-15T18:40:21.533,0.150,165.110,-75.045,0.013,0.013
1684168821543,2023-05-15T18:40:21.543,0.160,165.110,-75.045,0.013,0.013
1684168821553,2023-05-15T18:40:21.553,0.170,165.110,-75.045,0.013,0.013
1684168821563,2023-05-15T18:40:21.563,0.180,165.110,-75.045,0.013,0.013
1684168821573,2023-05-15T18:40:21.573,0.190,165.110,-75.045,0.013,0.013
1684168821583,2023-05-15T18:40:21.583,0.200,165.111,-75.045,0.013,0.013
1684168821593,2023-05-15T18:40:21.593,0.210,165.111,-75.046,0.012,0.012
1684168821603,2023-05-15T18:40:21.603,0.220,165.112,-75.046,0.012,0.012
1684168821613,2023-05-15T18:40:21.613,0.230,165.112,-75.046,0.011,0.011
1684168821623,2023-05-15T18:40:21.623,0.240,165.112,-75.047,0.011,0.011
1684168821633,2023-05-15T18:40:21.633,0.250,165.112,-75.047,0.011,0.011
1684168821643,2023-05-15T18:40:21.643,0.260,165.112,-75.047,0.011,0.011
1684168821653,2023-05-15T18:40:21.653,0.270,165.112,-75.047,0.011,0.011
1684168821663,2023-05-15T18:40:21.663,0.280,165.112,-75.047,0.011,0.011
1684168821673,2023-05-15T18:40:21.673,0.290,165.112,-75.047,0.011,0.011
1684168821683,2023-05-15T18:40:21.683,0.300,165.112,-75.047,0.011,0.011
1684168821693,2023-05-15T18:40:21.693,0.310,165.112,-75.047,0.011,0.011
1684168821703,2023-05-15T18:40:21.703,0.320,165.112,-75.047,0.011,0.011
1684168821713,2023-05-15T18:40:21.713,0.330,165.112,-75.046,0.011,0.011
1684168821723,2023-05-15T18:40:21.723,0.340,165.112,-75.046,0.011,0.011
1684168821733,2023-05-15T18:40:21.733,0.350,165.112,-75.046,0.011,0.011
1684168821743,2023-05-15T18:40:21.743,0.360,165.112,-75.046,0.011,0.011
1684168821753,2023-05-15T18:40:21.753,0.370,165.112,-75.046,0.005,0.005
1684168821763,2023-05-15T18:40:21.763,0.380,165.112,-75.046,0.005,0.005
1684168821773,2023-05-15T18:40:21.773,0.390,165.112,-75.046,0.005,0.005
1684168821783,2023-05-15T18:40:21.783,0.400,165.112,-75.046,0.005,0.005
1684168821793,2023-05-15T18:40:21.793,0.410,165.112,-75.046,0.005,0.005
1684168821803,2023-05-15T18:40:21.803,0.420,165.111,-75.046,0.005,0.005
1684168821813,2023-05-15T18:40:21.813,0.430,165.111,-75.046,0.005,0.005
