epoch (ms);time (01:00);elapsed (s);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
1.6828E+12;2023-04-29T23:16:00.171;0;0.709;2.805;0.168
1.6828E+12;2023-04-29T23:16:00.181;0.01;1.052;2.386;-0.716
1.6828E+12;2023-04-29T23:16:00.191;0.02;1.159;2.973;-0.168
1.6828E+12;2023-04-29T23:16:00.201;0.03;1.021;3.087;-0.152
1.6828E+12;2023-04-29T23:16:00.211;0.04;1.151;3.148;-0.259
1.6828E+12;2023-04-29T23:16:00.221;0.05;1.349;2.95;-0.198
1.6828E+12;2023-04-29T23:16:00.231;0.06;1.09;2.675;-0.091
1.6828E+12;2023-04-29T23:16:00.241;0.07;1.037;2.569;-0.038
1.6828E+12;2023-04-29T23:16:00.251;0.08;0.983;2.485;-0.084
1.6828E+12;2023-04-29T23:16:00.261;0.09;0.861;2.386;-0.145
1.6828E+12;2023-04-29T23:16:00.271;0.1;0.434;2.256;-0.206
1.6828E+12;2023-04-29T23:16:00.281;0.11;0.015;2.294;-0.229
1.6828E+12;2023-04-29T23:16:00.291;0.12;-0.198;2.561;-0.198
1.6828E+12;2023-04-29T23:16:00.301;0.13;-0.122;2.5;-0.152
1.6828E+12;2023-04-29T23:16:00.311;0.14;-0.206;2.317;-0.137
1.6828E+12;2023-04-29T23:16:00.321;0.15;-0.335;2.073;-0.198
1.6828E+12;2023-04-29T23:16:00.331;0.16;-0.366;1.837;-0.282
1.6828E+12;2023-04-29T23:16:00.341;0.17;-0.366;1.387;-0.282
1.6828E+12;2023-04-29T23:16:00.351;0.18;-0.122;1.037;-0.175
1.6828E+12;2023-04-29T23:16:00.361;0.19;0.191;1.075;-0.076
1.6828E+12;2023-04-29T23:16:00.371;0.2;0.495;1.212;0.069
1.6828E+12;2023-04-29T23:16:00.381;0.21;0.884;1.402;0.069
1.6828E+12;2023-04-29T23:16:00.391;0.22;1.082;1.509;0.13
1.6828E+12;2023-04-29T23:16:00.401;0.23;0.998;1.265;0.29
1.6828E+12;2023-04-29T23:16:00.411;0.24;1.174;1.067;0.434
1.6828E+12;2023-04-29T23:16:00.421;0.25;1.082;0.831;0.465
1.6828E+12;2023-04-29T23:16:00.431;0.26;0.823;0.816;0.572
1.6828E+12;2023-04-29T23:16:00.441;0.27;0.633;0.678;0.541
1.6828E+12;2023-04-29T23:16:00.451;0.28;0.564;0.793;0.457
1.6828E+12;2023-04-29T23:16:00.461;0.29;0.396;1.082;0.419
1.6828E+12;2023-04-29T23:16:00.471;0.3;0.229;1.174;0.442
1.6828E+12;2023-04-29T23:16:00.481;0.31;-0.373;0.846;0.389
