epoch (ms);time (01:00);elapsed (s);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
1.6828E+12;2023-04-29T23:29:43.781;0;13.331;-6.082;5.252
1.6828E+12;2023-04-29T23:29:43.791;0.01;13.316;-5.945;4.436
1.6828E+12;2023-04-29T23:29:43.801;0.02;12.416;-6.288;3.91
1.6828E+12;2023-04-29T23:29:43.811;0.03;10.976;-6.456;3.91
1.6828E+12;2023-04-29T23:29:43.821;0.04;9.39;-6.86;3.681
1.6828E+12;2023-04-29T23:29:43.831;0.05;7.744;-7.203;3.598
1.6828E+12;2023-04-29T23:29:43.841;0.06;6.258;-7.561;3.498
1.6828E+12;2023-04-29T23:29:43.851;0.07;4.657;-7.53;3.506
1.6828E+12;2023-04-29T23:29:43.861;0.08;3.049;-8.247;3.796
1.6828E+12;2023-04-29T23:29:43.871;0.09;1.524;-9.611;4.649
1.6828E+12;2023-04-29T23:29:43.881;0.1;-0.221;-10.762;5.808
1.6828E+12;2023-04-29T23:29:43.891;0.11;-2.416;-11.707;6.951
1.6828E+12;2023-04-29T23:29:43.901;0.12;-5.252;-12.591;7.828
1.6828E+12;2023-04-29T23:29:43.911;0.13;-7.508;-12.881;8.064
1.6828E+12;2023-04-29T23:29:43.921;0.14;-8.849;-12.813;7.706
1.6828E+12;2023-04-29T23:29:43.931;0.15;-10.084;-12.302;6.174
1.6828E+12;2023-04-29T23:29:43.941;0.16;-11.029;-11.745;4.52
1.6828E+12;2023-04-29T23:29:43.951;0.17;-11.761;-11.509;3.216
1.6828E+12;2023-04-29T23:29:43.961;0.18;-12.386;-11.463;2.63
1.6828E+12;2023-04-29T23:29:43.971;0.19;-13.194;-11.608;2.218
1.6828E+12;2023-04-29T23:29:43.981;0.2;-13.277;-11.951;2.378
1.6828E+12;2023-04-29T23:29:43.991;0.21;-11.25;-12.21;3.064
1.6828E+12;2023-04-29T23:29:44.001;0.22;-8.072;-12.172;3.765
1.6828E+12;2023-04-29T23:29:44.011;0.23;-4.596;-11.517;4.276
1.6828E+12;2023-04-29T23:29:44.021;0.24;-1.517;-11.12;4.543
1.6828E+12;2023-04-29T23:29:44.031;0.25;0.373;-11.654;4.832
1.6828E+12;2023-04-29T23:29:44.041;0.26;1.044;-12.858;4.733
1.6828E+12;2023-04-29T23:29:44.051;0.27;1.677;-14.375;4.558
1.6828E+12;2023-04-29T23:29:44.061;0.28;2.142;-14.642;4.848
1.6828E+12;2023-04-29T23:29:44.071;0.29;2.401;-14.192;5.663
1.6828E+12;2023-04-29T23:29:44.081;0.3;1.745;-13.841;6.143
1.6828E+12;2023-04-29T23:29:44.091;0.31;1.212;-13.133;6.563
1.6828E+12;2023-04-29T23:29:44.101;0.32;1.136;-12.424;6.677
1.6828E+12;2023-04-29T23:29:44.111;0.33;1.258;-11.471;6.502
1.6828E+12;2023-04-29T23:29:44.121;0.34;1.494;-9.779;5.938
1.6828E+12;2023-04-29T23:29:44.131;0.35;2.02;-7.058;5.069
1.6828E+12;2023-04-29T23:29:44.141;0.36;2.835;-3.78;4.588
1.6828E+12;2023-04-29T23:29:44.151;0.37;4.223;-0.869;4.543
1.6828E+12;2023-04-29T23:29:44.161;0.38;6.608;1.296;4.787
1.6828E+12;2023-04-29T23:29:44.171;0.39;9.527;2.835;5.259
1.6828E+12;2023-04-29T23:29:44.181;0.4;13.232;3.811;5.663
1.6828E+12;2023-04-29T23:29:44.191;0.41;17.736;4.809;6.014
1.6828E+12;2023-04-29T23:29:44.201;0.42;22.325;5.724;6.532
1.6828E+12;2023-04-29T23:29:44.211;0.43;25.747;6.288;6.928
1.6828E+12;2023-04-29T23:29:44.221;0.44;28.758;6.578;7.226
1.6828E+12;2023-04-29T23:29:44.231;0.45;32.713;6.806;7.934
1.6828E+12;2023-04-29T23:29:44.241;0.46;37.752;7.37;8.941
1.6828E+12;2023-04-29T23:29:44.251;0.47;41.845;8.186;10.046
1.6828E+12;2023-04-29T23:29:44.261;0.48;43.887;10.137;11.105
1.6828E+12;2023-04-29T23:29:44.271;0.49;43.056;12.172;12.477
1.6828E+12;2023-04-29T23:29:44.281;0.5;42.63;12.241;14.588
1.6828E+12;2023-04-29T23:29:44.291;0.51;41.623;10.823;15.854
1.6828E+12;2023-04-29T23:29:44.301;0.52;40.175;9.657;15.488
1.6828E+12;2023-04-29T23:29:44.311;0.53;40.091;8.285;14.482
1.6828E+12;2023-04-29T23:29:44.321;0.54;37.782;6.532;13.506
1.6828E+12;2023-04-29T23:29:44.331;0.55;31.723;5.328;12.401
1.6828E+12;2023-04-29T23:29:44.341;0.56;26.41;4.428;10.244
1.6828E+12;2023-04-29T23:29:44.351;0.57;25.191;3.194;7.645
1.6828E+12;2023-04-29T23:29:44.361;0.58;25.587;2.919;5.236
1.6828E+12;2023-04-29T23:29:44.371;0.59;24.36;3.636;3.232
1.6828E+12;2023-04-29T23:29:44.381;0.6;24.649;3.559;2.195
1.6828E+12;2023-04-29T23:29:44.391;0.61;27.614;2.104;2.18
1.6828E+12;2023-04-29T23:29:44.401;0.62;29.992;0.45;2.447
1.6828E+12;2023-04-29T23:29:44.411;0.63;30.556;-1.09;2.401
1.6828E+12;2023-04-29T23:29:44.421;0.64;30.785;-2.431;2.157
1.6828E+12;2023-04-29T23:29:44.431;0.65;30.175;-3.148;1.799
1.6828E+12;2023-04-29T23:29:44.441;0.66;27.782;-2.866;1.288
1.6828E+12;2023-04-29T23:29:44.451;0.67;22.858;-1.303;0.678
1.6828E+12;2023-04-29T23:29:44.461;0.68;15.953;-0.091;0.64
1.6828E+12;2023-04-29T23:29:44.471;0.69;8.544;-0.152;0.777
1.6828E+12;2023-04-29T23:29:44.481;0.7;0.191;0.053;0.396
1.6828E+12;2023-04-29T23:29:44.491;0.71;-9.337;0.998;-1.052
1.6828E+12;2023-04-29T23:29:44.501;0.72;-17.264;2.02;-3.506
1.6828E+12;2023-04-29T23:29:44.511;0.73;-22.058;3.27;-6.044
1.6828E+12;2023-04-29T23:29:44.521;0.74;-26.303;5.716;-8.171
1.6828E+12;2023-04-29T23:29:44.531;0.75;-29.527;7.63;-9.436
1.6828E+12;2023-04-29T23:29:44.541;0.76;-30.755;8.178;-9.931
1.6828E+12;2023-04-29T23:29:44.551;0.77;-32.104;7.774;-10.274
1.6828E+12;2023-04-29T23:29:44.561;0.78;-33.796;6.806;-10.701
1.6828E+12;2023-04-29T23:29:44.571;0.79;-34.093;5.716;-11.12
1.6828E+12;2023-04-29T23:29:44.581;0.8;-33.849;4.421;-10.907
1.6828E+12;2023-04-29T23:29:44.591;0.81;-34.901;4.078;-9.573
1.6828E+12;2023-04-29T23:29:44.601;0.82;-38.453;4.002;-7.957
1.6828E+12;2023-04-29T23:29:44.611;0.83;-42.927;3.712;-6.578
1.6828E+12;2023-04-29T23:29:44.621;0.84;-46.623;3.567;-5.785
1.6828E+12;2023-04-29T23:29:44.631;0.85;-51.189;4.459;-6.395
1.6828E+12;2023-04-29T23:29:44.641;0.86;-54.284;5.572;-7.82
1.6828E+12;2023-04-29T23:29:44.651;0.87;-54.992;5.907;-9.2
1.6828E+12;2023-04-29T23:29:44.661;0.88;-55.145;6.075;-10.137
1.6828E+12;2023-04-29T23:29:44.671;0.89;-54.97;5.808;-10.32
1.6828E+12;2023-04-29T23:29:44.681;0.9;-53.346;4.962;-9.855
1.6828E+12;2023-04-29T23:29:44.691;0.91;-50.305;4.573;-8.819
1.6828E+12;2023-04-29T23:29:44.701;0.92;-45.503;4.421;-7.309
1.6828E+12;2023-04-29T23:29:44.711;0.93;-40.716;4.177;-6.349
1.6828E+12;2023-04-29T23:29:44.721;0.94;-39.093;3.765;-6.113
1.6828E+12;2023-04-29T23:29:44.731;0.95;-37.447;1.89;-6.181
1.6828E+12;2023-04-29T23:29:44.741;0.96;-34.718;-0.526;-6.334
1.6828E+12;2023-04-29T23:29:44.751;0.97;-31.364;-1.738;-6.174
1.6828E+12;2023-04-29T23:29:44.761;0.98;-28.338;-2.21;-5.328
1.6828E+12;2023-04-29T23:29:44.771;0.99;-26.799;-2.797;-3.841
1.6828E+12;2023-04-29T23:29:44.781;1;-26.09;-3.026;-2.523
1.6828E+12;2023-04-29T23:29:44.791;1.01;-24.649;-2.782;-1.7
1.6828E+12;2023-04-29T23:29:44.801;1.02;-22.248;-1.723;-1.143
1.6828E+12;2023-04-29T23:29:44.811;1.03;-19.604;0.785;-0.579
1.6828E+12;2023-04-29T23:29:44.821;1.04;-16.402;4.07;0.191
1.6828E+12;2023-04-29T23:29:44.831;1.05;-11.601;7.302;1.364
1.6828E+12;2023-04-29T23:29:44.841;1.06;-4.992;10.252;2.523
1.6828E+12;2023-04-29T23:29:44.851;1.07;2.79;12.088;3.117
1.6828E+12;2023-04-29T23:29:44.861;1.08;10.023;11.966;3.026
1.6828E+12;2023-04-29T23:29:44.871;1.09;16.616;9.878;2.576
1.6828E+12;2023-04-29T23:29:44.881;1.1;21.852;7.614;2.142
1.6828E+12;2023-04-29T23:29:44.891;1.11;24.634;5.976;2.309
1.6828E+12;2023-04-29T23:29:44.901;1.12;24.345;4.078;2.957
1.6828E+12;2023-04-29T23:29:44.911;1.13;22.035;2.05;3.567
1.6828E+12;2023-04-29T23:29:44.921;1.14;18.338;1.143;3.872
1.6828E+12;2023-04-29T23:29:44.931;1.15;13.697;1.486;3.666
1.6828E+12;2023-04-29T23:29:44.941;1.16;8.354;2.851;2.965
1.6828E+12;2023-04-29T23:29:44.951;1.17;3.384;4.703;2.088
1.6828E+12;2023-04-29T23:29:44.961;1.18;-0.29;6.616;1.273
1.6828E+12;2023-04-29T23:29:44.971;1.19;-3.316;8.392;0.549
1.6828E+12;2023-04-29T23:29:44.981;1.2;-5.549;9.55;0.114
1.6828E+12;2023-04-29T23:29:44.991;1.21;-6.227;9.695;0.038
1.6828E+12;2023-04-29T23:29:45.001;1.22;-6.143;9.268;0.191
1.6828E+12;2023-04-29T23:29:45.011;1.23;-6.303;8.476;0.213
1.6828E+12;2023-04-29T23:29:45.021;1.24;-6.654;7.614;0.267
1.6828E+12;2023-04-29T23:29:45.031;1.25;-7.088;6.723;0.183
1.6828E+12;2023-04-29T23:29:45.041;1.26;-7.088;6.021;0.053
1.6828E+12;2023-04-29T23:29:45.051;1.27;-6.951;5.907;-0.313
1.6828E+12;2023-04-29T23:29:45.061;1.28;-7.622;6.098;-0.617
1.6828E+12;2023-04-29T23:29:45.071;1.29;-8.354;6.052;-0.648
1.6828E+12;2023-04-29T23:29:45.081;1.3;-8.3;6.113;-0.8
1.6828E+12;2023-04-29T23:29:45.091;1.31;-8.11;6.349;-0.877
1.6828E+12;2023-04-29T23:29:45.101;1.32;-8.277;6.684;-1.052
1.6828E+12;2023-04-29T23:29:45.111;1.33;-8.117;6.502;-1.09
1.6828E+12;2023-04-29T23:29:45.121;1.34;-7.271;5.732;-1.059
1.6828E+12;2023-04-29T23:29:45.131;1.35;-6.174;5.107;-1.273
1.6828E+12;2023-04-29T23:29:45.141;1.36;-5.236;4.436;-1.075
1.6828E+12;2023-04-29T23:29:45.151;1.37;-4.268;3.681;-0.678
1.6828E+12;2023-04-29T23:29:45.161;1.38;-3.377;3.216;-0.145
1.6828E+12;2023-04-29T23:29:45.171;1.39;-2.302;2.904;0.236
1.6828E+12;2023-04-29T23:29:45.181;1.4;-1.25;2.995;0.495
1.6828E+12;2023-04-29T23:29:45.191;1.41;-0.823;2.82;0.755
1.6828E+12;2023-04-29T23:29:45.201;1.42;-1.143;2.332;0.953
1.6828E+12;2023-04-29T23:29:45.211;1.43;-1.357;1.898;1.159
1.6828E+12;2023-04-29T23:29:45.221;1.44;-1.38;1.89;1.136
1.6828E+12;2023-04-29T23:29:45.231;1.45;-1.593;1.936;1.052
1.6828E+12;2023-04-29T23:29:45.241;1.46;-1.905;1.982;0.945
1.6828E+12;2023-04-29T23:29:45.251;1.47;-2.012;1.814;0.892
1.6828E+12;2023-04-29T23:29:45.261;1.48;-1.974;1.326;0.694
1.6828E+12;2023-04-29T23:29:45.271;1.49;-1.753;0.945;0.526
1.6828E+12;2023-04-29T23:29:45.281;1.5;-1.288;0.617;0.389
1.6828E+12;2023-04-29T23:29:45.291;1.51;-1.052;0.366;0.373
1.6828E+12;2023-04-29T23:29:45.301;1.52;-0.968;0.152;0.389
1.6828E+12;2023-04-29T23:29:45.311;1.53;-0.793;-0.221;0.511
1.6828E+12;2023-04-29T23:29:45.321;1.54;-0.541;-0.572;0.724
1.6828E+12;2023-04-29T23:29:45.331;1.55;-0.015;-0.77;0.625
1.6828E+12;2023-04-29T23:29:45.341;1.56;0.8;-0.831;0.572
1.6828E+12;2023-04-29T23:29:45.351;1.57;2.058;-0.8;0.694
1.6828E+12;2023-04-29T23:29:45.361;1.58;2.813;-0.777;0.816
1.6828E+12;2023-04-29T23:29:45.371;1.59;2.813;-0.755;0.732
1.6828E+12;2023-04-29T23:29:45.381;1.6;3.079;-0.846;0.671
