epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1683370294665,2023-05-06T12:51:34.665,0.000,-176.144,-76.962,-0.000,-0.000
1683370294675,2023-05-06T12:51:34.675,0.010,-176.144,-76.962,359.999,359.999
1683370294685,2023-05-06T12:51:34.685,0.020,-176.136,-76.951,359.990,359.990
1683370294695,2023-05-06T12:51:34.695,0.030,-176.136,-76.951,359.990,359.990
1683370294705,2023-05-06T12:51:34.705,0.040,-176.137,-76.951,359.997,359.997
1683370294715,2023-05-06T12:51:34.715,0.050,-176.139,-76.950,0.007,0.007
1683370294725,2023-05-06T12:51:34.725,0.060,-176.140,-76.950,0.018,0.018
1683370294735,2023-05-06T12:51:34.735,0.070,-176.142,-76.950,0.029,0.029
1683370294745,2023-05-06T12:51:34.745,0.080,-176.144,-76.950,0.038,0.038
1683370294755,2023-05-06T12:51:34.755,0.090,-176.144,-76.950,0.038,0.038
1683370294765,2023-05-06T12:51:34.765,0.100,-176.144,-76.950,0.038,0.038
1683370294775,2023-05-06T12:51:34.775,0.110,-176.144,-76.943,0.037,0.037
1683370294785,2023-05-06T12:51:34.785,0.120,-176.143,-76.935,0.036,0.036
1683370294795,2023-05-06T12:51:34.795,0.130,-176.142,-76.924,0.028,0.028
1683370294805,2023-05-06T12:51:34.805,0.140,-176.140,-76.912,0.017,0.017
1683370294815,2023-05-06T12:51:34.815,0.150,-176.139,-76.900,0.007,0.007
1683370294825,2023-05-06T12:51:34.825,0.160,-176.137,-76.890,359.996,359.996
1683370294835,2023-05-06T12:51:34.835,0.170,-176.135,-76.881,359.986,359.986
1683370294845,2023-05-06T12:51:34.845,0.180,-176.134,-76.874,359.977,359.977
1683370294855,2023-05-06T12:51:34.855,0.190,-176.132,-76.869,359.967,359.967
1683370294865,2023-05-06T12:51:34.865,0.200,-176.130,-76.864,359.956,359.956
1683370294875,2023-05-06T12:51:34.875,0.210,-176.128,-76.860,359.947,359.947
1683370294885,2023-05-06T12:51:34.885,0.220,-176.127,-76.862,359.940,359.940
1683370294895,2023-05-06T12:51:34.895,0.230,-176.127,-76.863,359.940,359.940
1683370294905,2023-05-06T12:51:34.905,0.240,-176.127,-76.864,359.940,359.940
1683370294915,2023-05-06T12:51:34.915,0.250,-176.127,-76.865,359.940,359.940
1683370294925,2023-05-06T12:51:34.925,0.260,-176.127,-76.865,359.940,359.940
1683370294935,2023-05-06T12:51:34.935,0.270,-176.128,-76.866,359.947,359.947
1683370294945,2023-05-06T12:51:34.945,0.280,-176.128,-76.866,359.947,359.947
1683370294955,2023-05-06T12:51:34.955,0.290,-176.128,-76.866,359.947,359.947
1683370294965,2023-05-06T12:51:34.965,0.300,-176.130,-76.866,359.954,359.954
1683370294975,2023-05-06T12:51:34.975,0.310,-176.130,-76.866,359.954,359.954
1683370294985,2023-05-06T12:51:34.985,0.320,-176.131,-76.866,359.962,359.962
1683370294995,2023-05-06T12:51:34.995,0.330,-176.131,-76.865,359.962,359.962
1683370295005,2023-05-06T12:51:35.005,0.340,-176.130,-76.865,359.961,359.961
1683370295015,2023-05-06T12:51:35.015,0.350,-176.130,-76.865,359.961,359.961
1683370295025,2023-05-06T12:51:35.025,0.360,-176.130,-76.864,359.960,359.960
1683370295035,2023-05-06T12:51:35.035,0.370,-176.129,-76.864,359.960,359.960
1683370295045,2023-05-06T12:51:35.045,0.380,-176.129,-76.863,359.959,359.959
1683370295055,2023-05-06T12:51:35.055,0.390,-176.128,-76.863,359.958,359.958
1683370295065,2023-05-06T12:51:35.065,0.400,-176.128,-76.863,359.958,359.958
1683370295075,2023-05-06T12:51:35.075,0.410,-176.128,-76.863,359.958,359.958
1683370295085,2023-05-06T12:51:35.085,0.420,-176.126,-76.863,359.950,359.950
1683370295095,2023-05-06T12:51:35.095,0.430,-176.126,-76.863,359.950,359.950
1683370295105,2023-05-06T12:51:35.105,0.440,-176.126,-76.863,359.950,359.950
1683370295115,2023-05-06T12:51:35.115,0.450,-176.126,-76.863,359.950,359.950
1683370295125,2023-05-06T12:51:35.125,0.460,-176.126,-76.863,359.950,359.950
1683370295135,2023-05-06T12:51:35.135,0.470,-176.126,-76.863,359.950,359.950
1683370295145,2023-05-06T12:51:35.145,0.480,-176.126,-76.863,359.949,359.949
1683370295155,2023-05-06T12:51:35.155,0.490,-176.126,-76.863,359.949,359.949
1683370295165,2023-05-06T12:51:35.165,0.500,-176.126,-76.863,359.949,359.949
1683370295175,2023-05-06T12:51:35.175,0.510,-176.126,-76.863,359.949,359.949
1683370295185,2023-05-06T12:51:35.185,0.520,-176.125,-76.863,359.949,359.949
1683370295195,2023-05-06T12:51:35.195,0.530,-176.125,-76.864,359.949,359.949
