epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1683369542076,2023-05-06T12:39:02.076,0.000,0.503,1.151,0.076
1683369542086,2023-05-06T12:39:02.086,0.010,0.267,1.471,1.639
1683369542096,2023-05-06T12:39:02.096,0.020,-0.152,1.311,0.252
1683369542106,2023-05-06T12:39:02.106,0.030,-0.221,1.585,0.434
1683369542116,2023-05-06T12:39:02.116,0.040,-0.427,1.784,0.587
1683369542126,2023-05-06T12:39:02.126,0.050,-0.473,1.860,0.579
1683369542136,2023-05-06T12:39:02.136,0.060,-0.488,1.601,0.488
1683369542146,2023-05-06T12:39:02.146,0.070,-0.366,1.578,0.564
1683369542156,2023-05-06T12:39:02.156,0.080,-0.137,1.578,0.663
1683369542166,2023-05-06T12:39:02.166,0.090,0.678,1.593,0.602
1683369542176,2023-05-06T12:39:02.176,0.100,1.059,1.387,0.541
1683369542186,2023-05-06T12:39:02.186,0.110,1.082,1.471,0.457
1683369542196,2023-05-06T12:39:02.196,0.120,0.587,1.570,0.427
1683369542206,2023-05-06T12:39:02.206,0.130,0.030,1.608,0.495
1683369542216,2023-05-06T12:39:02.216,0.140,-0.274,1.540,0.442
1683369542226,2023-05-06T12:39:02.226,0.150,-0.313,1.441,0.343
1683369542236,2023-05-06T12:39:02.236,0.160,-0.252,0.930,0.175
1683369542246,2023-05-06T12:39:02.246,0.170,-0.450,0.541,0.259
1683369542256,2023-05-06T12:39:02.256,0.180,-0.503,1.105,0.427
1683369542266,2023-05-06T12:39:02.266,0.190,-0.572,1.448,0.564
1683369542276,2023-05-06T12:39:02.276,0.200,-0.206,1.524,0.556
1683369542286,2023-05-06T12:39:02.286,0.210,0.008,1.631,0.419
1683369542296,2023-05-06T12:39:02.296,0.220,-0.069,1.677,0.396
1683369542306,2023-05-06T12:39:02.306,0.230,-0.175,1.235,0.503
1683369542316,2023-05-06T12:39:02.316,0.240,-0.320,1.128,0.549
1683369542326,2023-05-06T12:39:02.326,0.250,-0.617,1.395,0.587
1683369542336,2023-05-06T12:39:02.336,0.260,-0.076,0.968,0.526
1683369542346,2023-05-06T12:39:02.346,0.270,0.396,0.595,0.389
1683369542356,2023-05-06T12:39:02.356,0.280,0.480,0.732,0.335
1683369542366,2023-05-06T12:39:02.366,0.290,0.724,0.793,0.396
1683369542376,2023-05-06T12:39:02.376,0.300,0.358,1.098,0.373
1683369542386,2023-05-06T12:39:02.386,0.310,-0.236,1.585,0.358
1683369542396,2023-05-06T12:39:02.396,0.320,-0.168,1.441,0.381
1683369542406,2023-05-06T12:39:02.406,0.330,0.015,0.777,0.366
1683369542416,2023-05-06T12:39:02.416,0.340,-0.252,0.610,0.320
1683369542426,2023-05-06T12:39:02.426,0.350,-0.480,0.694,0.488
1683369542436,2023-05-06T12:39:02.436,0.360,0.099,0.724,0.404
1683369542446,2023-05-06T12:39:02.446,0.370,0.419,0.831,0.351
1683369542456,2023-05-06T12:39:02.456,0.380,0.046,0.663,0.366
1683369542466,2023-05-06T12:39:02.466,0.390,-0.755,1.052,0.373
1683369542476,2023-05-06T12:39:02.476,0.400,-1.570,1.448,0.396
1683369542486,2023-05-06T12:39:02.486,0.410,-1.578,1.197,0.351
1683369542496,2023-05-06T12:39:02.496,0.420,-1.646,0.976,0.404
1683369542506,2023-05-06T12:39:02.506,0.430,-1.570,1.334,0.503
1683369542516,2023-05-06T12:39:02.516,0.440,-0.953,1.540,0.427
1683369542526,2023-05-06T12:39:02.526,0.450,0.183,1.433,0.434
1683369542536,2023-05-06T12:39:02.536,0.460,1.235,0.816,0.313
1683369542546,2023-05-06T12:39:02.546,0.470,2.050,0.617,0.160
1683369542556,2023-05-06T12:39:02.556,0.480,2.317,0.671,0.107
1683369542566,2023-05-06T12:39:02.566,0.490,1.921,0.633,0.160
1683369542576,2023-05-06T12:39:02.576,0.500,1.410,0.419,0.168
1683369542586,2023-05-06T12:39:02.586,0.510,0.678,0.351,0.183
1683369542596,2023-05-06T12:39:02.596,0.520,0.160,0.152,0.122
1683369542606,2023-05-06T12:39:02.606,0.530,-0.221,-0.099,0.122
1683369542616,2023-05-06T12:39:02.616,0.540,0.061,0.145,0.076
1683369542626,2023-05-06T12:39:02.626,0.550,0.457,-0.480,-0.236
1683369542636,2023-05-06T12:39:02.636,0.560,0.191,-1.120,-0.351
1683369542646,2023-05-06T12:39:02.646,0.570,0.076,-1.159,-0.313
1683369542656,2023-05-06T12:39:02.656,0.580,0.274,-0.831,-0.259
1683369542666,2023-05-06T12:39:02.666,0.590,0.915,-0.991,-0.198
1683369542676,2023-05-06T12:39:02.676,0.600,1.555,-1.677,-0.221
1683369542686,2023-05-06T12:39:02.686,0.610,1.463,-1.745,-0.244
1683369542696,2023-05-06T12:39:02.696,0.620,1.250,-1.768,-0.244
