epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1684326848551,2023-05-17T14:34:08.551,0.000,-0.877,1.174,0.526
1684326848561,2023-05-17T14:34:08.561,0.010,-0.762,1.761,1.288
1684326848571,2023-05-17T14:34:08.571,0.020,-0.587,1.761,1.082
1684326848581,2023-05-17T14:34:08.581,0.030,0.114,1.402,1.189
1684326848591,2023-05-17T14:34:08.591,0.040,1.143,1.486,1.075
1684326848601,2023-05-17T14:34:08.601,0.050,1.349,1.029,0.686
1684326848611,2023-05-17T14:34:08.611,0.060,1.669,0.290,0.313
1684326848621,2023-05-17T14:34:08.621,0.070,1.646,0.290,0.099
1684326848631,2023-05-17T14:34:08.631,0.080,0.907,0.686,0.175
1684326848641,2023-05-17T14:34:08.641,0.090,-0.480,0.602,0.396
1684326848651,2023-05-17T14:34:08.651,0.100,-1.250,0.640,0.701
1684326848661,2023-05-17T14:34:08.661,0.110,-0.366,1.380,0.572
1684326848671,2023-05-17T14:34:08.671,0.120,-0.008,1.860,0.473
1684326848681,2023-05-17T14:34:08.681,0.130,-0.419,1.418,0.617
1684326848691,2023-05-17T14:34:08.691,0.140,0.030,1.227,0.541
1684326848701,2023-05-17T14:34:08.701,0.150,0.831,1.113,0.526
1684326848711,2023-05-17T14:34:08.711,0.160,1.387,0.983,0.549
1684326848721,2023-05-17T14:34:08.721,0.170,1.174,0.899,0.579
1684326848731,2023-05-17T14:34:08.731,0.180,1.235,0.617,0.396
1684326848741,2023-05-17T14:34:08.741,0.190,1.082,0.945,0.259
1684326848751,2023-05-17T14:34:08.751,0.200,0.328,1.075,0.107
1684326848761,2023-05-17T14:34:08.761,0.210,-0.465,1.113,0.008
1684326848771,2023-05-17T14:34:08.771,0.220,-0.899,0.762,0.137
1684326848781,2023-05-17T14:34:08.781,0.230,-1.555,0.800,0.320
1684326848791,2023-05-17T14:34:08.791,0.240,-1.334,1.189,0.465
1684326848801,2023-05-17T14:34:08.801,0.250,-0.755,1.151,0.495
1684326848811,2023-05-17T14:34:08.811,0.260,-0.434,0.976,0.305
1684326848821,2023-05-17T14:34:08.821,0.270,-0.351,1.014,-0.084
1684326848831,2023-05-17T14:34:08.831,0.280,-0.091,0.648,-0.107
1684326848841,2023-05-17T14:34:08.841,0.290,0.137,0.534,-0.015
1684326848851,2023-05-17T14:34:08.851,0.300,0.259,0.701,0.084
1684326848861,2023-05-17T14:34:08.861,0.310,-0.206,0.602,0.152
1684326848871,2023-05-17T14:34:08.871,0.320,-0.686,0.633,0.252
1684326848881,2023-05-17T14:34:08.881,0.330,-0.960,1.006,0.381
1684326848891,2023-05-17T14:34:08.891,0.340,-0.861,1.349,0.541
1684326848901,2023-05-17T14:34:08.901,0.350,-0.236,1.357,0.816
1684326848911,2023-05-17T14:34:08.911,0.360,-0.396,1.334,1.029
1684326848921,2023-05-17T14:34:08.921,0.370,0.130,1.075,0.861
1684326848931,2023-05-17T14:34:08.931,0.380,1.006,0.785,0.541
1684326848941,2023-05-17T14:34:08.941,0.390,0.968,0.488,0.252
1684326848951,2023-05-17T14:34:08.951,0.400,0.183,0.389,0.252
1684326848961,2023-05-17T14:34:08.961,0.410,-0.732,0.777,0.381
1684326848971,2023-05-17T14:34:08.971,0.420,-0.564,1.159,0.686
1684326848981,2023-05-17T14:34:08.981,0.430,-0.419,1.273,0.846
1684326848991,2023-05-17T14:34:08.991,0.440,-0.145,1.296,1.029
1684326849001,2023-05-17T14:34:09.001,0.450,0.838,1.387,0.922
1684326849011,2023-05-17T14:34:09.011,0.460,1.692,1.006,0.800
1684326849021,2023-05-17T14:34:09.021,0.470,1.303,0.450,0.495
1684326849031,2023-05-17T14:34:09.031,0.480,0.495,0.175,0.290
1684326849041,2023-05-17T14:34:09.041,0.490,-0.069,0.404,0.427
1684326849051,2023-05-17T14:34:09.051,0.500,-1.044,0.960,0.503
1684326849061,2023-05-17T14:34:09.061,0.510,-1.486,1.463,0.648
