epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1684573275080,2023-05-20T11:01:15.080,0.000,7.253,-82.624,0.000,0.000
1684573275090,2023-05-20T11:01:15.090,0.010,7.239,-82.635,359.999,359.999
1684573275100,2023-05-20T11:01:15.100,0.020,7.211,-82.661,359.987,359.987
1684573275110,2023-05-20T11:01:15.110,0.030,7.194,-82.677,359.984,359.984
1684573275120,2023-05-20T11:01:15.120,0.040,7.174,-82.696,359.985,359.985
1684573275130,2023-05-20T11:01:15.130,0.050,7.155,-82.714,0.003,0.003
1684573275140,2023-05-20T11:01:15.140,0.060,7.138,-82.730,0.037,0.037
1684573275150,2023-05-20T11:01:15.150,0.070,7.123,-82.743,0.074,0.074
1684573275160,2023-05-20T11:01:15.160,0.080,7.110,-82.755,0.104,0.104
1684573275170,2023-05-20T11:01:15.170,0.090,7.097,-82.767,0.115,0.115
1684573275180,2023-05-20T11:01:15.180,0.100,7.081,-82.783,0.099,0.099
1684573275190,2023-05-20T11:01:15.190,0.110,7.064,-82.800,0.047,0.047
1684573275200,2023-05-20T11:01:15.200,0.120,7.047,-82.820,359.975,359.975
1684573275210,2023-05-20T11:01:15.210,0.130,7.029,-82.839,359.898,359.898
1684573275220,2023-05-20T11:01:15.220,0.140,7.013,-82.858,359.823,359.823
1684573275230,2023-05-20T11:01:15.230,0.150,6.997,-82.876,359.759,359.759
1684573275240,2023-05-20T11:01:15.240,0.160,6.982,-82.894,359.712,359.712
1684573275250,2023-05-20T11:01:15.250,0.170,6.966,-82.910,359.689,359.689
1684573275260,2023-05-20T11:01:15.260,0.180,6.948,-82.928,359.670,359.670
1684573275270,2023-05-20T11:01:15.270,0.190,6.932,-82.944,359.664,359.664
1684573275280,2023-05-20T11:01:15.280,0.200,6.919,-82.958,359.665,359.665
1684573275290,2023-05-20T11:01:15.290,0.210,6.906,-82.972,359.661,359.661
1684573275300,2023-05-20T11:01:15.300,0.220,6.899,-82.986,359.655,359.655
1684573275310,2023-05-20T11:01:15.310,0.230,6.890,-83.000,359.647,359.647
1684573275320,2023-05-20T11:01:15.320,0.240,6.883,-83.011,359.641,359.641
1684573275330,2023-05-20T11:01:15.330,0.250,6.874,-83.022,359.638,359.638
1684573275340,2023-05-20T11:01:15.340,0.260,6.862,-83.034,359.645,359.645
1684573275350,2023-05-20T11:01:15.350,0.270,6.850,-83.048,359.661,359.661
1684573275360,2023-05-20T11:01:15.360,0.280,6.837,-83.062,359.678,359.678
1684573275370,2023-05-20T11:01:15.370,0.290,6.825,-83.077,359.701,359.701
1684573275380,2023-05-20T11:01:15.380,0.300,6.810,-83.095,359.714,359.714
1684573275390,2023-05-20T11:01:15.390,0.310,6.790,-83.119,359.715,359.715
1684573275400,2023-05-20T11:01:15.400,0.320,6.771,-83.141,359.711,359.711
1684573275410,2023-05-20T11:01:15.410,0.330,6.758,-83.157,359.698,359.698
1684573275420,2023-05-20T11:01:15.420,0.340,6.748,-83.171,359.690,359.690
1684573275430,2023-05-20T11:01:15.430,0.350,6.743,-83.180,359.680,359.680
1684573275440,2023-05-20T11:01:15.440,0.360,6.737,-83.190,359.656,359.656
1684573275450,2023-05-20T11:01:15.450,0.370,6.731,-83.201,359.614,359.614
1684573275460,2023-05-20T11:01:15.460,0.380,6.725,-83.212,359.562,359.562
1684573275470,2023-05-20T11:01:15.470,0.390,6.715,-83.227,359.499,359.499
1684573275480,2023-05-20T11:01:15.480,0.400,6.708,-83.238,359.437,359.437
1684573275490,2023-05-20T11:01:15.490,0.410,6.700,-83.249,359.387,359.387
1684573275500,2023-05-20T11:01:15.500,0.420,6.693,-83.258,359.350,359.350
1684573275510,2023-05-20T11:01:15.510,0.430,6.686,-83.267,359.322,359.322
1684573275520,2023-05-20T11:01:15.520,0.440,6.686,-83.270,359.307,359.307
1684573275530,2023-05-20T11:01:15.530,0.450,6.694,-83.266,359.307,359.307
1684573275540,2023-05-20T11:01:15.540,0.460,6.699,-83.264,359.305,359.305
1684573275550,2023-05-20T11:01:15.550,0.470,6.699,-83.266,359.281,359.281
1684573275560,2023-05-20T11:01:15.560,0.480,6.699,-83.268,359.250,359.250
1684573275570,2023-05-20T11:01:15.570,0.490,6.700,-83.270,359.213,359.213
1684573275580,2023-05-20T11:01:15.580,0.500,6.700,-83.271,359.172,359.172
1684573275590,2023-05-20T11:01:15.590,0.510,6.703,-83.272,359.134,359.134
1684573275600,2023-05-20T11:01:15.600,0.520,6.704,-83.274,359.092,359.092
1684573275610,2023-05-20T11:01:15.610,0.530,6.704,-83.276,359.059,359.059
1684573275620,2023-05-20T11:01:15.620,0.540,6.704,-83.278,359.043,359.043
1684573275630,2023-05-20T11:01:15.630,0.550,6.704,-83.279,359.044,359.044
1684573275640,2023-05-20T11:01:15.640,0.560,6.704,-83.279,359.045,359.045
1684573275650,2023-05-20T11:01:15.650,0.570,6.705,-83.279,359.040,359.040
1684573275660,2023-05-20T11:01:15.660,0.580,6.709,-83.276,359.034,359.034
1684573275670,2023-05-20T11:01:15.670,0.590,6.710,-83.276,359.036,359.036
1684573275680,2023-05-20T11:01:15.680,0.600,6.721,-83.266,359.058,359.058
1684573275690,2023-05-20T11:01:15.690,0.610,6.737,-83.251,359.095,359.095
1684573275700,2023-05-20T11:01:15.700,0.620,6.737,-83.252,359.128,359.128
1684573275710,2023-05-20T11:01:15.710,0.630,6.737,-83.252,359.171,359.171
1684573275720,2023-05-20T11:01:15.720,0.640,6.737,-83.252,359.215,359.215
1684573275730,2023-05-20T11:01:15.730,0.650,6.736,-83.252,359.257,359.257
1684573275740,2023-05-20T11:01:15.740,0.660,6.736,-83.252,359.285,359.285
1684573275750,2023-05-20T11:01:15.750,0.670,6.735,-83.254,359.294,359.294
1684573275760,2023-05-20T11:01:15.760,0.680,6.735,-83.254,359.281,359.281
1684573275770,2023-05-20T11:01:15.770,0.690,6.735,-83.254,359.253,359.253
1684573275780,2023-05-20T11:01:15.780,0.700,6.735,-83.255,359.223,359.223
1684573275790,2023-05-20T11:01:15.790,0.710,6.736,-83.255,359.208,359.208
1684573275800,2023-05-20T11:01:15.800,0.720,6.736,-83.256,359.209,359.209
1684573275810,2023-05-20T11:01:15.810,0.730,6.750,-83.242,359.250,359.250
1684573275820,2023-05-20T11:01:15.820,0.740,6.761,-83.232,359.301,359.301
1684573275830,2023-05-20T11:01:15.830,0.750,6.767,-83.226,359.345,359.345
1684573275840,2023-05-20T11:01:15.840,0.760,6.770,-83.222,359.377,359.377
1684573275850,2023-05-20T11:01:15.850,0.770,6.767,-83.226,359.395,359.395
1684573275860,2023-05-20T11:01:15.860,0.780,6.763,-83.228,359.412,359.412
1684573275870,2023-05-20T11:01:15.870,0.790,6.771,-83.221,359.439,359.439
1684573275880,2023-05-20T11:01:15.880,0.800,6.783,-83.209,359.479,359.479
1684573275890,2023-05-20T11:01:15.890,0.810,6.796,-83.196,359.532,359.532
1684573275900,2023-05-20T11:01:15.900,0.820,6.796,-83.196,359.576,359.576
1684573275910,2023-05-20T11:01:15.910,0.830,6.796,-83.196,359.620,359.620
1684573275920,2023-05-20T11:01:15.920,0.840,6.795,-83.196,359.659,359.659
1684573275930,2023-05-20T11:01:15.930,0.850,6.794,-83.197,359.685,359.685
1684573275940,2023-05-20T11:01:15.940,0.860,6.787,-83.204,359.677,359.677
1684573275950,2023-05-20T11:01:15.950,0.870,6.779,-83.212,359.650,359.650
1684573275960,2023-05-20T11:01:15.960,0.880,6.770,-83.221,359.612,359.612
1684573275970,2023-05-20T11:01:15.970,0.890,6.763,-83.228,359.573,359.573
1684573275980,2023-05-20T11:01:15.980,0.900,6.758,-83.234,359.539,359.539
1684573275990,2023-05-20T11:01:15.990,0.910,6.753,-83.240,359.518,359.518
1684573276000,2023-05-20T11:01:16.000,0.920,6.749,-83.243,359.506,359.506
1684573276010,2023-05-20T11:01:16.010,0.930,6.754,-83.239,359.511,359.511
1684573276020,2023-05-20T11:01:16.020,0.940,6.759,-83.234,359.518,359.518
1684573276030,2023-05-20T11:01:16.030,0.950,6.767,-83.228,359.527,359.527
1684573276040,2023-05-20T11:01:16.040,0.960,6.776,-83.220,359.539,359.539
1684573276050,2023-05-20T11:01:16.050,0.970,6.788,-83.209,359.552,359.552
1684573276060,2023-05-20T11:01:16.060,0.980,6.800,-83.198,359.576,359.576
1684573276070,2023-05-20T11:01:16.070,0.990,6.809,-83.189,359.610,359.610
1684573276080,2023-05-20T11:01:16.080,1.000,6.812,-83.186,359.640,359.640
1684573276090,2023-05-20T11:01:16.090,1.010,6.813,-83.185,359.657,359.657
1684573276100,2023-05-20T11:01:16.100,1.020,6.814,-83.185,359.670,359.670
1684573276110,2023-05-20T11:01:16.110,1.030,6.814,-83.185,359.684,359.684
1684573276120,2023-05-20T11:01:16.120,1.040,6.814,-83.186,359.696,359.696
1684573276130,2023-05-20T11:01:16.130,1.050,6.814,-83.186,359.697,359.697
1684573276140,2023-05-20T11:01:16.140,1.060,6.805,-83.194,359.690,359.690
1684573276150,2023-05-20T11:01:16.150,1.070,6.796,-83.203,359.674,359.674
1684573276160,2023-05-20T11:01:16.160,1.080,6.788,-83.211,359.658,359.658
1684573276170,2023-05-20T11:01:16.170,1.090,6.783,-83.217,359.655,359.655
1684573276180,2023-05-20T11:01:16.180,1.100,6.776,-83.224,359.660,359.660
1684573276190,2023-05-20T11:01:16.190,1.110,6.769,-83.231,359.679,359.679
1684573276200,2023-05-20T11:01:16.200,1.120,6.761,-83.239,359.698,359.698
1684573276210,2023-05-20T11:01:16.210,1.130,173.239,-83.239,359.721,359.721
1684573276220,2023-05-20T11:01:16.220,1.140,173.239,-83.239,359.738,359.738
1684573276230,2023-05-20T11:01:16.230,1.150,173.239,-83.239,359.746,359.746
1684573276240,2023-05-20T11:01:16.240,1.160,173.236,-83.237,359.750,359.750
1684573276250,2023-05-20T11:01:16.250,1.170,173.243,-83.243,359.745,359.745
1684573276260,2023-05-20T11:01:16.260,1.180,173.249,-83.249,359.747,359.747
1684573276270,2023-05-20T11:01:16.270,1.190,173.254,-83.254,359.764,359.764
1684573276280,2023-05-20T11:01:16.280,1.200,173.253,-83.252,359.790,359.790
