epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1684573941443,2023-05-20T11:12:21.443,0.000,2.340,0.175,5.069
1684573941453,2023-05-20T11:12:21.453,0.010,2.287,-1.136,2.683
1684573941463,2023-05-20T11:12:21.463,0.020,1.982,-0.023,4.223
1684573941473,2023-05-20T11:12:21.473,0.030,1.204,0.046,4.002
1684573941483,2023-05-20T11:12:21.483,0.040,0.648,-0.038,3.681
1684573941493,2023-05-20T11:12:21.493,0.050,0.107,0.152,3.765
1684573941503,2023-05-20T11:12:21.503,0.060,-0.130,0.358,3.750
1684573941513,2023-05-20T11:12:21.513,0.070,-0.175,0.457,3.559
1684573941523,2023-05-20T11:12:21.523,0.080,-0.191,0.655,3.491
1684573941533,2023-05-20T11:12:21.533,0.090,-0.434,0.732,3.232
1684573941543,2023-05-20T11:12:21.543,0.100,-1.197,0.838,2.957
1684573941553,2023-05-20T11:12:21.553,0.110,-1.479,0.953,2.660
1684573941563,2023-05-20T11:12:21.563,0.120,-1.486,0.831,2.576
1684573941573,2023-05-20T11:12:21.573,0.130,-1.791,0.617,2.416
1684573941583,2023-05-20T11:12:21.583,0.140,-2.104,0.503,2.088
1684573941593,2023-05-20T11:12:21.593,0.150,-2.218,0.663,1.936
1684573941603,2023-05-20T11:12:21.603,0.160,-2.485,1.105,2.043
1684573941613,2023-05-20T11:12:21.613,0.170,-2.409,1.220,2.180
1684573941623,2023-05-20T11:12:21.623,0.180,-1.890,0.930,2.386
1684573941633,2023-05-20T11:12:21.633,0.190,-1.220,0.625,2.370
1684573941643,2023-05-20T11:12:21.643,0.200,-0.495,0.755,2.210
1684573941653,2023-05-20T11:12:21.653,0.210,-0.183,0.762,2.119
1684573941663,2023-05-20T11:12:21.663,0.220,-0.175,0.678,2.180
1684573941673,2023-05-20T11:12:21.673,0.230,-0.381,0.648,2.332
1684573941683,2023-05-20T11:12:21.683,0.240,-0.808,0.587,2.370
1684573941693,2023-05-20T11:12:21.693,0.250,-1.326,0.625,2.294
1684573941703,2023-05-20T11:12:21.703,0.260,-1.578,0.663,2.081
1684573941713,2023-05-20T11:12:21.713,0.270,-1.646,0.709,2.035
1684573941723,2023-05-20T11:12:21.723,0.280,-1.456,0.831,1.928
1684573941733,2023-05-20T11:12:21.733,0.290,-0.877,0.808,1.936
1684573941743,2023-05-20T11:12:21.743,0.300,-0.694,0.663,1.898
1684573941753,2023-05-20T11:12:21.753,0.310,-0.694,0.877,1.669
1684573941763,2023-05-20T11:12:21.763,0.320,-1.052,0.983,1.448
1684573941773,2023-05-20T11:12:21.773,0.330,-1.098,0.503,1.425
1684573941783,2023-05-20T11:12:21.783,0.340,-1.220,0.335,1.456
1684573941793,2023-05-20T11:12:21.793,0.350,-1.707,0.419,1.433
1684573941803,2023-05-20T11:12:21.803,0.360,-2.081,0.777,1.479
1684573941813,2023-05-20T11:12:21.813,0.370,-2.279,1.029,1.395
1684573941823,2023-05-20T11:12:21.823,0.380,-2.012,0.960,1.319
1684573941833,2023-05-20T11:12:21.833,0.390,-2.264,0.648,1.288
1684573941843,2023-05-20T11:12:21.843,0.400,-2.637,0.564,1.197
1684573941853,2023-05-20T11:12:21.853,0.410,-2.881,0.793,1.174
