epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1684582090183,2023-05-20T13:28:10.183,0.000,164.760,-71.865,359.992,359.992
1684582090193,2023-05-20T13:28:10.193,0.010,164.773,-71.876,359.979,359.979
1684582090203,2023-05-20T13:28:10.203,0.020,164.780,-71.883,359.971,359.971
1684582090213,2023-05-20T13:28:10.213,0.030,164.789,-71.890,359.963,359.963
1684582090223,2023-05-20T13:28:10.223,0.040,164.797,-71.898,359.961,359.961
1684582090233,2023-05-20T13:28:10.233,0.050,164.806,-71.903,359.961,359.961
1684582090243,2023-05-20T13:28:10.243,0.060,164.815,-71.909,359.960,359.960
1684582090253,2023-05-20T13:28:10.253,0.070,164.824,-71.914,359.961,359.961
1684582090263,2023-05-20T13:28:10.263,0.080,164.833,-71.918,359.965,359.965
1684582090273,2023-05-20T13:28:10.273,0.090,164.840,-71.922,359.971,359.971
1684582090283,2023-05-20T13:28:10.283,0.100,164.848,-71.926,359.975,359.975
1684582090293,2023-05-20T13:28:10.293,0.110,164.857,-71.930,359.979,359.979
1684582090303,2023-05-20T13:28:10.303,0.120,164.866,-71.934,359.980,359.980
1684582090313,2023-05-20T13:28:10.313,0.130,164.874,-71.939,359.979,359.979
1684582090323,2023-05-20T13:28:10.323,0.140,164.885,-71.945,359.970,359.970
1684582090333,2023-05-20T13:28:10.333,0.150,164.896,-71.951,359.961,359.961
1684582090343,2023-05-20T13:28:10.343,0.160,164.905,-71.955,359.955,359.955
1684582090353,2023-05-20T13:28:10.353,0.170,164.912,-71.961,359.947,359.947
1684582090363,2023-05-20T13:28:10.363,0.180,164.918,-71.963,359.942,359.942
1684582090373,2023-05-20T13:28:10.373,0.190,164.918,-71.959,359.945,359.945
1684582090383,2023-05-20T13:28:10.383,0.200,164.924,-71.960,359.941,359.941
1684582090393,2023-05-20T13:28:10.393,0.210,164.930,-71.961,359.938,359.938
1684582090403,2023-05-20T13:28:10.403,0.220,164.936,-71.962,359.934,359.934
1684582090413,2023-05-20T13:28:10.413,0.230,164.941,-71.964,359.937,359.937
1684582090423,2023-05-20T13:28:10.423,0.240,164.945,-71.965,359.946,359.946
1684582090433,2023-05-20T13:28:10.433,0.250,164.949,-71.966,359.958,359.958
1684582090443,2023-05-20T13:28:10.443,0.260,164.954,-71.967,359.969,359.969
1684582090453,2023-05-20T13:28:10.453,0.270,164.959,-71.969,359.977,359.977
1684582090463,2023-05-20T13:28:10.463,0.280,164.966,-71.971,359.973,359.973
