epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1684581437006,2023-05-20T13:17:17.006,0.000,0.488,1.311,0.488
1684581437016,2023-05-20T13:17:17.016,0.010,0.343,0.678,-1.082
1684581437026,2023-05-20T13:17:17.026,0.020,0.694,1.265,-0.137
1684581437036,2023-05-20T13:17:17.036,0.030,1.159,1.082,0.084
1684581437046,2023-05-20T13:17:17.046,0.040,1.608,0.793,0.000
1684581437056,2023-05-20T13:17:17.056,0.050,2.020,0.854,-0.122
1684581437066,2023-05-20T13:17:17.066,0.060,2.340,1.120,0.000
1684581437076,2023-05-20T13:17:17.076,0.070,2.149,1.235,-0.053
1684581437086,2023-05-20T13:17:17.086,0.080,2.256,0.869,-0.259
1684581437096,2023-05-20T13:17:17.096,0.090,2.203,0.877,-0.473
1684581437106,2023-05-20T13:17:17.106,0.100,1.280,1.059,-0.465
1684581437116,2023-05-20T13:17:17.116,0.110,-0.099,0.976,-0.655
1684581437126,2023-05-20T13:17:17.126,0.120,-1.242,0.854,-0.694
1684581437136,2023-05-20T13:17:17.136,0.130,-2.393,0.732,-0.648
1684581437146,2023-05-20T13:17:17.146,0.140,-3.270,0.564,-0.770
1684581437156,2023-05-20T13:17:17.156,0.150,-2.218,0.724,-0.907
1684581437166,2023-05-20T13:17:17.166,0.160,-0.884,0.816,-0.595
1684581437176,2023-05-20T13:17:17.176,0.170,0.183,0.495,-0.358
1684581437186,2023-05-20T13:17:17.186,0.180,0.777,0.351,-0.351
1684581437196,2023-05-20T13:17:17.196,0.190,0.960,0.564,-0.404
1684581437206,2023-05-20T13:17:17.206,0.200,0.777,0.617,-0.587
1684581437216,2023-05-20T13:17:17.216,0.210,0.724,0.526,-0.823
1684581437226,2023-05-20T13:17:17.226,0.220,0.404,0.526,-1.174
1684581437236,2023-05-20T13:17:17.236,0.230,-0.091,0.625,-1.220
1684581437246,2023-05-20T13:17:17.246,0.240,-1.090,0.861,-1.235
1684581437256,2023-05-20T13:17:17.256,0.250,-2.111,0.732,-1.349
1684581437266,2023-05-20T13:17:17.266,0.260,-2.698,0.412,-1.745
1684581437276,2023-05-20T13:17:17.276,0.270,-3.925,0.061,-1.989
1684581437286,2023-05-20T13:17:17.286,0.280,-5.244,-0.122,-2.165
1684581437296,2023-05-20T13:17:17.296,0.290,-5.846,0.008,-2.271
1684581437306,2023-05-20T13:17:17.306,0.300,-5.785,0.099,-2.233
1684581437316,2023-05-20T13:17:17.316,0.310,-5.213,0.305,-2.043
1684581437326,2023-05-20T13:17:17.326,0.320,-4.581,0.175,-1.730
1684581437336,2023-05-20T13:17:17.336,0.330,-3.453,0.046,-1.677
1684581437346,2023-05-20T13:17:17.346,0.340,-2.340,0.389,-1.623
1684581437356,2023-05-20T13:17:17.356,0.350,-1.418,0.823,-1.273
1684581437366,2023-05-20T13:17:17.366,0.360,-0.313,0.838,-0.800
1684581437376,2023-05-20T13:17:17.376,0.370,0.671,0.572,-0.625
1684581437386,2023-05-20T13:17:17.386,0.380,0.663,0.396,-0.564
1684581437396,2023-05-20T13:17:17.396,0.390,-0.046,0.206,-0.610
1684581437406,2023-05-20T13:17:17.406,0.400,-0.518,0.274,-0.274
1684581437416,2023-05-20T13:17:17.416,0.410,0.023,0.351,0.008
1684581437426,2023-05-20T13:17:17.426,0.420,0.846,0.579,0.084
1684581437436,2023-05-20T13:17:17.436,0.430,1.220,0.701,0.495
1684581437446,2023-05-20T13:17:17.446,0.440,1.075,0.595,0.846
1684581437456,2023-05-20T13:17:17.456,0.450,0.701,0.785,1.037
