epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1684780515406,2023-05-22T20:35:15.406,0.000,0.526,-0.069,-0.130
1684780515416,2023-05-22T20:35:15.416,0.010,0.694,0.823,0.953
1684780515426,2023-05-22T20:35:15.426,0.020,0.358,0.427,0.655
1684780515436,2023-05-22T20:35:15.436,0.030,0.602,0.320,0.587
1684780515446,2023-05-22T20:35:15.446,0.040,0.838,0.366,0.495
1684780515456,2023-05-22T20:35:15.456,0.050,0.838,0.617,0.579
1684780515466,2023-05-22T20:35:15.466,0.060,0.739,0.709,0.617
1684780515476,2023-05-22T20:35:15.476,0.070,0.816,0.625,0.625
1684780515486,2023-05-22T20:35:15.486,0.080,0.869,0.587,0.724
1684780515496,2023-05-22T20:35:15.496,0.090,1.098,0.381,0.495
1684780515506,2023-05-22T20:35:15.506,0.100,0.930,0.061,0.587
1684780515516,2023-05-22T20:35:15.516,0.110,0.701,0.213,0.709
1684780515526,2023-05-22T20:35:15.526,0.120,0.465,0.343,0.755
1684780515536,2023-05-22T20:35:15.536,0.130,0.015,0.229,0.503
1684780515546,2023-05-22T20:35:15.546,0.140,-0.152,0.091,0.419
1684780515556,2023-05-22T20:35:15.556,0.150,0.000,0.160,0.442
1684780515566,2023-05-22T20:35:15.566,0.160,0.267,0.511,0.518
1684780515576,2023-05-22T20:35:15.576,0.170,0.541,0.694,0.633
1684780515586,2023-05-22T20:35:15.586,0.180,0.846,0.747,0.663
1684780515596,2023-05-22T20:35:15.596,0.190,0.877,0.663,0.503
1684780515606,2023-05-22T20:35:15.606,0.200,0.960,0.800,0.663
1684780515616,2023-05-22T20:35:15.616,0.210,0.953,0.747,0.671
1684780515626,2023-05-22T20:35:15.626,0.220,0.617,0.541,0.602
1684780515636,2023-05-22T20:35:15.636,0.230,0.495,0.595,0.694
1684780515646,2023-05-22T20:35:15.646,0.240,0.511,0.739,0.709
1684780515656,2023-05-22T20:35:15.656,0.250,0.640,0.671,0.579
1684780515666,2023-05-22T20:35:15.666,0.260,0.511,0.320,0.564
1684780515676,2023-05-22T20:35:15.676,0.270,0.488,0.419,0.678
1684780515686,2023-05-22T20:35:15.686,0.280,0.579,0.427,0.655
1684780515696,2023-05-22T20:35:15.696,0.290,0.183,0.191,0.640
1684780515706,2023-05-22T20:35:15.706,0.300,-0.091,0.206,0.663
1684780515716,2023-05-22T20:35:15.716,0.310,0.183,0.473,0.709
1684780515726,2023-05-22T20:35:15.726,0.320,0.358,0.617,0.602
1684780515736,2023-05-22T20:35:15.736,0.330,0.320,0.655,0.587
1684780515746,2023-05-22T20:35:15.746,0.340,0.488,0.846,0.564
1684780515756,2023-05-22T20:35:15.756,0.350,0.495,0.549,0.671
1684780515766,2023-05-22T20:35:15.766,0.360,0.595,0.617,0.724
1684780515776,2023-05-22T20:35:15.776,0.370,0.808,0.823,0.701
1684780515786,2023-05-22T20:35:15.786,0.380,0.709,0.678,0.785
1684780515796,2023-05-22T20:35:15.796,0.390,0.655,0.671,0.732
1684780515806,2023-05-22T20:35:15.806,0.400,0.480,0.587,0.709
1684780515816,2023-05-22T20:35:15.816,0.410,0.351,0.617,0.640
1684780515826,2023-05-22T20:35:15.826,0.420,0.457,0.625,0.640
1684780515836,2023-05-22T20:35:15.836,0.430,0.351,0.541,0.610
1684780515846,2023-05-22T20:35:15.846,0.440,0.130,0.297,0.556
1684780515856,2023-05-22T20:35:15.856,0.450,0.053,0.313,0.655
1684780515866,2023-05-22T20:35:15.866,0.460,0.084,0.213,0.678
1684780515876,2023-05-22T20:35:15.876,0.470,0.091,0.313,0.709
1684780515886,2023-05-22T20:35:15.886,0.480,0.236,0.297,0.732
1684780515896,2023-05-22T20:35:15.896,0.490,0.343,0.404,0.678
1684780515906,2023-05-22T20:35:15.906,0.500,0.373,0.488,0.724
1684780515916,2023-05-22T20:35:15.916,0.510,0.694,0.450,0.762
1684780515926,2023-05-22T20:35:15.926,0.520,0.747,0.511,0.739
1684780515936,2023-05-22T20:35:15.936,0.530,0.419,0.381,0.610
1684780515946,2023-05-22T20:35:15.946,0.540,0.419,0.457,0.678
1684780515956,2023-05-22T20:35:15.956,0.550,0.587,0.511,0.648
1684780515966,2023-05-22T20:35:15.966,0.560,0.335,0.442,0.541
1684780515976,2023-05-22T20:35:15.976,0.570,0.244,0.206,0.709
1684780515986,2023-05-22T20:35:15.986,0.580,0.191,0.183,0.694
1684780515996,2023-05-22T20:35:15.996,0.590,0.259,0.587,0.640
1684780516006,2023-05-22T20:35:16.006,0.600,0.526,0.313,0.694
1684780516016,2023-05-22T20:35:16.016,0.610,0.587,0.473,0.587
1684780516026,2023-05-22T20:35:16.026,0.620,0.328,0.831,0.556
1684780516036,2023-05-22T20:35:16.036,0.630,0.389,0.724,0.701
1684780516046,2023-05-22T20:35:16.046,0.640,0.495,0.503,0.701
1684780516056,2023-05-22T20:35:16.056,0.650,0.534,0.694,0.678
1684780516066,2023-05-22T20:35:16.066,0.660,0.434,0.518,0.610
1684780516076,2023-05-22T20:35:16.076,0.670,0.259,0.221,0.549
1684780516086,2023-05-22T20:35:16.086,0.680,0.259,0.465,0.595
1684780516096,2023-05-22T20:35:16.096,0.690,0.335,0.488,0.564
1684780516106,2023-05-22T20:35:16.106,0.700,0.434,0.145,0.534
1684780516116,2023-05-22T20:35:16.116,0.710,0.427,0.122,0.610
1684780516126,2023-05-22T20:35:16.126,0.720,0.313,0.008,0.556
1684780516136,2023-05-22T20:35:16.136,0.730,0.145,0.145,0.526
1684780516146,2023-05-22T20:35:16.146,0.740,0.267,0.541,0.617
1684780516156,2023-05-22T20:35:16.156,0.750,0.412,0.663,0.709
1684780516166,2023-05-22T20:35:16.166,0.760,0.663,0.335,0.709
1684780516176,2023-05-22T20:35:16.176,0.770,0.808,0.038,0.625
1684780516186,2023-05-22T20:35:16.186,0.780,0.671,0.297,0.587
1684780516196,2023-05-22T20:35:16.196,0.790,0.556,0.427,0.564
1684780516206,2023-05-22T20:35:16.206,0.800,0.389,0.381,0.610
1684780516216,2023-05-22T20:35:16.216,0.810,0.252,0.259,0.556
1684780516226,2023-05-22T20:35:16.226,0.820,0.442,0.556,0.541
1684780516236,2023-05-22T20:35:16.236,0.830,0.686,0.534,0.450
1684780516246,2023-05-22T20:35:16.246,0.840,0.358,0.236,0.473
1684780516256,2023-05-22T20:35:16.256,0.850,0.252,0.457,0.610
1684780516266,2023-05-22T20:35:16.266,0.860,0.373,0.252,0.602
1684780516276,2023-05-22T20:35:16.276,0.870,0.434,-0.023,0.625
1684780516286,2023-05-22T20:35:16.286,0.880,0.320,0.000,0.617
1684780516296,2023-05-22T20:35:16.296,0.890,0.282,0.343,0.633
1684780516306,2023-05-22T20:35:16.306,0.900,0.671,0.602,0.739
