epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1685130765263,2023-05-26T21:52:45.263,0.000,0.541,-80.284,0.000,0.000
1685130765273,2023-05-26T21:52:45.273,0.010,0.538,-80.284,0.013,0.013
1685130765283,2023-05-26T21:52:45.283,0.020,0.536,-80.284,0.026,0.026
1685130765293,2023-05-26T21:52:45.293,0.030,0.533,-80.284,0.035,0.035
1685130765303,2023-05-26T21:52:45.303,0.040,0.532,-80.284,0.042,0.042
1685130765313,2023-05-26T21:52:45.313,0.050,0.530,-80.284,0.047,0.047
1685130765323,2023-05-26T21:52:45.323,0.060,0.529,-80.284,0.046,0.046
1685130765333,2023-05-26T21:52:45.333,0.070,0.528,-80.285,0.046,0.046
1685130765343,2023-05-26T21:52:45.343,0.080,0.527,-80.285,0.045,0.045
1685130765353,2023-05-26T21:52:45.353,0.090,0.527,-80.286,0.045,0.045
1685130765363,2023-05-26T21:52:45.363,0.100,0.526,-80.286,0.050,0.050
1685130765373,2023-05-26T21:52:45.373,0.110,0.525,-80.286,0.056,0.056
1685130765383,2023-05-26T21:52:45.383,0.120,0.524,-80.286,0.064,0.064
1685130765393,2023-05-26T21:52:45.393,0.130,0.522,-80.286,0.072,0.072
1685130765403,2023-05-26T21:52:45.403,0.140,0.520,-80.286,0.081,0.081
1685130765413,2023-05-26T21:52:45.413,0.150,0.518,-80.286,0.090,0.090
1685130765423,2023-05-26T21:52:45.423,0.160,0.517,-80.286,0.100,0.100
1685130765433,2023-05-26T21:52:45.433,0.170,0.514,-80.286,0.110,0.110
1685130765443,2023-05-26T21:52:45.443,0.180,0.512,-80.286,0.122,0.122
1685130765453,2023-05-26T21:52:45.453,0.190,0.509,-80.285,0.134,0.134
1685130765463,2023-05-26T21:52:45.463,0.200,0.507,-80.285,0.141,0.141
1685130765473,2023-05-26T21:52:45.473,0.210,0.506,-80.285,0.147,0.147
1685130765483,2023-05-26T21:52:45.483,0.220,0.505,-80.285,0.146,0.146
1685130765493,2023-05-26T21:52:45.493,0.230,0.504,-80.285,0.152,0.152
1685130765503,2023-05-26T21:52:45.503,0.240,0.503,-80.285,0.157,0.157
1685130765513,2023-05-26T21:52:45.513,0.250,0.502,-80.285,0.163,0.163
1685130765523,2023-05-26T21:52:45.523,0.260,0.500,-80.285,0.170,0.170
1685130765533,2023-05-26T21:52:45.533,0.270,0.499,-80.284,0.177,0.177
1685130765543,2023-05-26T21:52:45.543,0.280,0.498,-80.284,0.185,0.185
1685130765553,2023-05-26T21:52:45.553,0.290,0.496,-80.283,0.196,0.196
1685130765563,2023-05-26T21:52:45.563,0.300,0.493,-80.282,0.210,0.210
1685130765573,2023-05-26T21:52:45.573,0.310,0.490,-80.288,0.225,0.225
1685130765583,2023-05-26T21:52:45.583,0.320,0.488,-80.294,0.238,0.238
1685130765593,2023-05-26T21:52:45.593,0.330,0.485,-80.300,0.251,0.251
1685130765603,2023-05-26T21:52:45.603,0.340,0.483,-80.308,0.266,0.266
1685130765613,2023-05-26T21:52:45.613,0.350,0.479,-80.318,0.282,0.282
1685130765623,2023-05-26T21:52:45.623,0.360,0.476,-80.331,0.299,0.299
1685130765633,2023-05-26T21:52:45.633,0.370,0.473,-80.344,0.316,0.316
1685130765643,2023-05-26T21:52:45.643,0.380,0.470,-80.357,0.331,0.331
1685130765653,2023-05-26T21:52:45.653,0.390,0.467,-80.370,0.345,0.345
1685130765663,2023-05-26T21:52:45.663,0.400,0.465,-80.383,0.361,0.361
1685130765673,2023-05-26T21:52:45.673,0.410,0.462,-80.395,0.378,0.378
1685130765683,2023-05-26T21:52:45.683,0.420,0.459,-80.406,0.394,0.394
1685130765693,2023-05-26T21:52:45.693,0.430,0.457,-80.418,0.409,0.409
1685130765703,2023-05-26T21:52:45.703,0.440,0.454,-80.428,0.424,0.424
