epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1685131163535,2023-05-26T21:59:23.535,0.000,172.469,-81.067,0.015,0.015
1685131163545,2023-05-26T21:59:23.545,0.010,172.478,-81.073,0.017,0.017
1685131163555,2023-05-26T21:59:23.555,0.020,172.488,-81.081,0.017,0.017
1685131163565,2023-05-26T21:59:23.565,0.030,172.495,-81.088,0.019,0.019
1685131163575,2023-05-26T21:59:23.575,0.040,172.504,-81.097,0.020,0.020
1685131163585,2023-05-26T21:59:23.585,0.050,172.512,-81.104,0.021,0.021
1685131163595,2023-05-26T21:59:23.595,0.060,172.521,-81.112,0.019,0.019
1685131163605,2023-05-26T21:59:23.605,0.070,172.531,-81.120,0.016,0.016
1685131163615,2023-05-26T21:59:23.615,0.080,172.540,-81.129,0.013,0.013
1685131163625,2023-05-26T21:59:23.625,0.090,172.549,-81.137,0.010,0.010
1685131163635,2023-05-26T21:59:23.635,0.100,172.558,-81.145,0.008,0.008
1685131163645,2023-05-26T21:59:23.645,0.110,172.567,-81.153,0.005,0.005
1685131163655,2023-05-26T21:59:23.655,0.120,172.577,-81.162,0.002,0.002
1685131163665,2023-05-26T21:59:23.665,0.130,172.589,-81.172,359.998,359.998
1685131163675,2023-05-26T21:59:23.675,0.140,172.599,-81.181,359.997,359.997
1685131163685,2023-05-26T21:59:23.685,0.150,172.608,-81.190,359.997,359.997
1685131163695,2023-05-26T21:59:23.695,0.160,172.617,-81.198,359.997,359.997
1685131163705,2023-05-26T21:59:23.705,0.170,172.627,-81.207,359.997,359.997
1685131163715,2023-05-26T21:59:23.715,0.180,172.638,-81.216,359.997,359.997
1685131163725,2023-05-26T21:59:23.725,0.190,172.648,-81.222,359.996,359.996
1685131163735,2023-05-26T21:59:23.735,0.200,172.658,-81.231,359.996,359.996
1685131163745,2023-05-26T21:59:23.745,0.210,172.668,-81.240,359.995,359.995
1685131163755,2023-05-26T21:59:23.755,0.220,172.679,-81.250,359.992,359.992
1685131163765,2023-05-26T21:59:23.765,0.230,172.690,-81.260,359.991,359.991
1685131163775,2023-05-26T21:59:23.775,0.240,172.700,-81.269,359.989,359.989
1685131163785,2023-05-26T21:59:23.785,0.250,172.712,-81.276,359.985,359.985
1685131163795,2023-05-26T21:59:23.795,0.260,172.723,-81.286,359.982,359.982
1685131163805,2023-05-26T21:59:23.805,0.270,172.733,-81.295,359.979,359.979
1685131163815,2023-05-26T21:59:23.815,0.280,172.743,-81.300,359.977,359.977
1685131163825,2023-05-26T21:59:23.825,0.290,172.752,-81.309,359.975,359.975
1685131163835,2023-05-26T21:59:23.835,0.300,172.761,-81.313,359.973,359.973
1685131163845,2023-05-26T21:59:23.845,0.310,172.770,-81.318,359.972,359.972
1685131163855,2023-05-26T21:59:23.855,0.320,172.778,-81.322,359.973,359.973
1685131163865,2023-05-26T21:59:23.865,0.330,172.786,-81.329,359.973,359.973
1685131163875,2023-05-26T21:59:23.875,0.340,172.795,-81.333,359.973,359.973
1685131163885,2023-05-26T21:59:23.885,0.350,172.803,-81.337,359.973,359.973
1685131163895,2023-05-26T21:59:23.895,0.360,172.811,-81.340,359.971,359.971
1685131163905,2023-05-26T21:59:23.905,0.370,172.819,-81.344,359.964,359.964
1685131163915,2023-05-26T21:59:23.915,0.380,172.827,-81.351,359.964,359.964
1685131163925,2023-05-26T21:59:23.925,0.390,172.833,-81.356,359.965,359.965
1685131163935,2023-05-26T21:59:23.935,0.400,172.840,-81.358,359.959,359.959
1685131163945,2023-05-26T21:59:23.945,0.410,172.846,-81.360,359.953,359.953
1685131163955,2023-05-26T21:59:23.955,0.420,172.852,-81.365,359.947,359.947
1685131163965,2023-05-26T21:59:23.965,0.430,172.860,-81.368,359.940,359.940
1685131163975,2023-05-26T21:59:23.975,0.440,172.867,-81.370,359.934,359.934
1685131163985,2023-05-26T21:59:23.985,0.450,172.874,-81.371,359.929,359.929
1685131163995,2023-05-26T21:59:23.995,0.460,172.873,-81.367,359.936,359.936
1685131164005,2023-05-26T21:59:24.005,0.470,172.873,-81.367,359.943,359.943
1685131164015,2023-05-26T21:59:24.015,0.480,172.879,-81.369,359.937,359.937
