epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685130275202,2023-05-26T21:44:35.202,0.000,0.107,0.755,1.517
1685130275212,2023-05-26T21:44:35.212,0.010,0.389,-0.816,-1.037
1685130275222,2023-05-26T21:44:35.222,0.020,0.396,0.633,0.976
1685130275232,2023-05-26T21:44:35.232,0.030,0.313,0.587,0.998
1685130275242,2023-05-26T21:44:35.242,0.040,0.290,0.373,0.823
1685130275252,2023-05-26T21:44:35.252,0.050,0.313,0.396,0.861
1685130275262,2023-05-26T21:44:35.262,0.060,0.274,0.404,0.907
1685130275272,2023-05-26T21:44:35.272,0.070,0.274,0.343,0.930
1685130275282,2023-05-26T21:44:35.282,0.080,0.244,0.313,0.884
1685130275292,2023-05-26T21:44:35.292,0.090,0.290,0.320,0.838
1685130275302,2023-05-26T21:44:35.302,0.100,0.229,0.320,0.861
1685130275312,2023-05-26T21:44:35.312,0.110,0.175,0.396,0.915
1685130275322,2023-05-26T21:44:35.322,0.120,0.236,0.358,0.846
1685130275332,2023-05-26T21:44:35.332,0.130,0.244,0.343,0.800
1685130275342,2023-05-26T21:44:35.342,0.140,0.099,0.267,0.869
1685130275352,2023-05-26T21:44:35.352,0.150,0.183,0.244,0.808
1685130275362,2023-05-26T21:44:35.362,0.160,0.267,0.206,0.838
1685130275372,2023-05-26T21:44:35.372,0.170,0.274,0.160,0.823
1685130275382,2023-05-26T21:44:35.382,0.180,0.290,0.130,0.732
1685130275392,2023-05-26T21:44:35.392,0.190,0.252,0.152,0.800
1685130275402,2023-05-26T21:44:35.402,0.200,0.236,0.122,0.793
1685130275412,2023-05-26T21:44:35.412,0.210,0.252,0.030,0.877
1685130275422,2023-05-26T21:44:35.422,0.220,0.389,0.091,0.816
1685130275432,2023-05-26T21:44:35.432,0.230,0.290,0.107,0.823
1685130275442,2023-05-26T21:44:35.442,0.240,0.213,0.114,0.899
1685130275452,2023-05-26T21:44:35.452,0.250,0.236,0.084,0.823
1685130275462,2023-05-26T21:44:35.462,0.260,0.320,0.130,0.777
1685130275472,2023-05-26T21:44:35.472,0.270,0.320,0.076,0.793
1685130275482,2023-05-26T21:44:35.482,0.280,0.373,0.130,0.831
1685130275492,2023-05-26T21:44:35.492,0.290,0.480,0.130,0.816
1685130275502,2023-05-26T21:44:35.502,0.300,0.442,0.183,0.777
1685130275512,2023-05-26T21:44:35.512,0.310,0.381,0.168,0.701
