epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685130824664,2023-05-26T21:53:44.664,0.000,0.099,0.114,-2.401
1685130824674,2023-05-26T21:53:44.674,0.010,-0.099,2.081,1.677
1685130824684,2023-05-26T21:53:44.684,0.020,-0.274,0.991,-0.511
1685130824694,2023-05-26T21:53:44.694,0.030,-0.625,0.762,-0.808
1685130824704,2023-05-26T21:53:44.704,0.040,-0.877,0.884,-0.373
1685130824714,2023-05-26T21:53:44.714,0.050,-0.976,0.884,-0.267
1685130824724,2023-05-26T21:53:44.724,0.060,-1.166,1.029,-0.381
1685130824734,2023-05-26T21:53:44.734,0.070,-1.052,1.052,-0.343
1685130824744,2023-05-26T21:53:44.744,0.080,-2.081,1.570,-0.473
1685130824754,2023-05-26T21:53:44.754,0.090,-3.262,2.081,-0.457
1685130824764,2023-05-26T21:53:44.764,0.100,-0.259,0.526,0.137
1685130824774,2023-05-26T21:53:44.774,0.110,-0.404,0.564,0.145
1685130824784,2023-05-26T21:53:44.784,0.120,-0.549,0.633,0.213
1685130824794,2023-05-26T21:53:44.794,0.130,-0.617,0.556,0.313
1685130824804,2023-05-26T21:53:44.804,0.140,-0.549,0.457,0.450
1685130824814,2023-05-26T21:53:44.814,0.150,-0.526,0.495,0.534
1685130824824,2023-05-26T21:53:44.824,0.160,-0.259,0.541,0.587
1685130824834,2023-05-26T21:53:44.834,0.170,0.000,0.511,0.640
1685130824844,2023-05-26T21:53:44.844,0.180,0.076,0.351,0.663
1685130824854,2023-05-26T21:53:44.854,0.190,0.008,0.259,0.785
1685130824864,2023-05-26T21:53:44.864,0.200,-0.267,0.145,0.846
1685130824874,2023-05-26T21:53:44.874,0.210,-0.450,0.099,0.976
1685130824884,2023-05-26T21:53:44.884,0.220,-0.655,0.221,0.991
1685130824894,2023-05-26T21:53:44.894,0.230,-0.770,0.442,1.029
1685130824904,2023-05-26T21:53:44.904,0.240,-0.633,0.274,1.006
1685130824914,2023-05-26T21:53:44.914,0.250,-0.511,0.213,1.044
1685130824924,2023-05-26T21:53:44.924,0.260,-0.427,0.244,1.212
1685130824934,2023-05-26T21:53:44.934,0.270,-0.541,0.160,1.303
1685130824944,2023-05-26T21:53:44.944,0.280,-0.526,0.015,1.265
1685130824954,2023-05-26T21:53:44.954,0.290,-0.351,-0.183,1.082
1685130824964,2023-05-26T21:53:44.964,0.300,-0.694,0.107,1.341
1685130824974,2023-05-26T21:53:44.974,0.310,-0.061,0.343,1.494
1685130824984,2023-05-26T21:53:44.984,0.320,0.602,0.122,1.471
1685130824994,2023-05-26T21:53:44.994,0.330,0.960,-0.152,1.341
1685130825004,2023-05-26T21:53:45.004,0.340,0.671,0.290,1.425
1685130825014,2023-05-26T21:53:45.014,0.350,0.107,0.381,1.738
1685130825024,2023-05-26T21:53:45.024,0.360,0.861,0.130,1.662
1685130825034,2023-05-26T21:53:45.034,0.370,1.227,0.221,1.601
1685130825044,2023-05-26T21:53:45.044,0.380,0.351,0.290,1.639
1685130825054,2023-05-26T21:53:45.054,0.390,-0.114,0.282,1.753
1685130825064,2023-05-26T21:53:45.064,0.400,0.290,0.366,1.966
1685130825074,2023-05-26T21:53:45.074,0.410,0.389,0.595,1.944
1685130825084,2023-05-26T21:53:45.084,0.420,0.511,0.465,1.631
1685130825094,2023-05-26T21:53:45.094,0.430,0.191,0.282,1.563
1685130825104,2023-05-26T21:53:45.104,0.440,0.191,0.373,1.791
1685130825114,2023-05-26T21:53:45.114,0.450,0.404,0.503,1.913
1685130825124,2023-05-26T21:53:45.124,0.460,0.313,0.526,1.791
1685130825134,2023-05-26T21:53:45.134,0.470,0.373,0.343,1.669
1685130825144,2023-05-26T21:53:45.144,0.480,0.777,0.274,1.761
1685130825154,2023-05-26T21:53:45.154,0.490,1.006,0.328,1.898
1685130825164,2023-05-26T21:53:45.164,0.500,0.838,0.252,2.050
1685130825174,2023-05-26T21:53:45.174,0.510,0.869,0.198,1.928
1685130825184,2023-05-26T21:53:45.184,0.520,1.220,0.130,1.852
