epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1685128821514,2023-05-26T21:20:21.514,0.000,-178.719,-83.849,0.000,0.000
1685128821524,2023-05-26T21:20:21.524,0.010,-178.728,-83.874,0.034,0.034
1685128821534,2023-05-26T21:20:21.534,0.020,-178.729,-83.893,0.055,0.055
1685128821544,2023-05-26T21:20:21.544,0.030,-178.731,-83.910,0.076,0.076
1685128821554,2023-05-26T21:20:21.554,0.040,-178.732,-83.925,0.092,0.092
1685128821564,2023-05-26T21:20:21.564,0.050,-178.732,-83.936,0.103,0.103
1685128821574,2023-05-26T21:20:21.574,0.060,-178.732,-83.936,0.103,0.103
1685128821584,2023-05-26T21:20:21.584,0.070,-178.732,-83.936,0.103,0.103
1685128821594,2023-05-26T21:20:21.594,0.080,-178.732,-83.936,0.103,0.103
1685128821604,2023-05-26T21:20:21.604,0.090,-178.732,-83.934,0.103,0.103
1685128821614,2023-05-26T21:20:21.614,0.100,-178.733,-83.931,0.104,0.104
1685128821624,2023-05-26T21:20:21.624,0.110,-178.734,-83.928,0.105,0.105
1685128821634,2023-05-26T21:20:21.634,0.120,-178.734,-83.925,0.105,0.105
1685128821644,2023-05-26T21:20:21.644,0.130,-178.735,-83.923,0.106,0.106
1685128821654,2023-05-26T21:20:21.654,0.140,-178.734,-83.921,0.095,0.095
1685128821664,2023-05-26T21:20:21.664,0.150,-178.733,-83.920,0.077,0.077
1685128821674,2023-05-26T21:20:21.674,0.160,-178.732,-83.919,0.056,0.056
1685128821684,2023-05-26T21:20:21.684,0.170,-178.731,-83.919,0.035,0.035
1685128821694,2023-05-26T21:20:21.694,0.180,-178.729,-83.919,0.012,0.012
1685128821704,2023-05-26T21:20:21.704,0.190,-178.729,-83.919,359.991,359.991
1685128821714,2023-05-26T21:20:21.714,0.200,-178.730,-83.921,359.978,359.978
1685128821724,2023-05-26T21:20:21.724,0.210,-178.732,-83.923,359.972,359.972
1685128821734,2023-05-26T21:20:21.734,0.220,-178.736,-83.926,359.977,359.977
1685128821744,2023-05-26T21:20:21.744,0.230,-178.739,-83.927,359.979,359.979
1685128821754,2023-05-26T21:20:21.754,0.240,-178.742,-83.927,359.995,359.995
1685128821764,2023-05-26T21:20:21.764,0.250,-178.746,-83.930,0.022,0.022
1685128821774,2023-05-26T21:20:21.774,0.260,-178.752,-83.935,0.054,0.054
1685128821784,2023-05-26T21:20:21.784,0.270,-178.757,-83.942,0.085,0.085
1685128821794,2023-05-26T21:20:21.794,0.280,-178.767,-83.954,0.117,0.117
1685128821804,2023-05-26T21:20:21.804,0.290,-178.777,-83.968,0.145,0.145
1685128821814,2023-05-26T21:20:21.814,0.300,-178.786,-83.979,0.169,0.169
1685128821824,2023-05-26T21:20:21.824,0.310,-178.789,-83.983,0.182,0.182
1685128821834,2023-05-26T21:20:21.834,0.320,-178.791,-83.983,0.185,0.185
1685128821844,2023-05-26T21:20:21.844,0.330,-178.793,-83.982,0.187,0.187
1685128821854,2023-05-26T21:20:21.854,0.340,-178.796,-83.983,0.191,0.191
1685128821864,2023-05-26T21:20:21.864,0.350,-178.798,-83.986,0.185,0.185
1685128821874,2023-05-26T21:20:21.874,0.360,-178.800,-83.991,0.175,0.175
1685128821884,2023-05-26T21:20:21.884,0.370,-178.802,-84.001,0.161,0.161
1685128821894,2023-05-26T21:20:21.894,0.380,-178.801,-84.017,0.140,0.140
1685128821904,2023-05-26T21:20:21.904,0.390,-178.800,-84.032,0.114,0.114
1685128821914,2023-05-26T21:20:21.914,0.400,-178.798,-84.048,0.083,0.083
1685128821924,2023-05-26T21:20:21.924,0.410,-178.795,-84.066,0.052,0.052
