epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1685129679607,2023-05-26T21:34:39.607,0.000,171.863,-73.865,-0.000,-0.000
1685129679617,2023-05-26T21:34:39.617,0.010,171.863,-73.869,0.034,0.034
1685129679627,2023-05-26T21:34:39.627,0.020,171.871,-73.871,0.057,0.057
1685129679637,2023-05-26T21:34:39.637,0.030,171.877,-73.877,0.077,0.077
1685129679647,2023-05-26T21:34:39.647,0.040,171.886,-73.878,0.093,0.093
1685129679657,2023-05-26T21:34:39.657,0.050,171.892,-73.879,0.115,0.115
1685129679667,2023-05-26T21:34:39.667,0.060,171.892,-73.877,0.153,0.153
1685129679677,2023-05-26T21:34:39.677,0.070,171.895,-73.877,0.197,0.197
1685129679687,2023-05-26T21:34:39.687,0.080,171.896,-73.885,0.254,0.254
1685129679697,2023-05-26T21:34:39.697,0.090,171.897,-73.894,0.318,0.318
1685129679707,2023-05-26T21:34:39.707,0.100,171.901,-73.904,0.380,0.380
1685129679717,2023-05-26T21:34:39.717,0.110,171.898,-73.910,0.449,0.449
1685129679727,2023-05-26T21:34:39.727,0.120,171.898,-73.917,0.512,0.512
1685129679737,2023-05-26T21:34:39.737,0.130,171.900,-73.924,0.568,0.568
1685129679747,2023-05-26T21:34:39.747,0.140,171.905,-73.933,0.612,0.612
1685129679757,2023-05-26T21:34:39.757,0.150,171.915,-73.943,0.638,0.638
1685129679767,2023-05-26T21:34:39.767,0.160,171.929,-73.953,0.644,0.644
1685129679777,2023-05-26T21:34:39.777,0.170,171.946,-73.962,0.626,0.626
1685129679787,2023-05-26T21:34:39.787,0.180,171.960,-73.968,0.602,0.602
1685129679797,2023-05-26T21:34:39.797,0.190,171.974,-73.974,0.572,0.572
1685129679807,2023-05-26T21:34:39.807,0.200,171.985,-73.978,0.544,0.544
1685129679817,2023-05-26T21:34:39.817,0.210,171.995,-73.982,0.519,0.519
1685129679827,2023-05-26T21:34:39.827,0.220,172.004,-73.986,0.498,0.498
1685129679837,2023-05-26T21:34:39.837,0.230,172.010,-73.989,0.493,0.493
1685129679847,2023-05-26T21:34:39.847,0.240,172.013,-73.985,0.491,0.491
1685129679857,2023-05-26T21:34:39.857,0.250,172.015,-73.987,0.497,0.497
1685129679867,2023-05-26T21:34:39.867,0.260,172.008,-73.985,0.520,0.520
1685129679877,2023-05-26T21:34:39.877,0.270,171.998,-73.983,0.552,0.552
1685129679887,2023-05-26T21:34:39.887,0.280,171.988,-73.981,0.592,0.592
1685129679897,2023-05-26T21:34:39.897,0.290,171.985,-73.983,0.626,0.626
