epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685128525975,2023-05-26T21:15:25.975,0.000,1.448,1.448,2.248
1685128525985,2023-05-26T21:15:25.985,0.010,1.380,-1.197,-2.462
1685128525995,2023-05-26T21:15:25.995,0.020,1.738,0.694,-0.145
1685128526005,2023-05-26T21:15:26.005,0.030,2.066,0.983,0.335
1685128526015,2023-05-26T21:15:26.015,0.040,2.462,1.059,0.023
1685128526025,2023-05-26T21:15:26.025,0.050,2.752,1.341,0.038
1685128526035,2023-05-26T21:15:26.035,0.060,2.843,1.303,0.152
1685128526045,2023-05-26T21:15:26.045,0.070,2.462,1.326,0.381
1685128526055,2023-05-26T21:15:26.055,0.080,2.248,1.387,0.488
1685128526065,2023-05-26T21:15:26.065,0.090,2.287,1.532,0.396
1685128526075,2023-05-26T21:15:26.075,0.100,2.134,1.448,0.282
1685128526085,2023-05-26T21:15:26.085,0.110,1.768,1.349,0.335
1685128526095,2023-05-26T21:15:26.095,0.120,1.471,1.288,0.404
1685128526105,2023-05-26T21:15:26.105,0.130,1.265,1.410,0.381
1685128526115,2023-05-26T21:15:26.115,0.140,1.280,1.601,0.328
1685128526125,2023-05-26T21:15:26.125,0.150,1.776,1.623,0.267
1685128526135,2023-05-26T21:15:26.135,0.160,2.157,1.616,0.366
1685128526145,2023-05-26T21:15:26.145,0.170,2.439,1.822,0.366
1685128526155,2023-05-26T21:15:26.155,0.180,2.889,2.119,0.343
1685128526165,2023-05-26T21:15:26.165,0.190,3.171,2.172,0.229
1685128526175,2023-05-26T21:15:26.175,0.200,3.171,2.241,0.152
1685128526185,2023-05-26T21:15:26.185,0.210,3.194,2.675,0.114
1685128526195,2023-05-26T21:15:26.195,0.220,3.338,2.980,0.000
1685128526205,2023-05-26T21:15:26.205,0.230,3.171,3.346,-0.061
1685128526215,2023-05-26T21:15:26.215,0.240,2.797,3.582,-0.008
1685128526225,2023-05-26T21:15:26.225,0.250,2.546,3.575,0.038
1685128526235,2023-05-26T21:15:26.235,0.260,1.898,3.521,0.107
1685128526245,2023-05-26T21:15:26.245,0.270,1.250,3.598,0.358
1685128526255,2023-05-26T21:15:26.255,0.280,0.633,3.438,0.625
1685128526265,2023-05-26T21:15:26.265,0.290,0.130,3.117,0.549
1685128526275,2023-05-26T21:15:26.275,0.300,-0.313,2.889,0.572
1685128526285,2023-05-26T21:15:26.285,0.310,-0.846,2.675,0.694
1685128526295,2023-05-26T21:15:26.295,0.320,-1.334,2.538,0.701
1685128526305,2023-05-26T21:15:26.305,0.330,-1.509,2.378,0.846
1685128526315,2023-05-26T21:15:26.315,0.340,-1.532,2.264,0.892
1685128526325,2023-05-26T21:15:26.325,0.350,-1.646,2.035,0.907
1685128526335,2023-05-26T21:15:26.335,0.360,-1.326,1.601,0.846
1685128526345,2023-05-26T21:15:26.345,0.370,-0.800,1.258,0.846
1685128526355,2023-05-26T21:15:26.355,0.380,-0.373,1.204,0.823
1685128526365,2023-05-26T21:15:26.365,0.390,0.320,1.044,0.694
1685128526375,2023-05-26T21:15:26.375,0.400,0.884,0.831,0.816
1685128526385,2023-05-26T21:15:26.385,0.410,1.357,0.922,0.953
1685128526395,2023-05-26T21:15:26.395,0.420,1.380,0.953,1.006
1685128526405,2023-05-26T21:15:26.405,0.430,1.265,0.831,1.128
1685128526415,2023-05-26T21:15:26.415,0.440,1.204,0.724,1.334
1685128526425,2023-05-26T21:15:26.425,0.450,1.197,0.610,1.402
1685128526435,2023-05-26T21:15:26.435,0.460,0.930,0.671,1.311
1685128526445,2023-05-26T21:15:26.445,0.470,0.808,0.617,1.402
1685128526455,2023-05-26T21:15:26.455,0.480,0.716,0.526,1.357
1685128526465,2023-05-26T21:15:26.465,0.490,0.480,0.404,1.326
1685128526475,2023-05-26T21:15:26.475,0.500,0.145,0.084,1.364
1685128526485,2023-05-26T21:15:26.485,0.510,-0.069,0.130,1.578
1685128526495,2023-05-26T21:15:26.495,0.520,-0.259,0.236,1.784
1685128526505,2023-05-26T21:15:26.505,0.530,-0.503,0.267,1.692
1685128526515,2023-05-26T21:15:26.515,0.540,-0.503,0.198,1.570
1685128526525,2023-05-26T21:15:26.525,0.550,-0.739,0.473,1.616
1685128526535,2023-05-26T21:15:26.535,0.560,-0.854,0.755,1.555
1685128526545,2023-05-26T21:15:26.545,0.570,-0.663,0.869,1.616
1685128526555,2023-05-26T21:15:26.555,0.580,-0.434,1.159,1.601
1685128526565,2023-05-26T21:15:26.565,0.590,-0.107,1.547,1.608
1685128526575,2023-05-26T21:15:26.575,0.600,-0.152,1.730,1.486
1685128526585,2023-05-26T21:15:26.585,0.610,-0.381,1.776,1.502
1685128526595,2023-05-26T21:15:26.595,0.620,-0.579,1.867,1.570
1685128526605,2023-05-26T21:15:26.605,0.630,-0.701,2.050,1.494
1685128526615,2023-05-26T21:15:26.615,0.640,-0.922,2.409,1.395
1685128526625,2023-05-26T21:15:26.625,0.650,-1.258,2.713,1.357
1685128526635,2023-05-26T21:15:26.635,0.660,-1.463,2.912,1.387
1685128526645,2023-05-26T21:15:26.645,0.670,-1.791,2.950,1.471
1685128526655,2023-05-26T21:15:26.655,0.680,-2.287,2.934,1.700
1685128526665,2023-05-26T21:15:26.665,0.690,-2.805,2.569,1.913
1685128526675,2023-05-26T21:15:26.675,0.700,-3.316,2.279,2.027
1685128526685,2023-05-26T21:15:26.685,0.710,-3.277,2.325,1.997
1685128526695,2023-05-26T21:15:26.695,0.720,-3.034,2.447,1.791
1685128526705,2023-05-26T21:15:26.705,0.730,-2.782,2.401,1.677
1685128526715,2023-05-26T21:15:26.715,0.740,-2.111,2.088,1.700
1685128526725,2023-05-26T21:15:26.725,0.750,-1.113,2.027,1.509
