epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685129242796,2023-05-26T21:27:22.796,0.000,-5.846,2.088,-0.739
1685129242806,2023-05-26T21:27:22.806,0.010,-5.976,1.136,-1.189
1685129242816,2023-05-26T21:27:22.816,0.020,-4.794,1.646,-1.623
1685129242826,2023-05-26T21:27:22.826,0.030,-3.453,2.035,-1.357
1685129242836,2023-05-26T21:27:22.836,0.040,-2.279,1.959,-1.570
1685129242846,2023-05-26T21:27:22.846,0.050,-0.785,1.837,-1.662
1685129242856,2023-05-26T21:27:22.856,0.060,0.442,1.540,-1.494
1685129242866,2023-05-26T21:27:22.866,0.070,1.006,1.395,-1.364
1685129242876,2023-05-26T21:27:22.876,0.080,0.976,1.166,-1.136
1685129242886,2023-05-26T21:27:22.886,0.090,0.320,0.899,-0.854
1685129242896,2023-05-26T21:27:22.896,0.100,-1.075,1.029,-0.755
1685129242906,2023-05-26T21:27:22.906,0.110,-2.919,1.098,-0.907
1685129242916,2023-05-26T21:27:22.916,0.120,-4.527,1.212,-1.113
1685129242926,2023-05-26T21:27:22.926,0.130,-5.488,1.631,-1.448
1685129242936,2023-05-26T21:27:22.936,0.140,-6.098,1.974,-1.822
1685129242946,2023-05-26T21:27:22.946,0.150,-5.945,2.165,-2.127
1685129242956,2023-05-26T21:27:22.956,0.160,-5.137,2.317,-2.165
1685129242966,2023-05-26T21:27:22.966,0.170,-4.413,2.248,-2.149
1685129242976,2023-05-26T21:27:22.976,0.180,-3.498,2.066,-2.058
1685129242986,2023-05-26T21:27:22.986,0.190,-2.851,1.791,-1.784
1685129242996,2023-05-26T21:27:22.996,0.200,-2.485,1.418,-1.395
1685129243006,2023-05-26T21:27:23.006,0.210,-2.393,1.197,-0.945
1685129243016,2023-05-26T21:27:23.016,0.220,-2.485,1.143,-0.579
1685129243026,2023-05-26T21:27:23.026,0.230,-3.049,1.151,-0.351
1685129243036,2023-05-26T21:27:23.036,0.240,-3.963,1.258,-0.130
1685129243046,2023-05-26T21:27:23.046,0.250,-4.520,1.471,0.091
1685129243056,2023-05-26T21:27:23.056,0.260,-4.558,1.761,0.069
1685129243066,2023-05-26T21:27:23.066,0.270,-3.720,1.867,0.122
1685129243076,2023-05-26T21:27:23.076,0.280,-2.104,1.723,0.038
1685129243086,2023-05-26T21:27:23.086,0.290,-0.503,1.723,0.152
1685129243096,2023-05-26T21:27:23.096,0.300,0.991,1.616,0.351
1685129243106,2023-05-26T21:27:23.106,0.310,2.294,1.311,0.457
1685129243116,2023-05-26T21:27:23.116,0.320,3.361,1.166,0.610
1685129243126,2023-05-26T21:27:23.126,0.330,4.627,0.938,0.655
1685129243136,2023-05-26T21:27:23.136,0.340,4.680,0.938,0.831
1685129243146,2023-05-26T21:27:23.146,0.350,3.910,0.793,0.915
1685129243156,2023-05-26T21:27:23.156,0.360,2.409,1.014,0.892
1685129243166,2023-05-26T21:27:23.166,0.370,0.998,0.800,1.037
1685129243176,2023-05-26T21:27:23.176,0.380,-0.069,0.755,1.151
1685129243186,2023-05-26T21:27:23.186,0.390,-1.349,0.976,0.938
1685129243196,2023-05-26T21:27:23.196,0.400,-2.294,1.113,0.831
1685129243206,2023-05-26T21:27:23.206,0.410,-2.226,1.166,0.633
1685129243216,2023-05-26T21:27:23.216,0.420,-1.456,1.288,0.465
1685129243226,2023-05-26T21:27:23.226,0.430,-0.625,1.273,0.396
1685129243236,2023-05-26T21:27:23.236,0.440,0.145,1.242,0.305
1685129243246,2023-05-26T21:27:23.246,0.450,0.777,1.197,0.213
1685129243256,2023-05-26T21:27:23.256,0.460,1.197,0.998,0.114
