epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685131060350,2023-05-26T21:57:40.350,0.000,0.587,0.229,-0.305
1685131060360,2023-05-26T21:57:40.360,0.010,0.663,1.143,1.700
1685131060370,2023-05-26T21:57:40.370,0.020,0.389,0.389,0.450
1685131060380,2023-05-26T21:57:40.380,0.030,0.495,0.366,0.335
1685131060390,2023-05-26T21:57:40.390,0.040,0.610,0.419,0.526
1685131060400,2023-05-26T21:57:40.400,0.050,0.678,0.434,0.556
1685131060410,2023-05-26T21:57:40.410,0.060,0.762,0.396,0.404
1685131060420,2023-05-26T21:57:40.420,0.070,0.716,0.373,0.389
1685131060430,2023-05-26T21:57:40.430,0.080,0.724,0.396,0.480
1685131060440,2023-05-26T21:57:40.440,0.090,0.816,0.351,0.480
1685131060450,2023-05-26T21:57:40.450,0.100,0.785,0.412,0.473
1685131060460,2023-05-26T21:57:40.460,0.110,0.701,0.351,0.488
1685131060470,2023-05-26T21:57:40.470,0.120,0.793,0.213,0.518
1685131060480,2023-05-26T21:57:40.480,0.130,0.716,0.244,0.442
1685131060490,2023-05-26T21:57:40.490,0.140,0.739,0.373,0.488
1685131060500,2023-05-26T21:57:40.500,0.150,0.709,0.366,0.572
1685131060510,2023-05-26T21:57:40.510,0.160,0.633,0.358,0.488
1685131060520,2023-05-26T21:57:40.520,0.170,0.495,0.427,0.450
1685131060530,2023-05-26T21:57:40.530,0.180,0.556,0.389,0.419
1685131060540,2023-05-26T21:57:40.540,0.190,0.442,0.351,0.366
1685131060550,2023-05-26T21:57:40.550,0.200,0.412,0.381,0.419
1685131060560,2023-05-26T21:57:40.560,0.210,0.678,0.252,0.488
1685131060570,2023-05-26T21:57:40.570,0.220,0.739,0.259,0.442
1685131060580,2023-05-26T21:57:40.580,0.230,0.671,0.328,0.389
1685131060590,2023-05-26T21:57:40.590,0.240,0.648,0.282,0.396
1685131060600,2023-05-26T21:57:40.600,0.250,0.640,0.259,0.389
1685131060610,2023-05-26T21:57:40.610,0.260,0.587,0.252,0.381
1685131060620,2023-05-26T21:57:40.620,0.270,0.564,0.412,0.366
1685131060630,2023-05-26T21:57:40.630,0.280,0.732,0.320,0.297
1685131060640,2023-05-26T21:57:40.640,0.290,0.846,0.305,0.305
1685131060650,2023-05-26T21:57:40.650,0.300,0.694,0.213,0.320
1685131060660,2023-05-26T21:57:40.660,0.310,0.724,0.168,0.313
1685131060670,2023-05-26T21:57:40.670,0.320,0.678,0.282,0.320
1685131060680,2023-05-26T21:57:40.680,0.330,0.495,0.252,0.282
1685131060690,2023-05-26T21:57:40.690,0.340,0.541,0.206,0.381
1685131060700,2023-05-26T21:57:40.700,0.350,0.564,0.221,0.373
1685131060710,2023-05-26T21:57:40.710,0.360,0.625,0.297,0.389
1685131060720,2023-05-26T21:57:40.720,0.370,0.701,0.229,0.313
1685131060730,2023-05-26T21:57:40.730,0.380,0.625,0.244,0.305
1685131060740,2023-05-26T21:57:40.740,0.390,0.457,0.252,0.290
1685131060750,2023-05-26T21:57:40.750,0.400,0.396,0.259,0.274
1685131060760,2023-05-26T21:57:40.760,0.410,0.465,0.274,0.389
1685131060770,2023-05-26T21:57:40.770,0.420,0.434,0.282,0.351
1685131060780,2023-05-26T21:57:40.780,0.430,0.366,0.152,0.320
1685131060790,2023-05-26T21:57:40.790,0.440,0.358,0.206,0.328
1685131060800,2023-05-26T21:57:40.800,0.450,0.175,0.290,0.381
1685131060810,2023-05-26T21:57:40.810,0.460,0.122,0.297,0.381
1685131060820,2023-05-26T21:57:40.820,0.470,0.183,0.412,0.396
1685131060830,2023-05-26T21:57:40.830,0.480,0.282,0.297,0.450
1685131060840,2023-05-26T21:57:40.840,0.490,0.305,0.236,0.549
1685131060850,2023-05-26T21:57:40.850,0.500,0.290,0.252,0.404
1685131060860,2023-05-26T21:57:40.860,0.510,0.114,0.213,0.358
1685131060870,2023-05-26T21:57:40.870,0.520,0.015,0.259,0.381
1685131060880,2023-05-26T21:57:40.880,0.530,-0.046,0.213,0.351
1685131060890,2023-05-26T21:57:40.890,0.540,0.015,0.305,0.373
1685131060900,2023-05-26T21:57:40.900,0.550,0.023,0.297,0.396
1685131060910,2023-05-26T21:57:40.910,0.560,-0.091,0.290,0.389
1685131060920,2023-05-26T21:57:40.920,0.570,-0.053,0.396,0.351
1685131060930,2023-05-26T21:57:40.930,0.580,0.023,0.434,0.419
1685131060940,2023-05-26T21:57:40.940,0.590,-0.061,0.457,0.442
1685131060950,2023-05-26T21:57:40.950,0.600,-0.053,0.450,0.442
1685131060960,2023-05-26T21:57:40.960,0.610,0.099,0.412,0.450
1685131060970,2023-05-26T21:57:40.970,0.620,0.107,0.473,0.442
1685131060980,2023-05-26T21:57:40.980,0.630,-0.023,0.434,0.534
1685131060990,2023-05-26T21:57:40.990,0.640,-0.091,0.434,0.495
1685131061000,2023-05-26T21:57:41.000,0.650,-0.046,0.457,0.465
1685131061010,2023-05-26T21:57:41.010,0.660,-0.046,0.503,0.434
1685131061020,2023-05-26T21:57:41.020,0.670,-0.008,0.610,0.404
