epoch (ms);time (01:00);elapsed (s);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
1.6828E+12;2023-04-29T22:45:18.189;0;6.067;-16.113;13.803
1.6828E+12;2023-04-29T22:45:18.199;0.01;6.212;-15.488;14.085
1.6828E+12;2023-04-29T22:45:18.209;0.02;7.447;-14.573;14.878
1.6828E+12;2023-04-29T22:45:18.219;0.03;8.575;-13.963;15.755
1.6828E+12;2023-04-29T22:45:18.229;0.04;7.492;-15.046;15.221
1.6828E+12;2023-04-29T22:45:18.239;0.05;3.285;-16.242;14.047
1.6828E+12;2023-04-29T22:45:18.249;0.06;-3.78;-17.188;12.752
1.6828E+12;2023-04-29T22:45:18.259;0.07;-12.607;-18.148;11.265
1.6828E+12;2023-04-29T22:45:18.269;0.08;-20.213;-17.904;9.84
1.6828E+12;2023-04-29T22:45:18.279;0.09;-25.343;-15.701;8.742
1.6828E+12;2023-04-29T22:45:18.289;0.1;-27.256;-11.745;7.576
1.6828E+12;2023-04-29T22:45:18.299;0.11;-30.069;-6.921;5.434
1.6828E+12;2023-04-29T22:45:18.309;0.12;-31.22;-1.433;2.858
1.6828E+12;2023-04-29T22:45:18.319;0.13;-28.613;2.652;0.244
1.6828E+12;2023-04-29T22:45:18.329;0.14;-25.206;5.32;-2.035
1.6828E+12;2023-04-29T22:45:18.339;0.15;-24.794;9.535;-5.442
1.6828E+12;2023-04-29T22:45:18.349;0.16;-23.316;15.732;-9.855
1.6828E+12;2023-04-29T22:45:18.359;0.17;-16.326;22.012;-13.483
1.6828E+12;2023-04-29T22:45:18.369;0.18;-6.38;28.133;-15.549
1.6828E+12;2023-04-29T22:45:18.379;0.19;7.073;36.098;-15.099
1.6828E+12;2023-04-29T22:45:18.389;0.2;24.992;43.834;-11.524
1.6828E+12;2023-04-29T22:45:18.399;0.21;43.956;47.37;-6.357
1.6828E+12;2023-04-29T22:45:18.409;0.22;59.695;46.159;0.16
1.6828E+12;2023-04-29T22:45:18.419;0.23;68.224;42.287;7.149
1.6828E+12;2023-04-29T22:45:18.429;0.24;71.334;39.71;12.873
1.6828E+12;2023-04-29T22:45:18.439;0.25;73.255;39.002;15.069
1.6828E+12;2023-04-29T22:45:18.449;0.26;72.744;38.277;12.858
1.6828E+12;2023-04-29T22:45:18.459;0.27;67.713;35.701;7.523
1.6828E+12;2023-04-29T22:45:18.469;0.28;61.387;30.93;2.188
1.6828E+12;2023-04-29T22:45:18.479;0.29;53.247;27.066;-1.768
1.6828E+12;2023-04-29T22:45:18.489;0.3;43.194;24.817;-3.537
1.6828E+12;2023-04-29T22:45:18.499;0.31;31.761;24.215;-4.192
1.6828E+12;2023-04-29T22:45:18.509;0.32;21.014;25.366;-4.543
1.6828E+12;2023-04-29T22:45:18.519;0.33;10.678;27.027;-5.617
1.6828E+12;2023-04-29T22:45:18.529;0.34;0.252;28.666;-7.302
1.6828E+12;2023-04-29T22:45:18.539;0.35;-10.396;30.03;-9.55
1.6828E+12;2023-04-29T22:45:18.549;0.36;-21.372;31.296;-11.928
1.6828E+12;2023-04-29T22:45:18.559;0.37;-32.294;32.614;-14.032
1.6828E+12;2023-04-29T22:45:18.569;0.38;-42.515;32.188;-15.541
1.6828E+12;2023-04-29T22:45:18.579;0.39;-51.181;30.732;-16.791
1.6828E+12;2023-04-29T22:45:18.589;0.4;-57.172;29.405;-17.934
1.6828E+12;2023-04-29T22:45:18.599;0.41;-60.191;28.544;-18.643
1.6828E+12;2023-04-29T22:45:18.609;0.42;-60.899;27.393;-18.651
1.6828E+12;2023-04-29T22:45:18.619;0.43;-60.861;26.951;-18.178
1.6828E+12;2023-04-29T22:45:18.629;0.44;-60.617;26.7;-17.218
1.6828E+12;2023-04-29T22:45:18.639;0.45;-61.433;24.985;-15.762
1.6828E+12;2023-04-29T22:45:18.649;0.46;-61.349;23.636;-13.75
1.6828E+12;2023-04-29T22:45:18.659;0.47;-59.947;22.21;-12.134
1.6828E+12;2023-04-29T22:45:18.669;0.48;-55.168;20.457;-11.037
1.6828E+12;2023-04-29T22:45:18.679;0.49;-47.256;20.678;-10.076
1.6828E+12;2023-04-29T22:45:18.689;0.5;-36.441;22.851;-8.216
1.6828E+12;2023-04-29T22:45:18.699;0.51;-23.796;24.405;-5.518
1.6828E+12;2023-04-29T22:45:18.709;0.52;-13.224;24.108;-2.813
1.6828E+12;2023-04-29T22:45:18.719;0.53;-3.727;23.872;-0.465
1.6828E+12;2023-04-29T22:45:18.729;0.54;4.695;23.384;0.724
1.6828E+12;2023-04-29T22:45:18.739;0.55;11.524;22.165;1.151
1.6828E+12;2023-04-29T22:45:18.749;0.56;15.823;21.258;1.25
1.6828E+12;2023-04-29T22:45:18.759;0.57;16.806;20.29;1.235
1.6828E+12;2023-04-29T22:45:18.769;0.58;13.811;18.491;0.899
1.6828E+12;2023-04-29T22:45:18.779;0.59;7.523;16.684;0.526
1.6828E+12;2023-04-29T22:45:18.789;0.6;1.105;15.473;0.488
1.6828E+12;2023-04-29T22:45:18.799;0.61;-4.116;14.947;0.358
1.6828E+12;2023-04-29T22:45:18.809;0.62;-8.636;14.916;0.107
1.6828E+12;2023-04-29T22:45:18.819;0.63;-12.37;13.636;-0.48
1.6828E+12;2023-04-29T22:45:18.829;0.64;-13.948;12.927;-1.418
1.6828E+12;2023-04-29T22:45:18.839;0.65;-14.421;11.982;-2.188
1.6828E+12;2023-04-29T22:45:18.849;0.66;-14.322;10.503;-2.79
1.6828E+12;2023-04-29T22:45:18.859;0.67;-13.62;8.666;-2.973
1.6828E+12;2023-04-29T22:45:18.869;0.68;-12.508;7.203;-2.828
1.6828E+12;2023-04-29T22:45:18.879;0.69;-10.396;6.928;-2.47
1.6828E+12;2023-04-29T22:45:18.889;0.7;-8.171;6.563;-2.287
1.6828E+12;2023-04-29T22:45:18.899;0.71;-5.61;6.311;-2.447
1.6828E+12;2023-04-29T22:45:18.909;0.72;-2.34;6.052;-2.721
1.6828E+12;2023-04-29T22:45:18.919;0.73;1.006;5.198;-2.805
1.6828E+12;2023-04-29T22:45:18.929;0.74;4.733;4.466;-2.34
1.6828E+12;2023-04-29T22:45:18.939;0.75;7.203;3.72;-1.86
1.6828E+12;2023-04-29T22:45:18.949;0.76;7.104;2.279;-2.264
1.6828E+12;2023-04-29T22:45:18.959;0.77;5.968;1.037;-3.148
1.6828E+12;2023-04-29T22:45:18.969;0.78;4.116;-0.168;-4.207
1.6828E+12;2023-04-29T22:45:18.979;0.79;2.538;-1.585;-5.16
1.6828E+12;2023-04-29T22:45:18.989;0.8;1.905;-2.332;-5.892
1.6828E+12;2023-04-29T22:45:18.999;0.81;0.709;-2.873;-6.486
1.6828E+12;2023-04-29T22:45:19.009;0.82;-1.387;-4.085;-7.165
1.6828E+12;2023-04-29T22:45:19.019;0.83;-4.405;-5.335;-8.407
1.6828E+12;2023-04-29T22:45:19.029;0.84;-7.309;-6.296;-10.061
1.6828E+12;2023-04-29T22:45:19.039;0.85;-8.88;-6.471;-11.006
1.6828E+12;2023-04-29T22:45:19.049;0.86;-10.572;-6.989;-11.38
1.6828E+12;2023-04-29T22:45:19.059;0.87;-12.843;-8.346;-12.256
1.6828E+12;2023-04-29T22:45:19.069;0.88;-14.352;-9.497;-13.384
1.6828E+12;2023-04-29T22:45:19.079;0.89;-14.047;-9.84;-14.39
1.6828E+12;2023-04-29T22:45:19.089;0.9;-12.622;-9.916;-15.328
1.6828E+12;2023-04-29T22:45:19.099;0.91;-11.875;-10.343;-16.326
1.6828E+12;2023-04-29T22:45:19.109;0.92;-12.851;-11.273;-17.271
1.6828E+12;2023-04-29T22:45:19.119;0.93;-14.787;-12.073;-18.201
1.6828E+12;2023-04-29T22:45:19.129;0.94;-17.409;-12.561;-18.796
1.6828E+12;2023-04-29T22:45:19.139;0.95;-19.916;-12.142;-18.864
1.6828E+12;2023-04-29T22:45:19.149;0.96;-22.02;-11.966;-18.803
1.6828E+12;2023-04-29T22:45:19.159;0.97;-23.811;-11.974;-18.72
1.6828E+12;2023-04-29T22:45:19.169;0.98;-23.293;-11.684;-18.476
1.6828E+12;2023-04-29T22:45:19.179;0.99;-19.55;-10.625;-17.683
1.6828E+12;2023-04-29T22:45:19.189;1;-15.61;-10.03;-16.593
1.6828E+12;2023-04-29T22:45:19.199;1.01;-10.633;-9.474;-15.168
1.6828E+12;2023-04-29T22:45:19.209;1.02;-5.442;-8.605;-13.681
1.6828E+12;2023-04-29T22:45:19.219;1.03;-0.793;-8.148;-11.684
1.6828E+12;2023-04-29T22:45:19.229;1.04;4.116;-8.201;-9.36
1.6828E+12;2023-04-29T22:45:19.239;1.05;9.352;-8.476;-7.226
1.6828E+12;2023-04-29T22:45:19.249;1.06;13.194;-8.567;-5.183
1.6828E+12;2023-04-29T22:45:19.259;1.07;15.953;-8.956;-3.178
1.6828E+12;2023-04-29T22:45:19.269;1.08;18.956;-9.916;-1.471
1.6828E+12;2023-04-29T22:45:19.279;1.09;22.066;-10.793;-0.076
1.6828E+12;2023-04-29T22:45:19.289;1.1;25.191;-11.273;0.991
1.6828E+12;2023-04-29T22:45:19.299;1.11;28.125;-11.341;1.806
1.6828E+12;2023-04-29T22:45:19.309;1.12;30.457;-11.029;2.294
1.6828E+12;2023-04-29T22:45:19.319;1.13;31.852;-10.732;2.607
1.6828E+12;2023-04-29T22:45:19.329;1.14;32.553;-11.09;2.934
1.6828E+12;2023-04-29T22:45:19.339;1.15;32.203;-11.242;3.171
1.6828E+12;2023-04-29T22:45:19.349;1.16;30.61;-11.372;3.438
1.6828E+12;2023-04-29T22:45:19.359;1.17;27.934;-11.669;3.514
1.6828E+12;2023-04-29T22:45:19.369;1.18;24.756;-11.829;3.567
1.6828E+12;2023-04-29T22:45:19.379;1.19;21.54;-12.241;3.415
1.6828E+12;2023-04-29T22:45:19.389;1.2;18.636;-12.226;3.133
1.6828E+12;2023-04-29T22:45:19.399;1.21;15.96;-11.791;2.813
1.6828E+12;2023-04-29T22:45:19.409;1.22;13.575;-11.372;2.47
1.6828E+12;2023-04-29T22:45:19.419;1.23;12.18;-10.633;2.096
1.6828E+12;2023-04-29T22:45:19.429;1.24;11.479;-9.604;1.715
1.6828E+12;2023-04-29T22:45:19.439;1.25;10.899;-8.575;1.319
1.6828E+12;2023-04-29T22:45:19.449;1.26;10.747;-7.226;0.96
1.6828E+12;2023-04-29T22:45:19.459;1.27;11.334;-5.549;0.648
1.6828E+12;2023-04-29T22:45:19.469;1.28;12.256;-3.704;0.29
1.6828E+12;2023-04-29T22:45:19.479;1.29;13.43;-2.005;0.069
1.6828E+12;2023-04-29T22:45:19.489;1.3;14.421;-0.678;0.168
1.6828E+12;2023-04-29T22:45:19.499;1.31;15.389;0.389;0.252
1.6828E+12;2023-04-29T22:45:19.509;1.32;16.052;1.12;0.175
1.6828E+12;2023-04-29T22:45:19.519;1.33;15.968;1.692;-0.084
1.6828E+12;2023-04-29T22:45:19.529;1.34;15.495;2.569;-0.488
1.6828E+12;2023-04-29T22:45:19.539;1.35;14.36;3.14;-1.38
1.6828E+12;2023-04-29T22:45:19.549;1.36;11.784;3.483;-2.5
1.6828E+12;2023-04-29T22:45:19.559;1.37;7.614;3.887;-3.697
1.6828E+12;2023-04-29T22:45:19.569;1.38;3.186;4.634;-4.977
1.6828E+12;2023-04-29T22:45:19.579;1.39;-1.677;5.152;-6.296
1.6828E+12;2023-04-29T22:45:19.589;1.4;-6.38;5.396;-7.828
1.6828E+12;2023-04-29T22:45:19.599;1.41;-10.655;5.534;-9.322
1.6828E+12;2023-04-29T22:45:19.609;1.42;-15.434;5.29;-10.29
1.6828E+12;2023-04-29T22:45:19.619;1.43;-20.564;4.642;-11.067
1.6828E+12;2023-04-29T22:45:19.629;1.44;-24.855;3.994;-11.509
1.6828E+12;2023-04-29T22:45:19.639;1.45;-27.973;3.3;-11.913
1.6828E+12;2023-04-29T22:45:19.649;1.46;-30.511;2.553;-12.066
1.6828E+12;2023-04-29T22:45:19.659;1.47;-32.325;1.73;-11.928
1.6828E+12;2023-04-29T22:45:19.669;1.48;-33.14;1.09;-11.425
1.6828E+12;2023-04-29T22:45:19.679;1.49;-33.369;0.755;-10.412
1.6828E+12;2023-04-29T22:45:19.689;1.5;-32.584;0.145;-9.383
1.6828E+12;2023-04-29T22:45:19.699;1.51;-30.625;-0.518;-8.125
1.6828E+12;2023-04-29T22:45:19.709;1.52;-27.309;-1.143;-6.608
1.6828E+12;2023-04-29T22:45:19.719;1.53;-22.386;-1.463;-4.848
