epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1684149968062,2023-05-15T13:26:08.062,0.000,-174.846,-79.426,359.987,359.987
1684149968072,2023-05-15T13:26:08.072,0.010,-174.838,-79.401,359.986,359.986
1684149968082,2023-05-15T13:26:08.082,0.020,-174.824,-79.371,359.969,359.969
1684149968092,2023-05-15T13:26:08.092,0.030,-174.808,-79.340,359.937,359.937
1684149968102,2023-05-15T13:26:08.102,0.040,-174.793,-79.310,359.905,359.905
1684149968112,2023-05-15T13:26:08.112,0.050,-174.782,-79.285,359.877,359.877
1684149968122,2023-05-15T13:26:08.122,0.060,-174.763,-79.257,359.849,359.849
1684149968132,2023-05-15T13:26:08.132,0.070,-174.746,-79.232,359.840,359.840
1684149968142,2023-05-15T13:26:08.142,0.080,-174.730,-79.211,359.847,359.847
1684149968152,2023-05-15T13:26:08.152,0.090,-174.715,-79.187,359.873,359.873
1684149968162,2023-05-15T13:26:08.162,0.100,-174.714,-79.168,359.930,359.930
1684149968172,2023-05-15T13:26:08.172,0.110,-174.710,-79.144,359.991,359.991
1684149968182,2023-05-15T13:26:08.182,0.120,-174.704,-79.115,0.050,0.050
1684149968192,2023-05-15T13:26:08.192,0.130,-174.695,-79.084,0.104,0.104
1684149968202,2023-05-15T13:26:08.202,0.140,-174.685,-79.055,0.159,0.159
1684149968212,2023-05-15T13:26:08.212,0.150,-174.677,-79.033,0.210,0.210
1684149968222,2023-05-15T13:26:08.222,0.160,-174.669,-79.011,0.259,0.259
1684149968232,2023-05-15T13:26:08.232,0.170,-174.661,-78.992,0.308,0.308
1684149968242,2023-05-15T13:26:08.242,0.180,-174.654,-78.974,0.361,0.361
1684149968252,2023-05-15T13:26:08.252,0.190,-174.652,-78.964,0.421,0.421
1684149968262,2023-05-15T13:26:08.262,0.200,-174.651,-78.954,0.492,0.492
1684149968272,2023-05-15T13:26:08.272,0.210,-174.649,-78.942,0.565,0.565
1684149968282,2023-05-15T13:26:08.282,0.220,-174.644,-78.931,0.635,0.635
1684149968292,2023-05-15T13:26:08.292,0.230,-174.637,-78.921,0.699,0.699
1684149968302,2023-05-15T13:26:08.302,0.240,-174.629,-78.905,0.750,0.750
1684149968312,2023-05-15T13:26:08.312,0.250,-174.620,-78.891,0.791,0.791
1684149968322,2023-05-15T13:26:08.322,0.260,-174.608,-78.877,0.826,0.826
1684149968332,2023-05-15T13:26:08.332,0.270,-174.597,-78.865,0.867,0.867
1684149968342,2023-05-15T13:26:08.342,0.280,-174.590,-78.856,0.916,0.916
1684149968352,2023-05-15T13:26:08.352,0.290,-174.584,-78.849,0.962,0.962
1684149968362,2023-05-15T13:26:08.362,0.300,-174.574,-78.840,0.998,0.998
1684149968372,2023-05-15T13:26:08.372,0.310,-174.560,-78.831,1.022,1.022
1684149968382,2023-05-15T13:26:08.382,0.320,-174.545,-78.821,1.037,1.037
1684149968392,2023-05-15T13:26:08.392,0.330,-174.531,-78.813,1.043,1.043
1684149968402,2023-05-15T13:26:08.402,0.340,-174.517,-78.801,1.039,1.039
1684149968412,2023-05-15T13:26:08.412,0.350,-174.503,-78.794,1.025,1.025
1684149968422,2023-05-15T13:26:08.422,0.360,-174.489,-78.788,1.012,1.012
1684149968432,2023-05-15T13:26:08.432,0.370,-174.474,-78.780,0.997,0.997
1684149968442,2023-05-15T13:26:08.442,0.380,-174.460,-78.774,0.983,0.983
1684149968452,2023-05-15T13:26:08.452,0.390,-174.450,-78.770,0.974,0.974
1684149968462,2023-05-15T13:26:08.462,0.400,-174.443,-78.769,0.968,0.968
1684149968472,2023-05-15T13:26:08.472,0.410,-174.434,-78.767,0.971,0.971
1684149968482,2023-05-15T13:26:08.482,0.420,-174.424,-78.763,0.979,0.979
1684149968492,2023-05-15T13:26:08.492,0.430,-174.414,-78.758,0.992,0.992
1684149968502,2023-05-15T13:26:08.502,0.440,-174.403,-78.746,1.002,1.002
1684149968512,2023-05-15T13:26:08.512,0.450,-174.394,-78.735,1.006,1.006
1684149968522,2023-05-15T13:26:08.522,0.460,-174.384,-78.730,1.004,1.004
1684149968532,2023-05-15T13:26:08.532,0.470,-174.374,-78.724,0.993,0.993
1684149968542,2023-05-15T13:26:08.542,0.480,-174.363,-78.719,0.983,0.983
1684149968552,2023-05-15T13:26:08.552,0.490,-174.354,-78.714,0.974,0.974
1684149968562,2023-05-15T13:26:08.562,0.500,-174.345,-78.710,0.966,0.966
1684149968572,2023-05-15T13:26:08.572,0.510,-174.340,-78.707,0.972,0.972
1684149968582,2023-05-15T13:26:08.582,0.520,-174.333,-78.703,0.980,0.980
1684149968592,2023-05-15T13:26:08.592,0.530,-174.322,-78.697,0.986,0.986
1684149968602,2023-05-15T13:26:08.602,0.540,-174.311,-78.691,0.992,0.992
1684149968612,2023-05-15T13:26:08.612,0.550,-174.300,-78.678,0.998,0.998
1684149968622,2023-05-15T13:26:08.622,0.560,-174.290,-78.666,1.005,1.005
1684149968632,2023-05-15T13:26:08.632,0.570,-174.282,-78.656,1.004,1.004
1684149968642,2023-05-15T13:26:08.642,0.580,-174.272,-78.643,0.994,0.994
1684149968652,2023-05-15T13:26:08.652,0.590,-174.264,-78.627,0.992,0.992
1684149968662,2023-05-15T13:26:08.662,0.600,-174.255,-78.610,0.981,0.981
1684149968672,2023-05-15T13:26:08.672,0.610,-174.247,-78.594,0.971,0.971
1684149968682,2023-05-15T13:26:08.682,0.620,-174.237,-78.574,0.959,0.959
1684149968692,2023-05-15T13:26:08.692,0.630,-174.223,-78.553,0.936,0.936
1684149968702,2023-05-15T13:26:08.702,0.640,-174.209,-78.535,0.904,0.904
1684149968712,2023-05-15T13:26:08.712,0.650,-174.193,-78.521,0.858,0.858
1684149968722,2023-05-15T13:26:08.722,0.660,-174.174,-78.508,0.805,0.805
1684149968732,2023-05-15T13:26:08.732,0.670,-174.159,-78.501,0.755,0.755
1684149968742,2023-05-15T13:26:08.742,0.680,-174.150,-78.501,0.716,0.716
1684149968752,2023-05-15T13:26:08.752,0.690,-174.145,-78.497,0.689,0.689
1684149968762,2023-05-15T13:26:08.762,0.700,-174.142,-78.495,0.677,0.677
1684149968772,2023-05-15T13:26:08.772,0.710,-174.140,-78.496,0.676,0.676
1684149968782,2023-05-15T13:26:08.782,0.720,-174.136,-78.494,0.672,0.672
1684149968792,2023-05-15T13:26:08.792,0.730,-174.131,-78.486,0.674,0.674
1684149968802,2023-05-15T13:26:08.802,0.740,-174.123,-78.472,0.678,0.678
1684149968812,2023-05-15T13:26:08.812,0.750,-174.115,-78.459,0.684,0.684
1684149968822,2023-05-15T13:26:08.822,0.760,-174.109,-78.448,0.690,0.690
1684149968832,2023-05-15T13:26:08.832,0.770,-174.104,-78.432,0.701,0.701
1684149968842,2023-05-15T13:26:08.842,0.780,-174.103,-78.418,0.719,0.719
1684149968852,2023-05-15T13:26:08.852,0.790,-174.107,-78.412,0.732,0.732
1684149968862,2023-05-15T13:26:08.862,0.800,-174.110,-78.407,0.734,0.734
1684149968872,2023-05-15T13:26:08.872,0.810,-174.111,-78.401,0.735,0.735
1684149968882,2023-05-15T13:26:08.882,0.820,-174.114,-78.395,0.743,0.743
1684149968892,2023-05-15T13:26:08.892,0.830,-174.115,-78.391,0.743,0.743
1684149968902,2023-05-15T13:26:08.902,0.840,-174.116,-78.382,0.743,0.743
1684149968912,2023-05-15T13:26:08.912,0.850,-174.117,-78.365,0.742,0.742
1684149968922,2023-05-15T13:26:08.922,0.860,-174.117,-78.346,0.739,0.739
1684149968932,2023-05-15T13:26:08.932,0.870,-174.115,-78.329,0.719,0.719
1684149968942,2023-05-15T13:26:08.942,0.880,-174.111,-78.310,0.683,0.683
1684149968952,2023-05-15T13:26:08.952,0.890,-174.105,-78.288,0.638,0.638
1684149968962,2023-05-15T13:26:08.962,0.900,-174.099,-78.271,0.585,0.585
1684149968972,2023-05-15T13:26:08.972,0.910,-174.093,-78.258,0.529,0.529
1684149968982,2023-05-15T13:26:08.982,0.920,-174.089,-78.245,0.477,0.477
1684149968992,2023-05-15T13:26:08.992,0.930,-174.088,-78.238,0.434,0.434
1684149969002,2023-05-15T13:26:09.002,0.940,-174.090,-78.233,0.400,0.400
1684149969012,2023-05-15T13:26:09.012,0.950,-174.093,-78.224,0.375,0.375
1684149969022,2023-05-15T13:26:09.022,0.960,-174.094,-78.215,0.351,0.351
1684149969032,2023-05-15T13:26:09.032,0.970,-174.095,-78.209,0.324,0.324
1684149969042,2023-05-15T13:26:09.042,0.980,-174.104,-78.207,0.304,0.304
1684149969052,2023-05-15T13:26:09.052,0.990,-174.113,-78.204,0.285,0.285
1684149969062,2023-05-15T13:26:09.062,1.000,-174.122,-78.200,0.271,0.271
1684149969072,2023-05-15T13:26:09.072,1.010,-174.125,-78.191,0.255,0.255
1684149969082,2023-05-15T13:26:09.082,1.020,-174.127,-78.183,0.241,0.241
1684149969092,2023-05-15T13:26:09.092,1.030,-174.136,-78.179,0.236,0.236
1684149969102,2023-05-15T13:26:09.102,1.040,-174.144,-78.178,0.223,0.223
1684149969112,2023-05-15T13:26:09.112,1.050,-174.146,-78.170,0.205,0.205
1684149969122,2023-05-15T13:26:09.122,1.060,-174.148,-78.161,0.196,0.196
1684149969132,2023-05-15T13:26:09.132,1.070,-174.152,-78.155,0.201,0.201
1684149969142,2023-05-15T13:26:09.142,1.080,-174.158,-78.148,0.206,0.206
1684149969152,2023-05-15T13:26:09.152,1.090,-174.163,-78.137,0.210,0.210
1684149969162,2023-05-15T13:26:09.162,1.100,-174.164,-78.126,0.204,0.204
1684149969172,2023-05-15T13:26:09.172,1.110,-174.164,-78.113,0.192,0.192
1684149969182,2023-05-15T13:26:09.182,1.120,-174.164,-78.100,0.175,0.175
1684149969192,2023-05-15T13:26:09.192,1.130,-174.169,-78.092,0.160,0.160
1684149969202,2023-05-15T13:26:09.202,1.140,-174.169,-78.084,0.138,0.138
1684149969212,2023-05-15T13:26:09.212,1.150,-174.172,-78.078,0.122,0.122
1684149969222,2023-05-15T13:26:09.222,1.160,-174.177,-78.076,0.114,0.114
1684149969232,2023-05-15T13:26:09.232,1.170,-174.186,-78.075,0.112,0.112
1684149969242,2023-05-15T13:26:09.242,1.180,-174.196,-78.077,0.123,0.123
1684149969252,2023-05-15T13:26:09.252,1.190,-174.204,-78.084,0.134,0.134
1684149969262,2023-05-15T13:26:09.262,1.200,-174.212,-78.085,0.142,0.142
1684149969272,2023-05-15T13:26:09.272,1.210,-174.219,-78.084,0.149,0.149
