epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1684150325216,2023-05-15T13:32:05.216,0.000,165.721,-75.508,-0.000,-0.000
1684150325226,2023-05-15T13:32:05.226,0.010,165.721,-75.508,0.009,0.009
1684150325236,2023-05-15T13:32:05.236,0.020,165.732,-75.518,0.010,0.010
1684150325246,2023-05-15T13:32:05.246,0.030,165.742,-75.527,0.018,0.018
1684150325256,2023-05-15T13:32:05.256,0.040,165.751,-75.535,0.030,0.030
1684150325266,2023-05-15T13:32:05.266,0.050,165.763,-75.546,0.044,0.044
1684150325276,2023-05-15T13:32:05.276,0.060,165.775,-75.558,0.065,0.065
1684150325286,2023-05-15T13:32:05.286,0.070,165.787,-75.569,0.092,0.092
1684150325296,2023-05-15T13:32:05.296,0.080,165.797,-75.579,0.125,0.125
1684150325306,2023-05-15T13:32:05.306,0.090,165.803,-75.585,0.161,0.161
1684150325316,2023-05-15T13:32:05.316,0.100,165.807,-75.588,0.197,0.197
1684150325326,2023-05-15T13:32:05.326,0.110,165.808,-75.588,0.233,0.233
1684150325336,2023-05-15T13:32:05.336,0.120,165.807,-75.586,0.271,0.271
1684150325346,2023-05-15T13:32:05.346,0.130,165.806,-75.583,0.308,0.308
1684150325356,2023-05-15T13:32:05.356,0.140,165.809,-75.585,0.345,0.345
1684150325366,2023-05-15T13:32:05.366,0.150,165.814,-75.589,0.380,0.380
1684150325376,2023-05-15T13:32:05.376,0.160,165.822,-75.595,0.413,0.413
1684150325386,2023-05-15T13:32:05.386,0.170,165.831,-75.603,0.441,0.441
1684150325396,2023-05-15T13:32:05.396,0.180,165.839,-75.610,0.465,0.465
1684150325406,2023-05-15T13:32:05.406,0.190,165.846,-75.616,0.489,0.489
1684150325416,2023-05-15T13:32:05.416,0.200,165.854,-75.622,0.519,0.519
1684150325426,2023-05-15T13:32:05.426,0.210,165.862,-75.628,0.553,0.553
1684150325436,2023-05-15T13:32:05.436,0.220,165.870,-75.635,0.591,0.591
