epoch (ms);time (01:00);elapsed (s);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
1.68415E+12;2023-05-15T13:07:52.289;0;1.098;1.524;0.495
1.68415E+12;2023-05-15T13:07:52.299;0.01;1.265;0.96;0.396
1.68415E+12;2023-05-15T13:07:52.309;0.02;1.349;1.532;0.694
1.68415E+12;2023-05-15T13:07:52.319;0.03;1.776;1.669;0.732
1.68415E+12;2023-05-15T13:07:52.329;0.04;2.035;1.555;1.082
1.68415E+12;2023-05-15T13:07:52.339;0.05;2.119;1.623;1.151
1.68415E+12;2023-05-15T13:07:52.349;0.06;2.066;1.715;1.265
1.68415E+12;2023-05-15T13:07:52.359;0.07;1.623;1.608;1.204
1.68415E+12;2023-05-15T13:07:52.369;0.08;1.494;1.517;1.128
1.68415E+12;2023-05-15T13:07:52.379;0.09;1.776;1.448;1.067
1.68415E+12;2023-05-15T13:07:52.389;0.1;1.692;1.395;1.181
1.68415E+12;2023-05-15T13:07:52.399;0.11;0.938;1.517;1.319
1.68415E+12;2023-05-15T13:07:52.409;0.12;0.77;1.563;1.319
1.68415E+12;2023-05-15T13:07:52.419;0.13;1.22;1.608;1.296
1.68415E+12;2023-05-15T13:07:52.429;0.14;1.57;1.669;1.227
1.68415E+12;2023-05-15T13:07:52.439;0.15;1.761;1.73;1.357
1.68415E+12;2023-05-15T13:07:52.449;0.16;1.966;1.684;1.372
1.68415E+12;2023-05-15T13:07:52.459;0.17;1.974;1.471;1.349
1.68415E+12;2023-05-15T13:07:52.469;0.18;2.348;1.303;1.608
1.68415E+12;2023-05-15T13:07:52.479;0.19;3.735;1.098;1.768
1.68415E+12;2023-05-15T13:07:52.489;0.2;5.389;0.808;1.944
1.68415E+12;2023-05-15T13:07:52.499;0.21;7.271;0.526;2.088
1.68415E+12;2023-05-15T13:07:52.509;0.22;8.506;0.579;2.142
1.68415E+12;2023-05-15T13:07:52.519;0.23;9.2;0.511;2.165
1.68415E+12;2023-05-15T13:07:52.529;0.24;9.436;0.252;2.18
1.68415E+12;2023-05-15T13:07:52.539;0.25;9.428;0.518;2.21
1.68415E+12;2023-05-15T13:07:52.549;0.26;9.07;0.503;2.233
1.68415E+12;2023-05-15T13:07:52.559;0.27;7.866;-0.13;2.248
1.68415E+12;2023-05-15T13:07:52.569;0.28;7.088;-0.305;2.409
1.68415E+12;2023-05-15T13:07:52.579;0.29;7.21;-0.145;2.401
1.68415E+12;2023-05-15T13:07:52.589;0.3;6.768;-0.785;1.822
1.68415E+12;2023-05-15T13:07:52.599;0.31;6.098;-1.601;1.563
1.68415E+12;2023-05-15T13:07:52.609;0.32;6.89;-1.532;1.738
1.68415E+12;2023-05-15T13:07:52.619;0.33;8.445;-1.326;1.806
1.68415E+12;2023-05-15T13:07:52.629;0.34;9.535;-1.57;1.738
1.68415E+12;2023-05-15T13:07:52.639;0.35;10.069;-1.57;1.601
1.68415E+12;2023-05-15T13:07:52.649;0.36;10.107;-1.349;1.639
1.68415E+12;2023-05-15T13:07:52.659;0.37;9.566;-0.473;1.845
1.68415E+12;2023-05-15T13:07:52.669;0.38;8.415;0.274;2.111
1.68415E+12;2023-05-15T13:07:52.679;0.39;6.997;0.32;2.088
1.68415E+12;2023-05-15T13:07:52.689;0.4;5.579;-0.137;1.73
1.68415E+12;2023-05-15T13:07:52.699;0.41;4.863;-0.373;1.38
1.68415E+12;2023-05-15T13:07:52.709;0.42;4.55;-0.373;1.082
1.68415E+12;2023-05-15T13:07:52.719;0.43;4.886;-0.297;1.12
1.68415E+12;2023-05-15T13:07:52.729;0.44;5.739;-0.145;1.288
1.68415E+12;2023-05-15T13:07:52.739;0.45;6.822;0.053;1.456
1.68415E+12;2023-05-15T13:07:52.749;0.46;7.607;0.183;1.57
1.68415E+12;2023-05-15T13:07:52.759;0.47;7.302;0.412;1.738
1.68415E+12;2023-05-15T13:07:52.769;0.48;5.869;0.762;1.89
1.68415E+12;2023-05-15T13:07:52.779;0.49;4.116;1.014;1.601
1.68415E+12;2023-05-15T13:07:52.789;0.5;2.248;0.777;1.136
1.68415E+12;2023-05-15T13:07:52.799;0.51;0.61;0.511;0.915
1.68415E+12;2023-05-15T13:07:52.809;0.52;-0.442;0.274;0.808
1.68415E+12;2023-05-15T13:07:52.819;0.53;-0.884;0.114;0.838
1.68415E+12;2023-05-15T13:07:52.829;0.54;-0.884;0.183;0.968
1.68415E+12;2023-05-15T13:07:52.839;0.55;-1.098;0.008;1.052
