epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1684167983878,2023-05-15T18:26:23.878,0.000,-0.838,-0.617,-1.570
1684167983888,2023-05-15T18:26:23.888,0.010,-0.976,1.227,1.395
1684167983898,2023-05-15T18:26:23.898,0.020,-0.938,0.579,0.343
1684167983908,2023-05-15T18:26:23.908,0.030,-1.044,0.244,-0.137
1684167983918,2023-05-15T18:26:23.918,0.040,-1.265,0.373,0.008
1684167983928,2023-05-15T18:26:23.928,0.050,-1.334,0.335,0.084
1684167983938,2023-05-15T18:26:23.938,0.060,-1.181,0.343,0.229
1684167983948,2023-05-15T18:26:23.948,0.070,-1.082,0.351,0.274
1684167983958,2023-05-15T18:26:23.958,0.080,-0.983,0.290,0.175
1684167983968,2023-05-15T18:26:23.968,0.090,-0.823,0.442,0.152
1684167983978,2023-05-15T18:26:23.978,0.100,-0.709,0.495,0.282
1684167983988,2023-05-15T18:26:23.988,0.110,-0.396,0.587,0.335
1684167983998,2023-05-15T18:26:23.998,0.120,-0.267,0.488,0.373
1684167984008,2023-05-15T18:26:24.008,0.130,-0.419,0.511,0.358
1684167984018,2023-05-15T18:26:24.018,0.140,-0.335,0.534,0.488
1684167984028,2023-05-15T18:26:24.028,0.150,-0.358,0.602,0.602
1684167984038,2023-05-15T18:26:24.038,0.160,-0.655,0.480,0.480
1684167984048,2023-05-15T18:26:24.048,0.170,-0.709,0.434,0.526
1684167984058,2023-05-15T18:26:24.058,0.180,-0.473,0.450,0.640
1684167984068,2023-05-15T18:26:24.068,0.190,-0.267,0.457,0.655
1684167984078,2023-05-15T18:26:24.078,0.200,0.145,0.503,0.808
1684167984088,2023-05-15T18:26:24.088,0.210,0.373,0.625,0.770
1684167984098,2023-05-15T18:26:24.098,0.220,0.145,0.762,0.770
1684167984108,2023-05-15T18:26:24.108,0.230,0.168,0.739,0.869
1684167984118,2023-05-15T18:26:24.118,0.240,0.564,0.762,1.059
1684167984128,2023-05-15T18:26:24.128,0.250,0.602,0.648,0.930
1684167984138,2023-05-15T18:26:24.138,0.260,0.534,0.777,0.846
1684167984148,2023-05-15T18:26:24.148,0.270,0.328,0.709,0.823
1684167984158,2023-05-15T18:26:24.158,0.280,-0.061,0.549,0.816
1684167984168,2023-05-15T18:26:24.168,0.290,-0.122,0.495,0.739
1684167984178,2023-05-15T18:26:24.178,0.300,-0.061,0.465,0.770
1684167984188,2023-05-15T18:26:24.188,0.310,-0.008,0.373,0.831
1684167984198,2023-05-15T18:26:24.198,0.320,0.038,0.297,0.846
1684167984208,2023-05-15T18:26:24.208,0.330,0.130,0.267,0.770
1684167984218,2023-05-15T18:26:24.218,0.340,0.213,0.274,0.800
1684167984228,2023-05-15T18:26:24.228,0.350,0.191,0.351,0.846
1684167984238,2023-05-15T18:26:24.238,0.360,0.221,0.335,0.770
1684167984248,2023-05-15T18:26:24.248,0.370,0.267,0.282,0.663
1684167984258,2023-05-15T18:26:24.258,0.380,0.236,0.229,0.655
1684167984268,2023-05-15T18:26:24.268,0.390,0.175,0.160,0.633
1684167984278,2023-05-15T18:26:24.278,0.400,0.305,0.114,0.709
1684167984288,2023-05-15T18:26:24.288,0.410,0.213,0.130,0.747
1684167984298,2023-05-15T18:26:24.298,0.420,0.137,0.099,0.648
1684167984308,2023-05-15T18:26:24.308,0.430,0.145,0.145,0.655
1684167984318,2023-05-15T18:26:24.318,0.440,0.229,0.236,0.587
1684167984328,2023-05-15T18:26:24.328,0.450,0.030,0.389,0.587
1684167984338,2023-05-15T18:26:24.338,0.460,0.122,0.305,0.564
1684167984348,2023-05-15T18:26:24.348,0.470,0.404,0.236,0.564
1684167984358,2023-05-15T18:26:24.358,0.480,0.534,0.297,0.633
1684167984368,2023-05-15T18:26:24.368,0.490,0.716,0.206,0.663
1684167984378,2023-05-15T18:26:24.378,0.500,0.854,0.252,0.747
1684167984388,2023-05-15T18:26:24.388,0.510,0.831,0.282,0.808
1684167984398,2023-05-15T18:26:24.398,0.520,0.724,0.259,0.755
1684167984408,2023-05-15T18:26:24.408,0.530,0.861,0.206,0.838
1684167984418,2023-05-15T18:26:24.418,0.540,0.915,0.320,0.732
1684167984428,2023-05-15T18:26:24.428,0.550,0.808,0.396,0.694
1684167984438,2023-05-15T18:26:24.438,0.560,0.816,0.434,0.625
1684167984448,2023-05-15T18:26:24.448,0.570,0.861,0.343,0.640
1684167984458,2023-05-15T18:26:24.458,0.580,0.671,0.358,0.556
1684167984468,2023-05-15T18:26:24.468,0.590,0.587,0.297,0.617
1684167984478,2023-05-15T18:26:24.478,0.600,0.373,0.244,0.655
1684167984488,2023-05-15T18:26:24.488,0.610,0.107,0.267,0.503
1684167984498,2023-05-15T18:26:24.498,0.620,0.015,0.168,0.442
1684167984508,2023-05-15T18:26:24.508,0.630,-0.046,0.175,0.450
1684167984518,2023-05-15T18:26:24.518,0.640,-0.130,0.130,0.343
1684167984528,2023-05-15T18:26:24.528,0.650,0.046,0.053,0.442
1684167984538,2023-05-15T18:26:24.538,0.660,-0.175,0.076,0.404
1684167984548,2023-05-15T18:26:24.548,0.670,-0.625,-0.061,0.511
1684167984558,2023-05-15T18:26:24.558,0.680,-0.655,-0.114,0.503
1684167984568,2023-05-15T18:26:24.568,0.690,-0.511,-0.084,0.526
1684167984578,2023-05-15T18:26:24.578,0.700,-0.412,-0.015,0.511
1684167984588,2023-05-15T18:26:24.588,0.710,-0.320,0.030,0.457
1684167984598,2023-05-15T18:26:24.598,0.720,-0.465,0.030,0.412
1684167984608,2023-05-15T18:26:24.608,0.730,-0.434,0.053,0.396
1684167984618,2023-05-15T18:26:24.618,0.740,-0.305,0.076,0.328
1684167984628,2023-05-15T18:26:24.628,0.750,-0.358,0.107,0.442
1684167984638,2023-05-15T18:26:24.638,0.760,-0.236,0.152,0.549
1684167984648,2023-05-15T18:26:24.648,0.770,-0.091,0.069,0.564
1684167984658,2023-05-15T18:26:24.658,0.780,0.053,0.053,0.610
1684167984668,2023-05-15T18:26:24.668,0.790,0.137,0.122,0.587
1684167984678,2023-05-15T18:26:24.678,0.800,0.358,0.259,0.572
1684167984688,2023-05-15T18:26:24.688,0.810,0.313,0.259,0.648
1684167984698,2023-05-15T18:26:24.698,0.820,0.396,0.183,0.625
1684167984708,2023-05-15T18:26:24.708,0.830,0.526,0.274,0.716
1684167984718,2023-05-15T18:26:24.718,0.840,0.457,0.252,0.709
1684167984728,2023-05-15T18:26:24.728,0.850,0.686,0.335,0.694
1684167984738,2023-05-15T18:26:24.738,0.860,0.892,0.236,0.800
1684167984748,2023-05-15T18:26:24.748,0.870,1.052,0.206,0.762
1684167984758,2023-05-15T18:26:24.758,0.880,1.082,0.229,0.709
1684167984768,2023-05-15T18:26:24.768,0.890,1.044,0.351,0.800
1684167984778,2023-05-15T18:26:24.778,0.900,1.037,0.381,0.854
1684167984788,2023-05-15T18:26:24.788,0.910,0.595,0.290,0.854
1684167984798,2023-05-15T18:26:24.798,0.920,0.869,0.244,0.823
1684167984808,2023-05-15T18:26:24.808,0.930,1.021,0.381,0.884
1684167984818,2023-05-15T18:26:24.818,0.940,0.945,0.358,0.915
1684167984828,2023-05-15T18:26:24.828,0.950,0.861,0.358,0.922
1684167984838,2023-05-15T18:26:24.838,0.960,0.534,0.259,0.899
1684167984848,2023-05-15T18:26:24.848,0.970,0.114,0.168,0.930
1684167984858,2023-05-15T18:26:24.858,0.980,0.229,0.168,0.968
1684167984868,2023-05-15T18:26:24.868,0.990,0.335,0.229,1.044
1684167984878,2023-05-15T18:26:24.878,1.000,0.602,0.259,1.128
1684167984888,2023-05-15T18:26:24.888,1.010,0.854,0.320,1.166
1684167984898,2023-05-15T18:26:24.898,1.020,1.014,0.313,1.075
1684167984908,2023-05-15T18:26:24.908,1.030,0.953,0.503,1.090
1684167984918,2023-05-15T18:26:24.918,1.040,0.617,0.755,1.006
1684167984928,2023-05-15T18:26:24.928,1.050,0.785,0.556,0.930
1684167984938,2023-05-15T18:26:24.938,1.060,1.189,0.541,0.953
1684167984948,2023-05-15T18:26:24.948,1.070,0.915,0.549,0.998
1684167984958,2023-05-15T18:26:24.958,1.080,0.206,0.564,0.983
1684167984968,2023-05-15T18:26:24.968,1.090,-0.328,0.480,0.846
1684167984978,2023-05-15T18:26:24.978,1.100,-0.579,0.389,0.884
1684167984988,2023-05-15T18:26:24.988,1.110,-0.480,0.442,0.808
1684167984998,2023-05-15T18:26:24.998,1.120,-0.183,0.488,0.785
1684167985008,2023-05-15T18:26:25.008,1.130,0.053,0.465,0.724
1684167985018,2023-05-15T18:26:25.018,1.140,0.191,0.396,0.732
1684167985028,2023-05-15T18:26:25.028,1.150,0.206,0.381,0.762
1684167985038,2023-05-15T18:26:25.038,1.160,0.259,0.381,0.762
1684167985048,2023-05-15T18:26:25.048,1.170,0.221,0.427,0.625
1684167985058,2023-05-15T18:26:25.058,1.180,0.175,0.389,0.518
1684167985068,2023-05-15T18:26:25.068,1.190,0.160,0.351,0.473
1684167985078,2023-05-15T18:26:25.078,1.200,0.015,0.358,0.419
1684167985088,2023-05-15T18:26:25.088,1.210,-0.290,0.282,0.313
1684167985098,2023-05-15T18:26:25.098,1.220,-0.549,0.206,0.221
1684167985108,2023-05-15T18:26:25.108,1.230,-0.610,0.152,0.168
1684167985118,2023-05-15T18:26:25.118,1.240,-0.846,0.213,0.114
1684167985128,2023-05-15T18:26:25.128,1.250,-0.968,0.175,0.099
1684167985138,2023-05-15T18:26:25.138,1.260,-0.998,0.107,0.038
1684167985148,2023-05-15T18:26:25.148,1.270,-0.945,0.252,0.015
1684167985158,2023-05-15T18:26:25.158,1.280,-0.899,0.244,-0.091
1684167985168,2023-05-15T18:26:25.168,1.290,-0.892,0.343,0.015
1684167985178,2023-05-15T18:26:25.178,1.300,-0.785,0.442,0.046
1684167985188,2023-05-15T18:26:25.188,1.310,-0.732,0.488,-0.061
1684167985198,2023-05-15T18:26:25.198,1.320,-0.610,0.457,-0.046
1684167985208,2023-05-15T18:26:25.208,1.330,-0.427,0.457,0.008
1684167985218,2023-05-15T18:26:25.218,1.340,-0.221,0.488,-0.061
1684167985228,2023-05-15T18:26:25.228,1.350,-0.008,0.541,-0.107
1684167985238,2023-05-15T18:26:25.238,1.360,-0.046,0.564,-0.038
