epoch (ms);time (01:00);elapsed (s);pitch (deg);roll (deg);yaw (deg); heading (deg)
1.6828E+12;2023-04-29T23:33:45.338;0;171.522;-71.415;359.999;359.999
1.6828E+12;2023-04-29T23:33:45.348;0.01;171.518;-71.415;0.02;0.02
1.6828E+12;2023-04-29T23:33:45.358;0.02;171.523;-71.42;0.031;0.031
1.6828E+12;2023-04-29T23:33:45.368;0.03;171.519;-71.42;0.05;0.05
1.6828E+12;2023-04-29T23:33:45.378;0.04;171.515;-71.42;0.067;0.067
1.6828E+12;2023-04-29T23:33:45.388;0.05;171.512;-71.42;0.081;0.081
1.6828E+12;2023-04-29T23:33:45.398;0.06;171.509;-71.42;0.092;0.092
1.6828E+12;2023-04-29T23:33:45.408;0.07;171.508;-71.42;0.101;0.101
1.6828E+12;2023-04-29T23:33:45.418;0.08;171.508;-71.42;0.101;0.101
1.6828E+12;2023-04-29T23:33:45.428;0.09;171.508;-71.421;0.101;0.101
1.6828E+12;2023-04-29T23:33:45.438;0.1;171.508;-71.426;0.099;0.099
1.6828E+12;2023-04-29T23:33:45.448;0.11;171.508;-71.427;0.099;0.099
1.6828E+12;2023-04-29T23:33:45.458;0.12;171.508;-71.427;0.099;0.099
1.6828E+12;2023-04-29T23:33:45.468;0.13;171.508;-71.428;0.099;0.099
1.6828E+12;2023-04-29T23:33:45.478;0.14;171.508;-71.428;0.099;0.099
1.6828E+12;2023-04-29T23:33:45.488;0.15;171.508;-71.429;0.099;0.099
1.6828E+12;2023-04-29T23:33:45.498;0.16;171.508;-71.429;0.099;0.099
1.6828E+12;2023-04-29T23:33:45.508;0.17;171.508;-71.429;0.099;0.099
1.6828E+12;2023-04-29T23:33:45.518;0.18;171.508;-71.429;0.099;0.099
1.6828E+12;2023-04-29T23:33:45.528;0.19;171.506;-71.429;0.109;0.109
1.6828E+12;2023-04-29T23:33:45.538;0.2;171.509;-71.432;0.115;0.115
1.6828E+12;2023-04-29T23:33:45.548;0.21;171.507;-71.433;0.128;0.128
1.6828E+12;2023-04-29T23:33:45.558;0.22;171.504;-71.433;0.141;0.141
1.6828E+12;2023-04-29T23:33:45.568;0.23;171.502;-71.434;0.153;0.153
