epoch (ms);time (01:00);elapsed (s);pitch (deg);roll (deg);yaw (deg); heading (deg)
1.6828E+12;2023-04-29T23:45:47.240;0;168.146;-77.365;0.002;0.002
1.6828E+12;2023-04-29T23:45:47.250;0.01;168.147;-77.362;0.004;0.004
1.6828E+12;2023-04-29T23:45:47.260;0.02;168.147;-77.362;0.004;0.004
1.6828E+12;2023-04-29T23:45:47.270;0.03;168.147;-77.362;0.003;0.003
1.6828E+12;2023-04-29T23:45:47.280;0.04;168.147;-77.36;0.005;0.005
1.6828E+12;2023-04-29T23:45:47.290;0.05;168.147;-77.36;0.005;0.005
1.6828E+12;2023-04-29T23:45:47.300;0.06;168.147;-77.36;0.004;0.004
1.6828E+12;2023-04-29T23:45:47.310;0.07;168.147;-77.361;0.004;0.004
1.6828E+12;2023-04-29T23:45:47.320;0.08;168.154;-77.367;359.997;359.997
1.6828E+12;2023-04-29T23:45:47.330;0.09;168.161;-77.374;359.997;359.997
1.6828E+12;2023-04-29T23:45:47.340;0.1;168.168;-77.382;359.998;359.998
1.6828E+12;2023-04-29T23:45:47.350;0.11;168.175;-77.389;0.002;0.002
1.6828E+12;2023-04-29T23:45:47.360;0.12;168.183;-77.397;0.003;0.003
1.6828E+12;2023-04-29T23:45:47.370;0.13;168.191;-77.406;0.004;0.004
1.6828E+12;2023-04-29T23:45:47.380;0.14;168.199;-77.414;0.005;0.005
1.6828E+12;2023-04-29T23:45:47.390;0.15;168.205;-77.42;0.006;0.006
1.6828E+12;2023-04-29T23:45:47.400;0.16;168.206;-77.421;0.011;0.011
1.6828E+12;2023-04-29T23:45:47.410;0.17;168.207;-77.422;0.01;0.01
1.6828E+12;2023-04-29T23:45:47.420;0.18;168.208;-77.423;0.009;0.009
1.6828E+12;2023-04-29T23:45:47.430;0.19;168.209;-77.425;0.008;0.008
1.6828E+12;2023-04-29T23:45:47.440;0.2;168.21;-77.426;0.007;0.007
1.6828E+12;2023-04-29T23:45:47.450;0.21;168.211;-77.427;0.005;0.005
1.6828E+12;2023-04-29T23:45:47.460;0.22;168.213;-77.428;0.004;0.004
1.6828E+12;2023-04-29T23:45:47.470;0.23;168.214;-77.43;0.002;0.002
1.6828E+12;2023-04-29T23:45:47.480;0.24;168.216;-77.432;0;0
1.6828E+12;2023-04-29T23:45:47.490;0.25;168.217;-77.433;359.998;359.998
1.6828E+12;2023-04-29T23:45:47.500;0.26;168.218;-77.434;359.997;359.997
1.6828E+12;2023-04-29T23:45:47.510;0.27;168.219;-77.435;359.996;359.996
1.6828E+12;2023-04-29T23:45:47.520;0.28;168.22;-77.436;359.995;359.995
1.6828E+12;2023-04-29T23:45:47.530;0.29;168.221;-77.438;359.994;359.994
1.6828E+12;2023-04-29T23:45:47.540;0.3;168.222;-77.439;359.992;359.992
1.6828E+12;2023-04-29T23:45:47.550;0.31;168.224;-77.441;359.991;359.991
1.6828E+12;2023-04-29T23:45:47.560;0.32;168.225;-77.443;359.989;359.989
1.6828E+12;2023-04-29T23:45:47.570;0.33;168.227;-77.446;359.987;359.987
1.6828E+12;2023-04-29T23:45:47.580;0.34;168.23;-77.45;359.984;359.984
1.6828E+12;2023-04-29T23:45:47.590;0.35;168.233;-77.454;359.98;359.98
1.6828E+12;2023-04-29T23:45:47.600;0.36;168.242;-77.463;359.971;359.971
1.6828E+12;2023-04-29T23:45:47.610;0.37;168.245;-77.467;359.968;359.968
1.6828E+12;2023-04-29T23:45:47.620;0.38;168.248;-77.471;359.965;359.965
1.6828E+12;2023-04-29T23:45:47.630;0.39;168.25;-77.474;359.962;359.962
1.6828E+12;2023-04-29T23:45:47.640;0.4;168.252;-77.474;359.962;359.962
1.6828E+12;2023-04-29T23:45:47.650;0.41;168.253;-77.473;359.962;359.962
1.6828E+12;2023-04-29T23:45:47.660;0.42;168.254;-77.472;359.963;359.963
1.6828E+12;2023-04-29T23:45:47.670;0.43;168.261;-77.476;359.957;359.957
1.6828E+12;2023-04-29T23:45:47.680;0.44;168.269;-77.482;359.958;359.958
1.6828E+12;2023-04-29T23:45:47.690;0.45;168.276;-77.488;359.963;359.963
1.6828E+12;2023-04-29T23:45:47.700;0.46;168.283;-77.493;359.969;359.969
1.6828E+12;2023-04-29T23:45:47.710;0.47;168.291;-77.5;359.972;359.972
1.6828E+12;2023-04-29T23:45:47.720;0.48;168.302;-77.512;359.969;359.969
1.6828E+12;2023-04-29T23:45:47.730;0.49;168.313;-77.522;359.966;359.966
1.6828E+12;2023-04-29T23:45:47.740;0.5;168.325;-77.531;359.964;359.964
1.6828E+12;2023-04-29T23:45:47.750;0.51;168.337;-77.541;359.959;359.959
1.6828E+12;2023-04-29T23:45:47.760;0.52;168.348;-77.549;359.95;359.95
1.6828E+12;2023-04-29T23:45:47.770;0.53;168.35;-77.549;359.949;359.949
1.6828E+12;2023-04-29T23:45:47.780;0.54;168.352;-77.549;359.948;359.948
1.6828E+12;2023-04-29T23:45:47.790;0.55;168.354;-77.549;359.948;359.948
1.6828E+12;2023-04-29T23:45:47.800;0.56;168.356;-77.547;359.949;359.949
1.6828E+12;2023-04-29T23:45:47.810;0.57;168.356;-77.545;359.95;359.95
1.6828E+12;2023-04-29T23:45:47.820;0.58;168.357;-77.542;359.951;359.951
1.6828E+12;2023-04-29T23:45:47.830;0.59;168.359;-77.541;359.952;359.952
1.6828E+12;2023-04-29T23:45:47.840;0.6;168.36;-77.54;359.952;359.952
1.6828E+12;2023-04-29T23:45:47.850;0.61;168.362;-77.539;359.952;359.952
1.6828E+12;2023-04-29T23:45:47.860;0.62;168.364;-77.538;359.953;359.953
1.6828E+12;2023-04-29T23:45:47.870;0.63;168.365;-77.536;359.953;359.953
1.6828E+12;2023-04-29T23:45:47.880;0.64;168.367;-77.533;359.954;359.954
1.6828E+12;2023-04-29T23:45:47.890;0.65;168.368;-77.531;359.955;359.955
1.6828E+12;2023-04-29T23:45:47.900;0.66;168.37;-77.529;359.956;359.956
1.6828E+12;2023-04-29T23:45:47.910;0.67;168.37;-77.527;359.958;359.958
1.6828E+12;2023-04-29T23:45:47.920;0.68;168.371;-77.524;359.959;359.959
1.6828E+12;2023-04-29T23:45:47.930;0.69;168.372;-77.523;359.96;359.96
1.6828E+12;2023-04-29T23:45:47.940;0.7;168.373;-77.521;359.961;359.961
1.6828E+12;2023-04-29T23:45:47.950;0.71;168.374;-77.519;359.962;359.962
1.6828E+12;2023-04-29T23:45:47.960;0.72;168.375;-77.517;359.964;359.964
1.6828E+12;2023-04-29T23:45:47.970;0.73;168.375;-77.514;359.972;359.972
1.6828E+12;2023-04-29T23:45:47.980;0.74;168.374;-77.511;359.982;359.982
1.6828E+12;2023-04-29T23:45:47.990;0.75;168.373;-77.508;359.996;359.996
1.6828E+12;2023-04-29T23:45:48.000;0.76;168.372;-77.503;0.011;0.011
1.6828E+12;2023-04-29T23:45:48.010;0.77;168.371;-77.497;0.031;0.031
1.6828E+12;2023-04-29T23:45:48.020;0.78;168.37;-77.493;0.049;0.049
1.6828E+12;2023-04-29T23:45:48.030;0.79;168.37;-77.488;0.063;0.063
1.6828E+12;2023-04-29T23:45:48.040;0.8;168.37;-77.484;0.075;0.075
1.6828E+12;2023-04-29T23:45:48.050;0.81;168.371;-77.48;0.077;0.077
1.6828E+12;2023-04-29T23:45:48.060;0.82;168.372;-77.477;0.079;0.079
1.6828E+12;2023-04-29T23:45:48.070;0.83;168.373;-77.473;0.08;0.08
1.6828E+12;2023-04-29T23:45:48.080;0.84;168.374;-77.47;0.082;0.082
1.6828E+12;2023-04-29T23:45:48.090;0.85;168.374;-77.467;0.084;0.084
1.6828E+12;2023-04-29T23:45:48.100;0.86;168.374;-77.463;0.086;0.086
1.6828E+12;2023-04-29T23:45:48.110;0.87;168.374;-77.459;0.089;0.089
1.6828E+12;2023-04-29T23:45:48.120;0.88;168.374;-77.456;0.09;0.09
1.6828E+12;2023-04-29T23:45:48.130;0.89;168.376;-77.454;0.084;0.084
1.6828E+12;2023-04-29T23:45:48.140;0.9;168.377;-77.452;0.077;0.077
1.6828E+12;2023-04-29T23:45:48.150;0.91;168.379;-77.449;0.066;0.066
1.6828E+12;2023-04-29T23:45:48.160;0.92;168.382;-77.447;0.057;0.057
1.6828E+12;2023-04-29T23:45:48.170;0.93;168.384;-77.444;0.042;0.042
1.6828E+12;2023-04-29T23:45:48.180;0.94;168.387;-77.442;0.026;0.026
1.6828E+12;2023-04-29T23:45:48.190;0.95;168.389;-77.44;0.009;0.009
1.6828E+12;2023-04-29T23:45:48.200;0.96;168.392;-77.438;359.988;359.988
1.6828E+12;2023-04-29T23:45:48.210;0.97;168.394;-77.437;359.968;359.968
1.6828E+12;2023-04-29T23:45:48.220;0.98;168.391;-77.43;359.951;359.951
1.6828E+12;2023-04-29T23:45:48.230;0.99;168.394;-77.431;359.924;359.924
1.6828E+12;2023-04-29T23:45:48.240;1;168.39;-77.425;359.901;359.901
1.6828E+12;2023-04-29T23:45:48.250;1.01;168.393;-77.425;359.872;359.872
1.6828E+12;2023-04-29T23:45:48.260;1.02;168.389;-77.42;359.85;359.85
1.6828E+12;2023-04-29T23:45:48.270;1.03;168.391;-77.42;359.823;359.823
1.6828E+12;2023-04-29T23:45:48.280;1.04;168.393;-77.42;359.795;359.795
1.6828E+12;2023-04-29T23:45:48.290;1.05;168.396;-77.42;359.766;359.766
1.6828E+12;2023-04-29T23:45:48.300;1.06;168.398;-77.42;359.742;359.742
1.6828E+12;2023-04-29T23:45:48.310;1.07;168.399;-77.42;359.719;359.719
1.6828E+12;2023-04-29T23:45:48.320;1.08;168.401;-77.42;359.701;359.701
1.6828E+12;2023-04-29T23:45:48.330;1.09;168.402;-77.42;359.686;359.686
1.6828E+12;2023-04-29T23:45:48.340;1.1;168.403;-77.42;359.673;359.673
1.6828E+12;2023-04-29T23:45:48.350;1.11;168.404;-77.42;359.66;359.66
1.6828E+12;2023-04-29T23:45:48.360;1.12;168.405;-77.42;359.648;359.648
1.6828E+12;2023-04-29T23:45:48.370;1.13;168.406;-77.42;359.639;359.639
1.6828E+12;2023-04-29T23:45:48.380;1.14;168.406;-77.42;359.631;359.631
1.6828E+12;2023-04-29T23:45:48.390;1.15;168.406;-77.42;359.631;359.631
1.6828E+12;2023-04-29T23:45:48.400;1.16;168.406;-77.42;359.631;359.631
1.6828E+12;2023-04-29T23:45:48.410;1.17;168.406;-77.42;359.631;359.631
1.6828E+12;2023-04-29T23:45:48.420;1.18;168.406;-77.42;359.631;359.631
1.6828E+12;2023-04-29T23:45:48.430;1.19;168.406;-77.42;359.631;359.631
1.6828E+12;2023-04-29T23:45:48.440;1.2;168.406;-77.42;359.638;359.638
1.6828E+12;2023-04-29T23:45:48.450;1.21;168.405;-77.42;359.648;359.648
1.6828E+12;2023-04-29T23:45:48.460;1.22;168.404;-77.42;359.661;359.661
1.6828E+12;2023-04-29T23:45:48.470;1.23;168.403;-77.42;359.673;359.673
1.6828E+12;2023-04-29T23:45:48.480;1.24;168.402;-77.42;359.684;359.684
1.6828E+12;2023-04-29T23:45:48.490;1.25;168.401;-77.42;359.693;359.693
1.6828E+12;2023-04-29T23:45:48.500;1.26;168.401;-77.42;359.693;359.693
1.6828E+12;2023-04-29T23:45:48.510;1.27;168.401;-77.42;359.693;359.693
1.6828E+12;2023-04-29T23:45:48.520;1.28;168.401;-77.42;359.693;359.693
1.6828E+12;2023-04-29T23:45:48.530;1.29;168.401;-77.42;359.693;359.693
