epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1683369612230,2023-05-06T12:40:12.230,0.000,1.220,0.473,0.206
1683369612240,2023-05-06T12:40:12.240,0.010,0.922,0.541,0.724
1683369612250,2023-05-06T12:40:12.250,0.020,1.166,0.198,-0.061
1683369612260,2023-05-06T12:40:12.260,0.030,0.983,0.373,0.084
1683369612270,2023-05-06T12:40:12.270,0.040,0.541,0.236,0.091
1683369612280,2023-05-06T12:40:12.280,0.050,0.206,0.191,-0.076
1683369612290,2023-05-06T12:40:12.290,0.060,0.252,0.351,-0.084
1683369612300,2023-05-06T12:40:12.300,0.070,0.183,0.389,-0.069
1683369612310,2023-05-06T12:40:12.310,0.080,0.130,0.313,0.008
1683369612320,2023-05-06T12:40:12.320,0.090,0.091,0.343,0.015
1683369612330,2023-05-06T12:40:12.330,0.100,0.107,0.488,0.145
1683369612340,2023-05-06T12:40:12.340,0.110,0.290,0.457,0.191
1683369612350,2023-05-06T12:40:12.350,0.120,0.419,0.480,0.282
1683369612360,2023-05-06T12:40:12.360,0.130,0.549,0.610,0.297
1683369612370,2023-05-06T12:40:12.370,0.140,0.534,0.595,0.183
1683369612380,2023-05-06T12:40:12.380,0.150,0.335,0.648,0.107
1683369612390,2023-05-06T12:40:12.390,0.160,0.160,0.595,0.168
1683369612400,2023-05-06T12:40:12.400,0.170,0.244,0.617,0.122
1683369612410,2023-05-06T12:40:12.410,0.180,0.366,0.633,0.107
1683369612420,2023-05-06T12:40:12.420,0.190,0.633,0.473,0.152
1683369612430,2023-05-06T12:40:12.430,0.200,0.793,0.465,0.229
1683369612440,2023-05-06T12:40:12.440,0.210,0.633,0.518,0.221
1683369612450,2023-05-06T12:40:12.450,0.220,0.168,0.640,0.259
1683369612460,2023-05-06T12:40:12.460,0.230,-0.137,0.739,0.206
1683369612470,2023-05-06T12:40:12.470,0.240,-0.381,0.716,0.053
1683369612480,2023-05-06T12:40:12.480,0.250,-0.678,0.602,-0.038
1683369612490,2023-05-06T12:40:12.490,0.260,-0.610,0.640,0.008
1683369612500,2023-05-06T12:40:12.500,0.270,-0.373,0.694,0.015
1683369612510,2023-05-06T12:40:12.510,0.280,-0.229,0.625,0.015
1683369612520,2023-05-06T12:40:12.520,0.290,-0.244,0.572,-0.030
1683369612530,2023-05-06T12:40:12.530,0.300,-0.313,0.602,0.130
1683369612540,2023-05-06T12:40:12.540,0.310,-0.442,0.709,0.137
1683369612550,2023-05-06T12:40:12.550,0.320,-0.724,0.877,0.069
1683369612560,2023-05-06T12:40:12.560,0.330,-0.953,0.976,0.023
1683369612570,2023-05-06T12:40:12.570,0.340,-1.006,0.922,0.000
1683369612580,2023-05-06T12:40:12.580,0.350,-0.823,0.892,-0.030
1683369612590,2023-05-06T12:40:12.590,0.360,-0.655,0.968,0.160
1683369612600,2023-05-06T12:40:12.600,0.370,-0.549,0.869,0.206
1683369612610,2023-05-06T12:40:12.610,0.380,-0.495,0.915,0.221
1683369612620,2023-05-06T12:40:12.620,0.390,-0.343,0.938,0.198
1683369612630,2023-05-06T12:40:12.630,0.400,-0.206,0.838,0.107
1683369612640,2023-05-06T12:40:12.640,0.410,-0.160,0.640,0.244
1683369612650,2023-05-06T12:40:12.650,0.420,-0.175,0.564,0.313
1683369612660,2023-05-06T12:40:12.660,0.430,-0.015,0.503,0.351
1683369612670,2023-05-06T12:40:12.670,0.440,-0.008,0.716,0.358
1683369612680,2023-05-06T12:40:12.680,0.450,0.107,0.884,0.396
1683369612690,2023-05-06T12:40:12.690,0.460,0.358,0.755,0.396
1683369612700,2023-05-06T12:40:12.700,0.470,0.404,0.595,0.404
1683369612710,2023-05-06T12:40:12.710,0.480,0.373,0.625,0.465
1683369612720,2023-05-06T12:40:12.720,0.490,0.206,0.534,0.389
1683369612730,2023-05-06T12:40:12.730,0.500,-0.053,0.617,0.335
1683369612740,2023-05-06T12:40:12.740,0.510,-0.122,0.610,0.244
1683369612750,2023-05-06T12:40:12.750,0.520,-0.252,0.625,0.221
1683369612760,2023-05-06T12:40:12.760,0.530,-0.297,0.526,0.328
1683369612770,2023-05-06T12:40:12.770,0.540,-0.297,0.556,0.320
1683369612780,2023-05-06T12:40:12.780,0.550,-0.145,0.648,0.335
1683369612790,2023-05-06T12:40:12.790,0.560,0.061,0.701,0.351
1683369612800,2023-05-06T12:40:12.800,0.570,0.107,0.701,0.412
1683369612810,2023-05-06T12:40:12.810,0.580,0.107,0.610,0.328
1683369612820,2023-05-06T12:40:12.820,0.590,0.053,0.579,0.366
1683369612830,2023-05-06T12:40:12.830,0.600,0.099,0.572,0.320
1683369612840,2023-05-06T12:40:12.840,0.610,0.000,0.579,0.335
1683369612850,2023-05-06T12:40:12.850,0.620,-0.191,0.381,0.358
1683369612860,2023-05-06T12:40:12.860,0.630,-0.389,0.358,0.335
1683369612870,2023-05-06T12:40:12.870,0.640,-0.450,0.511,0.198
1683369612880,2023-05-06T12:40:12.880,0.650,-0.305,0.572,0.244
1683369612890,2023-05-06T12:40:12.890,0.660,-0.252,0.366,0.175
1683369612900,2023-05-06T12:40:12.900,0.670,-0.259,0.091,0.053
1683369612910,2023-05-06T12:40:12.910,0.680,-0.206,-0.023,0.053
1683369612920,2023-05-06T12:40:12.920,0.690,-0.191,-0.091,0.091
1683369612930,2023-05-06T12:40:12.930,0.700,-0.229,-0.099,0.160
1683369612940,2023-05-06T12:40:12.940,0.710,-0.328,-0.069,0.160
1683369612950,2023-05-06T12:40:12.950,0.720,-0.259,-0.038,0.175
1683369612960,2023-05-06T12:40:12.960,0.730,0.267,-0.069,0.221
1683369612970,2023-05-06T12:40:12.970,0.740,0.709,0.000,0.381
1683369612980,2023-05-06T12:40:12.980,0.750,1.090,-0.046,0.488
1683369612990,2023-05-06T12:40:12.990,0.760,1.425,-0.122,0.457
1683369613000,2023-05-06T12:40:13.000,0.770,1.456,-0.152,0.396
1683369613010,2023-05-06T12:40:13.010,0.780,1.311,0.023,0.343
1683369613020,2023-05-06T12:40:13.020,0.790,0.991,0.030,0.358
1683369613030,2023-05-06T12:40:13.030,0.800,0.602,0.114,0.320
1683369613040,2023-05-06T12:40:13.040,0.810,0.473,0.114,0.252
