epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1684326083528,2023-05-17T14:21:23.528,0.000,0.396,0.785,-0.046
1684326083538,2023-05-17T14:21:23.538,0.010,0.511,-0.655,-1.761
1684326083548,2023-05-17T14:21:23.548,0.020,0.008,0.716,0.313
1684326083558,2023-05-17T14:21:23.558,0.030,0.282,0.816,0.008
1684326083568,2023-05-17T14:21:23.568,0.040,0.663,0.785,-0.069
1684326083578,2023-05-17T14:21:23.578,0.050,0.290,0.770,-0.008
1684326083588,2023-05-17T14:21:23.588,0.060,-0.221,0.716,-0.038
1684326083598,2023-05-17T14:21:23.598,0.070,-0.130,0.663,-0.015
1684326083608,2023-05-17T14:21:23.608,0.080,0.297,0.671,0.000
1684326083618,2023-05-17T14:21:23.618,0.090,0.534,0.724,-0.061
1684326083628,2023-05-17T14:21:23.628,0.100,0.648,0.564,0.008
1684326083638,2023-05-17T14:21:23.638,0.110,0.160,0.602,0.023
1684326083648,2023-05-17T14:21:23.648,0.120,-0.282,0.640,0.015
1684326083658,2023-05-17T14:21:23.658,0.130,-0.274,0.762,-0.099
1684326083668,2023-05-17T14:21:23.668,0.140,-0.313,0.678,-0.053
1684326083678,2023-05-17T14:21:23.678,0.150,-0.892,0.633,-0.168
1684326083688,2023-05-17T14:21:23.688,0.160,-1.159,0.701,-0.152
1684326083698,2023-05-17T14:21:23.698,0.170,-1.258,0.709,-0.213
1684326083708,2023-05-17T14:21:23.708,0.180,-0.648,0.442,-0.229
1684326083718,2023-05-17T14:21:23.718,0.190,1.319,0.427,0.084
1684326083728,2023-05-17T14:21:23.728,0.200,2.378,0.252,0.236
1684326083738,2023-05-17T14:21:23.738,0.210,0.282,0.412,0.168
1684326083748,2023-05-17T14:21:23.748,0.220,-1.898,0.663,0.030
1684326083758,2023-05-17T14:21:23.758,0.230,-0.938,0.747,-0.069
1684326083768,2023-05-17T14:21:23.768,0.240,1.227,0.686,-0.030
1684326083778,2023-05-17T14:21:23.778,0.250,1.334,0.518,-0.046
1684326083788,2023-05-17T14:21:23.788,0.260,-0.168,0.686,-0.084
1684326083798,2023-05-17T14:21:23.798,0.270,-0.579,0.854,-0.008
1684326083808,2023-05-17T14:21:23.808,0.280,0.145,0.648,0.015
1684326083818,2023-05-17T14:21:23.818,0.290,0.556,0.595,0.076
1684326083828,2023-05-17T14:21:23.828,0.300,0.419,0.579,0.053
1684326083838,2023-05-17T14:21:23.838,0.310,0.076,0.625,0.099
1684326083848,2023-05-17T14:21:23.848,0.320,-0.191,0.602,0.076
1684326083858,2023-05-17T14:21:23.858,0.330,-0.389,0.640,0.053
1684326083868,2023-05-17T14:21:23.868,0.340,-0.305,0.495,0.030
1684326083878,2023-05-17T14:21:23.878,0.350,-0.198,0.457,-0.015
1684326083888,2023-05-17T14:21:23.888,0.360,-0.008,0.579,-0.023
1684326083898,2023-05-17T14:21:23.898,0.370,-0.335,0.854,-0.069
1684326083908,2023-05-17T14:21:23.908,0.380,-1.128,0.678,-0.076
1684326083918,2023-05-17T14:21:23.918,0.390,-1.143,0.747,-0.061
1684326083928,2023-05-17T14:21:23.928,0.400,0.130,0.762,0.023
1684326083938,2023-05-17T14:21:23.938,0.410,0.816,0.587,0.168
1684326083948,2023-05-17T14:21:23.948,0.420,-0.716,-0.175,0.518
1684326083958,2023-05-17T14:21:23.958,0.430,-1.075,-0.168,0.442
1684326083968,2023-05-17T14:21:23.968,0.440,0.252,-0.488,0.252
1684326083978,2023-05-17T14:21:23.978,0.450,-1.303,-1.364,0.313
1684326083988,2023-05-17T14:21:23.988,0.460,0.473,-0.915,0.412
