epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1684574268797,2023-05-20T11:17:48.797,0.000,177.561,-87.561,-0.000,-0.000
1684574268807,2023-05-20T11:17:48.807,0.010,177.561,-87.561,359.999,359.999
1684574268817,2023-05-20T11:17:48.817,0.020,177.554,-87.554,0.007,0.007
1684574268827,2023-05-20T11:17:48.827,0.030,177.554,-87.554,0.007,0.007
1684574268837,2023-05-20T11:17:48.837,0.040,177.552,-87.552,0.009,0.009
1684574268847,2023-05-20T11:17:48.847,0.050,177.554,-87.554,0.007,0.007
1684574268857,2023-05-20T11:17:48.857,0.060,177.556,-87.556,0.005,0.005
1684574268867,2023-05-20T11:17:48.867,0.070,177.551,-87.551,0.017,0.017
1684574268877,2023-05-20T11:17:48.877,0.080,177.548,-87.548,0.020,0.020
1684574268887,2023-05-20T11:17:48.887,0.090,177.546,-87.546,0.021,0.021
1684574268897,2023-05-20T11:17:48.897,0.100,177.544,-87.544,0.011,0.011
1684574268907,2023-05-20T11:17:48.907,0.110,177.539,-87.539,0.003,0.003
1684574268917,2023-05-20T11:17:48.917,0.120,177.531,-87.532,0.001,0.001
1684574268927,2023-05-20T11:17:48.927,0.130,177.525,-87.525,0.000,0.000
1684574268937,2023-05-20T11:17:48.937,0.140,177.519,-87.519,0.007,0.007
1684574268947,2023-05-20T11:17:48.947,0.150,177.513,-87.513,0.013,0.013
1684574268957,2023-05-20T11:17:48.957,0.160,177.507,-87.507,0.018,0.018
1684574268967,2023-05-20T11:17:48.967,0.170,177.501,-87.501,0.024,0.024
1684574268977,2023-05-20T11:17:48.977,0.180,177.502,-87.503,0.030,0.030
1684574268987,2023-05-20T11:17:48.987,0.190,177.497,-87.498,0.035,0.035
1684574268997,2023-05-20T11:17:48.997,0.200,177.493,-87.494,0.045,0.045
1684574269007,2023-05-20T11:17:49.007,0.210,177.489,-87.489,0.057,0.057
1684574269017,2023-05-20T11:17:49.017,0.220,177.485,-87.485,0.061,0.061
1684574269027,2023-05-20T11:17:49.027,0.230,177.482,-87.482,0.063,0.063
1684574269037,2023-05-20T11:17:49.037,0.240,2.519,-87.480,0.065,0.065
1684574269047,2023-05-20T11:17:49.047,0.250,2.522,-87.478,0.068,0.068
1684574269057,2023-05-20T11:17:49.057,0.260,2.527,-87.473,0.073,0.073
1684574269067,2023-05-20T11:17:49.067,0.270,2.528,-87.472,0.073,0.073
1684574269077,2023-05-20T11:17:49.077,0.280,2.532,-87.468,0.077,0.077
1684574269087,2023-05-20T11:17:49.087,0.290,2.539,-87.461,0.085,0.085
1684574269097,2023-05-20T11:17:49.097,0.300,2.550,-87.450,0.095,0.095
1684574269107,2023-05-20T11:17:49.107,0.310,2.559,-87.441,0.104,0.104
1684574269117,2023-05-20T11:17:49.117,0.320,2.564,-87.435,0.116,0.116
1684574269127,2023-05-20T11:17:49.127,0.330,2.568,-87.431,0.120,0.120
1684574269137,2023-05-20T11:17:49.137,0.340,2.573,-87.427,0.125,0.125
1684574269147,2023-05-20T11:17:49.147,0.350,2.575,-87.425,0.133,0.133
1684574269157,2023-05-20T11:17:49.157,0.360,2.569,-87.430,0.137,0.137
1684574269167,2023-05-20T11:17:49.167,0.370,2.560,-87.440,0.137,0.137
1684574269177,2023-05-20T11:17:49.177,0.380,2.552,-87.447,0.140,0.140
1684574269187,2023-05-20T11:17:49.187,0.390,2.543,-87.456,0.145,0.145
1684574269197,2023-05-20T11:17:49.197,0.400,2.530,-87.469,0.144,0.144
1684574269207,2023-05-20T11:17:49.207,0.410,2.517,-87.483,0.142,0.142
1684574269217,2023-05-20T11:17:49.217,0.420,2.502,-87.498,0.141,0.141
1684574269227,2023-05-20T11:17:49.227,0.430,2.486,-87.513,0.137,0.137
1684574269237,2023-05-20T11:17:49.237,0.440,2.471,-87.528,0.131,0.131
1684574269247,2023-05-20T11:17:49.247,0.450,2.454,-87.545,0.122,0.122
1684574269257,2023-05-20T11:17:49.257,0.460,2.439,-87.560,0.114,0.114
1684574269267,2023-05-20T11:17:49.267,0.470,2.424,-87.575,0.100,0.100
1684574269277,2023-05-20T11:17:49.277,0.480,2.412,-87.587,0.087,0.087
1684574269287,2023-05-20T11:17:49.287,0.490,2.402,-87.596,0.078,0.078
1684574269297,2023-05-20T11:17:49.297,0.500,2.394,-87.605,0.069,0.069
1684574269307,2023-05-20T11:17:49.307,0.510,2.384,-87.615,0.059,0.059
1684574269317,2023-05-20T11:17:49.317,0.520,2.377,-87.621,0.053,0.053
1684574269327,2023-05-20T11:17:49.327,0.530,2.373,-87.626,0.048,0.048
1684574269337,2023-05-20T11:17:49.337,0.540,2.368,-87.630,0.044,0.044
1684574269347,2023-05-20T11:17:49.347,0.550,2.364,-87.634,0.040,0.040
1684574269357,2023-05-20T11:17:49.357,0.560,2.362,-87.636,0.037,0.037
1684574269367,2023-05-20T11:17:49.367,0.570,2.361,-87.638,0.036,0.036
1684574269377,2023-05-20T11:17:49.377,0.580,2.359,-87.639,0.028,0.028
1684574269387,2023-05-20T11:17:49.387,0.590,2.360,-87.638,0.022,0.022
1684574269397,2023-05-20T11:17:49.397,0.600,2.361,-87.637,0.024,0.024
1684574269407,2023-05-20T11:17:49.407,0.610,2.361,-87.637,0.024,0.024
1684574269417,2023-05-20T11:17:49.417,0.620,2.356,-87.642,0.012,0.012
1684574269427,2023-05-20T11:17:49.427,0.630,2.348,-87.650,359.994,359.994
1684574269437,2023-05-20T11:17:49.437,0.640,2.341,-87.657,359.975,359.975
1684574269447,2023-05-20T11:17:49.447,0.650,2.333,-87.664,359.961,359.961
1684574269457,2023-05-20T11:17:49.457,0.660,2.325,-87.673,359.952,359.952
1684574269467,2023-05-20T11:17:49.467,0.670,2.314,-87.684,359.942,359.942
1684574269477,2023-05-20T11:17:49.477,0.680,2.305,-87.692,359.933,359.933
1684574269487,2023-05-20T11:17:49.487,0.690,2.297,-87.701,359.924,359.924
1684574269497,2023-05-20T11:17:49.497,0.700,2.290,-87.708,359.917,359.917
1684574269507,2023-05-20T11:17:49.507,0.710,2.283,-87.715,359.910,359.910
1684574269517,2023-05-20T11:17:49.517,0.720,2.280,-87.718,359.908,359.908
1684574269527,2023-05-20T11:17:49.527,0.730,2.280,-87.719,359.914,359.914
1684574269537,2023-05-20T11:17:49.537,0.740,2.281,-87.718,359.926,359.926
1684574269547,2023-05-20T11:17:49.547,0.750,2.287,-87.711,359.944,359.944
1684574269557,2023-05-20T11:17:49.557,0.760,2.293,-87.706,359.962,359.962
1684574269567,2023-05-20T11:17:49.567,0.770,2.296,-87.703,359.978,359.978
1684574269577,2023-05-20T11:17:49.577,0.780,2.293,-87.706,359.983,359.983
1684574269587,2023-05-20T11:17:49.587,0.790,2.289,-87.710,359.979,359.979
1684574269597,2023-05-20T11:17:49.597,0.800,2.284,-87.716,359.980,359.980
1684574269607,2023-05-20T11:17:49.607,0.810,2.280,-87.720,359.977,359.977
1684574269617,2023-05-20T11:17:49.617,0.820,2.279,-87.721,359.976,359.976
1684574269627,2023-05-20T11:17:49.627,0.830,2.285,-87.714,359.983,359.983
